date;open;high;low;close;volume
1999-08-25;4.12;4.12;4.12;4.12;0.0
1999-08-26;4.0;4.0;3.88;3.88;2500.0
1999-08-27;3.88;3.88;3.88;3.88;1500.0
1999-08-30;3.75;3.75;3.5;3.5;3500.0
1999-08-31;3.75;3.75;3.75;3.75;200.0
1999-09-01;3.5;3.5;3.5;3.5;4000.0
1999-09-02;3.38;3.5;3.38;3.5;4000.0
1999-09-03;3.12;3.12;2.88;3.0;7900.0
1999-09-07;3.0;3.0;2.88;2.88;4300.0
1999-09-08;2.88;2.88;2.88;2.88;1500.0
1999-09-09;3.25;3.25;3.25;3.25;2000.0
1999-09-10;3.12;3.12;3.0;3.0;5000.0
1999-09-13;3.25;3.62;3.25;3.62;6000.0
1999-09-14;3.62;3.62;3.62;3.62;0.0
1999-09-15;3.62;3.62;3.62;3.62;0.0
1999-09-16;3.81;3.94;3.81;3.94;4000.0
1999-09-17;3.94;3.94;3.94;3.94;0.0
1999-09-20;3.75;3.75;3.75;3.75;200.0
1999-09-21;4.0;4.0;3.81;3.81;900.0
1999-09-22;4.03;4.03;4.03;4.03;1000.0
1999-09-23;4.03;4.03;4.03;4.03;0.0
1999-09-24;3.88;3.88;3.81;3.81;4500.0
1999-09-27;3.69;3.69;3.69;3.69;1000.0
1999-09-28;3.69;3.69;3.69;3.69;0.0
1999-09-29;3.69;3.69;3.69;3.69;0.0
1999-09-30;3.44;3.44;3.44;3.44;3000.0
1999-10-01;3.5;3.5;3.5;3.5;700.0
1999-10-04;3.75;3.75;3.75;3.75;1000.0
1999-10-05;3.75;3.75;3.31;3.38;6000.0
1999-10-06;3.38;3.38;3.38;3.38;1000.0
1999-10-07;3.38;3.38;3.38;3.38;0.0
1999-10-08;3.56;3.56;3.56;3.56;2000.0
1999-10-11;3.56;3.56;3.56;3.56;0.0
1999-10-12;3.56;3.56;3.56;3.56;0.0
1999-10-13;3.56;3.56;3.56;3.56;0.0
1999-10-14;3.75;3.75;3.75;3.75;500.0
1999-10-15;3.75;3.75;3.75;3.75;0.0
1999-10-18;3.5;3.5;3.5;3.5;2500.0
1999-10-19;3.5;3.5;3.44;3.44;2000.0
1999-10-20;3.44;3.44;3.44;3.44;0.0
1999-10-21;3.44;3.44;3.44;3.44;0.0
1999-10-22;3.44;3.44;3.44;3.44;500.0
1999-10-25;3.31;3.31;3.31;3.31;500.0
1999-10-26;3.31;3.31;3.0;3.06;10000.0
1999-10-27;3.25;3.38;3.25;3.38;10000.0
1999-10-28;3.19;3.19;2.5;2.5;1500.0
1999-10-29;2.5;2.5;2.5;2.5;0.0
1999-11-01;2.5;2.5;2.5;2.5;0.0
1999-11-02;3.38;3.38;3.38;3.38;300.0
1999-11-03;3.38;3.38;3.38;3.38;0.0
1999-11-04;3.12;3.12;3.12;3.12;2000.0
1999-11-05;3.38;3.5;3.19;3.31;10900.0
1999-11-08;3.31;3.31;3.31;3.31;0.0
1999-11-09;3.38;3.38;3.25;3.25;2500.0
1999-11-10;3.25;3.25;3.25;3.25;0.0
1999-11-11;3.25;3.38;3.12;3.12;1800.0
1999-11-12;3.12;3.25;3.12;3.25;4500.0
1999-11-15;3.25;3.25;3.25;3.25;0.0
1999-11-16;3.12;3.12;3.06;3.06;1600.0
1999-11-17;3.31;3.31;3.12;3.12;3500.0
