date;open;high;low;close;volume
1980-01-02;22.5;22.5;21.75;21.75;7566.0
1980-01-03;21.75;22.0;21.5;21.63;5046.0
1980-01-04;21.63;22.0;21.5;22.0;2815.0
1980-01-07;21.75;21.75;21.12;21.5;6228.0
1980-01-08;21.5;21.75;20.25;20.75;8033.0
1980-01-09;20.75;20.87;20.25;20.25;2984.0
1980-01-10;20.25;21.25;19.75;21.25;8788.0
1980-01-11;21.25;21.5;20.75;21.25;7821.0
1980-01-14;21.12;21.12;20.13;21.0;11986.0
1980-01-15;21.25;21.88;21.25;21.25;14432.0
1980-01-16;21.25;21.88;21.25;21.25;2770.0
1980-01-17;21.25;21.37;20.87;21.25;4408.0
1980-01-18;21.25;23.0;20.75;23.0;12372.0
1980-01-21;23.0;23.5;22.5;22.5;10665.0
1980-01-22;22.5;23.0;22.25;22.25;4265.0
1980-01-23;22.25;22.5;21.25;21.25;4363.0
1980-01-24;21.5;22.5;21.5;21.5;5858.0
1980-01-25;21.5;21.88;21.5;21.5;3838.0
1980-01-28;21.5;21.75;21.0;21.0;6655.0
1980-01-29;21.12;21.75;21.12;21.25;9954.0
1980-01-30;21.0;21.0;20.25;20.25;9171.0
1980-01-31;20.62;21.63;20.62;21.0;11235.0
1980-02-01;21.12;21.88;21.12;21.5;10451.0
1980-02-04;21.5;22.0;21.5;22.0;8147.0
1980-02-05;22.0;22.62;21.75;22.62;4619.0
1980-02-06;22.62;22.87;22.25;22.75;7606.0
1980-02-07;22.5;22.5;22.13;22.13;6183.0
1980-02-08;22.0;22.0;21.5;21.5;2231.0
1980-02-11;21.5;22.0;21.0;21.37;6183.0
1980-02-12;21.37;22.0;21.0;21.63;10665.0
1980-02-13;21.63;22.0;21.37;21.5;9740.0
1980-02-14;21.5;21.63;21.0;21.0;5644.0
1980-02-15;21.0;21.25;20.25;20.62;7776.0
1980-02-19;20.62;20.75;20.13;20.62;2445.0
1980-02-20;20.62;20.62;20.5;20.5;8788.0
1980-02-21;20.5;20.5;20.25;20.25;22654.0
1980-02-22;20.25;20.25;19.63;19.63;11986.0
1980-02-25;19.63;19.75;19.25;19.5;8248.0
1980-02-26;19.5;19.75;19.25;19.75;8788.0
1980-02-27;19.75;20.0;19.38;19.38;2018.0
1980-02-28;19.25;19.25;19.0;19.12;3242.0
1980-02-29;19.12;19.38;19.0;19.38;7566.0
1980-03-03;19.38;20.0;19.38;19.75;4051.0
1980-03-04;19.75;20.0;19.75;19.88;1164.0
1980-03-05;19.88;19.88;19.25;19.25;6541.0
1980-03-06;19.12;19.12;18.12;18.75;6752.0
1980-03-07;18.75;19.0;18.12;18.25;5159.0
1980-03-10;18.25;18.37;17.5;18.37;12044.0
1980-03-11;18.37;18.62;18.12;18.12;5431.0
1980-03-12;18.75;18.87;18.75;18.87;5858.0
1980-03-13;18.87;19.25;18.62;19.25;13965.0
1980-03-14;19.25;19.25;18.87;19.0;9954.0
1980-03-17;19.0;19.25;18.87;18.87;19980.0
1980-03-18;18.87;19.5;18.75;19.5;5644.0
1980-03-19;19.75;20.0;19.75;19.75;2389.0
1980-03-20;20.0;20.25;20.0;20.13;5374.0
1980-03-21;19.88;19.88;19.63;19.88;1422.0
1980-03-24;19.88;19.88;19.25;19.25;12799.0
1980-03-25;18.75;18.75;18.5;18.62;7350.0
1980-03-26;18.62;19.5;18.62;19.5;12840.0
1980-03-27;19.25;19.25;18.5;18.87;10165.0
1980-03-28;18.87;19.5;18.62;19.5;4619.0
1980-03-31;19.5;19.5;18.5;19.5;9057.0
1980-04-01;19.5;19.75;19.5;19.75;4051.0
1980-04-02;19.75;19.88;19.5;19.75;2174.0
1980-04-03;19.75;19.88;19.63;19.63;140.0
1980-04-07;19.63;19.63;19.25;19.25;1063.0
1980-04-08;19.0;19.0;18.62;19.0;3027.0
1980-04-09;19.0;19.63;18.62;19.0;3982.0
1980-04-10;19.0;19.63;18.75;18.75;5858.0
1980-04-11;18.87;19.63;18.87;18.87;5757.0
1980-04-14;18.87;18.87;18.62;18.87;1422.0
1980-04-15;18.87;19.0;18.62;18.62;2231.0
1980-04-16;18.62;18.87;18.5;18.5;2174.0
1980-04-17;18.5;18.5;18.0;18.12;12584.0
1980-04-18;18.12;18.25;17.75;17.75;1206.0
1980-04-21;17.75;18.0;17.75;17.75;2231.0
1980-04-22;17.75;18.25;17.75;18.0;15997.0
1980-04-23;18.0;18.5;17.75;18.37;55251.0
1980-04-24;18.37;18.5;18.25;18.25;32255.0
1980-04-25;18.12;18.12;18.0;18.0;7464.0
1980-04-28;18.0;18.25;18.0;18.0;17379.0
1980-04-29;18.12;18.37;18.12;18.37;1746.0
1980-04-30;18.5;18.75;18.5;18.75;1164.0
1980-05-01;18.75;18.75;18.37;18.62;8959.0
1980-05-02;18.75;20.0;18.75;19.63;50658.0
1980-05-05;19.63;19.88;19.12;19.88;20405.0
1980-05-06;19.88;19.88;19.38;19.5;14648.0
1980-05-07;19.5;19.75;19.38;19.5;59021.0
1980-05-08;19.5;19.75;19.5;19.75;4051.0
1980-05-09;19.75;19.75;19.5;19.63;2231.0
1980-05-12;19.63;19.88;19.63;19.88;8033.0
1980-05-13;20.0;21.0;20.0;21.0;23351.0
1980-05-14;21.12;22.75;21.12;22.62;17590.0
1980-05-15;22.25;22.25;21.75;22.0;5757.0
1980-05-16;22.0;23.75;22.0;23.25;23039.0
1980-05-19;23.0;23.0;22.75;22.75;10380.0
1980-05-20;22.87;23.0;22.87;23.0;4265.0
1980-05-21;23.0;23.12;22.75;23.12;9597.0
1980-05-22;23.12;24.0;22.75;24.0;13153.0
1980-05-23;24.0;24.38;24.0;24.25;10979.0
1980-05-27;24.25;24.5;24.25;24.5;11775.0
1980-05-28;24.5;24.63;24.25;24.5;15997.0
1980-05-29;24.5;24.5;24.13;24.13;23181.0
1980-05-30;24.0;24.0;23.75;24.0;5973.0
1980-06-02;24.0;25.25;24.0;25.0;18016.0
1980-06-03;25.0;28.25;24.75;28.0;38541.0
1980-06-04;27.5;27.5;27.12;27.25;114444.0
1980-06-05;27.37;27.62;27.37;27.5;32951.0
1980-06-06;27.5;27.87;27.5;27.5;17067.0
1980-06-09;27.5;27.87;27.37;27.5;13750.0
1980-06-10;27.5;28.25;27.25;28.0;27619.0
