date;open;high;low;close;volume
1993-10-22;9.25;9.25;8.25;9.125;93000.0
1993-10-25;9.125;11.13;9.0;10.88;85500.0
1993-10-26;10.88;11.38;9.375;9.375;91100.0
1993-10-27;9.25;10.13;9.25;9.875;76600.0
1993-10-28;9.875;9.875;9.625;9.75;27700.0
1993-10-29;10.0;10.0;9.375;9.75;47500.0
1993-11-01;10.0;10.38;9.375;9.75;56800.0
1993-11-02;9.625;9.75;9.375;9.5;35500.0
1993-11-03;9.5;9.75;9.375;9.75;33800.0
1993-11-04;9.625;9.875;9.375;9.5;51100.0
1993-11-05;9.375;9.625;9.25;9.625;36900.0
1993-11-08;9.75;9.75;9.375;9.5;30800.0
1993-11-09;9.625;9.625;9.25;9.25;31200.0
1993-11-10;9.5;9.625;9.375;9.625;28500.0
1993-11-11;9.625;9.625;9.375;9.5;12800.0
1993-11-12;9.375;9.625;9.375;9.625;26200.0
1993-11-15;9.5;9.75;9.5;9.75;26300.0
1993-11-16;9.625;10.25;9.625;9.875;50600.0
1993-11-17;10.0;10.0;9.75;10.0;41300.0
1993-11-18;9.875;10.38;9.875;10.25;47600.0
1993-11-19;10.13;10.25;9.875;10.13;28500.0
1993-11-22;10.25;10.25;9.875;9.875;27400.0
1993-11-23;9.875;10.0;9.5;9.75;31400.0
1993-11-24;9.625;9.875;9.5;9.75;11100.0
1993-11-26;9.875;9.875;9.75;9.875;3000.0
1993-11-29;9.75;9.875;9.5;9.875;18800.0
1993-11-30;9.875;9.875;9.5;9.875;28200.0
1993-12-01;9.875;10.0;9.625;10.0;22500.0
1993-12-02;10.13;10.25;9.875;9.875;34700.0
1993-12-03;9.875;10.0;9.75;9.75;20500.0
1993-12-06;9.75;10.0;9.625;9.625;23200.0
1993-12-07;9.625;10.0;9.625;9.875;27500.0
1993-12-08;9.875;10.0;9.625;9.875;33100.0
1993-12-09;9.75;10.0;9.625;10.0;46700.0
1993-12-10;10.0;10.0;9.75;9.875;23800.0
1993-12-13;9.875;10.0;9.875;10.0;37100.0
1993-12-14;9.875;10.38;9.875;10.25;29100.0
1993-12-15;10.38;10.88;10.38;10.88;43700.0
1993-12-16;10.75;10.75;10.5;10.63;20400.0
1993-12-17;10.63;10.75;10.25;10.38;22400.0
1993-12-20;10.5;10.5;10.0;10.25;17700.0
1993-12-21;10.38;10.63;10.38;10.5;10000.0
1993-12-22;10.63;10.75;10.13;10.38;10400.0
1993-12-23;10.38;10.38;10.0;10.13;17700.0
1993-12-27;10.0;10.38;10.0;10.13;9000.0
1993-12-28;10.13;10.25;10.13;10.25;7900.0
1993-12-29;10.13;10.25;10.0;10.0;14600.0
1993-12-30;9.875;10.0;9.875;10.0;6700.0
1993-12-31;10.0;10.13;9.875;10.13;15400.0
1994-01-03;10.0;10.63;10.0;10.63;19000.0
1994-01-04;10.63;10.75;10.5;10.63;7000.0
1994-01-05;10.75;10.75;10.38;10.75;15400.0
1994-01-06;10.75;10.75;10.38;10.75;50700.0
1994-01-07;10.75;11.0;10.5;11.0;24800.0
1994-01-10;10.63;10.63;10.13;10.25;11300.0
1994-01-11;10.13;10.38;10.13;10.38;13300.0
1994-01-12;10.38;10.88;10.13;10.88;16900.0
1994-01-13;10.63;10.63;10.13;10.38;17400.0
1994-01-14;10.5;10.63;10.25;10.63;24900.0
1994-01-17;10.5;10.88;10.25;10.88;12900.0
1994-01-18;10.75;10.88;10.38;10.63;9600.0
1994-01-19;10.75;10.75;10.38;10.63;13700.0
1994-01-20;10.38;10.5;10.13;10.25;14000.0
1994-01-21;10.25;10.38;10.0;10.13;18300.0
1994-01-24;10.0;10.38;10.0;10.13;14800.0
1994-01-25;10.0;10.25;10.0;10.13;9900.0
1994-01-26;10.13;10.25;10.0;10.13;21700.0
1994-01-27;10.13;10.13;10.0;10.13;15300.0
1994-01-28;10.0;10.13;9.875;9.875;13700.0
1994-01-31;10.0;10.38;10.0;10.38;20600.0
