date;open;high;low;close;volume
1992-02-05;18.25;18.25;16.5;17.25;5662900.0
1992-02-06;17.25;17.25;16.75;16.88;2848200.0
1992-02-07;16.88;16.88;15.63;15.63;849000.0
1992-02-10;15.75;15.75;15.0;15.13;552200.0
1992-02-11;15.13;15.38;15.13;15.38;328100.0
1992-02-12;15.38;16.0;15.25;15.88;314800.0
1992-02-13;16.0;16.38;15.88;16.0;404100.0
1992-02-14;16.0;16.0;15.63;15.63;209000.0
1992-02-18;15.75;15.75;15.5;15.63;343600.0
1992-02-19;15.63;16.0;15.63;16.0;319000.0
1992-02-20;16.0;16.0;15.63;15.63;69500.0
1992-02-21;15.88;15.88;15.75;15.88;205300.0
1992-02-24;15.88;16.0;15.75;15.88;176900.0
1992-02-25;15.88;15.88;15.25;15.38;295200.0
1992-02-26;15.5;15.63;15.13;15.25;77600.0
1992-02-27;15.25;15.75;15.25;15.38;219000.0
1992-02-28;15.75;15.75;15.5;15.5;133300.0
1992-03-02;15.25;15.88;15.25;15.63;41900.0
1992-03-03;15.5;15.75;15.5;15.75;88700.0
1992-03-04;15.75;15.75;15.5;15.5;123900.0
1992-03-05;15.63;15.75;15.38;15.38;65600.0
1992-03-06;15.38;15.63;15.38;15.63;226700.0
1992-03-09;15.5;15.63;15.5;15.63;57000.0
1992-03-10;15.5;15.63;15.5;15.5;28900.0
1992-03-11;15.5;15.63;15.38;15.38;52100.0
1992-03-12;15.5;15.5;15.38;15.38;35400.0
1992-03-13;15.38;15.5;15.38;15.38;62400.0
1992-03-16;15.5;15.5;15.25;15.5;17300.0
1992-03-17;15.38;15.5;15.38;15.38;103100.0
1992-03-18;15.38;15.38;15.13;15.25;26500.0
1992-03-19;15.25;15.38;15.0;15.13;77800.0
1992-03-20;15.0;15.0;14.25;14.5;109400.0
1992-03-23;14.25;14.38;13.75;14.0;65800.0
1992-03-24;14.0;14.13;13.5;14.0;115600.0
1992-03-25;14.0;15.88;14.0;15.75;331000.0
1992-03-26;15.63;15.88;15.13;15.25;81300.0
1992-03-27;15.25;15.25;14.63;14.63;60300.0
1992-03-30;14.75;14.75;14.38;14.38;48100.0
1992-03-31;14.25;14.38;14.13;14.25;48200.0
1992-04-01;14.13;14.5;14.13;14.13;251800.0
1992-04-02;14.25;15.13;14.25;15.0;681900.0
1992-04-03;14.88;15.0;14.63;14.63;154300.0
1992-04-06;14.88;14.88;14.0;14.25;220300.0
1992-04-07;14.38;14.63;13.75;13.88;67100.0
1992-04-08;13.63;13.75;12.88;13.5;68300.0
1992-04-09;14.0;14.0;13.0;13.0;90600.0
1992-04-10;13.13;13.5;13.0;13.5;83300.0
1992-04-13;13.63;14.0;13.25;13.88;73400.0
1992-04-14;14.13;14.13;13.75;14.0;80700.0
1992-04-15;14.0;14.63;13.88;14.25;80300.0
