date;open;high;low;close;volume
1973-05-03;12.0;12.5;12.0;12.0;683.0
1973-05-04;12.13;12.75;12.13;12.13;367.0
1973-05-07;12.38;12.75;12.38;12.38;683.0
1973-05-08;12.38;13.0;12.38;12.38;1867.0
1973-05-09;12.75;13.38;12.75;12.75;2767.0
1973-05-10;13.13;13.63;13.13;13.13;1700.0
1973-05-11;13.13;13.63;13.0;13.0;1100.0
1973-05-14;13.0;13.13;12.75;12.75;2417.0
1973-05-15;13.13;13.63;13.13;13.13;1483.0
1973-05-16;13.13;13.75;13.13;13.13;967.0
1973-05-17;13.63;14.0;13.63;13.63;750.0
1973-05-18;13.38;13.38;12.75;12.75;2567.0
1973-05-21;12.75;12.75;12.38;12.38;2250.0
1973-05-22;12.5;13.13;12.5;12.5;833.0
1973-05-23;12.5;13.0;12.38;12.38;1133.0
1973-05-24;12.75;13.13;12.75;12.75;583.0
1973-05-25;12.75;13.13;12.75;12.75;967.0
1973-05-29;12.75;13.13;12.5;12.5;1733.0
1973-05-30;12.5;12.75;12.38;12.38;2500.0
1973-05-31;12.38;13.0;12.38;12.38;1417.0
1973-06-01;12.38;13.0;12.38;12.38;783.0
1973-06-04;12.38;12.75;12.38;12.38;683.0
1973-06-05;12.38;12.75;12.38;12.38;233.0
1973-06-06;12.38;12.75;12.13;12.13;1350.0
1973-06-07;12.38;12.75;12.38;12.38;483.0
1973-06-08;12.38;12.75;12.38;12.38;833.0
1973-06-11;12.38;12.75;12.38;12.38;367.0
1973-06-12;12.38;13.0;12.38;12.38;583.0
1973-06-13;12.38;12.75;12.38;12.38;783.0
1973-06-14;12.38;12.75;12.38;12.38;583.0
1973-06-15;12.38;12.5;12.0;12.0;3083.0
1973-06-18;12.13;12.75;12.13;12.13;1033.0
1973-06-19;12.13;12.75;12.13;12.13;1283.0
1973-06-20;12.13;12.75;12.13;12.13;750.0
1973-06-21;12.38;12.75;12.38;12.38;1200.0
1973-06-22;12.38;13.0;12.38;12.38;333.0
1973-06-25;12.38;13.0;12.38;12.38;333.0
1973-06-26;12.38;13.0;12.38;12.38;1733.0
1973-06-27;12.5;13.13;12.5;12.5;617.0
1973-06-28;12.5;13.13;12.5;12.5;333.0
1973-06-29;12.75;13.13;12.75;12.75;1383.0
1973-07-02;12.75;13.38;12.75;12.75;717.0
1973-07-03;13.13;13.63;13.13;13.13;1033.0
1973-07-05;13.63;14.0;13.63;13.63;1067.0
1973-07-06;13.63;14.0;13.38;13.38;333.0
1973-07-09;13.38;14.0;13.38;13.38;583.0
1973-07-10;13.75;14.38;13.75;13.75;1167.0
1973-07-11;14.0;14.63;14.0;14.0;1033.0
1973-07-12;15.25;15.88;15.25;15.25;1633.0
1973-07-13;15.25;15.63;15.0;15.0;1700.0
1973-07-16;15.0;15.25;14.63;14.63;1200.0
1973-07-17;14.63;15.25;14.63;14.63;1067.0
1973-07-18;14.63;15.25;14.63;14.63;483.0
1973-07-19;15.5;16.0;15.5;15.5;1317.0
1973-07-20;15.5;16.0;15.5;15.5;717.0
1973-07-23;15.5;15.63;15.0;15.0;1383.0
1973-07-24;15.25;15.63;15.25;15.25;1000.0
1973-07-25;15.25;15.63;15.25;15.25;1033.0
1973-07-26;15.63;16.25;15.63;15.63;1133.0
1973-07-27;15.63;16.0;15.63;15.63;867.0
1973-07-30;15.63;16.0;15.5;15.5;1133.0
1973-07-31;15.5;15.63;15.25;15.25;683.0
1973-08-01;15.25;15.63;15.25;15.25;1317.0
1973-08-02;15.5;16.0;15.5;15.5;583.0
1973-08-03;15.5;16.0;15.5;15.5;717.0
1973-08-06;15.5;16.0;15.5;15.5;867.0
1973-08-07;15.63;16.0;15.63;15.63;67.0
1973-08-08;15.63;16.0;15.5;15.5;833.0
1973-08-09;15.5;15.88;15.25;15.25;650.0
1973-08-10;15.25;15.63;15.25;15.25;517.0
1973-08-13;15.25;15.5;14.88;14.88;1283.0
1973-08-14;14.88;15.5;14.88;14.88;333.0
1973-08-15;14.88;15.5;14.88;14.88;33.0
1973-08-16;14.88;15.25;14.88;14.88;683.0
1973-08-17;14.88;15.25;14.88;14.88;133.0
1973-08-20;14.88;15.25;14.63;14.63;300.0
1973-08-21;14.63;15.0;14.38;14.38;450.0
1973-08-22;14.38;14.63;14.0;14.0;717.0
1973-08-23;14.38;15.0;14.38;14.38;683.0
1973-08-24;14.38;14.88;14.38;14.38;1550.0
1973-08-27;14.38;14.88;14.25;14.25;300.0
1973-08-28;14.25;14.88;14.25;14.25;67.0
1973-08-29;14.25;14.63;14.0;14.0;2083.0
1973-08-30;14.0;14.63;14.0;14.0;6350.0
1973-08-31;14.38;14.88;14.38;14.38;583.0
1973-09-04;14.38;14.88;14.38;14.38;517.0
1973-09-05;14.38;14.63;14.0;14.0;933.0
1973-09-06;14.0;14.38;14.0;14.0;900.0
1973-09-07;14.25;14.88;14.25;14.25;1967.0
1973-09-10;14.63;15.25;14.63;14.63;1417.0
1973-09-11;14.63;14.88;14.38;14.38;1200.0
1973-09-12;14.38;14.88;14.38;14.38;717.0
1973-09-13;14.38;14.88;14.25;14.25;1633.0
1973-09-14;14.38;14.88;14.38;14.38;100.0
1973-09-17;14.38;14.88;14.38;14.38;67.0
1973-09-18;14.38;14.88;14.38;14.38;483.0
1973-09-19;14.88;15.5;14.88;14.88;1167.0
1973-09-20;15.0;15.63;15.0;15.0;200.0
1973-09-21;15.0;15.63;15.0;15.0;967.0
1973-09-24;15.0;15.63;15.0;15.0;200.0
1973-09-25;15.0;15.63;15.0;15.0;67.0
1973-09-26;15.0;15.63;15.0;15.0;1733.0
1973-09-27;15.0;15.63;15.0;15.0;683.0
1973-09-28;15.0;15.63;15.0;15.0;300.0
1973-10-01;15.0;15.63;15.0;15.0;750.0
1973-10-02;15.25;15.63;15.25;15.25;100.0
1973-10-03;16.0;16.5;16.0;16.0;5200.0
