date;open;high;low;close;volume
1998-05-20;15.25;15.25;15.0;15.0;21867.0
1998-05-21;15.25;15.25;14.88;15.0;23133.0
1998-05-22;15.0;15.25;15.0;15.19;1467.0
1998-05-26;15.0;15.25;15.0;15.0;10533.0
1998-05-27;15.25;15.25;15.0;15.0;9400.0
1998-05-28;15.25;15.25;15.0;15.0;11067.0
1998-05-29;15.13;15.25;15.13;15.25;16400.0
1998-06-01;15.25;15.25;15.13;15.13;18667.0
1998-06-02;15.13;15.25;15.13;15.19;13600.0
1998-06-03;15.19;15.25;15.0;15.0;9400.0
1998-06-04;15.0;15.25;15.0;15.25;7333.0
1998-06-05;15.19;15.25;15.0;15.25;4667.0
1998-06-08;15.25;15.25;15.0;15.25;24733.0
1998-06-09;15.25;15.25;15.0;15.25;6067.0
1998-06-10;15.0;15.25;15.0;15.0;3600.0
1998-06-11;15.25;15.25;15.0;15.0;1000.0
1998-06-12;15.0;15.25;15.0;15.0;12867.0
1998-06-15;15.25;15.25;15.0;15.0;11933.0
1998-06-16;15.0;15.0;14.88;14.88;867.0
1998-06-17;15.25;15.25;14.88;15.25;2267.0
1998-06-18;14.75;15.25;14.75;15.25;467.0
1998-06-19;15.13;15.13;14.88;14.88;1000.0
1998-06-22;15.0;15.0;14.75;14.88;10067.0
1998-06-23;14.75;15.0;14.75;14.75;18067.0
1998-06-24;14.75;15.0;14.75;15.0;5400.0
1998-06-25;14.75;15.0;14.75;14.75;10267.0
1998-06-26;14.75;15.0;14.75;14.75;800.0
1998-06-29;14.75;14.75;14.5;14.75;4133.0
1998-06-30;14.5;14.75;14.5;14.5;4400.0
1998-07-01;14.5;15.0;14.5;14.5;3600.0
1998-07-02;14.5;14.75;14.25;14.75;12667.0
1998-07-06;14.38;14.75;14.0;14.0;12200.0
1998-07-07;14.0;14.5;14.0;14.5;9000.0
1998-07-08;14.0;14.5;14.0;14.25;4133.0
1998-07-09;14.0;14.25;14.0;14.25;6933.0
1998-07-10;14.0;14.75;14.0;14.63;27867.0
1998-07-13;14.38;14.75;14.37;14.75;13000.0
1998-07-14;14.38;14.75;14.38;14.75;2133.0
1998-07-15;14.38;15.0;14.38;14.5;5467.0
1998-07-16;15.0;15.0;14.5;14.5;4133.0
1998-07-17;14.5;16.0;14.5;15.5;26667.0
1998-07-20;16.0;16.0;15.25;15.63;1733.0
1998-07-21;15.0;15.63;15.0;15.63;5200.0
1998-07-22;15.63;15.63;15.25;15.63;2933.0
1998-07-23;15.5;15.5;15.13;15.13;2933.0
1998-07-24;15.13;15.13;15.13;15.13;0.0
1998-07-27;15.63;15.63;15.0;15.0;6133.0
1998-07-28;15.25;16.0;15.25;15.63;33000.0
1998-07-29;15.63;15.63;15.63;15.63;0.0
1998-07-30;15.25;15.75;15.25;15.25;1067.0
1998-07-31;15.38;15.38;15.25;15.25;600.0
1998-08-03;15.25;15.75;15.25;15.25;20800.0
1998-08-04;15.25;16.0;15.25;15.25;15067.0
1998-08-05;15.25;16.0;15.25;16.0;600.0
1998-08-06;15.25;16.0;15.25;15.63;7333.0
1998-08-07;15.5;15.88;15.5;15.88;1067.0
1998-08-10;16.0;16.0;15.5;16.0;3733.0
1998-08-11;15.75;15.94;15.5;15.88;13867.0
1998-08-12;15.75;15.94;15.5;15.88;7600.0
1998-08-13;16.0;16.13;15.5;15.94;2133.0
1998-08-14;16.25;16.25;15.63;16.13;3933.0
1998-08-17;15.75;15.75;15.75;15.75;67.0
1998-08-18;15.5;16.25;15.5;16.0;5400.0
1998-08-19;16.25;16.25;15.63;15.63;37133.0
1998-08-20;15.5;16.25;15.5;15.75;24333.0
1998-08-21;15.75;15.75;15.75;15.75;3133.0
1998-08-24;16.25;16.25;15.75;15.75;2267.0
1998-08-25;15.75;16.25;15.75;16.13;5200.0
1998-08-26;16.25;16.25;15.75;15.75;5467.0
1998-08-27;15.75;16.25;15.75;15.75;400.0
1998-08-28;16.25;16.25;15.75;15.75;467.0
1998-08-31;15.75;16.13;15.75;16.13;3000.0
1998-09-01;15.75;16.25;15.75;16.06;15600.0
1998-09-02;16.13;16.25;15.75;15.75;17667.0
1998-09-03;15.75;16.5;15.75;15.75;1067.0
1998-09-04;16.5;16.5;16.0;16.13;1200.0
1998-09-08;16.25;16.25;16.0;16.25;8467.0
1998-09-09;16.0;16.5;16.0;16.25;3133.0
1998-09-10;16.0;16.5;15.75;16.5;3133.0
1998-09-11;16.5;16.5;16.5;16.5;1467.0
1998-09-14;16.5;16.5;16.5;16.5;0.0
1998-09-15;16.13;16.13;16.0;16.0;3800.0
1998-09-16;15.88;16.25;15.88;16.25;467.0
1998-09-17;15.75;16.25;15.75;16.25;5467.0
1998-09-18;16.25;16.25;16.0;16.0;1467.0
1998-09-21;16.0;16.0;16.0;16.0;0.0
1998-09-22;16.25;16.25;16.25;16.25;267.0
1998-09-23;16.5;16.5;15.75;15.75;2933.0
1998-09-24;16.25;16.25;15.75;16.0;3000.0
1998-09-25;15.75;16.25;15.75;15.75;3800.0
1998-09-28;16.0;16.0;15.75;16.0;3000.0
1998-09-29;15.75;16.0;15.75;15.75;4400.0
1998-09-30;15.75;16.25;15.75;15.75;3733.0
1998-10-01;15.75;16.25;15.75;16.0;867.0
1998-10-02;16.0;16.0;16.0;16.0;1933.0
1998-10-05;15.75;16.0;15.75;15.75;5933.0
1998-10-06;16.25;16.25;15.75;15.75;600.0
1998-10-07;15.75;16.25;15.75;16.0;6267.0
1998-10-08;15.75;16.0;15.75;16.0;12800.0
1998-10-09;15.75;16.25;15.75;16.25;800.0
1998-10-12;16.25;16.25;16.25;16.25;2800.0
1998-10-13;16.0;16.25;16.0;16.25;1467.0
1998-10-14;16.25;16.25;16.25;16.25;0.0
1998-10-15;15.75;16.25;15.75;16.25;2667.0
1998-10-16;15.75;15.75;15.75;15.75;67.0
1998-10-19;15.75;16.25;15.75;16.25;1867.0
1998-10-20;15.75;15.75;15.75;15.75;3933.0
1998-10-21;15.75;16.25;15.75;16.13;10067.0
1998-10-22;15.75;16.25;15.75;15.75;1200.0
1998-10-23;15.88;16.25;15.75;16.13;3400.0
1998-10-26;15.75;16.25;15.75;16.25;10133.0
1998-10-27;16.75;16.75;16.0;16.75;3133.0
1998-10-28;16.0;16.0;16.0;16.0;1733.0
1998-10-29;16.0;16.5;16.0;16.5;2267.0
1998-10-30;16.75;17.5;16.25;16.75;6933.0
1998-11-02;16.25;16.25;16.25;16.25;4400.0
1998-11-03;16.5;16.5;15.75;15.75;1933.0
1998-11-04;15.75;16.25;15.75;16.25;1933.0
1998-11-05;16.25;16.25;16.25;16.25;200.0
1998-11-06;16.25;16.25;15.75;16.25;1667.0
1998-11-09;16.25;16.25;16.25;16.25;267.0
1998-11-10;16.0;16.0;16.0;16.0;2667.0
1998-11-11;16.25;16.25;16.0;16.0;1867.0
1998-11-12;16.25;16.5;16.0;16.5;2667.0
1998-11-13;16.0;16.5;16.0;16.13;12667.0
1998-11-16;16.13;16.13;16.13;16.13;1067.0
1998-11-17;15.75;16.5;15.75;16.0;5933.0
1998-11-18;15.75;16.5;15.75;16.25;3800.0
1998-11-19;16.5;16.5;16.5;16.5;467.0
1998-11-20;16.5;16.5;16.25;16.25;5667.0
1998-11-23;15.88;16.5;15.88;16.5;1733.0
1998-11-24;15.75;15.75;15.75;15.75;267.0
1998-11-25;16.0;16.5;15.75;15.75;4667.0
1998-11-27;15.75;15.75;15.75;15.75;0.0
1998-11-30;15.75;16.0;15.75;16.0;1867.0
1998-12-01;15.88;16.0;15.75;16.0;867.0
1998-12-02;16.0;16.0;16.0;16.0;0.0
1998-12-03;15.75;16.0;15.75;16.0;4667.0
1998-12-04;15.88;15.88;15.88;15.88;67.0
1998-12-07;15.88;16.25;15.88;16.25;400.0
1998-12-08;15.75;16.25;15.75;16.25;267.0
1998-12-09;16.25;16.25;16.25;16.25;67.0
1998-12-10;15.75;16.25;15.75;16.0;2667.0
1998-12-11;16.25;16.5;15.75;15.75;3400.0
1998-12-14;16.0;16.13;16.0;16.13;3533.0
1998-12-15;16.25;16.25;16.0;16.0;1733.0
1998-12-16;16.5;16.5;16.0;16.5;800.0
1998-12-17;16.5;16.5;15.75;15.75;3600.0
1998-12-18;16.5;16.5;16.5;16.5;267.0
1998-12-21;16.5;16.5;15.75;15.75;11800.0
1998-12-22;16.0;16.0;16.0;16.0;200.0
1998-12-23;15.88;16.5;15.88;16.0;800.0
1998-12-24;16.13;16.5;15.88;16.0;1200.0
1998-12-28;15.75;16.5;15.75;16.0;800.0
1998-12-29;16.5;16.5;15.75;15.75;2667.0
1998-12-30;16.0;16.0;15.75;16.0;467.0
1998-12-31;15.75;16.0;15.0;15.25;27133.0
1999-01-04;15.5;15.5;15.0;15.0;2667.0
1999-01-05;15.0;15.75;15.0;15.75;1000.0
1999-01-06;15.63;15.75;15.25;15.5;27933.0
1999-01-07;15.0;15.5;15.0;15.5;3000.0
1999-01-08;15.5;15.5;15.25;15.5;8867.0
1999-01-11;15.5;16.5;15.5;16.25;12000.0
1999-01-12;16.38;16.5;15.75;15.75;2667.0
1999-01-13;15.75;16.5;15.75;16.38;2267.0
1999-01-14;16.0;16.38;16.0;16.38;867.0
1999-01-15;16.0;16.5;16.0;16.0;867.0
1999-01-19;17.0;17.0;16.13;16.13;1867.0
1999-01-20;16.25;16.75;16.13;16.13;15733.0
1999-01-21;16.0;16.5;16.0;16.25;1000.0
1999-01-22;16.5;16.5;16.25;16.25;2800.0
1999-01-25;16.0;16.25;16.0;16.0;1933.0
1999-01-26;16.0;16.5;16.0;16.0;867.0
1999-01-27;16.0;16.0;16.0;16.0;67.0
1999-01-28;16.13;16.5;16.0;16.5;7733.0
1999-01-29;16.5;16.5;16.0;16.5;7200.0
1999-02-01;16.0;16.5;16.0;16.25;1667.0
1999-02-02;16.0;16.63;16.0;16.0;800.0
1999-02-03;16.63;16.63;16.0;16.0;467.0
1999-02-04;16.0;16.5;16.0;16.5;2267.0
1999-02-05;16.0;16.5;16.0;16.19;5867.0
1999-02-08;16.0;16.0;16.0;16.0;67.0
1999-02-09;16.0;16.0;16.0;16.0;2667.0
1999-02-10;16.38;16.38;16.0;16.0;400.0
1999-02-11;16.0;16.0;15.0;15.0;1000.0
1999-02-12;15.75;15.88;15.75;15.88;1933.0
1999-02-16;15.0;16.0;15.0;15.0;467.0
1999-02-17;15.0;15.38;14.75;15.38;2933.0
1999-02-18;15.0;15.0;14.75;15.0;1200.0
1999-02-19;15.5;15.5;14.75;14.75;467.0
1999-02-22;15.13;15.38;14.75;14.75;9400.0
1999-02-23;15.5;15.5;15.0;15.0;3800.0
1999-02-24;15.0;15.0;15.0;15.0;1000.0
1999-02-25;15.38;15.38;15.0;15.19;7133.0
1999-02-26;15.75;15.75;15.0;15.0;3733.0
1999-03-01;15.75;15.75;15.0;15.0;1000.0
1999-03-02;15.0;15.0;15.0;15.0;0.0
1999-03-03;15.0;15.13;15.0;15.0;1667.0
1999-03-04;15.0;15.0;15.0;15.0;0.0
1999-03-05;15.0;15.13;15.0;15.13;1067.0
1999-03-08;15.75;15.75;15.0;15.13;1933.0
1999-03-09;15.13;15.13;15.0;15.0;1467.0
1999-03-10;15.0;15.25;15.0;15.0;9000.0
1999-03-11;15.0;15.13;15.0;15.0;1000.0
1999-03-12;15.0;15.0;15.0;15.0;3000.0
1999-03-15;15.0;15.25;15.0;15.25;800.0
1999-03-16;15.0;15.25;15.0;15.25;267.0
1999-03-17;15.0;15.0;14.75;14.75;1667.0
1999-03-18;15.5;15.75;15.0;15.5;11933.0
1999-03-19;15.5;15.5;15.25;15.25;1467.0
1999-03-22;15.25;15.5;15.25;15.25;2267.0
1999-03-23;15.0;15.0;15.0;15.0;2133.0
1999-03-24;15.13;15.13;15.13;15.13;1067.0
1999-03-25;15.5;15.5;15.0;15.13;3533.0
1999-03-26;15.0;15.13;15.0;15.0;9867.0
1999-03-29;15.0;15.13;15.0;15.0;8800.0
1999-03-30;15.38;15.38;15.0;15.38;1000.0
1999-03-31;15.38;15.38;15.38;15.38;600.0
1999-04-01;15.38;15.38;15.13;15.13;1267.0
1999-04-05;15.0;15.38;15.0;15.0;9600.0
