date;open;high;low;close;volume
2001-11-30;16.76;16.98;16.25;16.62;818400.0
2001-12-03;16.64;16.64;15.75;16.2;823900.0
2001-12-04;16.04;16.04;14.74;14.95;700900.0
2001-12-05;15.15;16.17;15.05;16.1;1004100.0
2001-12-06;16.18;16.18;15.78;15.83;385400.0
2001-12-07;15.85;16.4;15.85;16.05;279700.0
2001-12-10;16.05;16.6;16.05;16.4;139500.0
2001-12-11;16.4;16.6;16.25;16.32;124800.0
2001-12-12;16.39;16.65;15.66;15.92;104300.0
2001-12-13;15.9;16.1;15.9;15.9;746900.0
2001-12-14;16.0;16.36;15.95;16.25;107900.0
2001-12-17;16.39;16.59;16.25;16.49;52400.0
2001-12-18;16.59;16.62;16.49;16.62;52900.0
2001-12-19;16.49;17.1;16.31;16.8;159500.0
2001-12-20;16.88;17.06;16.76;16.76;128800.0
2001-12-21;16.95;17.05;16.9;16.9;43600.0
2001-12-24;16.9;16.92;16.9;16.9;9500.0
2001-12-26;17.01;17.18;16.95;17.18;223200.0
2001-12-27;17.2;17.25;17.05;17.05;145400.0
2001-12-28;17.25;17.5;17.1;17.15;63400.0
2001-12-31;17.25;17.8;16.95;17.8;345600.0
2002-01-02;17.8;18.55;17.2;18.55;142300.0
2002-01-03;18.34;18.34;17.75;17.83;182200.0
2002-01-04;17.89;18.75;17.75;18.68;285300.0
2002-01-07;18.59;18.6;18.1;18.35;165300.0
2002-01-08;18.26;18.95;18.15;18.95;739100.0
2002-01-09;19.0;19.21;18.66;19.05;85600.0
2002-01-10;19.02;19.11;18.3;19.11;42600.0
2002-01-11;18.85;19.1;18.75;19.1;136900.0
2002-01-14;18.81;19.1;18.6;19.0;175000.0
2002-01-15;18.99;19.05;18.76;18.92;65500.0
2002-01-16;19.0;19.0;18.75;19.0;56500.0
2002-01-17;18.85;18.85;18.0;18.35;76100.0
2002-01-18;18.3;18.35;18.21;18.3;12200.0
2002-01-22;18.43;18.44;18.06;18.06;23400.0
2002-01-23;18.24;18.24;18.05;18.14;28600.0
2002-01-24;18.07;18.15;17.95;18.05;36800.0
2002-01-25;18.11;18.25;18.11;18.25;38700.0
2002-01-28;18.0;18.25;17.85;17.85;160900.0
2002-01-29;17.85;18.05;17.7;17.7;86900.0
2002-01-30;17.7;17.73;17.6;17.64;156400.0
2002-01-31;17.74;17.74;17.5;17.69;62000.0
2002-02-01;17.8;17.8;17.35;17.5;30600.0
2002-02-04;17.4;17.4;17.0;17.05;25600.0
2002-02-05;17.17;17.25;16.4;16.4;74800.0
2002-02-06;16.5;16.8;15.25;16.05;1075300.0
2002-02-07;16.04;16.04;15.4;15.66;158000.0
2002-02-08;15.7;16.1;15.65;16.1;134600.0
2002-02-11;16.1;16.3;16.0;16.05;29100.0
2002-02-12;16.0;16.11;16.0;16.0;25800.0
2002-02-13;16.0;16.14;15.35;15.8;236000.0
2002-02-14;15.7;16.34;15.6;16.34;285500.0
2002-02-15;16.05;16.55;16.05;16.48;138500.0
2002-02-19;16.45;16.65;16.08;16.2;185200.0
2002-02-20;16.45;16.45;16.15;16.45;111300.0
