date;open;high;low;close;volume
1997-01-13;9.03;9.03;9.03;9.03;8600.0
1997-01-14;9.03;9.03;9.03;9.03;0.0
1997-01-15;9.03;9.03;9.03;9.03;0.0
1997-01-16;9.03;9.03;9.03;9.03;0.0
1997-01-17;9.03;9.03;9.03;9.03;0.0
1997-01-20;9.03;9.03;9.03;9.03;0.0
1997-01-21;9.03;9.03;9.03;9.03;0.0
1997-01-22;9.03;9.03;9.03;9.03;0.0
1997-01-23;9.03;9.03;9.03;9.03;0.0
1997-01-24;9.03;9.03;9.03;9.03;0.0
1997-01-27;9.03;9.03;9.03;9.03;0.0
1997-01-28;9.03;9.03;9.0;9.03;6300.0
1997-01-29;9.03;9.03;9.03;9.03;0.0
1997-01-30;9.03;9.03;9.03;9.03;0.0
1997-01-31;9.03;9.03;9.03;9.03;0.0
1997-02-03;9.03;9.03;9.03;9.03;0.0
1997-02-04;9.03;9.03;9.03;9.03;0.0
1997-02-05;9.03;9.03;9.03;9.03;0.0
1997-02-06;9.03;9.03;9.03;9.03;0.0
1997-02-07;8.94;8.94;8.88;8.94;2400.0
1997-02-10;8.88;8.88;8.88;8.88;6000.0
1997-02-11;8.88;8.88;8.88;8.88;0.0
1997-02-12;8.88;8.88;8.88;8.88;1900.0
1997-02-13;8.88;8.88;8.88;8.88;200.0
1997-02-14;8.88;8.88;8.88;8.88;0.0
1997-02-18;8.88;8.88;8.88;8.88;1900.0
1997-02-19;8.88;8.88;8.88;8.88;0.0
1997-02-20;8.88;8.88;8.88;8.88;0.0
1997-02-21;8.88;8.88;8.88;8.88;0.0
1997-02-24;8.88;8.88;8.88;8.88;0.0
1997-02-25;8.88;8.88;8.88;8.88;0.0
1997-02-26;8.88;8.88;8.88;8.88;0.0
1997-02-27;8.88;8.88;8.88;8.88;0.0
1997-02-28;8.88;8.88;8.88;8.88;0.0
1997-03-03;8.88;8.88;8.88;8.88;0.0
1997-03-04;8.88;8.88;8.88;8.88;0.0
1997-03-05;8.88;8.88;8.88;8.88;0.0
1997-03-06;8.88;8.88;8.88;8.88;0.0
1997-03-07;8.88;8.88;8.88;8.88;0.0
1997-03-10;8.88;8.88;8.88;8.88;0.0
1997-03-11;8.88;8.88;8.88;8.88;0.0
1997-03-12;8.88;8.88;8.88;8.88;0.0
1997-03-13;8.88;8.88;8.88;8.88;0.0
1997-03-14;8.88;8.88;8.88;8.88;0.0
1997-03-17;8.875;8.875;8.875;8.875;900.0
1997-03-18;8.88;8.88;8.88;8.88;0.0
1997-03-19;8.88;8.88;8.88;8.88;0.0
1997-03-20;8.88;8.88;8.88;8.88;0.0
1997-03-21;8.88;8.88;8.88;8.88;0.0
1997-03-24;8.88;8.88;8.88;8.88;0.0
1997-03-25;8.875;8.875;8.875;8.875;12600.0
1997-03-26;9.063;9.063;9.0;9.063;3600.0
1997-03-27;9.06;9.06;9.06;9.06;0.0
1997-03-31;9.06;9.06;9.06;9.06;0.0
1997-04-01;9.06;9.06;9.06;9.06;0.0
1997-04-02;9.06;9.06;9.06;9.06;0.0
1997-04-03;9.06;9.06;9.06;9.06;0.0
1997-04-04;9.06;9.06;9.06;9.06;0.0
1997-04-07;9.0;9.0;9.0;9.0;1000.0
1997-04-08;9.063;9.063;9.0;9.063;4000.0
1997-04-09;9.06;9.06;9.06;9.06;0.0
1997-04-10;9.063;9.063;9.0;9.063;2000.0
1997-04-11;9.06;9.06;9.06;9.06;0.0
1997-04-14;9.06;9.06;9.06;9.06;0.0
1997-04-15;9.06;9.06;9.06;9.06;0.0
1997-04-16;9.063;9.063;9.0;9.063;2000.0
1997-04-17;9.188;9.188;9.188;9.188;500.0
1997-04-18;9.19;9.19;9.19;9.19;0.0
1997-04-21;9.25;9.25;9.188;9.25;6000.0
1997-04-22;9.25;9.25;9.25;9.25;0.0
1997-04-23;9.25;9.25;9.25;9.25;0.0
1997-04-24;9.25;9.25;9.25;9.25;0.0
1997-04-25;9.25;9.25;9.25;9.25;0.0
1997-04-28;9.25;9.25;9.25;9.25;0.0
1997-04-29;9.25;9.25;9.25;9.25;0.0
1997-04-30;9.25;9.25;9.25;9.25;0.0
1997-05-01;9.25;9.25;9.25;9.25;5000.0
1997-05-02;9.25;9.25;9.25;9.25;0.0
1997-05-05;9.25;9.25;9.25;9.25;0.0
1997-05-06;9.25;9.25;9.25;9.25;1900.0
1997-05-07;9.188;9.188;9.188;9.188;1000.0
1997-05-08;9.19;9.19;9.19;9.19;0.0
1997-05-09;9.25;9.25;9.188;9.25;8300.0
1997-05-12;9.25;9.25;9.25;9.25;0.0
1997-05-13;9.25;9.25;9.25;9.25;0.0
1997-05-14;9.25;9.25;9.25;9.25;0.0
1997-05-15;9.25;9.25;9.25;9.25;0.0
1997-05-16;9.25;9.25;9.188;9.25;4500.0
1997-05-19;9.25;9.25;9.25;9.25;0.0
1997-05-20;9.25;9.25;9.25;9.25;0.0
1997-05-21;9.25;9.25;9.25;9.25;0.0
1997-05-22;9.188;9.188;9.188;9.188;200.0
1997-05-23;9.19;9.19;9.19;9.19;0.0
1997-05-27;9.19;9.19;9.19;9.19;0.0
1997-05-28;9.19;9.19;9.19;9.19;0.0
1997-05-29;9.19;9.19;9.19;9.19;0.0
1997-05-30;9.19;9.19;9.19;9.19;0.0
1997-06-02;9.19;9.19;9.19;9.19;0.0
1997-06-03;9.19;9.19;9.19;9.19;0.0
1997-06-04;9.19;9.19;9.19;9.19;0.0
1997-06-05;9.25;9.25;9.188;9.25;2800.0
1997-06-06;9.25;9.25;9.25;9.25;0.0
1997-06-09;9.25;9.25;9.25;9.25;0.0
1997-06-10;9.25;9.25;9.25;9.25;0.0
1997-06-11;9.25;9.25;9.25;9.25;0.0
1997-06-12;9.25;9.25;9.25;9.25;0.0
1997-06-13;9.25;9.25;9.25;9.25;0.0
1997-06-16;9.25;9.25;9.25;9.25;0.0
1997-06-17;9.25;9.25;9.25;9.25;0.0
1997-06-18;9.25;9.25;9.25;9.25;0.0
1997-06-19;9.25;9.25;9.25;9.25;0.0
1997-06-20;9.188;9.188;9.188;9.188;200.0
1997-06-23;9.19;9.19;9.19;9.19;0.0
1997-06-24;9.25;9.25;9.25;9.25;200.0
1997-06-25;9.25;9.25;9.25;9.25;1000.0
1997-06-26;9.25;9.25;9.25;9.25;0.0
1997-06-27;9.188;9.188;9.188;9.188;500.0
1997-06-30;9.19;9.19;9.19;9.19;0.0
1997-07-01;9.19;9.19;9.19;9.19;0.0
1997-07-02;9.19;9.19;9.19;9.19;0.0
1997-07-03;9.19;9.19;9.19;9.19;0.0
1997-07-07;9.19;9.19;9.19;9.19;0.0
1997-07-08;9.19;9.19;9.19;9.19;0.0
1997-07-09;9.19;9.19;9.19;9.19;1300.0
1997-07-10;9.19;9.19;9.19;9.19;0.0
1997-07-11;9.19;9.19;9.19;9.19;0.0
1997-07-14;9.188;9.188;9.188;9.188;2100.0
1997-07-15;9.25;9.25;9.25;9.25;1300.0
1997-07-16;9.25;9.25;9.25;9.25;0.0
1997-07-17;9.25;9.25;9.25;9.25;0.0
1997-07-18;9.25;9.25;9.25;9.25;0.0
1997-07-21;9.25;9.25;9.25;9.25;0.0
1997-07-22;9.25;9.25;9.25;9.25;0.0
1997-07-23;9.188;9.188;9.188;9.188;200.0
1997-07-24;9.25;9.25;9.188;9.25;15000.0
1997-07-25;9.25;9.25;9.25;9.25;0.0
1997-07-28;9.25;9.25;9.25;9.25;0.0
1997-07-29;9.25;9.25;9.25;9.25;0.0
1997-07-30;9.25;9.25;9.25;9.25;0.0
1997-07-31;9.25;9.25;9.25;9.25;0.0
1997-08-01;9.25;9.25;9.25;9.25;0.0
1997-08-04;9.25;9.25;9.25;9.25;0.0
1997-08-05;9.25;9.25;9.25;9.25;0.0
1997-08-06;9.25;9.25;9.25;9.25;0.0
1997-08-07;9.25;9.25;9.25;9.25;10000.0
1997-08-08;9.25;9.25;9.25;9.25;0.0
1997-08-11;9.25;9.25;9.25;9.25;0.0
1997-08-12;9.25;9.25;9.25;9.25;0.0
1997-08-13;9.25;9.25;9.25;9.25;0.0
1997-08-14;9.25;9.25;9.25;9.25;0.0
1997-08-15;9.25;9.25;9.25;9.25;0.0
1997-08-18;9.25;9.25;9.25;9.25;500.0
1997-08-19;9.25;9.25;9.25;9.25;0.0
1997-08-20;9.25;9.25;9.25;9.25;0.0
1997-08-21;9.25;9.25;9.25;9.25;0.0
1997-08-22;9.25;9.25;9.25;9.25;0.0
1997-08-25;9.25;9.25;9.188;9.25;10000.0
1997-08-26;9.25;9.25;9.25;9.25;1100.0
1997-08-27;9.25;9.25;9.25;9.25;0.0
1997-08-28;9.25;9.25;9.25;9.25;0.0
1997-08-29;9.25;9.25;9.25;9.25;0.0
1997-09-02;9.25;9.25;9.25;9.25;0.0
1997-09-03;9.25;9.25;9.25;9.25;0.0
1997-09-04;9.25;9.25;9.25;9.25;0.0
1997-09-05;9.25;9.25;9.25;9.25;0.0
1997-09-08;9.25;9.25;9.25;9.25;0.0
1997-09-09;9.25;9.25;9.25;9.25;0.0
1997-09-10;9.25;9.25;9.25;9.25;0.0
1997-09-11;9.25;9.25;9.25;9.25;0.0
1997-09-12;9.25;9.25;9.25;9.25;0.0
1997-09-15;9.25;9.25;9.25;9.25;0.0
1997-09-16;9.25;9.25;9.25;9.25;0.0
1997-09-17;9.25;9.25;9.25;9.25;0.0
1997-09-18;9.25;9.25;9.25;9.25;0.0
1997-09-19;9.25;9.25;9.25;9.25;0.0
1997-09-22;9.25;9.25;9.25;9.25;0.0
1997-09-23;9.188;9.188;9.188;9.188;300.0
1997-09-24;9.19;9.19;9.19;9.19;0.0
1997-09-25;9.19;9.19;9.19;9.19;0.0
1997-09-26;9.25;9.25;9.188;9.25;2600.0
1997-09-29;9.25;9.25;9.188;9.25;22800.0
1997-09-30;9.25;9.25;9.25;9.25;0.0
1997-10-01;9.25;9.25;9.25;9.25;0.0
1997-10-02;9.25;9.25;9.25;9.25;0.0
1997-10-03;9.25;9.25;9.25;9.25;0.0
1997-10-06;9.25;9.25;9.25;9.25;0.0
1997-10-07;9.25;9.25;9.25;9.25;0.0
1997-10-08;9.25;9.25;9.25;9.25;0.0
1997-10-09;9.25;9.25;9.25;9.25;14000.0
1997-10-10;9.25;9.25;9.19;9.25;39000.0
1997-10-13;8.75;8.938;8.75;8.75;23100.0
1997-10-14;8.938;8.938;8.938;8.938;600.0
1997-10-15;8.875;9.25;8.875;8.875;1700.0
1997-10-16;8.938;8.938;8.875;8.938;6400.0
1997-10-17;8.94;8.94;8.94;8.94;0.0
1997-10-20;8.88;8.88;8.88;8.88;2800.0
1997-10-21;8.88;8.88;8.88;8.88;0.0
1997-10-22;8.88;8.88;8.88;8.88;0.0
1997-10-23;8.88;8.88;8.88;8.88;0.0
1997-10-24;8.88;8.88;8.88;8.88;0.0
1997-10-27;8.938;8.938;8.938;8.938;1400.0
1997-10-28;8.94;8.94;8.94;8.94;0.0
1997-10-29;8.94;8.94;8.94;8.94;0.0
1997-10-30;8.94;8.94;8.94;8.94;0.0
1997-10-31;8.94;8.94;8.94;8.94;0.0
1997-11-03;8.94;8.94;8.94;8.94;0.0
1997-11-04;8.94;8.94;8.94;8.94;0.0
1997-11-05;8.94;8.94;8.94;8.94;0.0
1997-11-06;8.94;8.94;8.94;8.94;0.0
1997-11-07;8.94;8.94;8.94;8.94;0.0
1997-11-10;8.94;8.94;8.94;8.94;0.0
1997-11-11;8.938;8.938;8.875;8.938;5000.0
1997-11-12;8.94;8.94;8.94;8.94;0.0
1997-11-13;8.94;8.94;8.94;8.94;0.0
1997-11-14;8.94;8.94;8.94;8.94;0.0
1997-11-17;8.94;8.94;8.94;8.94;0.0
1997-11-18;8.94;8.94;8.94;8.94;0.0
1997-11-19;8.94;8.94;8.94;8.94;0.0
1997-11-20;9.0;9.0;9.0;9.0;2000.0
1997-11-21;9.0;9.0;9.0;9.0;0.0
1997-11-24;9.0;9.0;9.0;9.0;0.0
1997-11-25;9.0;9.0;9.0;9.0;0.0
1997-11-26;9.0;9.0;9.0;9.0;0.0
1997-11-28;9.0;9.0;9.0;9.0;0.0
1997-12-01;9.0;9.0;9.0;9.0;0.0
1997-12-02;9.0;9.0;9.0;9.0;0.0
1997-12-03;9.0;9.0;9.0;9.0;0.0
1997-12-04;9.063;9.063;9.063;9.063;400.0
1997-12-05;9.063;9.063;9.063;9.063;400.0
1997-12-08;9.06;9.06;9.06;9.06;0.0
1997-12-09;9.06;9.06;9.06;9.06;0.0
1997-12-10;9.06;9.06;9.06;9.06;0.0
1997-12-11;9.06;9.06;9.06;9.06;0.0
1997-12-12;9.06;9.06;9.06;9.06;0.0
1997-12-15;9.06;9.06;9.06;9.06;0.0
1997-12-16;9.06;9.06;9.06;9.06;0.0
1997-12-17;9.06;9.06;9.06;9.06;0.0
1997-12-18;9.06;9.06;9.06;9.06;0.0
1997-12-19;9.06;9.06;9.06;9.06;0.0
1997-12-22;9.06;9.06;9.06;9.06;0.0
1997-12-23;9.06;9.06;9.06;9.06;0.0
1997-12-24;9.06;9.06;9.06;9.06;0.0
1997-12-26;9.125;9.125;9.063;9.125;6400.0
1997-12-29;9.12;9.12;9.12;9.12;0.0
1997-12-30;9.12;9.12;9.12;9.12;0.0
1997-12-31;9.12;9.12;9.12;9.12;0.0
1998-01-02;9.12;9.12;9.12;9.12;0.0
1998-01-05;9.12;9.12;9.12;9.12;0.0
1998-01-06;9.12;9.12;9.12;9.12;2200.0
1998-01-07;9.12;9.12;9.12;9.12;0.0
1998-01-08;9.12;9.12;9.12;9.12;0.0
1998-01-09;9.12;9.12;9.12;9.12;0.0
1998-01-12;9.12;9.12;9.12;9.12;0.0
1998-01-13;9.12;9.12;9.12;9.12;0.0
1998-01-14;9.12;9.12;9.12;9.12;0.0
1998-01-15;9.12;9.12;9.12;9.12;0.0
1998-01-16;9.12;9.12;9.12;9.12;0.0
1998-01-20;9.12;9.12;9.12;9.12;0.0
1998-01-21;9.12;9.12;9.12;9.12;0.0
1998-01-22;9.12;9.12;9.12;9.12;0.0
1998-01-23;9.12;9.12;9.12;9.12;0.0
1998-01-26;9.12;9.12;9.12;9.12;0.0
1998-01-27;9.12;9.12;9.12;9.12;0.0
1998-01-28;9.12;9.12;9.12;9.12;0.0
1998-01-29;9.12;9.12;9.12;9.12;0.0
