date;open;high;low;close;volume
1984-01-18;22.5;22.75;22.5;22.5;1137700.0
1984-01-19;23.25;23.75;23.25;23.25;373000.0
1984-01-20;23.75;24.0;23.75;23.75;245000.0
1984-01-23;22.75;22.75;22.5;22.5;150000.0
1984-01-24;22.5;22.62;22.5;22.5;144600.0
1984-01-25;22.62;22.88;22.62;22.62;119300.0
1984-01-26;22.0;22.0;21.75;21.75;147600.0
1984-01-27;21.12;21.12;21.0;21.0;96400.0
1984-01-30;19.88;19.88;19.75;19.75;86600.0
1984-01-31;19.5;19.5;19.38;19.38;71600.0
1984-02-01;19.62;19.75;19.62;19.62;94400.0
1984-02-02;19.62;19.75;19.62;19.62;35900.0
1984-02-03;19.38;19.38;19.12;19.12;58000.0
1984-02-06;18.75;18.75;18.62;18.62;74100.0
1984-02-07;18.62;19.0;18.62;18.62;39200.0
1984-02-08;19.12;19.38;19.12;19.12;48000.0
1984-02-09;19.12;19.25;19.0;19.0;58400.0
1984-02-10;20.5;20.75;20.5;20.5;72300.0
1984-02-13;22.25;22.5;22.25;22.25;83900.0
1984-02-14;23.25;23.38;23.25;23.25;104600.0
1984-02-15;23.25;23.5;23.25;23.25;57900.0
1984-02-16;23.5;23.75;23.5;23.5;67600.0
1984-02-17;23.5;23.5;23.38;23.38;88600.0
1984-02-21;23.12;23.12;23.0;23.0;23400.0
1984-02-22;23.0;23.12;22.88;22.88;17000.0
1984-02-23;22.25;22.25;22.0;22.0;98100.0
1984-02-24;23.75;23.88;23.75;23.75;35100.0
1984-02-27;24.88;25.12;24.88;24.88;94600.0
1984-02-28;24.75;24.75;24.62;24.62;79100.0
1984-02-29;25.12;25.38;25.12;25.12;45900.0
1984-03-01;24.88;24.88;24.62;24.62;54700.0
1984-03-02;24.62;24.75;24.62;24.62;37300.0
1984-03-05;23.88;23.88;23.62;23.62;38100.0
1984-03-06;23.12;23.12;22.88;22.88;21200.0
1984-03-07;22.0;22.0;21.75;21.75;41500.0
1984-03-08;21.75;21.88;21.75;21.75;51100.0
1984-03-09;21.88;22.0;21.88;21.88;29600.0
1984-03-12;22.25;22.38;22.25;22.25;20000.0
1984-03-13;23.0;23.12;23.0;23.0;34200.0
1984-03-14;23.5;23.75;23.5;23.5;19900.0
1984-03-15;23.5;23.75;23.5;23.5;1300.0
1984-03-16;24.25;24.5;24.25;24.25;40100.0
1984-03-19;24.25;24.38;24.25;24.25;9700.0
