date;open;high;low;close;volume
1987-12-30;48.0;49.38;47.75;48.5;207700.0
1987-12-31;48.0;49.5;47.75;49.5;187800.0
1988-01-04;49.75;50.88;49.75;50.5;320600.0
1988-01-05;50.0;50.88;50.0;50.38;125600.0
1988-01-06;50.13;50.38;49.5;49.88;280300.0
1988-01-07;49.63;49.75;48.63;49.75;130100.0
1988-01-08;49.5;49.5;45.5;45.5;121100.0
1988-01-11;46.0;46.5;45.5;46.5;148600.0
1988-01-12;46.75;47.0;45.25;47.0;108500.0
1988-01-13;47.75;48.75;46.75;47.88;95400.0
1988-01-14;48.38;48.38;47.38;47.5;101200.0
1988-01-15;48.75;49.75;48.25;48.25;95400.0
1988-01-18;48.25;49.25;48.13;49.25;78400.0
1988-01-19;49.0;49.38;48.25;48.25;131200.0
1988-01-20;48.0;48.75;48.0;48.63;123700.0
1988-01-21;49.0;51.5;48.0;49.75;180700.0
1988-01-22;49.75;50.5;49.38;50.5;72400.0
1988-01-25;50.0;50.25;49.38;49.75;128900.0
1988-01-26;50.0;50.0;49.75;50.0;61000.0
1988-01-27;49.75;49.75;49.0;49.5;148100.0
1988-01-28;49.75;49.75;49.25;49.63;428700.0
1988-01-29;49.75;49.88;49.25;49.63;181400.0
1988-02-01;50.0;50.75;50.0;50.25;161100.0
1988-02-02;50.25;50.25;49.63;50.13;63300.0
1988-02-03;50.5;50.75;49.88;50.38;111500.0
1988-02-04;51.25;51.25;49.63;49.75;153100.0
1988-02-05;49.63;49.75;49.0;49.0;103200.0
1988-02-08;48.75;49.88;48.75;49.38;67000.0
1988-02-09;49.5;49.88;48.75;49.5;80100.0
1988-02-10;49.88;50.38;49.0;50.38;204700.0
1988-02-11;50.5;50.75;49.5;49.75;202100.0
1988-02-12;49.5;50.38;49.5;50.0;105700.0
1988-02-16;49.5;49.88;49.5;49.75;82700.0
1988-02-17;49.63;49.88;49.25;49.25;84000.0
1988-02-18;49.13;49.75;49.13;49.13;55300.0
1988-02-19;49.5;50.5;49.38;50.5;162600.0
1988-02-22;50.38;52.25;50.38;52.0;123500.0
1988-02-23;53.25;54.0;52.0;52.75;140800.0
1988-02-24;52.25;52.88;52.0;52.25;35900.0
1988-02-25;52.38;52.88;50.5;50.75;85900.0
1988-02-26;50.75;51.13;50.25;51.0;121400.0
1988-02-29;51.0;52.75;51.0;52.5;135300.0
1988-03-01;52.75;52.75;51.38;52.0;191200.0
1988-03-02;52.25;52.38;51.5;52.13;131800.0
1988-03-03;52.25;52.38;52.0;52.13;162200.0
1988-03-04;52.13;53.38;51.5;53.13;302800.0
