date;open;high;low;close;volume
1992-02-26;14.0;15.5;14.0;15.5;4464.0
1992-02-27;15.0;15.5;14.25;14.25;6538.0
1992-02-28;14.25;15.5;14.25;15.0;5242.0
1992-03-02;14.5;15.5;14.25;15.5;5760.0
1992-03-03;14.25;15.5;14.25;14.5;18432.0
1992-03-04;14.25;15.0;14.25;14.5;13882.0
1992-03-05;14.25;15.5;14.0;14.0;6509.0
1992-03-06;14.0;15.25;13.5;13.5;12298.0
1992-03-09;15.0;15.5;13.5;15.5;16992.0
1992-03-10;14.25;15.5;14.25;14.25;4320.0
1992-03-11;14.25;15.0;13.5;14.25;18432.0
1992-03-12;15.0;15.0;13.5;15.0;346.0
1992-03-13;15.0;15.0;13.5;15.0;2938.0
1992-03-16;13.5;15.0;13.0;13.5;10944.0
1992-03-17;13.0;14.5;13.0;14.5;8093.0
1992-03-18;13.0;13.0;13.0;13.0;2189.0
1992-03-19;13.0;14.5;13.0;13.75;5213.0
1992-03-20;14.5;14.5;12.5;13.5;28512.0
1992-03-23;14.0;14.0;12.5;14.0;5789.0
1992-03-24;14.0;14.0;12.0;12.0;44122.0
1992-03-25;11.5;12.5;11.5;12.5;22896.0
1992-03-26;12.5;12.5;10.5;11.5;27274.0
1992-03-27;12.0;12.0;10.5;10.5;2333.0
1992-03-30;10.5;12.0;10.0;10.0;30413.0
1992-03-31;11.0;11.0;9.25;10.5;62208.0
1992-04-01;9.5;10.25;9.25;10.25;100858.0
1992-04-02;9.75;10.25;9.25;9.75;52013.0
1992-04-03;10.25;10.25;9.25;10.0;28282.0
1992-04-06;9.5;10.0;9.25;9.25;19008.0
1992-04-07;9.25;10.25;9.0;9.5;11376.0
1992-04-08;10.25;10.25;8.5;9.25;6106.0
1992-04-09;10.25;10.25;9.0;10.25;10944.0
1992-04-10;9.75;11.0;9.75;10.38;53770.0
1992-04-13;10.75;10.75;10.0;10.75;15552.0
1992-04-14;10.0;10.75;9.5;10.38;56333.0
1992-04-15;10.75;10.75;9.75;9.75;36000.0
1992-04-16;10.75;10.75;9.75;9.75;4896.0
1992-04-20;10.5;10.5;9.25;9.25;21600.0
1992-04-21;9.5;10.0;9.25;10.0;6509.0
1992-04-22;9.5;9.5;8.75;9.375;5760.0
1992-04-23;8.75;10.0;8.75;9.0;6509.0
1992-04-24;9.0;9.0;9.0;9.0;432.0
1992-04-27;9.875;9.875;8.25;8.25;15408.0
1992-04-28;8.0;9.25;7.25;7.5;24077.0
1992-04-29;7.0;8.0;7.0;7.75;11549.0
1992-04-30;7.0;8.75;7.0;8.5;37786.0
1992-05-01;7.25;8.5;7.25;8.5;20506.0
1992-05-04;7.25;8.5;7.25;7.5;16013.0
1992-05-05;8.0;8.75;7.75;7.75;36317.0
1992-05-06;8.5;8.75;7.75;8.375;11290.0
1992-05-07;8.0;9.0;8.0;8.125;7949.0
1992-05-08;7.75;9.0;7.75;7.75;20016.0
1992-05-11;9.0;9.0;7.75;9.0;2592.0
1992-05-12;7.75;9.0;7.75;7.75;15552.0
1992-05-13;8.5;8.5;7.375;7.75;22752.0
1992-05-14;7.25;8.0;7.25;7.5;9994.0
1992-05-15;7.25;7.75;7.25;7.75;12154.0
1992-05-18;7.75;7.75;7.25;7.375;11808.0
1992-05-19;7.25;7.75;7.25;7.75;3168.0
1992-05-20;7.75;7.75;7.25;7.25;4464.0
1992-05-21;7.75;7.75;6.0;6.25;88013.0
1992-05-22;6.75;6.75;6.0;6.0;46858.0
1992-05-26;6.0;6.5;5.875;6.0;137117.0
1992-05-27;5.75;6.5;5.75;6.25;48096.0
1992-05-28;6.5;6.5;5.5;6.0;16013.0
1992-05-29;6.5;7.0;6.0;6.25;37498.0
1992-06-01;6.75;7.25;6.25;7.25;46368.0
1992-06-02;6.25;7.25;6.25;6.75;199325.0
1992-06-03;6.75;7.0;6.5;6.5;71424.0
1992-06-04;6.5;7.0;6.5;7.0;86026.0
1992-06-05;6.5;7.0;6.5;6.75;95098.0
1992-06-08;6.5;6.75;6.5;6.5;41098.0
1992-06-09;6.5;6.75;6.25;6.25;45792.0
1992-06-10;6.75;6.75;6.25;6.75;48960.0
1992-06-11;6.625;7.0;6.5;7.0;17568.0
1992-06-12;6.5;7.5;6.5;7.5;115632.0
1992-06-15;7.5;7.5;6.75;6.75;53597.0
1992-06-16;7.125;7.75;7.0;7.5;62813.0
1992-06-17;7.75;7.75;6.75;7.25;58522.0
1992-06-18;6.75;7.25;6.5;6.5;5933.0
1992-06-19;7.25;7.25;6.75;7.25;19613.0
1992-06-22;7.25;7.25;6.75;7.0;16013.0
1992-06-23;6.5;7.0;6.5;6.5;11693.0
