date;open;high;low;close;volume
1990-03-26;5.62;5.62;5.62;5.62;1600.0
1990-03-27;5.75;5.88;5.75;5.75;7000.0
1990-03-28;6.0;6.0;6.0;6.0;400.0
1990-03-29;6.0;6.0;6.0;6.0;0.0
1990-03-30;5.88;6.0;5.88;6.0;500.0
1990-04-02;6.0;6.0;6.0;6.0;1800.0
1990-04-03;6.0;6.0;6.0;6.0;0.0
1990-04-04;5.62;5.62;5.62;5.62;300.0
1990-04-05;6.0;6.0;5.62;5.62;600.0
1990-04-06;5.75;5.75;5.75;5.75;2000.0
1990-04-09;5.75;5.75;5.75;5.75;0.0
1990-04-10;5.62;5.62;5.62;5.62;1400.0
1990-04-11;5.62;5.62;5.62;5.62;0.0
1990-04-12;6.0;6.0;5.62;5.62;1300.0
1990-04-16;6.0;6.0;5.62;5.62;5500.0
1990-04-17;5.25;6.0;5.25;6.0;6000.0
1990-04-18;5.25;6.0;5.25;5.88;3000.0
1990-04-19;5.88;5.88;5.25;5.88;2400.0
1990-04-20;5.88;5.88;5.88;5.88;0.0
1990-04-23;5.88;5.88;5.25;5.75;6300.0
1990-04-24;5.88;5.88;5.88;5.88;300.0
1990-04-25;5.88;5.88;5.88;5.88;0.0
1990-04-26;5.88;5.88;5.88;5.88;0.0
1990-04-27;5.88;5.88;5.88;5.88;200.0
1990-04-30;5.88;5.88;5.88;5.88;0.0
1990-05-01;5.88;5.88;5.88;5.88;0.0
1990-05-02;5.62;5.62;5.62;5.62;300.0
1990-05-03;5.62;6.0;5.62;5.62;4900.0
1990-05-04;6.0;6.0;6.0;6.0;200.0
1990-05-07;5.88;5.88;5.88;5.88;1000.0
1990-05-08;6.0;6.0;5.5;5.5;500.0
1990-05-09;5.88;5.88;5.5;5.88;10900.0
1990-05-10;5.88;5.88;5.88;5.88;500.0
1990-05-11;5.5;5.88;5.5;5.88;1000.0
1990-05-14;5.5;5.88;5.5;5.75;3000.0
1990-05-15;5.75;5.75;5.75;5.75;0.0
1990-05-16;5.5;5.62;5.5;5.62;3000.0
1990-05-17;5.62;5.62;5.62;5.62;0.0
1990-05-18;5.62;5.62;5.62;5.62;0.0
1990-05-21;5.62;5.62;5.62;5.62;0.0
1990-05-22;5.5;5.5;5.5;5.5;600.0
1990-05-23;5.5;5.5;5.5;5.5;0.0
1990-05-24;5.5;5.5;5.5;5.5;1500.0
1990-05-25;5.5;5.5;5.5;5.5;0.0
1990-05-29;5.5;5.5;5.5;5.5;0.0
1990-05-30;5.5;5.5;5.5;5.5;0.0
1990-05-31;5.5;5.5;5.5;5.5;0.0
1990-06-01;5.62;5.62;5.5;5.5;4000.0
1990-06-04;5.5;5.5;5.5;5.5;0.0
1990-06-05;5.5;5.5;5.5;5.5;0.0
1990-06-06;5.5;5.5;5.5;5.5;500.0
1990-06-07;5.5;5.5;5.5;5.5;0.0
1990-06-08;5.25;5.25;5.25;5.25;600.0
1990-06-11;5.5;5.5;5.5;5.5;500.0
1990-06-12;5.25;5.25;5.25;5.25;100.0
1990-06-13;5.25;5.25;5.25;5.25;0.0
1990-06-14;5.25;5.25;5.25;5.25;0.0
1990-06-15;5.38;5.38;5.12;5.12;5000.0
1990-06-18;5.0;5.0;5.0;5.0;1000.0
1990-06-19;5.38;5.38;5.0;5.25;3700.0
1990-06-20;5.25;5.25;5.25;5.25;300.0
1990-06-21;5.0;5.0;5.0;5.0;6200.0
1990-06-22;5.38;5.38;5.25;5.25;7000.0
1990-06-25;5.25;5.25;5.25;5.25;0.0
1990-06-26;5.38;5.38;5.38;5.38;4000.0
1990-06-27;5.38;5.38;5.38;5.38;1000.0
1990-06-28;5.38;5.38;5.38;5.38;500.0
1990-06-29;5.38;5.38;5.38;5.38;0.0
1990-07-02;5.38;5.38;5.38;5.38;500.0
1990-07-03;5.38;5.38;5.38;5.38;0.0
1990-07-05;5.38;5.38;5.38;5.38;0.0
1990-07-06;5.38;5.38;5.38;5.38;1000.0
1990-07-09;5.38;5.38;5.38;5.38;300.0
1990-07-10;5.38;5.5;5.12;5.5;14000.0
1990-07-11;5.5;5.5;5.5;5.5;0.0
1990-07-12;5.5;5.5;5.5;5.5;0.0
1990-07-13;5.5;5.5;5.5;5.5;0.0
1990-07-16;5.5;5.5;5.5;5.5;0.0
1990-07-17;5.5;5.5;5.5;5.5;0.0
1990-07-18;5.5;5.5;5.5;5.5;0.0
1990-07-19;5.5;5.5;5.5;5.5;0.0
1990-07-20;5.5;5.5;5.5;5.5;0.0
1990-07-23;5.5;5.5;5.5;5.5;0.0
1990-07-24;5.38;5.5;5.38;5.5;2800.0
1990-07-25;5.5;5.5;5.5;5.5;800.0
1990-07-26;5.5;5.5;5.12;5.12;3000.0
1990-07-27;5.12;5.12;5.12;5.12;0.0
1990-07-30;5.0;5.12;4.88;5.12;6800.0
1990-07-31;5.12;5.12;5.12;5.12;1000.0
1990-08-01;5.25;5.25;5.25;5.25;500.0
1990-08-02;5.25;5.25;5.25;5.25;0.0
1990-08-03;5.25;5.25;5.25;5.25;100.0
1990-08-06;5.25;5.25;5.25;5.25;0.0
1990-08-07;5.25;5.25;5.25;5.25;0.0
1990-08-08;4.75;5.38;4.75;5.38;1100.0
1990-08-09;5.38;5.38;5.38;5.38;0.0
1990-08-10;5.25;5.25;5.25;5.25;300.0
1990-08-13;5.25;5.25;5.25;5.25;200.0
1990-08-14;5.12;5.12;5.12;5.12;700.0
1990-08-15;5.12;5.12;5.12;5.12;0.0
1990-08-16;5.12;5.12;5.12;5.12;0.0
1990-08-17;5.12;5.12;4.75;4.75;1700.0
1990-08-20;5.0;5.0;5.0;5.0;1700.0
1990-08-21;5.0;5.0;5.0;5.0;0.0
1990-08-22;5.0;5.0;5.0;5.0;1000.0
1990-08-23;5.0;5.0;5.0;5.0;0.0
1990-08-24;5.0;5.0;5.0;5.0;0.0
1990-08-27;4.62;4.62;4.62;4.62;1000.0
1990-08-28;4.62;4.62;4.62;4.62;0.0
1990-08-29;4.62;4.62;4.62;4.62;0.0
1990-08-30;4.62;4.62;4.62;4.62;0.0
1990-08-31;4.62;4.62;4.62;4.62;0.0
1990-09-04;4.62;4.62;4.62;4.62;0.0
1990-09-05;4.62;4.62;4.62;4.62;0.0
1990-09-06;4.62;4.62;4.62;4.62;500.0
1990-09-07;5.0;5.0;5.0;5.0;500.0
1990-09-10;5.0;5.0;5.0;5.0;0.0
1990-09-11;5.0;5.0;5.0;5.0;0.0
1990-09-12;5.0;5.0;5.0;5.0;0.0
1990-09-13;5.0;5.0;4.88;4.88;2400.0
1990-09-14;4.88;4.88;4.88;4.88;500.0
1990-09-17;4.88;4.88;4.88;4.88;0.0
1990-09-18;4.88;4.88;4.88;4.88;0.0
1990-09-19;4.88;4.88;4.88;4.88;0.0
1990-09-20;4.88;4.88;4.88;4.88;0.0
1990-09-21;4.88;4.88;4.88;4.88;0.0
1990-09-24;4.88;4.88;4.88;4.88;800.0
1990-09-25;4.88;4.88;4.88;4.88;0.0
1990-09-26;4.88;5.25;4.88;5.25;1900.0
1990-09-27;5.25;5.25;5.25;5.25;0.0
1990-09-28;5.25;5.25;5.25;5.25;0.0
1990-10-01;5.12;5.12;5.12;5.12;600.0
1990-10-02;5.12;5.12;5.12;5.12;0.0
1990-10-03;5.12;5.12;5.12;5.12;0.0
1990-10-04;5.12;5.12;5.12;5.12;0.0
1990-10-05;5.12;5.12;5.12;5.12;0.0
1990-10-08;5.12;5.12;5.12;5.12;0.0
1990-10-09;5.12;5.12;5.12;5.12;0.0
1990-10-10;4.75;4.88;4.75;4.88;2300.0
1990-10-11;4.88;4.88;4.88;4.88;0.0
1990-10-12;4.88;4.88;4.88;4.88;0.0
1990-10-15;5.0;5.0;5.0;5.0;1000.0
1990-10-16;5.0;5.0;5.0;5.0;0.0
1990-10-17;5.0;5.0;5.0;5.0;300.0
1990-10-18;5.0;5.0;5.0;5.0;0.0
1990-10-19;5.0;5.0;5.0;5.0;0.0
1990-10-22;5.0;5.0;4.88;4.88;600.0
1990-10-23;5.0;5.0;4.75;4.75;400.0
1990-10-24;4.75;4.75;4.75;4.75;0.0
1990-10-25;4.75;4.75;4.75;4.75;100.0
1990-10-26;4.75;4.75;4.75;4.75;0.0
1990-10-29;4.75;4.75;4.75;4.75;0.0
1990-10-30;4.75;4.75;4.75;4.75;0.0
1990-10-31;4.75;4.75;4.75;4.75;600.0
1990-11-01;4.75;5.0;4.5;5.0;8800.0
1990-11-02;4.5;4.75;4.5;4.75;2000.0
1990-11-05;4.75;4.75;4.75;4.75;0.0
1990-11-06;4.75;4.75;4.75;4.75;0.0
1990-11-07;5.0;5.0;5.0;5.0;200.0
1990-11-08;5.0;5.0;4.62;4.62;1200.0
1990-11-09;4.62;4.62;4.62;4.62;0.0
1990-11-12;4.62;4.62;4.62;4.62;0.0
1990-11-13;4.62;4.62;4.62;4.62;0.0
1990-11-14;4.62;4.62;4.62;4.62;0.0
1990-11-15;4.62;4.62;4.62;4.62;0.0
1990-11-16;4.62;4.62;4.62;4.62;0.0
1990-11-19;4.88;4.88;4.62;4.62;2200.0
1990-11-20;4.5;4.5;4.5;4.5;1800.0
1990-11-21;4.38;4.38;4.25;4.25;1000.0
1990-11-23;4.25;4.25;4.25;4.25;0.0
1990-11-26;4.25;4.25;4.25;4.25;0.0
1990-11-27;4.25;4.25;4.25;4.25;1400.0
1990-11-28;4.38;4.38;4.38;4.38;4000.0
1990-11-29;4.38;4.38;4.38;4.38;0.0
1990-11-30;4.38;4.38;4.38;4.38;0.0
1990-12-03;4.38;4.38;4.38;4.38;0.0
1990-12-04;4.38;4.38;4.38;4.38;0.0
1990-12-05;4.38;4.38;4.38;4.38;0.0
1990-12-06;4.38;4.75;4.38;4.75;1200.0
1990-12-07;4.75;4.75;4.75;4.75;1500.0
1990-12-10;4.5;4.5;4.5;4.5;2000.0
1990-12-11;4.5;4.75;4.5;4.75;600.0
1990-12-12;4.5;4.5;4.5;4.5;300.0
1990-12-13;4.5;4.75;4.5;4.5;3300.0
1990-12-14;4.5;4.62;4.38;4.5;16100.0
1990-12-17;4.5;4.5;4.5;4.5;0.0
1990-12-18;4.75;4.75;4.75;4.75;300.0
1990-12-19;4.75;4.75;4.75;4.75;0.0
1990-12-20;4.75;4.75;4.75;4.75;0.0
1990-12-21;4.75;4.75;4.75;4.75;0.0
1990-12-24;4.62;4.62;4.62;4.62;1600.0
1990-12-26;4.62;4.62;4.62;4.62;0.0
1990-12-27;4.62;4.62;4.62;4.62;0.0
1990-12-28;4.25;4.5;4.25;4.5;1800.0
1990-12-31;4.62;4.62;4.38;4.38;4300.0
1991-01-02;4.25;4.5;4.25;4.5;3500.0
1991-01-03;4.5;4.5;4.5;4.5;0.0
1991-01-04;4.5;4.5;4.5;4.5;0.0
1991-01-07;4.5;4.5;4.5;4.5;0.0
1991-01-08;4.5;4.5;4.5;4.5;0.0
1991-01-09;4.5;4.5;4.5;4.5;7500.0
1991-01-10;4.38;4.75;4.38;4.75;2000.0
1991-01-11;4.75;4.75;4.75;4.75;0.0
1991-01-14;4.38;4.5;4.38;4.5;2300.0
1991-01-15;4.75;4.75;4.75;4.75;1100.0
1991-01-16;4.75;4.75;4.75;4.75;400.0
1991-01-17;4.75;4.75;4.75;4.75;0.0
1991-01-18;4.75;4.75;4.75;4.75;0.0
1991-01-21;4.75;4.75;4.5;4.5;1200.0
1991-01-22;4.5;4.5;4.5;4.5;0.0
1991-01-23;4.38;4.38;4.38;4.38;1300.0
1991-01-24;4.38;4.38;4.38;4.38;0.0
1991-01-25;4.38;4.38;4.38;4.38;0.0
1991-01-28;4.75;4.75;4.75;4.75;1200.0
1991-01-29;4.75;4.75;4.5;4.5;1700.0
1991-01-30;4.5;4.62;4.5;4.62;800.0
1991-01-31;4.62;4.62;4.62;4.62;0.0
1991-02-01;4.62;4.62;4.62;4.62;0.0
1991-02-04;4.5;4.5;4.5;4.5;1400.0
1991-02-05;4.5;4.5;4.5;4.5;0.0
1991-02-06;4.75;4.75;4.75;4.75;4500.0
1991-02-07;4.75;4.75;4.75;4.75;1000.0
1991-02-08;4.75;4.75;4.75;4.75;0.0
1991-02-11;4.75;5.12;4.75;4.75;1000.0
1991-02-12;4.75;4.75;4.75;4.75;0.0
1991-02-13;5.0;5.0;5.0;5.0;600.0
1991-02-14;5.0;5.0;5.0;5.0;600.0
1991-02-15;5.0;5.0;5.0;5.0;0.0
1991-02-19;5.0;5.0;5.0;5.0;0.0
