date;open;high;low;close;volume
2013-03-20;20.3;22.25;19.9;19.98;9985900.0
2013-03-21;19.98;20.17;19.21;19.21;981900.0
2013-03-22;19.42;19.6;17.71;18.45;722200.0
2013-03-25;18.4;20.15;18.4;19.7;674400.0
2013-03-26;19.85;20.1;19.17;20.06;198800.0
2013-03-27;20.0;20.34;19.56;20.08;159000.0
2013-03-28;20.39;20.4;19.69;19.82;93000.0
2013-04-01;19.8;20.18;19.505;20.1;138200.0
2013-04-02;19.97;19.97;18.86;19.23;208400.0
2013-04-03;19.03;19.09;18.33;19.09;187400.0
2013-04-04;18.99;19.87;18.808;19.38;228100.0
2013-04-05;19.03;19.4975;18.63;19.42;68400.0
2013-04-08;19.67;19.87;19.23;19.5;83900.0
2013-04-09;19.37;19.54;19.2;19.27;55200.0
2013-04-10;19.1;19.74;19.1;19.65;172400.0
2013-04-11;19.9;19.901;19.4;19.5;92100.0
2013-04-12;19.21;20.69;19.21;20.54;248000.0
2013-04-15;20.86;21.0;19.6;19.92;287200.0
2013-04-16;20.12;20.5;19.45;20.03;153200.0
2013-04-17;19.82;20.04;19.75;20.03;178700.0
2013-04-18;20.05;20.7;20.05;20.17;142200.0
2013-04-19;20.36;20.819;19.97;20.49;229800.0
2013-04-22;20.67;20.67;19.75;19.86;70600.0
2013-04-23;19.98;20.24;19.8;19.86;58100.0
2013-04-24;19.97;20.0;18.89;19.65;155500.0
2013-04-25;19.78;19.995;19.27;19.74;79200.0
2013-04-26;19.75;19.75;19.2;19.56;51600.0
2013-04-29;19.78;19.95;19.5;19.8;62500.0
2013-04-30;19.89;20.15;19.44;19.78;106400.0
2013-05-01;19.78;19.83;19.25;19.41;43300.0
2013-05-02;19.59;19.85;19.5;19.61;31400.0
2013-05-03;19.72;20.14;19.51;19.89;69100.0
2013-05-06;19.77;19.95;19.5734;19.76;57500.0
2013-05-07;19.67;20.2;19.59;19.83;122300.0
2013-05-08;20.2;20.239;18.78;18.93;98400.0
2013-05-09;19.15;19.42;18.92;19.25;116700.0
2013-05-10;19.26;19.39;19.02;19.19;198700.0
