date;open;high;low;close;volume
1999-08-05;22.88;27.25;21.0;22.75;1.0148E7
1999-08-06;21.94;23.62;21.5;21.88;1685200.0
1999-08-09;22.5;22.75;19.75;20.0;1232000.0
1999-08-10;20.0;21.62;19.75;21.44;1192400.0
1999-08-11;22.62;23.06;21.0;23.06;353600.0
1999-08-12;23.12;24.88;22.0;24.12;932800.0
1999-08-13;24.12;27.75;24.12;26.88;966800.0
1999-08-16;27.12;44.69;26.62;40.75;3032000.0
1999-08-17;40.0;40.0;34.0;38.25;877200.0
1999-08-18;38.0;42.0;35.25;36.0;522000.0
1999-08-19;35.0;36.0;32.62;33.25;397600.0
1999-08-20;33.44;34.12;29.75;30.0;348400.0
1999-08-23;30.75;39.5;30.62;39.25;569600.0
1999-08-24;38.12;46.12;37.0;45.5;897200.0
1999-08-25;46.12;50.88;45.88;50.5;755600.0
1999-08-26;50.31;50.31;41.12;43.5;444800.0
1999-08-27;43.0;44.94;37.0;39.38;334400.0
1999-08-30;40.38;45.5;35.0;43.0;420400.0
1999-08-31;43.62;52.88;38.75;52.62;933600.0
1999-09-01;48.5;53.0;47.56;52.06;548000.0
1999-09-02;48.12;55.25;47.06;52.31;372400.0
1999-09-03;56.0;56.0;52.25;52.75;196800.0
1999-09-07;51.25;51.62;45.94;47.5;281600.0
1999-09-08;51.56;52.62;44.38;44.62;788000.0
1999-09-09;46.5;46.75;42.25;43.69;210800.0
1999-09-10;44.5;50.0;40.0;49.5;465600.0
1999-09-13;47.38;55.0;46.75;54.56;475200.0
1999-09-14;52.75;59.88;52.56;57.75;502000.0
1999-09-15;58.38;59.38;55.06;56.22;187200.0
1999-09-16;56.19;56.25;49.0;51.44;294400.0
1999-09-17;51.5;51.75;48.75;51.5;71200.0
1999-09-20;51.06;55.88;49.88;52.0;182400.0
1999-09-21;52.5;53.5;50.0;50.31;154000.0
1999-09-22;50.25;53.62;47.0;53.0;338400.0
1999-09-23;53.12;54.25;49.0;49.25;125600.0
1999-09-24;49.25;49.28;45.56;47.12;309600.0
1999-09-27;51.0;51.94;47.5;47.94;100000.0
1999-09-28;49.0;51.0;44.69;49.69;381600.0
1999-09-29;49.56;51.06;48.0;50.88;393600.0
1999-09-30;50.0;54.5;41.69;41.69;619600.0
1999-10-01;44.0;49.25;39.88;41.94;686000.0
1999-10-04;44.19;46.19;43.0;44.62;200000.0
1999-10-05;45.56;48.75;42.88;47.0;297600.0
1999-10-06;46.0;48.94;45.88;48.75;182000.0
1999-10-07;48.75;51.5;47.62;50.5;225200.0
1999-10-08;49.81;50.0;46.81;49.12;125600.0
1999-10-11;49.75;50.12;47.5;48.12;64000.0
1999-10-12;48.0;48.0;45.38;45.88;214000.0
1999-10-13;45.0;45.75;40.88;41.5;209200.0
1999-10-14;42.19;42.5;40.75;42.0;174400.0
1999-10-15;40.94;41.5;37.25;37.31;229600.0
1999-10-18;37.94;39.0;34.0;35.94;290800.0
1999-10-19;37.5;38.31;34.75;35.0;266400.0
1999-10-20;35.97;37.62;33.75;34.5;203200.0
1999-10-21;34.12;34.97;33.0;33.62;140400.0
1999-10-22;34.44;40.12;33.69;39.5;545200.0
1999-10-25;38.38;44.56;37.75;42.06;388800.0
1999-10-26;46.5;48.62;45.62;45.75;857600.0
1999-10-27;46.81;47.0;45.12;46.0;171600.0
1999-10-28;45.75;47.12;45.69;47.0;131600.0
1999-10-29;47.25;47.75;46.31;46.94;284000.0
1999-11-01;47.5;49.38;47.0;48.0;326800.0
1999-11-02;47.25;48.0;45.0;46.12;285600.0
1999-11-03;46.75;48.75;46.38;47.0;263200.0
1999-11-04;47.75;48.0;45.62;46.38;250000.0
1999-11-05;47.25;48.12;47.0;47.75;71200.0
1999-11-08;46.56;59.0;46.53;59.0;515200.0
1999-11-09;57.88;60.81;55.25;56.0;379200.0
1999-11-10;53.44;55.38;52.69;53.75;155600.0
1999-11-11;53.88;56.62;53.5;55.25;128400.0
1999-11-12;56.0;56.75;54.25;55.12;151600.0
1999-11-15;55.47;56.62;55.0;55.62;138000.0
1999-11-16;56.75;56.75;54.0;54.75;146000.0
1999-11-17;54.25;54.88;53.62;53.75;133200.0
1999-11-18;53.94;54.0;53.0;53.88;534800.0
1999-11-19;53.75;55.62;52.44;55.0;154400.0
1999-11-22;56.25;59.25;56.12;58.62;316400.0
1999-11-23;60.25;87.5;59.56;77.0;1422800.0
1999-11-24;78.0;78.12;69.25;71.19;266000.0
1999-11-26;72.94;73.62;70.5;73.0;27600.0
1999-11-29;73.5;74.0;68.12;69.62;98400.0
1999-11-30;69.62;70.75;64.0;65.25;156800.0
1999-12-01;64.75;73.44;64.75;68.0;269200.0
1999-12-02;67.5;78.5;67.5;75.06;101200.0
1999-12-03;76.94;78.88;75.06;76.0;67600.0
1999-12-06;75.69;82.75;72.0;82.75;83600.0
1999-12-07;87.0;93.0;84.5;89.88;219200.0
1999-12-08;89.0;90.0;84.5;88.25;88800.0
1999-12-09;88.5;107.0;88.5;98.75;192400.0
1999-12-10;99.25;109.0;96.88;100.0;132800.0
1999-12-13;98.38;100.5;93.0;94.5;105200.0
1999-12-14;94.0;97.88;93.5;94.0;50800.0
1999-12-15;93.0;94.25;85.75;85.75;42000.0
1999-12-16;91.75;92.88;82.25;82.69;389600.0
1999-12-17;70.0;80.25;68.0;74.88;1201600.0
1999-12-20;76.5;82.5;76.0;79.12;98800.0
1999-12-21;79.88;80.75;79.06;80.5;142800.0
1999-12-22;79.75;85.0;79.75;85.0;105200.0
1999-12-23;86.0;91.0;83.75;86.0;76800.0
1999-12-27;84.81;90.72;73.5;83.0;318800.0
1999-12-28;83.12;86.25;80.38;81.88;140800.0
1999-12-29;80.25;80.5;77.06;78.38;60000.0
1999-12-30;79.5;79.5;66.25;68.38;204800.0
1999-12-31;75.0;75.0;71.0;74.25;101600.0
2000-01-03;75.94;77.0;69.56;74.0;476000.0
2000-01-04;73.97;74.0;68.0;69.0;82400.0
2000-01-05;68.31;70.5;62.5;69.0;124000.0
2000-01-06;69.31;70.5;61.75;68.25;189600.0
2000-01-07;67.0;69.62;64.25;67.06;77600.0
2000-01-10;69.25;71.0;68.38;71.0;102800.0
2000-01-11;74.12;92.0;73.5;90.81;437600.0
2000-01-12;82.25;84.88;77.12;83.0;303200.0
2000-01-13;83.5;89.62;81.5;88.25;241200.0
2000-01-14;89.25;91.0;87.0;88.12;130400.0
2000-01-18;88.12;88.38;81.5;81.5;138400.0
2000-01-19;84.97;84.97;78.88;78.88;104800.0
2000-01-20;78.88;81.5;77.5;78.44;125200.0
2000-01-21;77.5;83.81;76.66;82.94;134000.0
2000-01-24;84.88;103.0;83.5;96.5;608800.0
2000-01-25;95.0;126.38;95.0;122.25;743600.0
2000-01-26;114.0;138.0;114.0;121.02;1011200.0
2000-01-27;108.38;110.0;100.0;100.88;4923600.0
2000-01-28;97.0;99.06;94.75;95.94;1237600.0
2000-01-31;94.0;101.06;81.0;97.56;1217200.0
2000-02-01;91.0;95.0;88.0;90.12;1431600.0
2000-02-02;90.0;90.88;88.0;89.25;1103600.0
2000-02-03;91.0;106.5;89.5;105.38;1281600.0
2000-02-04;103.38;105.5;98.5;102.75;922000.0
2000-02-07;103.0;105.38;98.06;102.5;332000.0
2000-02-08;102.88;106.0;99.88;100.0;315600.0
2000-02-09;103.12;104.88;100.25;103.75;269600.0
2000-02-10;104.0;105.0;100.38;102.5;172400.0
2000-02-11;105.0;105.12;92.81;93.62;197600.0
2000-02-14;97.0;97.5;93.44;94.88;197600.0
2000-02-15;96.62;97.0;87.75;89.12;435600.0
2000-02-16;89.5;92.0;78.0;85.0;825600.0
2000-02-17;84.75;85.38;78.0;79.5;350800.0
2000-02-18;80.0;80.06;67.0;76.5;2124400.0
2000-02-22;79.06;79.12;75.62;77.0;1338800.0
2000-02-23;77.0;86.5;77.0;85.0;1452400.0
2000-02-24;85.0;85.0;79.62;80.75;505200.0
2000-02-25;80.62;80.75;75.0;76.38;322000.0
2000-02-28;76.5;76.94;71.5;72.12;562400.0
2000-02-29;72.88;74.0;67.38;68.31;657200.0
2000-03-01;67.88;70.5;59.0;68.0;1369200.0
2000-03-02;69.56;69.62;59.88;60.5;634800.0
2000-03-03;60.38;65.88;56.5;62.0;1530800.0
2000-03-06;67.5;72.0;63.5;64.5;794400.0
2000-03-07;66.75;67.12;58.0;59.69;742000.0
2000-03-08;61.91;64.44;53.0;61.25;850000.0
2000-03-09;62.69;64.0;59.0;59.62;897600.0
2000-03-10;60.94;61.38;56.25;57.72;916000.0
2000-03-13;55.62;60.12;54.0;57.75;598400.0
2000-03-14;60.12;60.5;51.0;51.56;725200.0
2000-03-15;55.0;55.12;51.0;54.94;294800.0
2000-03-16;55.0;56.25;47.5;48.88;1811600.0
2000-03-17;50.75;50.75;46.38;47.31;699200.0
2000-03-20;45.88;46.25;39.5;40.19;941600.0
2000-03-21;40.06;41.0;34.0;36.88;1350000.0
2000-03-22;38.19;41.0;37.56;39.5;1405200.0
2000-03-23;39.34;39.62;35.0;35.62;919600.0
2000-03-24;41.0;49.75;40.0;47.81;4544800.0
2000-03-27;50.0;51.44;46.0;49.75;1090400.0
2000-03-28;49.25;49.5;44.88;45.12;415600.0
2000-03-29;47.12;48.0;41.88;46.06;668000.0
2000-03-30;45.0;45.75;42.0;45.0;527200.0
2000-03-31;46.12;51.5;44.0;48.75;667600.0
2000-04-03;48.94;49.0;45.25;46.06;668800.0
2000-04-04;46.75;46.88;32.5;40.12;1434400.0
2000-04-05;38.0;39.12;34.75;36.75;829200.0
2000-04-06;40.0;41.5;37.0;39.0;789200.0
2000-04-07;40.75;40.75;37.56;38.62;516800.0
2000-04-10;40.25;40.25;33.38;33.88;501600.0
2000-04-11;31.75;33.0;30.0;31.31;765600.0
2000-04-12;31.25;31.31;22.75;23.5;2032000.0
2000-04-13;26.0;26.88;23.0;23.5;1496400.0
2000-04-14;23.19;25.0;19.81;20.5;1270000.0
2000-04-17;20.25;22.88;20.0;20.44;870000.0
2000-04-18;21.06;27.31;20.5;26.0;1382800.0
2000-04-19;26.5;27.25;23.0;23.75;741200.0
2000-04-20;24.25;25.12;23.88;24.62;1166000.0
2000-04-24;24.5;24.5;20.62;21.75;747600.0
2000-04-25;19.97;20.38;18.0;19.5;1478400.0
2000-04-26;19.0;19.0;15.12;15.5;3169200.0
2000-04-27;14.88;16.88;14.06;16.62;3783200.0
2000-04-28;17.5;18.5;17.38;18.25;1906800.0
2000-05-01;22.75;24.5;21.81;22.88;3675600.0
2000-05-02;22.88;26.0;22.31;24.94;2628000.0
2000-05-03;25.34;25.62;21.94;23.12;1542400.0
2000-05-04;25.25;25.5;21.5;22.0;2494000.0
2000-05-05;22.06;25.75;21.88;25.75;2048000.0
2000-05-08;25.5;26.8;24.5;26.38;1344800.0
2000-05-09;27.0;27.31;23.94;24.88;1057200.0
2000-05-10;24.0;25.0;23.5;23.81;1076000.0
2000-05-11;24.5;27.0;24.25;27.0;797200.0
2000-05-12;27.88;30.0;27.25;28.73;1977200.0
2000-05-15;28.56;30.44;27.88;30.19;884800.0
2000-05-16;30.25;30.38;29.5;30.12;1385600.0
2000-05-17;29.25;31.0;29.12;30.88;676000.0
2000-05-18;30.5;30.69;27.5;28.0;329200.0
2000-05-19;27.75;28.12;25.75;25.81;616400.0
2000-05-22;26.75;26.94;23.56;24.62;1033600.0
2000-05-23;24.81;26.38;23.75;24.0;262800.0
2000-05-24;24.25;25.0;23.0;24.06;528400.0
2000-05-25;24.5;24.81;21.88;22.0;532800.0
2000-05-26;22.0;23.38;21.0;21.88;588400.0
2000-05-30;21.75;24.38;21.62;24.25;550000.0
2000-05-31;23.75;24.12;23.12;23.56;746400.0
2000-06-01;24.0;28.25;24.0;27.75;512400.0
2000-06-02;29.5;31.5;29.44;29.56;1360800.0
2000-06-05;29.5;31.0;28.81;30.0;787200.0
2000-06-06;30.5;31.44;26.0;26.0;483200.0
2000-06-07;27.44;28.62;27.0;28.12;558800.0
2000-06-08;29.06;29.5;27.38;28.31;294000.0
2000-06-09;29.0;29.5;27.88;28.06;376400.0
2000-06-12;28.5;29.12;27.88;28.12;238400.0
2000-06-13;27.03;27.56;25.75;27.31;560000.0
2000-06-14;27.38;30.12;27.38;29.88;560000.0
2000-06-15;30.0;32.5;29.0;31.62;874400.0
2000-06-16;32.5;33.0;29.88;30.0;367600.0
2000-06-19;30.25;30.25;28.75;29.5;222800.0
2000-06-20;29.25;31.62;29.25;31.0;316400.0
2000-06-21;31.56;32.5;31.5;31.62;383600.0
2000-06-22;31.06;31.88;27.25;27.75;682400.0
2000-06-23;27.75;28.88;25.0;26.25;435200.0
2000-06-26;25.56;25.56;23.12;24.38;740800.0
2000-06-27;24.19;26.88;24.19;25.88;415200.0
2000-06-28;25.88;26.56;23.31;25.12;383200.0
2000-06-29;24.81;27.0;23.5;26.56;407200.0
2000-06-30;26.88;29.5;26.31;29.19;1156400.0
2000-07-03;28.69;29.0;26.5;28.75;256400.0
2000-07-05;28.0;28.5;27.0;27.62;332000.0
2000-07-06;27.5;30.0;27.5;29.88;389600.0
2000-07-07;29.38;29.88;28.75;29.88;241600.0
2000-07-10;28.69;29.94;28.12;28.25;249200.0
2000-07-11;28.0;28.69;27.62;28.0;305600.0
2000-07-12;29.59;29.62;27.5;28.69;542000.0
2000-07-13;29.12;30.5;28.62;29.5;760800.0
2000-07-14;29.38;32.12;29.38;31.5;1259200.0
2000-07-17;32.44;33.62;32.0;33.44;918800.0
2000-07-18;32.19;33.5;30.12;30.12;449200.0
2000-07-19;30.25;32.5;28.56;30.75;216800.0
2000-07-20;34.62;38.5;32.0;38.5;2484000.0
2000-07-21;36.78;41.0;36.0;40.12;1434800.0
2000-07-24;39.62;41.75;38.0;41.0;1197600.0
2000-07-25;40.62;41.25;38.88;39.94;986000.0
2000-07-26;39.56;39.88;37.5;38.19;667200.0
2000-07-27;38.0;38.0;35.62;36.5;741600.0
2000-07-28;36.38;37.38;31.88;33.69;446000.0
2000-07-31;33.97;35.25;33.69;35.0;456400.0
2000-08-01;34.88;35.5;33.94;35.06;371600.0
2000-08-02;34.75;35.0;33.5;35.0;205200.0
2000-08-03;33.38;34.88;32.0;32.88;465200.0
2000-08-04;33.56;35.81;30.25;30.62;1020000.0
2000-08-07;30.62;34.25;30.62;33.06;459200.0
2000-08-08;33.06;35.12;32.88;34.69;606400.0
2000-08-09;35.0;36.88;34.88;35.5;622800.0
2000-08-10;35.0;35.62;34.5;34.94;519600.0
2000-08-11;34.75;35.19;34.5;35.19;512400.0
2000-08-14;34.94;35.19;34.25;34.88;438000.0
2000-08-15;35.06;35.12;32.12;32.25;285600.0
2000-08-16;32.5;36.25;32.19;36.0;1058800.0
2000-08-17;35.81;38.62;35.5;37.62;407600.0
2000-08-18;37.62;38.38;37.25;37.44;413600.0
2000-08-21;37.62;40.0;37.5;38.94;1093200.0
2000-08-22;38.88;42.88;38.12;40.94;805200.0
2000-08-23;40.66;41.88;40.25;41.06;366000.0
2000-08-24;42.0;47.62;41.94;46.69;1629600.0
2000-08-25;46.81;46.81;44.5;45.75;486000.0
2000-08-28;46.22;49.0;46.0;48.0;696400.0
2000-08-29;48.0;49.25;46.75;49.25;830800.0
2000-08-30;48.75;54.12;47.25;54.0;1512000.0
2000-08-31;53.81;55.0;53.0;54.19;1654400.0
2000-09-01;54.12;55.0;53.12;54.62;601600.0
2000-09-05;53.53;54.5;52.75;53.5;1156800.0
2000-09-06;53.12;53.19;50.0;50.75;1141200.0
2000-09-07;50.81;50.84;46.0;48.75;980800.0
2000-09-08;47.75;48.25;46.88;47.12;395200.0
2000-09-11;46.75;49.75;46.5;47.62;566400.0
2000-09-12;47.5;47.75;46.56;46.69;452400.0
2000-09-13;46.62;48.25;46.12;47.12;735600.0
2000-09-14;47.19;52.31;47.19;51.5;559200.0
2000-09-15;51.38;52.94;49.81;50.0;654800.0
2000-09-18;49.75;50.0;49.0;49.0;377200.0
2000-09-19;49.5;51.94;49.0;50.19;642800.0
2000-09-20;49.53;49.56;47.0;48.5;463200.0
2000-09-21;48.62;49.5;47.25;49.25;586400.0
2000-09-22;47.69;48.31;47.0;47.62;251600.0
2000-09-25;48.38;48.5;47.75;48.31;630400.0
2000-09-26;48.19;48.38;43.62;45.5;580800.0
2000-09-27;44.75;45.5;42.75;43.25;1029600.0
2000-09-28;42.88;46.25;42.31;46.12;1035600.0
2000-09-29;46.0;48.0;45.62;46.75;515600.0
2000-10-02;46.5;46.88;43.75;46.06;355200.0
2000-10-03;46.31;46.5;43.5;43.5;253600.0
2000-10-04;43.5;43.62;41.06;42.5;446400.0
2000-10-05;42.47;42.75;38.0;38.5;595200.0
2000-10-06;37.77;38.73;32.25;34.75;842800.0
2000-10-09;34.75;40.0;34.31;40.0;722000.0
2000-10-10;39.69;40.62;37.88;37.94;428000.0
2000-10-11;37.0;40.0;36.25;37.5;512800.0
2000-10-12;37.75;38.06;33.06;34.05;1196000.0
2000-10-13;33.44;36.5;29.0;36.5;1072800.0
2000-10-16;36.5;40.0;35.62;39.56;918400.0
2000-10-17;39.47;39.56;29.94;34.81;828400.0
2000-10-18;31.5;34.88;31.12;33.25;511600.0
2000-10-19;34.25;36.88;29.38;29.38;1272000.0
