date;open;high;low;close;volume
1990-03-26;24.62;24.62;24.5;24.5;2700.0
1990-03-27;24.5;24.5;24.5;24.5;300.0
1990-03-28;25.5;25.5;25.5;25.5;100.0
1990-03-29;25.5;25.5;25.5;25.5;0.0
1990-03-30;24.5;24.5;24.5;24.5;200.0
1990-04-02;24.5;24.5;24.5;24.5;0.0
1990-04-03;24.5;25.5;24.5;24.5;5200.0
1990-04-04;24.5;25.25;24.5;25.25;5700.0
1990-04-05;24.5;24.5;24.5;24.5;100.0
1990-04-06;24.5;24.5;24.5;24.5;0.0
1990-04-09;24.5;24.5;24.5;24.5;0.0
1990-04-10;24.5;24.5;24.5;24.5;0.0
1990-04-11;24.5;24.5;24.5;24.5;0.0
1990-04-12;24.5;24.5;24.5;24.5;300.0
1990-04-16;24.5;24.5;24.25;24.25;900.0
1990-04-17;24.25;24.25;24.25;24.25;500.0
1990-04-18;24.25;24.25;24.25;24.25;0.0
1990-04-19;24.25;24.25;24.25;24.25;0.0
1990-04-20;24.25;24.25;24.25;24.25;100.0
1990-04-23;24.25;24.75;23.75;23.75;3800.0
1990-04-24;23.75;23.75;23.75;23.75;0.0
1990-04-25;23.75;23.75;23.75;23.75;0.0
1990-04-26;23.75;23.75;23.75;23.75;0.0
1990-04-27;24.5;24.5;23.5;23.5;500.0
1990-04-30;23.75;23.75;23.75;23.75;400.0
1990-05-01;24.5;24.5;24.5;24.5;400.0
1990-05-02;23.75;24.5;23.75;24.5;400.0
1990-05-03;24.5;24.5;24.5;24.5;0.0
1990-05-04;24.5;24.5;24.5;24.5;0.0
1990-05-07;24.5;24.5;24.5;24.5;0.0
1990-05-08;24.5;24.5;24.5;24.5;0.0
1990-05-09;24.0;24.0;24.0;24.0;2000.0
1990-05-10;24.5;24.5;24.5;24.5;500.0
1990-05-11;23.5;24.0;23.5;24.0;500.0
1990-05-14;24.0;24.0;24.0;24.0;0.0
1990-05-15;24.0;24.0;23.5;23.5;500.0
1990-05-16;23.5;23.5;23.5;23.5;300.0
1990-05-17;23.5;23.5;23.5;23.5;0.0
1990-05-18;24.25;24.25;24.25;24.25;200.0
1990-05-21;24.25;24.25;24.25;24.25;300.0
1990-05-22;24.0;24.0;23.75;24.0;12000.0
1990-05-23;24.0;24.0;24.0;24.0;0.0
1990-05-24;24.0;24.0;24.0;24.0;0.0
1990-05-25;24.0;24.0;24.0;24.0;0.0
1990-05-29;23.75;23.75;23.75;23.75;600.0
1990-05-30;23.88;23.88;23.88;23.88;600.0
1990-05-31;23.75;23.75;23.75;23.75;100.0
1990-06-01;23.75;23.75;23.75;23.75;100.0
1990-06-04;23.75;23.88;23.75;23.88;1000.0
1990-06-05;23.75;24.75;23.75;23.88;2800.0
1990-06-06;24.75;24.75;24.75;24.75;100.0
1990-06-07;23.75;24.75;23.75;24.75;500.0
1990-06-08;24.75;24.75;24.75;24.75;0.0
1990-06-11;24.75;24.75;23.75;23.75;200.0
1990-06-12;23.75;23.75;23.75;23.75;100.0
1990-06-13;23.75;23.75;23.75;23.75;700.0
1990-06-14;23.75;23.75;23.75;23.75;0.0
1990-06-15;23.75;23.75;23.75;23.75;300.0
1990-06-18;23.75;23.75;23.75;23.75;200.0
1990-06-19;23.75;23.75;23.75;23.75;0.0
1990-06-20;23.75;24.75;23.75;24.75;500.0
1990-06-21;24.75;24.75;24.75;24.75;0.0
1990-06-22;23.75;23.75;23.75;23.75;100.0
1990-06-25;23.75;23.75;23.75;23.75;100.0
1990-06-26;23.75;23.75;23.75;23.75;0.0
1990-06-27;23.75;23.75;23.75;23.75;0.0
1990-06-28;23.75;23.75;23.75;23.75;200.0
1990-06-29;24.25;24.25;24.25;24.25;200.0
1990-07-02;23.75;23.75;23.75;23.75;1500.0
1990-07-03;23.75;23.75;23.75;23.75;100.0
1990-07-05;23.75;23.75;23.75;23.75;0.0
1990-07-06;23.75;23.75;23.75;23.75;0.0
1990-07-09;23.75;23.75;23.75;23.75;0.0
1990-07-10;23.75;24.75;23.75;24.75;2300.0
1990-07-11;24.75;24.75;24.75;24.75;0.0
1990-07-12;24.75;24.75;24.75;24.75;0.0
