date;open;high;low;close;volume
1977-01-03;55.63;56.88;55.63;55.75;44294.0
1977-01-04;55.5;55.5;54.5;54.5;31908.0
1977-01-05;54.63;55.75;54.63;54.75;37528.0
1977-01-06;54.75;55.0;54.37;54.37;27067.0
1977-01-07;54.37;54.75;53.63;53.63;23197.0
1977-01-10;53.63;53.75;52.63;53.0;45831.0
1977-01-11;52.75;52.75;51.63;51.63;39258.0
1977-01-12;51.5;51.5;50.38;51.0;35778.0
1977-01-13;51.5;51.75;51.5;51.5;46997.0
1977-01-14;51.5;52.25;51.13;52.13;147992.0
1977-01-17;52.13;52.38;52.0;52.25;130783.0
1977-01-18;52.25;52.5;52.25;52.38;43322.0
1977-01-19;52.38;53.25;52.38;53.25;18375.0
1977-01-20;53.5;54.13;53.5;53.5;34242.0
1977-01-21;53.5;53.87;53.37;53.63;207394.0
1977-01-24;53.63;54.0;53.25;53.5;99439.0
1977-01-25;53.5;53.5;52.0;52.0;61717.0
1977-01-26;52.0;52.5;51.75;52.0;22828.0
1977-01-27;51.25;51.25;50.0;50.25;49525.0
1977-01-28;50.5;51.25;50.5;51.0;21856.0
1977-01-31;51.0;51.0;49.62;50.25;39453.0
1977-02-01;50.25;50.75;50.12;50.5;15847.0
1977-02-02;50.5;50.88;49.88;49.88;104650.0
1977-02-03;49.88;50.0;49.62;49.62;24558.0
1977-02-04;49.62;49.62;47.75;48.0;69825.0
1977-02-07;48.0;48.0;46.25;46.25;58217.0
1977-02-08;46.25;47.25;46.25;46.88;82211.0
1977-02-09;46.88;46.88;46.0;46.0;2897.0
1977-02-10;46.0;46.25;45.63;45.63;52422.0
1977-02-11;45.63;46.0;45.63;46.0;56875.0
1977-02-14;46.0;46.5;45.63;46.5;59578.0
1977-02-15;46.5;46.63;46.25;46.25;97689.0
1977-02-16;46.25;46.75;46.25;46.5;63836.0
1977-02-17;46.25;46.25;45.63;45.75;27650.0
1977-02-18;45.5;45.5;43.5;44.87;59383.0
1977-02-22;44.87;45.0;44.5;44.75;25919.0
1977-02-23;44.75;44.75;44.37;44.5;13533.0
1977-02-24;44.37;44.37;43.63;43.75;29983.0
1977-02-25;43.75;44.25;43.5;44.25;60161.0
1977-02-28;44.13;44.13;44.0;44.13;27261.0
1977-03-01;44.13;45.37;44.13;45.37;66150.0
1977-03-02;45.37;45.75;45.25;45.37;63642.0
1977-03-03;45.5;47.25;45.5;47.0;52033.0
1977-03-04;47.0;47.13;46.63;47.13;42350.0
1977-03-07;47.25;47.75;47.25;47.75;27844.0
1977-03-08;47.75;47.75;47.0;47.13;57458.0
1977-03-09;46.75;46.75;46.0;46.13;22244.0
1977-03-10;46.13;46.5;45.37;46.5;51450.0
1977-03-11;46.5;46.75;46.38;46.38;17986.0
1977-03-14;46.5;47.75;46.5;47.5;34047.0
1977-03-15;47.75;48.5;47.75;48.12;58042.0
1977-03-16;48.12;48.62;48.12;48.5;46803.0
1977-03-17;48.5;49.25;48.38;49.0;51839.0
1977-03-18;49.0;49.5;49.0;49.0;39064.0
1977-03-21;49.0;49.12;48.25;48.38;63058.0
1977-03-22;48.38;48.5;47.75;48.5;34047.0
1977-03-23;48.5;48.5;46.75;46.88;37528.0
1977-03-24;46.88;47.5;46.0;46.25;60161.0
1977-03-25;46.25;46.25;45.75;46.0;31714.0
1977-03-28;45.88;45.88;45.5;45.63;36556.0
1977-03-29;45.63;46.25;45.63;45.63;46608.0
1977-03-30;45.63;46.38;45.63;45.63;41008.0
1977-03-31;45.63;46.25;45.63;46.0;13144.0
1977-04-01;46.0;46.5;45.75;46.5;31714.0
1977-04-04;46.5;46.75;45.75;45.75;23197.0
1977-04-05;45.75;46.0;45.63;46.0;25336.0
1977-04-06;46.0;46.0;45.63;45.63;33269.0
1977-04-07;45.63;45.75;45.5;45.5;17986.0
1977-04-11;45.5;45.63;45.0;45.0;84350.0
1977-04-12;45.0;45.0;44.5;44.63;29789.0
1977-04-13;44.63;44.75;44.5;44.75;17597.0
1977-04-14;45.0;46.25;45.0;46.13;111436.0
1977-04-15;46.13;46.25;45.88;46.13;22419.0
1977-04-18;46.13;46.13;45.63;46.13;27261.0
1977-04-19;46.0;46.0;45.0;45.0;23586.0
1977-04-20;45.0;45.5;44.63;44.87;70797.0
1977-04-21;44.87;44.87;43.63;43.75;29594.0
1977-04-22;43.75;43.75;42.0;42.25;46608.0
1977-04-25;42.37;43.13;42.37;42.63;32492.0
1977-04-26;42.63;42.87;42.25;42.25;23586.0
1977-04-27;42.25;43.5;42.25;43.5;41786.0
1977-04-28;43.5;43.63;43.0;43.0;64031.0
1977-04-29;43.0;43.5;43.0;43.37;20883.0
1977-05-02;43.37;43.75;43.25;43.75;40036.0
1977-05-03;43.75;43.75;43.13;43.13;81822.0
1977-05-04;43.13;43.87;43.0;43.37;269500.0
1977-05-05;43.37;44.25;43.37;44.25;76611.0
1977-05-06;44.25;44.25;43.87;44.0;40036.0
1977-05-09;44.0;44.5;44.0;44.5;42739.0
1977-05-10;44.37;44.37;43.87;43.87;41786.0
1977-05-11;43.87;44.37;43.75;43.75;60939.0
1977-05-12;43.25;43.25;42.75;43.13;144706.0
1977-05-13;43.25;43.75;43.25;43.75;35778.0
1977-05-16;43.75;44.0;43.25;43.87;23586.0
1977-05-17;43.87;43.87;43.25;43.5;55514.0
1977-05-18;43.5;43.87;43.37;43.87;92089.0
1977-05-19;43.87;43.87;42.87;43.25;34631.0
1977-05-20;43.25;43.5;43.0;43.0;14506.0
1977-05-23;43.0;43.0;42.5;42.63;46997.0
1977-05-24;42.63;42.63;42.0;42.25;43128.0
1977-05-25;42.13;42.13;40.38;40.5;132319.0
1977-05-26;40.25;40.25;39.38;39.62;154758.0
1977-05-27;39.5;39.5;38.25;38.25;66344.0
1977-05-31;38.0;38.0;36.25;36.5;60161.0
1977-06-01;36.5;37.75;36.5;37.75;170431.0
1977-06-02;37.75;38.25;37.25;37.62;73500.0
1977-06-03;37.75;38.75;37.75;38.5;98078.0
1977-06-06;38.5;38.88;37.75;37.75;69067.0
1977-06-07;37.75;37.88;37.25;37.62;134069.0
1977-06-08;37.88;38.5;37.88;38.25;91506.0
1977-06-09;38.25;38.88;38.12;38.62;81044.0
1977-06-10;38.62;39.5;38.62;39.5;82989.0
1977-06-13;39.75;40.5;39.75;40.25;80286.0
1977-06-14;40.5;41.5;40.5;41.5;85303.0
1977-06-15;41.5;41.75;40.88;41.25;51644.0
1977-06-16;41.25;42.13;41.13;41.63;90144.0
1977-06-17;41.75;42.25;41.75;41.75;63058.0
1977-06-20;41.75;41.75;40.62;41.38;45656.0
1977-06-21;41.38;41.75;41.0;41.25;107761.0
1977-06-22;41.25;41.38;41.0;41.13;43906.0
1977-06-23;41.13;41.88;41.13;41.25;80869.0
1977-06-24;41.25;41.25;40.62;40.75;138911.0
1977-06-27;40.75;41.13;40.5;41.0;32686.0
1977-06-28;41.0;41.13;40.5;40.5;53200.0
1977-06-29;40.38;40.38;39.75;40.0;65392.0
1977-06-30;40.0;40.25;39.5;40.0;87636.0
1977-07-01;40.0;40.38;40.0;40.38;38481.0
1977-07-05;40.38;40.88;40.25;40.25;42933.0
1977-07-06;40.25;40.25;39.88;40.0;89192.0
1977-07-07;40.0;40.0;39.25;39.88;60161.0
1977-07-08;39.88;40.38;39.88;40.0;68483.0
1977-07-11;40.0;40.25;40.0;40.25;53569.0
1977-07-12;40.25;40.25;39.88;39.88;91894.0
1977-07-13;39.88;40.25;39.62;40.0;74083.0
1977-07-15;40.0;41.13;39.88;41.13;169672.0
1977-07-18;41.38;43.0;41.38;43.0;118786.0
1977-07-19;43.37;44.5;43.37;43.75;190167.0
1977-07-20;43.5;43.5;42.13;42.5;68678.0
1977-07-21;42.63;43.25;42.63;43.25;100197.0
1977-07-22;43.37;43.63;43.37;43.37;17403.0
1977-07-25;43.37;43.63;43.25;43.5;38306.0
1977-07-26;43.37;43.37;42.5;43.0;30936.0
1977-07-27;42.75;42.75;41.75;42.37;41008.0
1977-07-28;42.5;43.0;42.5;43.0;17014.0
1977-07-29;43.0;43.63;42.75;43.25;27844.0
1977-08-01;43.25;43.5;43.13;43.25;56486.0
1977-08-02;43.25;43.25;42.5;42.75;44100.0
1977-08-03;42.75;44.0;42.75;43.5;69067.0
1977-08-04;43.5;45.0;43.5;45.0;42739.0
1977-08-05;45.0;45.13;43.75;43.75;27456.0
1977-08-08;43.75;43.87;42.87;43.13;30742.0
1977-08-09;43.13;43.37;42.75;43.0;33658.0
1977-08-10;43.0;43.87;42.75;43.87;93819.0
1977-08-11;43.87;44.37;43.75;43.87;91700.0
1977-08-12;43.87;44.75;43.75;44.5;50089.0
1977-08-15;44.5;46.5;44.5;46.25;120128.0
1977-08-16;46.0;46.0;45.37;46.0;92458.0
1977-08-17;46.0;46.63;45.75;46.13;86469.0
1977-08-18;46.13;46.5;45.88;45.88;65003.0
1977-08-19;45.88;46.5;45.63;45.88;75056.0
1977-08-22;45.88;47.25;45.88;46.5;184178.0
1977-08-23;46.5;47.25;46.13;46.13;71381.0
1977-08-24;46.13;46.13;45.0;45.0;154000.0
1977-08-25;45.0;45.0;43.5;44.75;160572.0
1977-08-26;44.75;45.0;44.25;45.0;40814.0
1977-08-29;45.0;45.37;44.63;45.0;24364.0
1977-08-30;45.0;45.0;44.0;44.0;26503.0
1977-08-31;44.0;44.25;43.63;44.25;18181.0
1977-09-01;44.25;44.63;44.13;44.13;93819.0
1977-09-02;44.0;44.0;43.63;43.75;119369.0
1977-09-06;43.63;43.63;42.5;43.13;56681.0
1977-09-07;43.13;43.5;43.13;43.13;49331.0
1977-09-08;43.13;43.37;42.87;42.87;53394.0
1977-09-09;42.87;43.0;42.25;42.37;33464.0
1977-09-12;42.37;42.37;42.0;42.25;17597.0
1977-09-13;42.25;42.87;42.25;42.87;28233.0
1977-09-14;43.25;44.13;43.25;44.13;8886.0
1977-09-15;44.63;45.25;44.63;45.0;111242.0
1977-09-16;44.87;44.87;44.37;44.37;24947.0
1977-09-19;44.0;44.0;43.5;43.75;21661.0
1977-09-20;43.75;44.37;43.75;44.0;29983.0
1977-09-21;44.25;45.25;44.25;44.37;26503.0
1977-09-22;44.37;44.75;44.13;44.75;26503.0
1977-09-23;44.75;45.25;44.5;44.75;75250.0
1977-09-26;44.75;45.5;44.0;45.5;45267.0
