date;open;high;low;close;volume
1990-03-26;24.0;24.0;24.0;24.0;200.0
1990-03-27;24.0;24.0;23.5;24.0;5300.0
1990-03-28;24.25;24.25;23.5;23.5;10500.0
1990-03-29;24.25;24.25;23.5;23.63;10300.0
1990-03-30;23.75;24.0;23.5;23.5;20900.0
1990-04-02;23.5;23.75;23.25;23.25;47700.0
1990-04-03;23.5;24.0;23.5;24.0;4500.0
1990-04-04;24.0;24.0;23.25;23.5;129200.0
1990-04-05;23.0;23.75;23.0;23.5;34300.0
1990-04-06;23.0;23.5;23.0;23.0;1600.0
1990-04-09;23.0;23.0;23.0;23.0;100.0
1990-04-10;23.0;24.0;23.0;23.5;7000.0
1990-04-11;23.5;23.75;23.5;23.5;4100.0
1990-04-12;23.25;23.75;23.0;23.75;12600.0
1990-04-16;23.75;24.0;23.75;23.88;15200.0
1990-04-17;23.5;23.5;23.5;23.5;1700.0
1990-04-18;24.25;24.25;23.63;23.63;3500.0
1990-04-19;24.25;24.25;24.25;24.25;400.0
1990-04-20;23.5;24.25;23.5;23.5;2500.0
1990-04-23;23.5;23.75;23.0;23.75;5300.0
1990-04-24;23.0;23.75;23.0;23.75;2900.0
1990-04-25;23.75;23.75;23.75;23.75;0.0
1990-04-26;23.75;23.75;23.25;23.25;2500.0
1990-04-27;23.0;23.0;23.0;23.0;100.0
1990-04-30;23.0;23.0;23.0;23.0;100.0
1990-05-01;24.0;24.0;23.5;24.0;35800.0
1990-05-02;24.0;24.0;23.5;23.5;8800.0
1990-05-03;23.5;23.75;23.25;23.5;45100.0
1990-05-04;23.75;23.75;23.75;23.75;1000.0
1990-05-07;23.25;23.25;23.25;23.25;700.0
1990-05-08;23.25;23.75;23.25;23.75;2200.0
1990-05-09;23.75;23.75;22.25;22.75;26500.0
1990-05-10;22.5;23.0;22.5;23.0;6000.0
1990-05-11;22.75;23.25;22.75;23.25;18700.0
1990-05-14;22.75;23.0;22.5;22.75;34300.0
1990-05-15;22.63;23.0;22.5;22.5;14500.0
1990-05-16;23.25;23.25;22.5;22.5;3600.0
1990-05-17;23.25;23.25;23.25;23.25;600.0
1990-05-18;23.25;23.25;22.5;22.5;1600.0
1990-05-21;22.5;23.25;22.5;23.25;3300.0
1990-05-22;22.75;23.5;22.75;23.25;5700.0
1990-05-23;22.75;23.5;22.75;23.38;11200.0
1990-05-24;22.75;23.5;22.75;23.5;139300.0
1990-05-25;23.0;23.75;23.0;23.5;16000.0
1990-05-29;23.0;23.75;23.0;23.75;11500.0
1990-05-30;23.75;24.25;23.5;24.25;63200.0
1990-05-31;24.0;25.0;24.0;24.75;41700.0
1990-06-01;25.0;25.5;24.25;25.5;57200.0
1990-06-04;25.75;26.5;25.0;26.25;25400.0
1990-06-05;26.25;26.5;25.5;25.5;120000.0
1990-06-06;25.5;26.0;25.25;25.25;44700.0
1990-06-07;25.25;25.63;24.25;24.5;81100.0
1990-06-08;24.5;25.25;24.5;24.5;7300.0
1990-06-11;24.5;24.75;24.25;24.75;22000.0
1990-06-12;24.75;24.75;24.25;24.5;11600.0
1990-06-13;24.25;24.75;24.25;24.25;7500.0
1990-06-14;24.75;24.75;24.0;24.0;26300.0
1990-06-15;24.0;24.5;23.75;24.0;34700.0
1990-06-18;23.75;24.25;23.75;23.75;14600.0
