date;open;high;low;close;volume
1985-07-01;38.13;38.38;38.13;38.25;56385.0
1985-07-02;38.25;38.38;37.75;38.25;28444.0
1985-07-03;38.0;38.0;37.25;37.88;72385.0
1985-07-05;38.0;38.25;38.0;38.25;8563.0
1985-07-08;38.25;39.0;38.13;38.75;89600.0
1985-07-09;38.75;39.0;38.25;38.25;6667.0
1985-07-10;38.25;38.5;38.0;38.13;13778.0
1985-07-11;38.38;38.5;38.38;38.38;29185.0
1985-07-12;38.38;39.0;38.0;39.0;115763.0
1985-07-15;39.0;39.13;38.75;38.75;58785.0
1985-07-16;38.75;39.25;38.63;39.13;211230.0
1985-07-17;39.25;39.88;39.25;39.75;60030.0
1985-07-18;39.75;40.0;39.38;39.38;10430.0
1985-07-19;39.38;40.13;39.13;40.13;19378.0
1985-07-22;40.13;40.25;39.88;40.25;34044.0
1985-07-23;40.25;40.63;40.25;40.63;107052.0
1985-07-24;40.5;40.5;40.13;40.38;40978.0
1985-07-25;40.38;40.5;40.25;40.5;42785.0
1985-07-26;40.5;41.5;40.25;40.75;104978.0
1985-07-29;40.75;41.38;40.75;41.25;108978.0
1985-07-30;41.0;41.0;40.5;40.5;43467.0
1985-07-31;40.5;40.88;40.5;40.75;18785.0
1985-08-01;41.0;41.25;41.0;41.0;28267.0
1985-08-02;41.0;41.75;40.5;40.5;24178.0
1985-08-05;40.5;40.75;38.75;39.25;45867.0
1985-08-06;39.25;39.5;38.25;38.75;28800.0
1985-08-07;38.75;39.5;38.5;39.5;15763.0
1985-08-08;39.5;39.75;39.0;39.5;52800.0
1985-08-09;39.5;39.75;39.13;39.38;19852.0
1985-08-12;39.25;39.25;38.63;38.63;13985.0
1985-08-13;38.5;38.5;38.0;38.0;21452.0
1985-08-14;38.0;38.25;37.75;37.75;6667.0
1985-08-15;37.75;38.25;37.5;37.75;6430.0
1985-08-16;37.75;38.0;37.25;37.25;35200.0
1985-08-19;37.25;37.5;37.0;37.0;2430.0
1985-08-20;37.0;37.25;36.63;37.25;81985.0
1985-08-21;37.25;37.75;37.0;37.75;52030.0
1985-08-22;37.75;38.25;37.75;37.75;8267.0
1985-08-23;37.75;38.0;37.75;37.88;8830.0
1985-08-26;37.88;38.38;37.75;38.0;4385.0
1985-08-27;38.25;38.75;38.25;38.75;5244.0
1985-08-28;38.75;38.75;37.75;38.75;44030.0
1985-08-29;38.5;38.5;38.13;38.13;10578.0
1985-08-30;38.13;38.5;37.63;37.63;22667.0
1985-09-03;37.63;37.88;37.63;37.75;6667.0
1985-09-04;37.88;38.38;37.88;38.38;6844.0
1985-09-05;38.38;38.38;37.63;37.63;131467.0
1985-09-06;37.63;38.0;37.63;37.88;13185.0
1985-09-09;37.88;38.38;37.75;37.75;12652.0
1985-09-10;37.75;38.13;37.25;37.25;69985.0
1985-09-11;37.13;37.13;36.25;36.38;78430.0
1985-09-12;36.38;36.75;36.13;36.5;14400.0
1985-09-13;36.5;36.5;36.25;36.5;23763.0
1985-09-16;36.5;37.25;36.38;37.0;39467.0
1985-09-17;37.0;38.0;37.0;37.88;50963.0
1985-09-18;37.75;37.75;37.25;37.75;19763.0
1985-09-19;37.75;38.0;37.63;38.0;20652.0
1985-09-20;37.75;37.75;37.5;37.5;16563.0
1985-09-23;37.5;37.75;37.38;37.75;8830.0
1985-09-24;37.75;38.0;37.5;37.75;20800.0
1985-09-25;37.75;38.0;36.75;36.75;10785.0
1985-09-26;36.63;36.63;36.25;36.63;7763.0
1985-09-30;36.63;36.75;35.63;35.63;29244.0
1985-10-01;35.75;36.0;35.75;35.75;10578.0
1985-10-02;35.75;37.0;35.75;36.75;47763.0
1985-10-03;36.63;36.63;36.0;36.0;43200.0
1985-10-04;36.0;36.38;36.0;36.0;11585.0
1985-10-07;36.0;36.88;36.0;36.88;29067.0
1985-10-08;36.88;37.38;36.63;37.25;16267.0
1985-10-09;37.25;37.5;37.13;37.38;9244.0
1985-10-10;37.38;37.38;37.13;37.38;15852.0
1985-10-11;37.38;37.38;36.75;36.75;9867.0
1985-10-14;36.75;37.0;36.75;37.0;4978.0
1985-10-15;37.0;37.13;36.5;37.13;12030.0
1985-10-16;37.13;37.25;36.75;36.75;2785.0
1985-10-17;36.63;36.63;36.25;36.25;5778.0
1985-10-18;36.25;36.25;35.88;36.25;5985.0
1985-10-21;36.25;36.5;35.5;35.5;32800.0
1985-10-22;35.5;36.0;35.5;35.63;48178.0
1985-10-23;35.88;36.25;35.88;36.13;10844.0
1985-10-24;36.25;37.0;36.25;36.75;6044.0
1985-10-25;36.63;36.63;36.25;36.25;10430.0
1985-10-28;36.25;36.5;36.25;36.5;5867.0
1985-10-29;36.5;36.88;36.0;36.38;8030.0
1985-10-30;36.38;37.25;35.75;37.13;37244.0
1985-10-31;37.13;37.5;37.0;37.13;17985.0
1985-11-01;37.13;37.88;37.0;37.75;23052.0
1985-11-04;37.5;37.5;36.25;36.63;33630.0
1985-11-05;36.75;38.0;36.75;37.88;41244.0
1985-11-06;37.88;38.0;37.13;38.0;22430.0
1985-11-07;38.0;38.63;37.63;37.75;7200.0
1985-11-08;37.75;38.0;37.63;37.63;24563.0
1985-11-11;37.75;39.0;37.75;39.0;27052.0
1985-11-12;39.0;39.38;38.5;39.25;34963.0
1985-11-13;39.25;39.5;38.88;39.0;15378.0
1985-11-14;39.0;39.25;38.25;39.25;13452.0
1985-11-15;39.25;39.5;38.25;38.75;26785.0
1985-11-18;38.75;39.0;38.0;39.0;31585.0
1985-11-19;39.0;39.38;38.5;39.25;13185.0
1985-11-20;39.25;40.38;39.25;40.25;55644.0
1985-11-21;40.38;41.5;40.38;41.0;61185.0
1985-11-22;41.0;41.38;40.75;41.25;27230.0
1985-11-25;41.13;41.13;40.38;40.75;22430.0
1985-11-26;40.63;40.63;40.38;40.5;41867.0
1985-11-27;40.5;41.25;40.5;41.0;9600.0
1985-11-29;41.0;41.5;40.75;40.75;21185.0
1985-12-02;40.75;41.5;40.75;41.38;58667.0
1985-12-03;41.38;42.25;41.13;42.0;43200.0
1985-12-04;42.13;43.0;42.13;42.5;181867.0
1985-12-05;42.5;42.5;41.63;41.63;36800.0
1985-12-06;41.63;42.5;41.5;42.38;50963.0
1985-12-09;42.5;44.25;42.5;43.75;61778.0
1985-12-10;43.75;44.0;43.0;43.0;25778.0
1985-12-11;43.0;43.63;42.5;42.88;25867.0
1985-12-12;42.88;43.13;41.75;42.25;38785.0
1985-12-13;42.5;44.0;42.5;43.25;20652.0
1985-12-16;43.25;44.0;43.13;44.0;22163.0
1985-12-17;44.0;44.5;43.0;43.25;37185.0
1985-12-18;43.25;43.5;42.13;42.38;51467.0
1985-12-19;42.63;43.25;42.63;43.25;18667.0
1985-12-20;43.25;44.75;43.25;44.75;39230.0
1985-12-23;44.5;44.5;42.5;42.88;32030.0
1985-12-24;42.5;42.5;41.63;42.5;21867.0
1985-12-26;42.5;43.0;42.25;43.0;13867.0
1985-12-27;42.75;42.75;42.0;42.5;104000.0
1985-12-30;42.5;43.0;42.38;42.5;68000.0
1985-12-31;42.5;42.63;42.0;42.38;27852.0
1986-01-02;42.25;42.25;41.5;42.25;71852.0
1986-01-03;42.25;42.38;42.0;42.0;99763.0
1986-01-06;42.0;42.25;41.63;41.75;16000.0
1986-01-07;41.75;41.88;41.38;41.75;68830.0
1986-01-08;41.75;42.0;41.63;41.75;136444.0
