date;open;high;low;close;volume
1997-09-30;18.0;18.75;18.0;18.75;22800.0
1997-10-01;18.5;18.63;18.37;18.63;33800.0
1997-10-02;18.63;18.75;18.63;18.75;5100.0
1997-10-03;18.63;18.63;18.5;18.5;5400.0
1997-10-06;18.37;18.37;18.37;18.37;1000.0
1997-10-07;18.37;18.37;18.37;18.37;0.0
1997-10-08;18.25;18.25;18.25;18.25;5400.0
1997-10-09;18.0;18.63;18.0;18.37;72200.0
1997-10-10;18.25;18.37;18.25;18.25;13700.0
1997-10-13;18.37;18.37;18.37;18.37;7600.0
1997-10-14;18.25;18.5;18.25;18.5;49400.0
1997-10-15;18.56;19.38;18.56;19.13;28700.0
1997-10-16;19.06;19.38;19.0;19.13;19100.0
1997-10-17;19.13;19.19;19.06;19.06;8900.0
1997-10-20;19.13;19.19;18.88;19.0;5200.0
1997-10-21;19.0;19.0;18.88;18.88;19000.0
1997-10-22;18.88;18.88;18.75;18.88;15400.0
1997-10-23;18.63;18.63;18.37;18.37;9000.0
1997-10-24;18.44;18.5;18.44;18.5;1700.0
1997-10-27;18.37;18.37;18.12;18.25;1700.0
1997-10-28;18.12;18.12;17.63;17.94;23300.0
1997-10-29;17.94;17.94;17.94;17.94;3200.0
1997-10-30;17.81;17.81;17.5;17.5;7400.0
1997-10-31;17.5;17.5;17.38;17.38;3100.0
1997-11-03;17.5;17.56;17.5;17.56;4300.0
1997-11-04;17.56;17.63;17.56;17.63;10500.0
1997-11-05;17.63;17.69;17.63;17.63;8000.0
1997-11-06;17.69;17.69;17.63;17.63;24700.0
1997-11-07;17.63;17.63;17.63;17.63;9600.0
1997-11-10;17.5;17.63;17.5;17.63;15800.0
1997-11-11;17.63;17.63;17.63;17.63;8900.0
1997-11-12;17.5;17.5;17.5;17.5;4100.0
1997-11-13;17.38;17.5;17.38;17.5;21600.0
1997-11-14;17.5;17.5;17.5;17.5;1000.0
1997-11-17;17.5;17.5;17.5;17.5;2100.0
1997-11-18;17.44;17.5;17.44;17.5;5000.0
1997-11-19;17.38;17.5;17.38;17.5;6100.0
1997-11-20;17.5;17.63;17.5;17.63;7600.0
1997-11-21;17.63;17.63;17.63;17.63;8700.0
1997-11-24;17.5;17.56;17.44;17.5;9600.0
1997-11-25;17.38;17.5;17.38;17.5;3700.0
1997-11-26;17.25;17.5;17.25;17.5;105600.0
1997-11-28;17.38;17.5;17.38;17.5;3800.0
1997-12-01;17.5;17.5;17.5;17.5;500.0
1997-12-02;17.5;17.5;17.5;17.5;1100.0
1997-12-03;17.38;17.38;17.38;17.38;300.0
1997-12-04;17.5;17.63;17.5;17.63;1800.0
1997-12-05;17.5;17.63;17.5;17.63;30400.0
1997-12-08;17.63;17.75;17.63;17.63;11700.0
1997-12-09;17.69;17.69;17.69;17.69;500.0
1997-12-10;17.75;17.75;17.75;17.75;1500.0
1997-12-11;17.63;17.63;16.75;16.75;30400.0
1997-12-12;16.75;16.75;16.75;16.75;12800.0
1997-12-15;16.87;17.0;16.87;17.0;8100.0
1997-12-16;17.0;17.0;17.0;17.0;6700.0
1997-12-17;16.75;16.81;16.75;16.81;6100.0
1997-12-18;16.87;16.87;16.87;16.87;1500.0
1997-12-19;16.87;16.87;16.62;16.62;2000.0
1997-12-22;16.62;16.75;16.38;16.75;68000.0
1997-12-23;16.5;16.5;16.5;16.5;1000.0
1997-12-24;16.5;16.5;16.5;16.5;0.0
1997-12-26;16.5;16.5;16.5;16.5;10100.0
1997-12-29;16.62;16.62;16.38;16.38;5100.0
1997-12-30;16.44;16.44;16.44;16.44;1000.0
1997-12-31;16.38;16.5;16.31;16.5;11600.0
1998-01-02;16.5;16.5;16.5;16.5;1000.0
1998-01-05;16.5;16.5;16.5;16.5;100.0
1998-01-06;16.5;16.5;16.38;16.38;1600.0
1998-01-07;16.44;16.44;16.44;16.44;500.0
1998-01-08;16.19;16.44;16.19;16.44;5800.0
1998-01-09;16.44;16.44;16.38;16.38;2000.0
1998-01-12;16.44;16.44;16.25;16.25;21300.0
1998-01-13;16.0;16.0;15.88;15.94;12200.0
1998-01-14;15.88;16.0;15.88;16.0;69200.0
1998-01-15;16.13;16.13;16.0;16.0;29200.0
1998-01-16;16.0;16.13;16.0;16.0;13500.0
1998-01-20;16.13;16.13;16.13;16.13;4200.0
1998-01-21;16.0;16.0;16.0;16.0;3000.0
1998-01-22;16.0;16.0;16.0;16.0;1500.0
1998-01-23;15.75;15.88;15.75;15.75;12800.0
1998-01-26;15.75;15.75;15.75;15.75;3500.0
1998-01-27;15.63;15.69;15.5;15.69;4700.0
1998-01-28;15.69;15.69;15.69;15.69;400.0
1998-01-29;15.69;15.69;15.69;15.69;5400.0
1998-01-30;15.56;15.56;15.37;15.5;11200.0
1998-02-02;15.5;15.5;15.5;15.5;12200.0
1998-02-03;15.5;15.5;15.25;15.37;2800.0
1998-02-04;15.5;15.75;15.5;15.75;20400.0
1998-02-05;15.88;15.88;15.88;15.88;20300.0
1998-02-06;15.88;15.88;15.88;15.88;0.0
1998-02-09;16.13;16.5;15.63;15.75;11800.0
1998-02-10;15.5;15.5;15.5;15.5;500.0
1998-02-11;15.56;15.56;15.5;15.5;1800.0
1998-02-12;15.5;15.5;15.5;15.5;2000.0
1998-02-13;15.56;15.56;15.56;15.56;1000.0
1998-02-17;15.5;15.5;15.0;15.0;27200.0
1998-02-18;15.25;15.25;15.12;15.12;3300.0
1998-02-19;14.88;15.12;14.88;15.12;19000.0
1998-02-20;15.25;15.37;15.12;15.37;1400.0
1998-02-23;15.12;15.12;15.12;15.12;3100.0
1998-02-24;15.25;15.25;15.25;15.25;1000.0
1998-02-25;15.37;15.5;15.37;15.5;3700.0
1998-02-26;15.63;15.63;15.63;15.63;1000.0
1998-02-27;15.63;15.63;15.63;15.63;1500.0
1998-03-02;15.5;15.5;15.5;15.5;1000.0
1998-03-03;15.63;15.63;15.63;15.63;1300.0
1998-03-04;15.63;15.63;15.63;15.63;0.0
1998-03-05;15.63;15.63;15.63;15.63;0.0
1998-03-06;15.63;15.63;15.63;15.63;0.0
1998-03-09;15.63;15.63;15.63;15.63;700.0
1998-03-10;15.63;15.88;15.63;15.88;6800.0
1998-03-11;15.88;15.88;15.88;15.88;0.0
1998-03-12;16.0;16.0;16.0;16.0;3000.0
1998-03-13;16.0;16.0;16.0;16.0;2000.0
1998-03-16;16.0;16.0;16.0;16.0;1500.0
1998-03-17;16.0;16.0;16.0;16.0;1100.0
1998-03-18;16.0;16.0;16.0;16.0;17200.0
1998-03-19;16.0;16.0;15.88;15.88;3900.0
1998-03-20;16.0;16.0;16.0;16.0;2300.0
1998-03-23;16.0;16.0;16.0;16.0;400.0
1998-03-24;16.0;16.0;16.0;16.0;0.0
1998-03-25;16.0;16.0;15.88;16.0;5900.0
1998-03-26;15.88;15.94;15.88;15.94;1500.0
1998-03-27;15.94;15.94;15.94;15.94;0.0
1998-03-30;15.94;15.94;15.94;15.94;0.0
1998-03-31;16.0;16.0;16.0;16.0;100.0
1998-04-01;15.88;15.88;15.88;15.88;1000.0
1998-04-02;15.75;15.88;15.75;15.75;30100.0
1998-04-03;15.75;15.75;15.75;15.75;1000.0
1998-04-06;15.75;15.75;15.75;15.75;3700.0
1998-04-07;15.75;15.75;15.75;15.75;0.0
1998-04-08;15.75;15.75;15.75;15.75;0.0
1998-04-09;15.63;15.63;15.63;15.63;16000.0
1998-04-13;15.88;15.88;15.88;15.88;500.0
1998-04-14;15.88;15.88;15.88;15.88;0.0
1998-04-15;15.88;15.88;15.88;15.88;0.0
1998-04-16;15.88;15.88;15.88;15.88;2500.0
1998-04-17;15.88;16.0;15.75;15.75;72100.0
1998-04-20;15.63;15.63;15.63;15.63;5100.0
1998-04-21;15.75;15.88;15.75;15.75;60500.0
1998-04-22;15.75;15.75;15.75;15.75;1100.0
1998-04-23;15.5;15.5;15.5;15.5;3400.0
1998-04-24;15.5;15.5;15.5;15.5;0.0
1998-04-27;15.5;15.5;15.5;15.5;0.0
1998-04-28;15.5;15.5;15.5;15.5;1000.0
1998-04-29;15.44;15.44;15.44;15.44;200.0
1998-04-30;15.44;15.5;15.37;15.37;17200.0
1998-05-01;15.44;15.44;15.25;15.44;14500.0
1998-05-04;15.44;15.44;15.44;15.44;0.0
1998-05-05;15.44;15.44;15.44;15.44;500.0
1998-05-06;15.44;15.44;15.44;15.44;0.0
1998-05-07;15.25;15.37;15.12;15.37;6600.0
1998-05-08;15.37;15.44;15.37;15.44;1000.0
1998-05-11;15.5;15.5;15.5;15.5;200.0
1998-05-12;15.37;15.44;15.19;15.31;1700.0
1998-05-13;15.31;15.31;15.31;15.31;0.0
1998-05-14;15.44;15.5;15.44;15.5;92800.0
1998-05-15;15.5;15.5;15.5;15.5;500.0
1998-05-18;15.5;15.5;15.5;15.5;3000.0
1998-05-19;15.37;15.37;15.25;15.25;10600.0
1998-05-20;15.25;15.25;15.25;15.25;2000.0
1998-05-21;15.12;15.25;15.12;15.25;500.0
1998-05-22;15.0;15.0;14.88;15.0;5700.0
1998-05-26;15.0;15.0;14.75;14.75;25600.0
1998-05-27;14.88;15.12;14.88;15.12;13600.0
1998-05-28;15.25;15.25;15.25;15.25;700.0
1998-05-29;15.37;15.5;15.37;15.5;14200.0
1998-06-01;15.5;15.63;15.5;15.63;2100.0
1998-06-02;15.5;15.63;15.5;15.63;11000.0
1998-06-03;15.63;15.63;15.63;15.63;400.0
1998-06-04;15.63;15.63;15.63;15.63;5800.0
1998-06-05;15.63;15.63;15.63;15.63;0.0
1998-06-08;15.63;15.63;15.63;15.63;3400.0
1998-06-09;15.63;15.69;15.63;15.69;6300.0
1998-06-10;15.63;15.63;15.63;15.63;6700.0
1998-06-11;15.63;15.63;15.63;15.63;200.0
1998-06-12;15.63;15.63;15.63;15.63;300.0
1998-06-15;15.63;15.63;15.63;15.63;0.0
1998-06-16;15.63;15.63;15.63;15.63;0.0
1998-06-17;15.63;15.63;15.63;15.63;700.0
1998-06-18;15.63;15.63;15.63;15.63;100.0
1998-06-19;15.5;15.5;15.5;15.5;500.0
1998-06-22;15.5;15.5;15.5;15.5;0.0
1998-06-23;15.63;15.63;15.63;15.63;400.0
1998-06-24;15.63;15.63;15.5;15.56;1700.0
1998-06-25;15.44;15.63;15.37;15.63;3300.0
1998-06-26;15.5;15.5;15.5;15.5;2600.0
1998-06-29;15.37;15.37;15.25;15.25;2700.0
1998-06-30;15.06;15.19;15.06;15.06;11700.0
1998-07-01;15.0;15.0;15.0;15.0;500.0
1998-07-02;15.0;15.0;15.0;15.0;0.0
1998-07-06;15.0;15.0;15.0;15.0;0.0
1998-07-07;15.0;15.0;15.0;15.0;0.0
1998-07-08;15.0;15.0;15.0;15.0;8300.0
1998-07-09;15.0;15.0;15.0;15.0;0.0
1998-07-10;15.0;15.0;15.0;15.0;0.0
1998-07-13;15.0;15.0;15.0;15.0;0.0
1998-07-14;14.88;14.88;14.75;14.75;500.0
1998-07-15;14.75;14.75;14.5;14.5;1300.0
1998-07-16;14.5;14.5;14.38;14.38;1000.0
1998-07-17;14.5;14.69;14.5;14.69;1800.0
1998-07-20;14.69;14.75;14.63;14.63;11900.0
1998-07-21;14.63;14.63;14.38;14.38;27300.0
1998-07-22;14.56;14.63;14.5;14.5;19600.0
1998-07-23;14.13;14.13;14.13;14.13;0.0
1998-07-24;14.13;14.13;14.13;14.13;24800.0
1998-07-27;14.0;14.0;13.75;13.75;31900.0
1998-07-28;13.75;13.87;13.62;13.75;2200.0
1998-07-29;14.0;14.0;14.0;14.0;49700.0
1998-07-30;13.87;13.87;13.87;13.87;300.0
1998-07-31;13.75;13.81;13.69;13.81;11900.0
1998-08-03;13.69;13.75;13.62;13.62;600.0
1998-08-04;13.62;13.62;13.62;13.62;0.0
1998-08-05;13.75;13.75;13.75;13.75;500.0
1998-08-06;13.56;13.62;13.56;13.62;1000.0
1998-08-07;13.75;13.75;13.75;13.75;400.0
1998-08-10;13.75;13.94;13.75;13.81;2900.0
1998-08-11;13.81;13.81;13.81;13.81;0.0
1998-08-12;13.87;13.87;13.87;13.87;400.0
1998-08-13;14.0;14.0;14.0;14.0;100.0
1998-08-14;14.0;14.0;14.0;14.0;0.0
1998-08-17;13.87;13.87;13.87;13.87;200.0
1998-08-18;13.87;13.87;13.87;13.87;0.0
1998-08-19;13.87;13.87;13.87;13.87;0.0
1998-08-20;13.87;13.87;13.75;13.75;1800.0
1998-08-21;13.75;13.75;13.75;13.75;0.0
1998-08-24;13.62;13.62;13.5;13.5;1000.0
1998-08-25;13.5;13.5;13.5;13.5;0.0
1998-08-26;13.5;13.5;13.5;13.5;0.0
1998-08-27;13.62;13.81;13.62;13.81;2000.0
1998-08-28;13.69;13.75;13.69;13.75;1200.0
1998-08-31;13.62;13.62;13.13;13.13;4600.0
1998-09-01;13.25;13.25;13.25;13.25;300.0
1998-09-02;13.25;13.25;13.25;13.25;100.0
1998-09-03;13.13;13.13;12.88;12.88;700.0
1998-09-04;12.63;12.63;12.37;12.5;2100.0
1998-09-08;12.37;12.37;12.25;12.31;3200.0
1998-09-09;12.31;12.31;12.31;12.31;0.0
1998-09-10;12.31;12.31;12.31;12.31;0.0
1998-09-11;12.44;12.5;12.25;12.25;10500.0
1998-09-14;12.25;12.25;12.25;12.25;0.0
1998-09-15;12.5;12.81;12.5;12.81;1000.0
1998-09-16;12.88;13.25;12.88;13.25;12400.0
1998-09-17;13.13;13.25;13.13;13.25;5600.0
1998-09-18;13.25;13.25;13.25;13.25;0.0
1998-09-21;13.25;13.25;13.25;13.25;2700.0
1998-09-22;13.0;13.0;13.0;13.0;1800.0
1998-09-23;12.88;13.13;12.81;12.81;5700.0
1998-09-24;12.75;12.75;12.56;12.56;3300.0
1998-09-25;12.63;12.75;12.63;12.75;1000.0
1998-09-28;12.75;12.75;12.75;12.75;1300.0
1998-09-29;12.75;12.75;12.75;12.75;2000.0
1998-09-30;12.63;12.75;12.63;12.75;5600.0
1998-10-01;12.75;12.75;12.75;12.75;0.0
1998-10-02;12.75;12.75;12.75;12.75;3400.0
1998-10-05;12.75;12.75;12.75;12.75;0.0
1998-10-06;12.63;12.75;12.63;12.75;4700.0
1998-10-07;12.63;12.63;12.5;12.5;700.0
1998-10-08;12.37;12.75;12.25;12.75;2300.0
1998-10-09;12.75;12.75;12.75;12.75;1300.0
1998-10-12;12.5;12.5;12.31;12.31;1500.0
1998-10-13;12.5;12.63;12.5;12.63;1500.0
1998-10-14;12.63;12.63;12.5;12.5;1300.0
1998-10-15;12.56;12.56;12.37;12.37;1100.0
1998-10-16;12.44;12.44;12.44;12.44;800.0
1998-10-19;12.5;12.5;12.5;12.5;900.0
