date;open;high;low;close;volume
1993-02-26;10.0;11.0;9.0;10.38;797100.0
1993-03-01;11.25;12.0;10.5;10.5;378200.0
1993-03-02;11.25;11.25;10.25;10.75;84400.0
1993-03-03;10.88;10.88;10.25;10.38;18200.0
1993-03-04;10.88;11.0;10.38;10.75;122300.0
1993-03-05;11.0;11.0;10.5;10.5;95000.0
1993-03-08;11.0;11.0;10.5;10.5;54600.0
1993-03-09;10.5;11.0;10.0;10.0;86100.0
1993-03-10;10.0;10.75;10.0;10.0;29300.0
1993-03-11;10.5;10.5;10.0;10.5;14400.0
1993-03-12;10.0;10.5;10.0;10.13;10500.0
1993-03-15;10.5;10.5;10.0;10.0;14500.0
1993-03-16;10.5;10.5;10.0;10.13;38900.0
1993-03-17;10.5;10.5;10.0;10.0;75500.0
1993-03-18;10.5;10.5;10.0;10.25;26400.0
1993-03-19;10.13;10.5;10.0;10.25;46200.0
1993-03-22;10.5;10.75;10.0;10.25;23200.0
1993-03-23;10.25;10.75;10.25;10.38;30200.0
1993-03-24;10.75;10.75;10.25;10.25;49400.0
1993-03-25;10.25;10.75;10.25;10.25;52200.0
1993-03-26;10.25;10.5;10.0;10.25;9100.0
1993-03-29;10.5;10.5;10.0;10.0;15800.0
1993-03-30;10.5;10.5;10.0;10.5;9600.0
1993-03-31;10.5;10.5;10.0;10.0;11000.0
1993-04-01;10.5;10.5;10.0;10.25;18300.0
1993-04-02;10.13;10.5;9.75;10.25;26300.0
1993-04-05;9.75;10.5;9.75;10.25;1100.0
1993-04-06;9.75;10.25;9.5;9.625;28000.0
1993-04-07;9.625;9.75;9.25;9.375;39800.0
1993-04-08;9.25;9.75;9.0;9.0;36600.0
1993-04-12;9.75;9.75;9.0;9.5;28800.0
1993-04-13;9.5;9.5;9.0;9.5;5800.0
1993-04-14;9.0;9.5;9.0;9.0;9900.0
1993-04-15;9.5;9.5;9.0;9.125;25200.0
1993-04-16;9.0;9.5;9.0;9.0;18300.0
1993-04-19;9.0;9.5;9.0;9.5;15700.0
1993-04-20;9.5;9.5;9.0;9.375;30400.0
1993-04-21;9.0;9.5;9.0;9.0;5500.0
1993-04-22;9.5;9.5;9.0;9.125;20100.0
1993-04-23;9.0;9.5;9.0;9.125;12800.0
1993-04-26;9.0;9.5;9.0;9.0;6300.0
1993-04-27;9.0;9.5;9.0;9.375;27500.0
1993-04-28;9.5;9.5;9.0;9.5;3300.0
1993-04-29;9.0;9.5;9.0;9.25;4300.0
1993-04-30;9.0;9.5;9.0;9.5;1800.0
