date;open;high;low;close;volume
1982-01-04;17.25;17.38;17.0;17.12;8800.0
1982-01-05;16.75;17.0;16.5;16.75;14900.0
1982-01-06;16.0;16.5;15.5;15.88;49200.0
1982-01-07;15.25;16.0;14.5;15.25;98000.0
1982-01-08;15.38;15.62;15.12;15.38;34800.0
1982-01-11;15.0;15.38;14.62;14.88;99200.0
1982-01-12;14.75;15.12;14.38;14.88;53900.0
1982-01-13;14.5;15.12;13.88;13.88;160200.0
1982-01-14;14.0;14.25;13.75;14.25;48500.0
1982-01-15;14.25;14.75;13.75;14.0;143300.0
1982-01-18;14.12;14.38;13.75;14.38;57100.0
1982-01-19;14.12;14.5;13.75;13.75;92100.0
1982-01-20;13.38;13.75;13.0;13.12;87500.0
1982-01-21;13.25;13.5;12.88;13.0;52200.0
1982-01-22;12.88;13.0;12.75;13.0;58400.0
1982-01-25;12.88;13.12;12.62;13.12;42300.0
1982-01-26;13.5;13.88;13.0;13.88;86900.0
1982-01-27;13.88;14.12;13.5;14.12;113200.0
1982-01-28;15.5;16.25;14.62;15.88;147600.0
1982-01-29;16.38;16.5;16.12;16.5;65800.0
1982-02-01;15.88;16.25;15.5;15.5;31300.0
1982-02-02;15.38;15.75;15.0;15.38;61400.0
1982-02-03;14.75;15.12;14.38;14.38;33100.0
1982-02-04;14.0;14.25;13.75;14.0;54400.0
1982-02-05;14.12;14.62;13.5;14.38;44000.0
1982-02-08;14.5;14.88;14.12;14.25;55400.0
1982-02-09;13.88;14.12;13.62;13.88;39500.0
1982-02-10;13.88;14.12;13.62;14.12;82900.0
1982-02-11;14.12;14.25;14.0;14.0;26300.0
1982-02-12;14.5;14.75;14.12;14.38;29200.0
1982-02-16;14.25;14.5;13.88;14.12;45200.0
1982-02-17;14.38;14.5;14.12;14.25;30000.0
1982-02-18;14.38;14.5;14.25;14.25;16500.0
1982-02-19;14.12;14.25;13.88;14.0;16100.0
1982-02-22;13.88;14.25;13.5;13.5;29400.0
1982-02-23;13.5;13.75;13.12;13.25;40600.0
1982-02-24;13.88;14.62;13.12;14.0;55900.0
1982-02-25;14.0;14.25;13.62;13.88;24700.0
1982-02-26;13.62;13.88;13.38;13.88;19000.0
1982-03-01;13.62;13.75;13.38;13.5;19700.0
1982-03-02;13.5;13.75;13.25;13.25;46600.0
1982-03-03;12.5;13.0;12.0;12.12;287500.0
1982-03-04;12.12;12.5;11.75;12.12;153700.0
1982-03-05;11.75;12.12;11.38;11.5;48200.0
1982-03-08;11.62;12.5;10.75;11.5;63000.0
1982-03-09;11.38;11.88;10.75;11.88;73300.0
1982-03-10;11.88;12.25;11.5;11.88;46700.0
1982-03-11;11.25;11.75;10.75;10.75;115900.0
1982-03-12;11.25;11.62;10.75;11.5;45600.0
1982-03-15;11.62;11.88;11.25;11.5;62100.0
1982-03-16;12.0;12.5;11.5;12.12;22900.0
1982-03-17;12.38;12.5;12.12;12.25;37600.0
1982-03-18;12.75;13.0;12.38;12.75;46000.0
1982-03-19;13.62;14.25;12.88;14.25;73100.0
1982-03-22;14.12;14.5;13.75;14.0;62700.0
1982-03-23;13.75;14.0;13.38;13.88;62200.0
1982-03-24;13.12;13.38;12.75;12.88;51900.0
1982-03-25;12.88;13.0;12.75;13.0;17200.0
1982-03-26;13.25;13.5;12.88;13.38;6500.0
1982-03-29;13.0;13.25;12.62;13.0;22000.0
1982-03-30;12.88;13.0;12.62;13.0;13800.0
1982-03-31;12.88;13.0;12.62;12.75;34000.0
1982-04-01;12.88;13.0;12.62;13.0;59900.0
1982-04-02;13.75;14.12;13.38;14.12;55800.0
1982-04-05;13.88;14.0;13.62;13.62;14500.0
1982-04-06;13.5;13.75;13.12;13.38;53200.0
1982-04-07;13.62;13.88;13.25;13.25;13900.0
1982-04-08;13.38;13.62;13.12;13.12;293900.0
1982-04-12;13.38;13.5;13.12;13.38;52000.0
1982-04-13;13.5;13.75;13.12;13.62;105700.0
1982-04-14;13.62;13.75;13.5;13.75;48300.0
1982-04-15;14.12;14.62;13.5;14.38;174400.0
1982-04-16;14.25;14.5;13.88;14.0;26600.0
1982-04-19;13.75;13.88;13.62;13.75;123800.0
1982-04-20;13.62;13.75;13.5;13.62;69700.0
1982-04-21;13.75;14.0;13.5;13.62;168900.0
1982-04-22;13.62;14.0;13.38;13.88;18300.0
1982-04-23;14.0;14.38;13.62;13.62;119700.0
1982-04-26;13.38;13.75;13.0;13.25;60000.0
1982-04-27;13.62;13.88;13.38;13.75;51800.0
1982-04-28;13.5;13.62;13.25;13.38;18300.0
1982-04-29;13.5;13.62;13.38;13.38;13700.0
1982-04-30;13.12;13.38;12.88;13.38;29800.0
1982-05-03;13.0;13.38;12.5;12.88;42100.0
1982-05-04;12.88;13.0;12.75;12.88;28000.0
1982-05-05;12.88;13.0;12.75;13.0;20000.0
1982-05-06;13.12;13.25;12.88;13.12;41400.0
