date;open;high;low;close;volume
2014-02-04;10.6;11.6;10.35;10.5;1539300.0
2014-02-05;10.75;12.29;10.65;12.29;748000.0
2014-02-06;12.04;14.13;11.95;13.89;296400.0
2014-02-07;14.0;14.24;13.5;14.0;267800.0
2014-02-10;13.99;14.21;13.85;14.17;85500.0
2014-02-11;14.24;14.25;13.64;13.8;59100.0
2014-02-12;13.75;13.85;13.5;13.65;86900.0
2014-02-13;13.4;13.69;12.55;12.67;434900.0
2014-02-14;12.5;13.46;12.5;12.8;1341900.0
2014-02-18;12.55;13.05;12.08;12.32;1564900.0
2014-02-19;12.35;12.47;12.01;12.13;1208600.0
2014-02-20;12.06;12.3;11.76;12.2;797400.0
2014-02-21;12.11;12.31;12.0;12.05;1141700.0
2014-02-24;12.0;12.11;11.83;11.93;1106700.0
2014-02-25;11.8;12.65;11.8;12.59;780700.0
2014-02-26;12.59;13.91;12.25;13.1;1062200.0
2014-02-27;13.14;13.42;13.11;13.3;521000.0
2014-02-28;13.29;14.7;13.17;14.4;1090000.0
2014-03-03;14.35;14.74;14.03;14.71;595000.0
2014-03-04;14.78;15.25;14.61;14.95;410300.0
2014-03-05;14.94;15.65;14.5;14.74;534800.0
2014-03-06;14.69;14.85;14.5;14.55;201500.0
2014-03-07;14.76;14.79;14.5;14.57;281000.0
2014-03-10;14.58;15.15;14.58;14.98;244600.0
2014-03-11;14.93;15.1;13.83;14.03;804100.0
2014-03-12;13.89;14.26;13.5;14.05;347600.0
2014-03-13;14.18;14.45;13.67;14.18;260100.0
2014-03-14;13.97;14.25;13.61;13.69;307600.0
2014-03-17;13.66;14.27;13.55;14.2;303500.0
2014-03-18;14.24;15.0;14.1;14.8;484800.0
2014-03-19;15.23;15.25;14.66;14.84;370200.0
2014-03-20;14.85;15.16;14.71;14.95;455800.0
2014-03-21;15.0;15.18;14.88;15.08;566100.0
2014-03-24;15.08;15.14;14.24;15.01;419900.0
2014-03-25;15.1;15.1;14.68;14.94;528500.0
2014-03-26;14.9;14.97;14.79;14.86;599100.0
2014-03-27;14.89;15.04;14.72;14.9;456800.0
2014-03-28;14.96;15.03;14.81;14.99;541000.0
2014-03-31;15.01;15.14;14.79;15.02;281500.0
2014-04-01;15.0;15.7;14.85;15.7;343700.0
2014-04-02;15.68;15.79;15.43;15.65;323800.0
2014-04-03;15.72;15.72;15.26;15.56;251600.0
2014-04-04;15.54;15.55;15.1;15.29;129100.0
2014-04-07;15.2;15.25;15.0;15.1;700100.0
2014-04-08;15.08;15.22;14.89;15.21;313700.0
2014-04-09;15.1;15.72;15.0;15.28;211100.0
2014-04-10;15.31;15.65;15.12;15.28;197700.0
2014-04-11;15.13;15.3;14.85;14.93;171700.0
2014-04-14;14.95;15.14;14.55;14.76;258500.0
2014-04-15;14.83;14.93;14.51;14.93;217000.0
2014-04-16;14.98;15.04;14.78;15.0;195100.0
2014-04-17;14.93;15.0;14.69;14.82;184800.0
2014-04-21;14.7;14.97;14.7;14.9;379400.0
2014-04-22;14.87;14.99;14.76;14.9;157500.0
2014-04-23;14.82;14.85;14.69;14.69;91000.0
2014-04-24;14.76;14.81;14.65;14.73;119400.0
2014-04-25;14.72;14.77;14.36;14.42;220600.0
2014-04-28;14.42;14.79;14.26;14.33;226400.0
2014-04-29;14.32;14.32;13.79;13.98;520000.0
2014-04-30;13.95;14.37;13.86;14.27;340800.0
2014-05-01;14.05;14.06;13.1;13.92;1102600.0
2014-05-02;13.92;14.16;13.82;13.97;219800.0
2014-05-05;13.86;14.23;13.84;14.04;143500.0
2014-05-06;13.99;14.1;13.92;13.96;86800.0
2014-05-07;13.98;14.08;13.57;13.65;212900.0
2014-05-08;13.63;13.8;13.45;13.62;158500.0
2014-05-09;13.45;13.59;13.35;13.5;180600.0
2014-05-12;13.48;13.98;13.43;13.77;143600.0
2014-05-13;13.7;14.16;13.68;13.95;153400.0
2014-05-14;13.88;13.99;13.82;13.9;81400.0
2014-05-15;13.9;13.97;13.62;13.72;135800.0
2014-05-16;13.67;13.75;13.59;13.64;138200.0
2014-05-19;13.64;13.68;13.25;13.51;271800.0
2014-05-20;13.44;13.64;13.32;13.5;126700.0
2014-05-21;13.47;13.7;13.47;13.59;168800.0
2014-05-22;13.57;13.7;13.49;13.6;123300.0
2014-05-23;13.54;13.65;13.53;13.6;149600.0
2014-05-27;13.57;13.87;13.53;13.76;269900.0
2014-05-28;13.7;14.0;13.64;13.97;167500.0
2014-05-29;13.93;14.0;13.83;13.97;137500.0
2014-05-30;13.93;14.04;13.9;13.97;232200.0
2014-06-02;13.91;14.01;13.91;13.97;144900.0
2014-06-03;13.9;14.11;13.9;14.05;175900.0
2014-06-04;13.99;14.13;13.9;14.02;240800.0
2014-06-05;14.05;14.56;14.0;14.47;334000.0
2014-06-06;14.47;14.66;14.38;14.6;198900.0
2014-06-09;14.52;14.75;14.48;14.63;164100.0
2014-06-10;14.55;14.63;14.44;14.59;203800.0
2014-06-11;14.51;14.6;14.45;14.5;129700.0
2014-06-12;14.47;14.59;14.35;14.41;108100.0
2014-06-13;14.41;14.45;13.98;14.24;189400.0
2014-06-16;14.23;14.29;13.96;14.1;213900.0
2014-06-17;14.0;14.11;13.88;14.03;214200.0
2014-06-18;13.94;14.03;13.91;13.96;207400.0
2014-06-19;13.9;14.0;13.73;13.81;234400.0
2014-06-20;13.82;13.94;13.57;13.79;493400.0
2014-06-23;13.74;13.74;13.28;13.41;282100.0
2014-06-24;13.35;13.37;12.89;13.16;443000.0
2014-06-25;13.16;13.57;13.16;13.54;398000.0
2014-06-26;13.51;13.75;13.41;13.63;261300.0
2014-06-27;13.59;14.17;13.55;13.66;2987300.0
2014-06-30;13.59;14.2;13.59;14.11;406900.0
2014-07-01;14.09;14.21;13.82;14.15;323600.0
2014-07-02;14.15;14.25;14.02;14.15;155700.0
2014-07-03;14.15;14.25;14.01;14.22;106300.0
2014-07-07;14.14;14.25;14.02;14.25;199500.0
2014-07-08;14.2;14.32;13.86;14.29;288500.0
2014-07-09;14.29;14.31;14.14;14.3;293300.0
2014-07-10;14.03;14.41;13.99;14.26;167700.0
2014-07-11;14.21;14.5;14.21;14.49;106200.0
2014-07-14;14.52;15.04;14.42;14.98;280000.0
2014-07-15;14.95;15.04;14.53;14.61;143100.0
2014-07-16;14.61;14.73;14.22;14.52;286000.0
2014-07-17;14.42;14.59;14.42;14.49;102900.0
2014-07-18;14.42;14.72;14.27;14.7;124300.0
2014-07-21;14.58;14.76;14.47;14.69;91200.0
2014-07-22;14.67;14.69;14.38;14.46;257300.0
2014-07-23;14.53;14.7;14.45;14.55;172300.0
2014-07-24;14.51;14.65;14.29;14.4;110000.0
2014-07-25;14.33;14.44;14.21;14.31;123600.0
2014-07-28;14.28;14.37;14.16;14.23;115800.0
2014-07-29;14.22;14.47;14.2;14.35;75400.0
2014-07-30;14.36;14.47;14.13;14.16;238500.0
2014-07-31;14.23;15.2;14.23;15.06;734000.0
2014-08-01;15.08;15.09;14.62;14.75;366700.0
2014-08-04;14.89;15.37;14.78;15.32;253200.0
2014-08-05;15.28;15.75;15.14;15.47;165900.0
2014-08-06;15.43;15.84;15.33;15.41;151100.0
2014-08-07;15.41;15.53;14.95;14.98;116800.0
2014-08-08;14.64;14.8;14.48;14.7;169800.0
2014-08-11;14.78;15.43;14.78;15.27;109300.0
2014-08-12;15.19;15.24;14.95;15.05;63000.0
