date;open;high;low;close;volume
1999-05-05;21.5;23.38;20.88;23.0;693185.0
1999-05-06;23.25;24.0;22.06;24.0;41363.0
1999-05-07;24.0;25.75;23.94;24.5;100978.0
1999-05-10;26.0;26.0;22.25;22.5;271378.0
1999-05-11;23.0;23.25;21.0;22.69;158044.0
1999-05-12;23.38;23.38;22.38;23.0;63052.0
1999-05-13;23.19;23.19;22.5;22.5;28267.0
1999-05-14;22.62;22.88;22.25;22.38;44563.0
1999-05-17;22.38;22.38;21.75;21.75;33067.0
1999-05-18;21.87;22.25;21.75;21.81;52267.0
1999-05-19;21.75;22.25;21.25;21.87;117452.0
1999-05-20;21.75;21.75;20.75;21.37;55200.0
1999-05-21;21.75;21.75;20.38;20.5;66252.0
1999-05-24;21.0;21.0;17.88;19.0;100978.0
1999-05-25;18.75;19.13;18.75;18.94;73363.0
1999-05-26;18.87;18.87;18.63;18.87;73363.0
1999-05-27;18.75;20.12;18.75;19.88;60978.0
1999-05-28;19.62;20.25;19.62;20.25;37630.0
1999-06-01;20.5;21.0;20.0;21.0;29985.0
1999-06-02;21.0;21.56;20.62;20.88;20030.0
1999-06-03;21.06;21.5;20.38;21.25;54400.0
1999-06-04;21.75;22.0;21.25;21.5;18963.0
1999-06-07;22.0;22.5;21.37;22.0;29244.0
1999-06-08;22.38;22.38;21.0;21.0;99467.0
1999-06-09;21.63;21.63;20.75;20.75;8385.0
1999-06-10;20.75;21.0;20.75;20.75;6844.0
1999-06-11;20.88;20.88;17.5;19.5;120444.0
1999-06-14;19.62;19.62;16.37;16.81;67230.0
1999-06-15;16.75;17.0;16.25;16.63;211644.0
1999-06-16;17.0;18.69;16.69;18.25;305985.0
1999-06-17;18.87;19.13;18.44;19.0;16444.0
1999-06-18;19.0;19.0;18.5;18.56;5452.0
1999-06-21;18.63;18.63;18.0;18.06;21185.0
1999-06-22;17.75;18.25;17.75;18.0;24978.0
1999-06-23;18.25;18.25;18.0;18.0;2163.0
1999-06-24;18.0;18.0;18.0;18.0;4652.0
1999-06-25;17.88;18.25;17.88;18.25;6252.0
1999-06-28;18.25;18.25;17.75;17.94;4178.0
1999-06-29;18.06;18.25;17.88;18.25;15852.0
1999-06-30;17.88;20.88;17.75;20.88;200652.0
1999-07-01;20.56;20.56;19.31;19.62;20267.0
1999-07-02;19.75;20.5;19.25;19.81;25778.0
1999-07-06;19.5;20.88;19.5;20.75;24563.0
1999-07-07;20.88;20.88;19.0;19.88;21244.0
1999-07-08;20.25;21.0;19.62;19.69;35378.0
1999-07-09;19.69;20.25;19.37;19.88;24563.0
1999-07-12;18.75;20.44;18.5;20.0;53363.0
1999-07-13;19.88;19.88;18.63;19.25;34400.0
1999-07-14;20.0;20.0;18.87;19.25;7230.0
1999-07-15;19.37;19.37;18.75;19.25;7585.0
1999-07-16;19.0;19.37;19.0;19.0;5778.0
1999-07-19;19.0;19.06;17.44;17.69;66844.0
1999-07-20;16.37;17.88;16.25;17.0;111585.0
1999-07-21;17.19;17.38;16.13;16.37;123763.0
1999-07-22;16.63;16.88;16.37;16.37;20000.0
1999-07-23;17.12;17.12;16.66;16.81;36830.0
1999-07-26;16.37;17.44;16.37;17.31;14578.0
1999-07-27;17.81;18.12;17.56;17.62;24385.0
1999-07-28;17.62;18.25;17.12;17.62;14578.0
1999-07-29;17.88;18.0;15.87;16.37;62163.0
1999-07-30;16.44;16.94;16.25;16.69;36385.0
1999-08-02;16.44;16.5;16.13;16.25;6844.0
1999-08-03;16.69;17.38;15.0;16.37;29600.0
1999-08-04;16.0;16.37;15.25;15.63;15852.0
1999-08-05;15.69;15.75;15.06;15.06;65067.0
1999-08-06;15.0;16.13;15.0;15.94;109867.0
1999-08-09;15.78;16.63;15.78;16.56;125630.0
1999-08-10;16.75;16.75;16.0;16.37;47585.0
1999-08-11;16.31;16.5;16.13;16.25;18963.0
1999-08-12;16.5;16.75;16.25;16.5;39467.0
1999-08-13;16.5;18.12;16.5;18.0;80830.0
1999-08-16;17.88;18.12;17.5;17.62;31467.0
1999-08-17;17.69;17.88;17.38;17.44;44000.0
1999-08-18;17.25;18.12;16.75;17.5;78578.0
1999-08-19;17.38;18.25;17.38;17.75;48000.0
1999-08-20;17.62;18.0;17.62;18.0;8030.0
1999-08-23;17.94;18.0;17.5;17.75;10252.0
1999-08-24;17.5;17.69;17.38;17.44;28800.0
1999-08-25;17.56;17.56;17.25;17.44;31467.0
1999-08-26;17.41;18.12;17.38;17.94;78667.0
1999-08-27;18.25;18.63;18.12;18.12;22667.0
1999-08-30;18.06;18.25;17.75;17.94;28267.0
1999-08-31;17.78;17.78;17.12;17.62;61600.0
1999-09-01;17.56;17.94;17.44;17.88;49867.0
1999-09-02;17.75;17.88;17.25;17.25;88830.0
1999-09-03;17.88;17.88;17.62;17.62;6163.0
1999-09-07;18.0;18.0;17.38;17.88;16178.0
1999-09-08;18.0;18.0;17.25;17.25;16830.0
1999-09-09;17.5;17.5;16.56;17.25;41630.0
1999-09-10;17.12;17.44;17.12;17.44;20178.0
1999-09-13;17.19;18.25;17.06;18.25;97778.0
1999-09-14;18.0;18.0;17.62;17.94;40800.0
1999-09-15;17.78;17.88;17.5;17.75;40800.0
