date;open;high;low;close;volume
1994-03-04;10.25;10.25;10.25;10.25;200.0
1994-03-07;10.25;10.25;10.25;10.25;0.0
1994-03-08;10.25;10.25;10.25;10.25;0.0
1994-03-09;10.25;10.25;10.25;10.25;0.0
1994-03-10;10.25;10.25;10.25;10.25;0.0
1994-03-11;10.25;10.25;10.25;10.25;0.0
1994-03-14;10.25;10.25;10.25;10.25;0.0
1994-03-15;10.25;10.25;10.25;10.25;0.0
1994-03-16;10.25;10.25;10.25;10.25;0.0
1994-03-17;10.25;10.25;10.25;10.25;0.0
1994-03-18;13.0;15.0;13.0;15.0;2680.0
1994-03-21;12.5;12.5;12.5;12.5;1000.0
1994-03-22;12.88;18.0;12.88;18.0;800.0
1994-03-23;19.5;19.5;18.0;18.0;600.0
1994-03-24;16.5;20.5;16.12;17.75;2800.0
1994-03-25;20.5;24.0;17.5;24.0;3800.0
1994-03-28;24.25;26.0;21.38;21.38;8200.0
1994-03-29;21.0;21.0;21.0;21.0;1000.0
1994-03-30;23.25;23.25;23.25;23.25;80.0
1994-03-31;19.5;21.5;19.5;21.25;4280.0
1994-04-04;20.0;21.0;20.0;21.0;480.0
1994-04-05;21.0;21.5;21.0;21.0;2080.0
1994-04-06;21.5;21.5;19.5;19.5;2280.0
1994-04-07;19.5;19.5;19.5;19.5;0.0
1994-04-08;21.0;22.0;20.0;21.0;1400.0
1994-04-11;19.5;19.5;19.5;19.5;480.0
1994-04-12;21.0;21.0;21.0;21.0;80.0
1994-04-13;22.0;22.0;20.0;20.0;400.0
1994-04-14;22.0;23.75;21.0;21.0;2680.0
1994-04-15;21.0;21.0;21.0;21.0;0.0
1994-04-18;23.75;25.0;23.5;24.75;3600.0
1994-04-19;24.75;24.75;24.75;24.75;200.0
1994-04-20;24.75;24.75;24.75;24.75;0.0
1994-04-21;24.75;24.75;24.75;24.75;0.0
1994-04-22;24.75;24.75;22.75;22.75;2400.0
1994-04-25;24.75;26.0;22.75;26.0;5680.0
1994-04-26;25.0;25.0;25.0;25.0;200.0
1994-04-28;25.0;25.0;25.0;25.0;80.0
1994-04-29;27.5;31.0;27.5;31.0;3680.0
1994-05-02;31.5;40.25;31.5;36.12;13680.0
1994-05-03;37.0;37.0;33.25;34.5;2800.0
1994-05-04;34.0;34.0;34.0;34.0;80.0
1994-05-05;34.0;34.0;34.0;34.0;0.0
1994-05-06;34.0;34.0;34.0;34.0;0.0
1994-05-09;34.0;34.0;34.0;34.0;0.0
