date;open;high;low;close;volume
2006-02-09;12.1;12.1;11.2;11.95;6746400.0
2006-02-10;11.98;12.03;11.85;12.03;268400.0
2006-02-13;12.1;12.1;11.9;11.96;249200.0
2006-02-14;12.0;12.05;11.95;12.0;383000.0
2006-02-15;12.0;12.05;11.95;11.96;177000.0
2006-02-16;11.9;12.0;11.9;11.9;225200.0
2006-02-17;11.87;11.9;11.8;11.8;276800.0
2006-02-21;11.8;11.88;11.8;11.8;180000.0
2006-02-22;11.8;11.9;10.97;11.8;106800.0
2006-02-23;11.8;11.85;11.8;11.8;131600.0
2006-02-24;11.75;11.85;11.75;11.8;129600.0
2006-02-27;11.8;11.93;11.8;11.8;54200.0
2006-02-28;11.8;11.83;11.8;11.8;125400.0
2006-03-01;11.8;11.82;11.8;11.8;403000.0
2006-03-02;11.89;11.89;11.8;11.8;129800.0
2006-03-03;11.8;11.81;11.8;11.8;79200.0
2006-03-06;11.8;11.9;11.8;11.89;286800.0
2006-03-07;11.811;12.1;11.81;12.05;195400.0
2006-03-08;11.92;12.05;11.85;12.0;69400.0
2006-03-09;11.85;12.1;11.85;11.96;214000.0
2006-03-10;11.9;12.0524;11.9;11.98;194200.0
2006-03-13;12.0;12.11;11.92;11.97;312600.0
2006-03-14;12.0;12.58;12.0;12.26;338400.0
2006-03-15;12.21;12.41;12.0;12.3;169200.0
2006-03-16;12.24;13.1;12.24;12.93;332600.0
2006-03-17;13.0;13.1;12.68;13.0;59400.0
2006-03-20;13.1601;13.79;12.9;13.25;120600.0
2006-03-21;13.85;14.4;13.5;14.0;381000.0
2006-03-22;14.0;14.4;13.55;14.2;121200.0
2006-03-23;14.0;14.709;13.78;14.39;96200.0
2006-03-24;14.16;14.5;13.97;14.27;74600.0
2006-03-27;14.001;14.57;13.92;14.2;80200.0
2006-03-28;14.75;14.75;13.96;14.05;145000.0
2006-03-29;13.92;14.44;13.92;14.31;106600.0
2006-03-30;14.35;14.6;14.01;14.5;108400.0
2006-03-31;14.4;15.8;14.01;14.01;1142200.0
2006-04-03;14.07;14.29;13.175;13.92;189200.0
2006-04-04;13.92;14.089;13.07;13.75;151600.0
2006-04-05;13.81;14.0;13.39;13.94;62600.0
2006-04-06;13.9;14.0;13.52;13.64;76600.0
2006-04-07;13.77;13.77;13.5;13.52;61400.0
2006-04-10;13.49;13.54;12.18;13.34;172200.0
2006-04-11;13.3;13.3;12.6;13.11;190200.0
2006-04-12;13.02;13.68;13.0;13.54;75800.0
2006-04-13;13.56;13.71;13.49;13.69;182200.0
2006-04-17;13.6244;13.63;13.5;13.52;145400.0
2006-04-18;13.65;14.0;13.08;13.56;176000.0
2006-04-19;13.59;14.05;13.06;13.96;74600.0
2006-04-20;13.5;13.96;13.5;13.78;22400.0
2006-04-21;13.97;14.04;13.75;13.99;56800.0
2006-04-24;14.07;14.085;13.89;13.99;74800.0
2006-04-25;14.11;14.15;13.63;13.66;36800.0
2006-04-26;13.6;13.81;13.54;13.665;13600.0
2006-04-27;13.6;13.92;13.52;13.8;10800.0
2006-04-28;13.68;14.0;13.5;13.99;23400.0
2006-05-01;14.02;14.88;13.68;14.27;174400.0
2006-05-02;14.22;14.93;13.84;14.78;180000.0
2006-05-03;14.69;14.88;14.14;14.52;148600.0
2006-05-04;14.63;15.0;14.1;14.84;166000.0
2006-05-05;14.93;15.0;14.3;14.7;93000.0
2006-05-08;14.79;14.91;14.0;14.64;237600.0
2006-05-09;14.73;14.92;14.47;14.53;113600.0
2006-05-10;14.6;14.6;13.85;14.14;143800.0
2006-05-11;14.1;14.17;13.82;13.95;226200.0
2006-05-12;13.82;13.99;13.53;13.85;117600.0
2006-05-15;13.69;13.85;13.5;13.68;308600.0
2006-05-16;13.77;14.18;13.51;13.86;105800.0
2006-05-17;13.7;13.92;13.5;13.52;65000.0
2006-05-18;14.75;14.79;13.76;13.98;221400.0
2006-05-19;13.88;14.6;13.34;13.81;394800.0
2006-05-22;13.79;14.1;13.62;13.9;166200.0
2006-05-23;14.0;14.6;13.83;13.99;157400.0
2006-05-24;14.0;14.17;13.75;13.8;229400.0
2006-05-25;13.9;14.15;13.56;13.9;41800.0
2006-05-26;13.9;14.29;13.9;14.04;165000.0
2006-05-30;13.96;14.14;13.44;13.78;168200.0
2006-05-31;13.78;14.29;13.45;13.92;326200.0
2006-06-01;13.95;14.22;13.67;14.07;291800.0
2006-06-02;14.11;14.62;13.98;14.6;151800.0
2006-06-05;14.53;14.76;14.14;14.5;78000.0
2006-06-06;14.49;15.64;14.25;14.75;611200.0
2006-06-07;14.81;14.9;14.52;14.7;132800.0
2006-06-08;14.62;14.62;13.73;14.25;52200.0
2006-06-09;14.31;14.61;14.02;14.35;208600.0
2006-06-12;14.51;14.68;14.17;14.4;276400.0
2006-06-13;14.34;14.66;14.151;14.29;144400.0
2006-06-14;14.43;14.55;13.43;13.91;244000.0
2006-06-15;13.91;14.1;13.55;13.78;273200.0
2006-06-16;13.71;14.2;12.58;13.25;810800.0
2006-06-19;13.24;13.48;12.81;13.36;104600.0
2006-06-20;13.34;13.42;12.33;12.46;253800.0
2006-06-21;12.49;12.75;12.35;12.57;200800.0
2006-06-22;12.57;12.88;12.5;12.63;131600.0
2006-06-23;12.63;12.83;12.52;12.73;43600.0
2006-06-26;12.78;13.52;12.78;13.32;64600.0
2006-06-27;13.35;14.33;13.31;13.74;220200.0
2006-06-28;13.74;14.23;13.64;13.83;310200.0
2006-06-29;13.84;14.0;13.59;13.91;105400.0
2006-06-30;13.84;14.45;13.38;14.45;655600.0
2006-07-03;14.45;14.69;14.15;14.62;70600.0
2006-07-05;14.52;14.86;13.79;14.3;97000.0
2006-07-06;14.28;14.29;13.88;14.29;69600.0
2006-07-07;14.23;14.23;13.36;13.89;84600.0
2006-07-10;13.89;14.25;13.74;14.06;120200.0
2006-07-11;14.01;14.61;13.83;14.45;202400.0
2006-07-12;14.4;14.6;13.86;14.27;186800.0
2006-07-13;14.23;14.61;14.06;14.41;91200.0
2006-07-14;14.37;14.54;14.01;14.22;36000.0
2006-07-17;14.18;14.45;14.1;14.34;184400.0
2006-07-18;14.41;14.55;13.51;13.87;41600.0
2006-07-19;13.91;14.63;13.91;14.53;35400.0
2006-07-20;14.5;14.77;14.3;14.52;53800.0
2006-07-21;14.5;14.68;13.96;14.32;50200.0
2006-07-24;14.4;14.78;14.4;14.66;74800.0
2006-07-25;14.73;14.88;14.54;14.72;40400.0
2006-07-26;14.65;14.7;14.44;14.54;17600.0
2006-07-27;14.62;14.75;14.02;14.06;14600.0
2006-07-28;14.15;14.76;14.11;14.66;27000.0
2006-07-31;14.46;14.74;14.02;14.45;49200.0
2006-08-01;14.28;14.59;14.06;14.44;90400.0
2006-08-02;14.46;14.82;14.31;14.4;24000.0
2006-08-03;14.22;14.52;13.51;13.56;162600.0
2006-08-04;13.68;14.16;12.86;13.04;104600.0
2006-08-07;13.0;13.74;12.99;13.31;59600.0
2006-08-08;13.41;13.43;12.99;13.0;95600.0
2006-08-09;13.11;13.23;13.0;13.16;32000.0
2006-08-10;13.09;13.5;13.09;13.44;25000.0
2006-08-11;13.39;13.5;13.24;13.4;18400.0
2006-08-14;13.4;13.48;13.22;13.37;21200.0
2006-08-15;13.5;13.63;13.26;13.4;21000.0
2006-08-16;13.4;13.53;13.21;13.24;34200.0
2006-08-17;13.19;13.43;13.01;13.31;18400.0
2006-08-18;13.37;13.5;13.09;13.49;11800.0
2006-08-21;13.42;13.5;12.98;13.0;79000.0
2006-08-22;12.96;13.12;12.91;13.0;41400.0
2006-08-23;13.05;13.15;12.63;12.73;11400.0
2006-08-24;12.88;13.19;12.71;12.89;11600.0
2006-08-25;12.9;13.2;12.9;13.0;8400.0
2006-08-28;13.05;13.27;13.0;13.13;10800.0
2006-08-29;13.19;13.67;13.0;13.46;28000.0
2006-08-30;13.55;13.94;13.28;13.59;37200.0
2006-08-31;13.65;14.0;13.57;13.73;33400.0
2006-09-01;13.81;14.04;13.7;13.77;41800.0
2006-09-05;13.82;14.22;13.75;14.0;19400.0
2006-09-06;13.92;14.23;13.87;14.11;31000.0
2006-09-07;14.04;14.06;13.92;13.98;8200.0
2006-09-08;14.08;14.08;13.96;13.99;6400.0
2006-09-11;13.8;14.03;12.96;13.49;25600.0
2006-09-12;13.59;13.91;13.53;13.9;40200.0
2006-09-13;13.9;13.96;13.67;13.78;44400.0
2006-09-14;13.55;13.87;13.55;13.85;27000.0
2006-09-15;13.95;13.96;13.76;13.83;86800.0
2006-09-18;13.77;13.77;13.5;13.56;13400.0
2006-09-19;13.501;13.85;13.43;13.66;16600.0
2006-09-20;13.75;13.82;13.1;13.34;30800.0
2006-09-21;13.32;13.46;13.05;13.2;11400.0
2006-09-22;13.15;13.2;12.8;12.86;94800.0
2006-09-25;13.04;13.04;12.78;12.99;15400.0
2006-09-26;13.0;13.01;12.77;12.98;32800.0
2006-09-27;12.92;13.05;12.65;13.04;68400.0
2006-09-28;13.02;13.05;12.79;12.92;109000.0
2006-09-29;12.92;12.98;12.73;12.77;62400.0
2006-10-02;12.73;12.76;12.05;12.34;44200.0
2006-10-03;12.3;12.51;11.84;11.92;202000.0
2006-10-04;11.87;11.97;11.39;11.83;228600.0
2006-10-05;13.04;13.33;12.1;12.15;563800.0
2006-10-06;12.25;12.9;12.24;12.62;153400.0
2006-10-09;12.7;12.7;12.42;12.42;43600.0
2006-10-10;12.47;12.8;12.47;12.56;136400.0
2006-10-11;12.5;12.98;12.21;12.41;109000.0
2006-10-12;12.47;12.84;12.41;12.82;111600.0
2006-10-13;12.87;13.56;12.85;13.42;132800.0
2006-10-16;13.4;13.65;13.03;13.57;101600.0
2006-10-17;13.49;13.76;13.26;13.73;177200.0
2006-10-18;13.8;14.0;13.62;13.92;86000.0
2006-10-19;13.94;14.53;13.78;14.34;223200.0
2006-10-20;14.43;14.43;13.8;14.03;34400.0
2006-10-23;14.05;14.11;13.6201;13.8;26000.0
2006-10-24;13.81;14.06;13.45;13.96;23200.0
2006-10-25;13.9;14.1;13.85;14.0;129400.0
2006-10-26;14.07;14.18;13.9;14.14;45800.0
2006-10-27;14.08;14.25;13.91;14.07;46000.0
2006-10-30;14.01;14.27;13.87;14.22;85400.0
2006-10-31;14.28;14.35;14.0;14.03;51600.0
2006-11-01;14.02;14.2;13.88;14.08;51400.0
2006-11-02;14.02;14.61;14.02;14.32;98400.0
2006-11-03;14.44;14.67;14.17;14.17;116400.0
2006-11-06;14.32;14.38;13.87;13.9;24000.0
2006-11-07;14.0;14.45;13.87;14.13;62400.0
2006-11-08;14.13;14.88;14.01;14.7;106600.0
2006-11-09;14.76;14.76;14.0;14.19;70400.0
2006-11-10;14.18;14.69;14.18;14.59;43600.0
2006-11-13;14.6;14.82;14.46;14.76;101400.0
2006-11-14;14.8;16.06;14.77;15.94;321200.0
2006-11-15;15.92;16.14;15.5;15.84;398000.0
2006-11-16;15.84;15.97;15.58;15.63;121200.0
2006-11-17;15.63;15.86;15.4;15.75;50200.0
2006-11-20;15.7;16.0;15.7;15.84;80000.0
2006-11-21;15.82;16.2;15.47;15.61;49600.0
2006-11-22;15.47;15.85;15.35;15.8;28800.0
2006-11-24;15.92;15.92;15.7;15.7;3200.0
2006-11-27;15.7;15.97;15.33;15.62;41200.0
2006-11-28;15.58;15.79;15.44;15.71;24600.0
2006-11-29;15.7;16.1;15.69;15.94;53600.0
2006-11-30;15.98;16.0;15.69;15.72;119200.0
2006-12-01;15.68;15.71;15.35;15.54;52600.0
2006-12-04;15.61;16.0;15.51;15.9;56400.0
2006-12-05;15.97;16.7;15.86;16.55;300400.0
2006-12-06;16.55;17.26;16.51;17.26;334000.0
2006-12-07;17.22;17.55;17.06;17.45;265200.0
2006-12-08;17.35;17.5;17.27;17.45;56800.0
2006-12-11;17.49;17.74;17.4;17.69;233400.0
2006-12-12;17.64;17.73;17.37;17.54;156200.0
2006-12-13;17.63;17.73;17.25;17.49;71800.0
2006-12-14;17.49;17.6;17.26;17.46;98000.0
2006-12-15;17.47;17.84;17.45;17.61;135200.0
2006-12-18;17.69;17.9;17.51;17.82;130800.0
2006-12-19;17.7;17.89;17.5;17.84;20200.0
2006-12-20;17.94;18.0;17.72;17.87;30600.0
2006-12-21;17.92;17.92;17.21;17.62;79000.0
2006-12-22;17.55;17.67;17.45;17.59;58200.0
2006-12-26;17.54;17.87;17.49;17.87;84200.0
2006-12-27;17.82;18.024;17.82;17.95;69600.0
2006-12-28;17.91;17.98;17.81;17.94;38800.0
2006-12-29;17.97;18.0;17.78;17.88;50000.0
2007-01-03;17.99;17.99;17.7;17.85;49400.0
2007-01-04;17.87;17.97;17.68;17.82;42400.0
2007-01-05;17.79;17.89;17.7;17.8;63400.0
2007-01-08;17.87;18.33;17.8;18.17;87400.0
2007-01-09;18.24;18.26;17.79;17.81;82400.0
