date;open;high;low;close;volume
1996-11-22;30.12;30.88;28.0;28.75;6827500.0
1996-11-25;29.5;30.25;29.25;29.88;887700.0
1996-11-26;30.0;30.25;28.75;29.12;686100.0
1996-11-27;29.25;29.38;28.5;29.12;345900.0
1996-11-29;29.75;29.75;29.38;29.62;117100.0
1996-12-02;29.62;29.62;29.25;29.25;158300.0
1996-12-03;29.12;29.12;28.38;28.5;161700.0
1996-12-04;28.5;28.75;28.5;28.5;124300.0
1996-12-05;28.5;28.88;28.12;28.12;106900.0
1996-12-06;27.88;27.88;26.62;27.62;248300.0
1996-12-09;27.75;28.62;27.75;28.62;94700.0
1996-12-10;28.88;29.5;28.75;29.25;94900.0
1996-12-11;29.0;29.5;28.62;28.88;107700.0
1996-12-12;28.88;28.88;28.38;28.38;59200.0
1996-12-13;28.25;28.38;27.5;27.62;104400.0
1996-12-16;27.38;27.38;26.12;26.5;199600.0
1996-12-17;26.5;28.38;26.5;28.38;212400.0
1996-12-18;28.38;28.75;28.12;28.75;124100.0
1996-12-19;28.25;28.5;28.25;28.38;62200.0
1996-12-20;28.5;29.0;28.5;28.88;81500.0
1996-12-23;28.75;29.25;28.62;29.12;40200.0
1996-12-24;28.75;29.25;28.75;29.25;43100.0
1996-12-26;29.0;29.25;29.0;29.25;37900.0
1996-12-27;29.12;30.0;29.12;30.0;82900.0
1996-12-30;29.88;30.25;29.88;30.12;69600.0
1996-12-31;30.12;30.88;30.12;30.88;37800.0
1997-01-02;30.62;30.62;30.0;30.0;92900.0
1997-01-03;30.25;30.62;30.0;30.25;65400.0
1997-01-06;30.0;30.12;29.88;30.0;43400.0
1997-01-07;29.75;29.88;29.5;29.5;29700.0
1997-01-08;29.62;29.75;29.62;29.75;51800.0
1997-01-09;29.62;30.88;29.62;30.88;152300.0
1997-01-10;30.0;30.62;30.0;30.62;136200.0
1997-01-13;30.38;30.38;29.75;30.25;41100.0
1997-01-14;30.0;30.0;29.88;29.88;44400.0
1997-01-15;30.0;30.38;30.0;30.38;48600.0
1997-01-16;30.12;30.12;29.62;29.88;47000.0
1997-01-17;29.88;29.88;29.62;29.75;30200.0
1997-01-20;29.12;29.38;29.12;29.25;53000.0
1997-01-21;29.0;29.0;28.12;28.62;130700.0
1997-01-22;28.38;28.62;28.12;28.25;64700.0
1997-01-23;28.12;28.25;27.88;28.12;36200.0
1997-01-24;28.0;28.12;27.75;27.88;51700.0
1997-01-27;27.62;27.88;27.5;27.5;52600.0
1997-01-28;27.12;27.5;27.0;27.0;56200.0
1997-01-29;27.0;27.25;26.5;26.75;35100.0
