date;open;high;low;close;volume
2001-12-14;5.1;5.5;5.0;5.31;1488000.0
2001-12-17;5.17;5.18;5.0;5.0;144000.0
2001-12-18;5.08;5.18;5.0;5.14;96000.0
2001-12-19;5.13;5.4;5.0;5.1;144000.0
2001-12-20;5.22;5.22;5.1;5.18;24000.0
2001-12-21;5.2;5.45;5.0;5.45;168000.0
2001-12-24;5.45;5.45;5.0;5.12;24000.0
2001-12-26;5.23;5.25;5.02;5.1;72000.0
2001-12-27;5.07;5.1;4.98;5.05;72000.0
2001-12-28;5.05;5.1;5.0;5.0;72000.0
2001-12-31;5.04;5.12;5.0;5.0;48000.0
2002-01-02;5.1;5.16;5.03;5.05;24000.0
2002-01-03;5.1;5.11;5.02;5.08;48000.0
2002-01-04;5.06;5.33;5.0;5.07;48000.0
2002-01-07;5.09;5.23;5.05;5.09;24000.0
2002-01-08;5.1;5.92;5.09;5.21;168000.0
2002-01-09;5.54;5.54;5.1;5.24;96000.0
2002-01-10;5.24;5.26;5.0;5.18;240000.0
2002-01-11;5.16;5.23;4.25;5.04;504000.0
2002-01-14;4.98;5.06;4.51;4.55;96000.0
2002-01-15;4.62;4.7;4.45;4.51;168000.0
2002-01-16;4.53;4.75;4.47;4.6;72000.0
2002-01-17;4.76;4.76;4.5;4.5;24000.0
2002-01-18;4.51;4.6;4.5;4.52;48000.0
2002-01-22;4.74;4.75;4.45;4.5;72000.0
2002-01-23;4.74;4.74;4.47;4.47;48000.0
2002-01-24;4.6;4.67;4.45;4.45;0.0
2002-01-25;4.46;4.46;4.38;4.4;96000.0
2002-01-28;4.41;4.48;4.37;4.37;24000.0
2002-01-29;4.37;4.6;4.35;4.44;24000.0
2002-01-30;4.5;4.56;4.43;4.43;96000.0
2002-01-31;4.44;4.74;4.43;4.6;0.0
2002-02-01;4.75;4.75;4.69;4.74;0.0
2002-02-04;4.74;4.83;4.65;4.83;0.0
2002-02-05;4.7;4.8;4.53;4.53;0.0
2002-02-06;4.53;4.53;4.44;4.45;24000.0
2002-02-07;4.8;4.8;4.48;4.78;0.0
2002-02-08;4.7;4.7;4.25;4.35;24000.0
2002-02-11;4.55;4.56;3.7;4.1;24000.0
2002-02-12;4.01;4.1;3.77;3.94;0.0
2002-02-13;3.96;4.05;3.8;3.8;0.0
2002-02-14;3.99;4.0;3.7;3.7;48000.0
2002-02-15;3.75;4.23;3.75;3.95;48000.0
2002-02-19;4.23;4.23;3.75;4.0;24000.0
2002-02-20;4.0;4.2;3.5;3.52;72000.0
2002-02-21;3.6;3.95;3.6;3.85;0.0
2002-02-22;3.6;3.6;3.02;3.2;24000.0
2002-02-25;3.06;3.27;2.5;2.8;96000.0
2002-02-26;2.93;3.15;2.79;3.12;0.0
2002-02-27;3.1;3.22;2.94;3.0;0.0
2002-02-28;3.3;3.43;2.9;3.21;24000.0
2002-03-01;3.46;3.47;3.01;3.01;0.0
2002-03-04;3.02;3.05;2.8;3.0;0.0
2002-03-05;3.75;4.7;3.75;4.15;432000.0
2002-03-06;4.52;4.62;3.9;4.07;216000.0
2002-03-07;4.16;4.35;4.0;4.1;48000.0
2002-03-08;4.35;4.35;4.13;4.35;24000.0
2002-03-11;4.39;4.39;4.0;4.0;24000.0
2002-03-12;4.0;4.03;3.8;3.88;24000.0
2002-03-13;3.86;4.19;3.75;4.1;0.0
2002-03-14;4.13;4.52;4.1;4.49;0.0
2002-03-15;4.45;4.45;4.24;4.29;24000.0
2002-03-18;4.41;4.41;4.01;4.15;0.0
2002-03-19;4.4;4.4;4.05;4.14;72000.0
2002-03-20;4.4;4.4;4.1;4.11;0.0
2002-03-21;4.15;4.19;4.0;4.05;0.0
2002-03-22;4.15;4.15;3.7;3.97;24000.0
2002-03-25;4.0;4.0;3.8;3.9;0.0
2002-03-26;3.82;3.98;3.75;3.85;144000.0
2002-03-27;3.85;3.96;3.75;3.95;24000.0
2002-03-28;3.96;3.96;3.82;3.85;0.0
2002-04-01;3.75;3.89;3.56;3.85;120000.0
2002-04-02;3.9;4.5;3.9;4.41;96000.0
2002-04-03;4.6;5.13;4.59;5.08;168000.0
2002-04-04;5.0;5.28;4.65;4.65;72000.0
2002-04-05;4.88;4.88;4.46;4.6;24000.0
2002-04-08;4.89;4.89;4.47;4.71;0.0
2002-04-09;4.75;4.75;4.5;4.72;0.0
2002-04-10;4.72;4.73;4.5;4.5;24000.0
2002-04-11;4.48;4.63;4.25;4.31;24000.0
2002-04-12;4.55;4.55;4.32;4.4;0.0
2002-04-15;4.36;4.53;4.25;4.25;24000.0
2002-04-16;4.3;4.6;4.3;4.48;24000.0
2002-04-17;4.41;4.53;4.25;4.5;0.0
2002-04-18;4.34;4.49;4.3;4.38;24000.0
2002-04-19;4.53;4.53;4.45;4.53;24000.0
2002-04-22;4.55;4.94;4.4;4.92;24000.0
2002-04-23;4.92;4.95;4.7;4.85;24000.0
2002-04-24;4.84;4.84;4.66;4.66;24000.0
2002-04-25;4.7;4.85;4.6;4.71;0.0
2002-04-26;4.75;4.8;4.35;4.75;96000.0
2002-04-29;4.8;4.8;4.5;4.75;48000.0
2002-04-30;4.35;4.75;4.3;4.54;72000.0
2002-05-01;4.4;4.74;4.4;4.65;24000.0
2002-05-02;4.37;4.6;4.35;4.35;0.0
2002-05-03;4.35;4.64;4.35;4.35;0.0
2002-05-06;4.36;4.55;4.3;4.35;48000.0
2002-05-07;4.35;4.38;4.1;4.2;0.0
2002-05-08;4.19;4.5;4.0;4.19;0.0
2002-05-09;4.4;4.4;4.19;4.3;0.0
2002-05-10;4.39;4.4;4.21;4.4;24000.0
2002-05-13;4.36;4.5;4.1;4.25;0.0
2002-05-14;4.49;4.49;4.25;4.25;24000.0
2002-05-15;4.28;4.28;3.91;4.0;24000.0
2002-05-16;3.89;3.89;3.76;3.84;0.0
2002-05-17;3.98;4.0;3.77;3.81;0.0
2002-05-20;3.82;3.82;3.45;3.69;0.0
2002-05-21;3.65;3.88;3.6;3.7;0.0
2002-05-22;3.78;4.34;3.7;4.34;0.0
2002-05-23;4.34;4.34;4.1;4.15;0.0
2002-05-24;3.96;4.3;3.95;4.2;0.0
2002-05-28;4.0;4.25;3.97;4.25;0.0
2002-05-29;4.08;4.24;3.93;4.09;0.0
2002-05-30;3.98;4.19;3.72;3.9;0.0
2002-05-31;4.0;4.15;3.5;4.0;144000.0
2002-06-03;3.73;4.14;3.73;3.77;0.0
2002-06-04;3.73;3.73;3.38;3.65;96000.0
2002-06-05;3.61;3.64;3.0;3.0;0.0
2002-06-06;3.14;3.25;3.01;3.01;0.0
2002-06-07;3.14;3.2;3.01;3.1;0.0
2002-06-10;3.2;3.24;3.17;3.17;0.0
2002-06-11;3.2;3.24;3.06;3.24;0.0
2002-06-12;3.25;3.45;3.2;3.23;0.0
2002-06-13;3.18;3.25;3.0;3.01;24000.0
2002-06-14;3.1;3.1;2.95;3.0;24000.0
2002-06-17;3.06;3.3;3.0;3.25;0.0
2002-06-18;3.29;3.35;3.22;3.35;24000.0
2002-06-19;3.3;3.55;3.15;3.3;336000.0
2002-06-20;3.55;3.55;3.13;3.13;0.0
2002-06-21;3.25;3.43;3.21;3.3;0.0
2002-06-24;3.35;3.56;3.25;3.3;24000.0
2002-06-25;3.32;3.45;3.28;3.45;0.0
2002-06-26;3.35;3.35;2.9;3.06;48000.0
2002-06-27;3.11;3.15;2.97;3.05;0.0
2002-06-28;3.02;3.03;2.85;3.03;0.0
2002-07-01;2.97;2.97;2.97;2.97;0.0
2002-07-02;2.9;2.95;2.51;2.9;96000.0
2002-07-03;2.63;2.63;2.4;2.4;0.0
2002-07-05;2.3;2.4;2.3;2.39;0.0
2002-07-08;2.35;2.39;2.35;2.39;0.0
2002-07-09;2.32;2.32;1.9;1.96;24000.0
2002-07-10;2.06;2.25;2.0;2.0;0.0
2002-07-11;2.13;2.13;1.58;1.77;0.0
2002-07-12;1.8;1.89;1.7;1.7;0.0
2002-07-15;1.8;1.8;1.35;1.59;0.0
2002-07-16;1.66;1.66;1.5;1.66;0.0
2002-07-17;1.49;1.66;1.4;1.45;0.0
2002-07-18;1.69;1.69;1.69;1.69;0.0
2002-07-19;1.67;1.67;1.67;1.67;0.0
2002-07-22;1.52;1.83;1.4;1.83;0.0
2002-07-23;1.7;1.7;1.26;1.27;0.0
2002-07-24;1.5;1.5;1.49;1.5;0.0
2002-07-25;1.62;1.62;1.5;1.62;0.0
2002-07-26;1.6;1.75;1.6;1.75;0.0
2002-07-29;1.34;1.62;1.08;1.58;24000.0
2002-07-30;1.39;1.45;0.92;1.0;24000.0
2002-07-31;1.14;1.14;0.82;0.86;24000.0
2002-08-01;0.9;1.04;0.89;0.94;0.0
2002-08-02;0.93;0.95;0.86;0.95;0.0
2002-08-05;0.9;0.9;0.89;0.89;0.0
2002-08-06;0.86;0.9;0.86;0.9;0.0
2002-08-07;0.9;0.91;0.86;0.91;0.0
2002-08-08;0.9;0.95;0.8;0.87;24000.0
2002-08-09;0.94;0.94;0.78;0.81;0.0
2002-08-12;0.8;0.9;0.75;0.85;0.0
2002-08-13;0.85;0.95;0.77;0.95;0.0
2002-08-14;0.8;0.91;0.74;0.91;0.0
2002-08-15;0.89;0.9;0.8;0.9;0.0
2002-08-16;0.92;1.1;0.82;1.02;0.0
2002-08-19;1.02;1.09;0.96;1.07;48000.0
2002-08-20;1.04;1.08;0.92;1.08;0.0
2002-08-21;1.08;1.12;1.02;1.07;24000.0
2002-08-22;1.1;1.1;1.03;1.1;0.0
2002-08-23;1.01;1.09;1.01;1.01;0.0
2002-08-26;1.01;1.22;1.0;1.1;0.0
2002-08-27;1.1;1.1;1.1;1.1;0.0
2002-08-28;0.97;0.98;0.95;0.98;0.0
2002-08-29;1.0;1.02;0.95;0.95;0.0
2002-08-30;1.14;1.5;0.9;1.1;24000.0
2002-09-03;1.1;1.1;0.9;0.9;0.0
2002-09-04;0.99;1.0;0.66;0.9;24000.0
2002-09-05;0.88;0.88;0.88;0.88;0.0
2002-09-06;0.85;0.85;0.85;0.85;0.0
2002-09-09;0.9;0.9;0.85;0.9;0.0
2002-09-10;0.9;0.9;0.9;0.9;0.0
2002-09-11;0.87;0.92;0.85;0.92;0.0
