date;open;high;low;close;volume
2010-01-21;12.0;12.35;11.41;11.85;2883600.0
2010-01-22;11.82;11.88;11.6699;11.78;809300.0
2010-01-25;11.75;11.75;11.48;11.64;244200.0
2010-01-26;11.59;11.61;11.38;11.38;374400.0
2010-01-27;11.4;11.5;11.11;11.4;297700.0
2010-01-28;11.4;11.4;11.2;11.32;183100.0
2010-01-29;11.38;11.4389;11.3;11.36;224000.0
2010-02-01;11.3;11.37;11.25;11.3;142200.0
2010-02-02;11.3;11.33;11.2;11.25;174400.0
2010-02-03;11.25;11.3;11.15;11.15;188800.0
2010-02-04;11.16;11.16;10.26;10.95;428100.0
2010-02-05;10.91;10.99;10.79;10.87;189300.0
2010-02-08;10.82;10.82;10.6;10.6;164700.0
2010-02-09;10.5;10.6;10.12;10.59;334900.0
2010-02-10;10.53;10.63;10.36;10.45;98400.0
2010-02-11;10.53;10.75;10.37;10.74;92300.0
2010-02-12;10.71;10.83;10.7;10.81;60500.0
2010-02-16;10.85;11.1;10.8499;11.06;85000.0
2010-02-17;11.06;11.09;10.91;10.98;25400.0
2010-02-18;11.05;11.05;10.96;11.0;33300.0
2010-02-19;10.97;11.0;10.87;10.99;91000.0
2010-02-22;10.98;10.99;10.91;10.99;106300.0
2010-02-23;10.91;10.96;10.9;10.94;37600.0
2010-02-24;10.99;10.99;10.9;10.93;58800.0
2010-02-25;10.91;10.95;10.86;10.91;58400.0
2010-02-26;10.95;10.95;10.9;10.91;53100.0
2010-03-01;10.94;11.19;10.94;11.19;207800.0
2010-03-02;11.1001;11.53;11.1001;11.53;289900.0
2010-03-03;11.52;11.64;11.51;11.6;244900.0
2010-03-04;11.57;11.66;11.53;11.6;48600.0
2010-03-05;11.55;11.68;11.55;11.65;72700.0
2010-03-08;11.65;11.73;11.65;11.72;98200.0
2010-03-09;11.65;11.7;11.598;11.7;37100.0
2010-03-10;11.7;11.74;11.69;11.7;73200.0
2010-03-11;11.7;11.7;11.68;11.69;23700.0
2010-03-12;11.7;11.73;11.6;11.62;78200.0
2010-03-15;11.56;11.6;11.489;11.53;35300.0
2010-03-16;11.6;11.85;11.6;11.85;308600.0
2010-03-17;11.68;11.85;11.68;11.85;50000.0
2010-03-18;11.85;11.85;11.8001;11.84;17300.0
