date;open;high;low;close;volume
2005-08-01;10.0;13.38;10.0;12.15;126700.0
2005-08-02;12.5;12.5;12.0;12.33;49200.0
2005-08-03;12.24;12.63;12.0;12.35;136800.0
2005-08-04;12.35;12.38;12.16;12.25;14300.0
2005-08-05;12.25;12.46;12.22;12.46;7800.0
2005-08-08;12.44;12.44;12.23;12.27;3700.0
2005-08-09;12.66;12.75;12.55;12.74;16700.0
2005-08-10;12.75;13.16;12.21;12.9;131400.0
2005-08-11;12.9;13.3;12.28;13.3;14700.0
2005-08-12;13.37;14.26;13.0;13.78;67900.0
2005-08-15;14.31;15.2;13.92;15.15;13900.0
2005-08-16;15.21;16.11;14.94;16.11;56000.0
2005-08-17;16.15;16.41;15.85;15.9;23600.0
2005-08-18;15.75;16.525;15.75;15.9;11200.0
2005-08-19;16.1;16.15;15.64;15.64;8700.0
2005-08-22;16.1;16.1;15.11;15.77;4700.0
2005-08-23;15.65;15.78;15.4;15.78;15500.0
2005-08-24;15.94;16.0;15.64;15.64;3200.0
2005-08-25;15.93;16.0;15.8;15.8;4600.0
2005-08-26;15.8;15.95;15.4;15.45;3000.0
2005-08-29;15.44;16.04;15.44;16.04;4700.0
2005-08-30;16.05;16.05;15.9;16.03;8700.0
2005-08-31;15.95;16.3;15.93;15.93;31100.0
2005-09-01;16.3;16.3;15.752;16.12;24000.0
2005-09-02;16.04;16.15;16.0;16.0;2400.0
2005-09-06;16.1;16.19;15.604;15.91;5800.0
2005-09-07;16.05;16.05;15.744;16.05;2200.0
2005-09-08;15.95;16.0;15.9;16.0;2300.0
2005-09-09;16.0;16.24;15.96;16.137;13800.0
2005-09-12;16.15;16.21;16.03;16.15;7700.0
2005-09-13;16.15;16.15;15.85;15.95;35000.0
2005-09-14;16.0;16.05;15.95;16.05;9700.0
2005-09-15;16.0;16.81;15.88;16.23;46100.0
2005-09-16;16.4;17.46;16.0;17.29;42900.0
2005-09-19;17.87;18.31;17.87;18.01;9300.0
2005-09-20;18.3;19.55;18.09;19.06;14100.0
2005-09-21;19.42;19.42;18.15;18.25;8100.0
2005-09-22;18.15;18.15;17.36;17.61;3100.0
2005-09-23;17.29;17.5;16.57;16.76;4500.0
2005-09-26;16.35;16.97;16.25;16.8;8700.0
2005-09-27;16.45;16.8;16.45;16.8;4300.0
2005-09-28;16.52;16.54;16.24;16.26;5000.0
2005-09-29;15.94;16.11;15.94;16.11;5400.0
2005-09-30;16.05;16.05;15.83;15.99;5300.0
2005-10-03;15.95;16.0;15.9;15.99;5900.0
2005-10-04;16.1;16.1;15.9;15.9;1100.0
2005-10-05;15.9;16.0201;14.92;14.92;17900.0
2005-10-06;14.6;14.651;13.73;13.73;9000.0
2005-10-07;14.17;14.93;13.47;14.2;8400.0
2005-10-10;14.58;14.58;14.252;14.26;1200.0
2005-10-11;14.96;14.96;14.35;14.35;4400.0
2005-10-12;14.35;14.67;14.35;14.52;3800.0
2005-10-13;14.47;14.61;14.47;14.55;3100.0
2005-10-14;14.5;14.73;14.5;14.55;3100.0
2005-10-17;14.55;14.55;14.2;14.2;10400.0
2005-10-18;13.86;13.95;13.86;13.95;1100.0
2005-10-19;13.91;13.91;12.7;13.46;14300.0
2005-10-20;13.63;14.0345;13.11;13.14;7500.0
2005-10-21;12.9;13.2968;12.9;13.2;5500.0
2005-10-24;13.24;13.67;12.98;13.5;4700.0
2005-10-25;14.12;14.12;13.16;13.6;10400.0
2005-10-26;13.6;13.75;13.49;13.49;3600.0
2005-10-27;13.49;13.76;13.49;13.57;2100.0
2005-10-28;14.19;14.52;14.07;14.52;4400.0
2005-10-31;14.83;14.83;13.1;13.29;18000.0
2005-11-01;12.89;14.84;12.89;14.02;10900.0
2005-11-02;14.8;15.6;14.28;15.6;9000.0
2005-11-03;15.6;15.6;14.8;15.26;9600.0
2005-11-04;15.281;15.3;15.15;15.15;2500.0
2005-11-07;15.16;15.3025;15.0;15.09;3600.0
2005-11-08;15.24;15.83;15.24;15.59;5700.0
2005-11-09;15.41;15.41;15.0;15.29;1600.0
2005-11-10;15.29;15.64;15.2;15.36;3700.0
2005-11-11;16.0;16.0;15.94;15.95;600.0
2005-11-14;15.81;15.81;15.09;15.27;2200.0
2005-11-15;15.11;15.9;15.11;15.3;2600.0
2005-11-16;15.19;15.2;14.83;14.97;3400.0
2005-11-17;15.305;15.72;15.305;15.72;800.0
2005-11-18;16.06;16.06;15.21;15.21;3200.0
2005-11-21;15.12;15.48;15.12;15.24;2800.0
2005-11-22;15.1;15.24;15.1;15.15;1100.0
2005-11-23;15.15;15.15;14.882;15.05;1000.0
2005-11-25;15.3;15.3;15.05;15.05;1200.0
2005-11-28;15.3;15.3;14.7;15.06;6800.0
2005-11-29;15.3;15.3;15.3;15.3;200.0
2005-11-30;14.972;14.972;14.72;14.89;800.0
2005-12-01;14.94;15.95;14.94;15.89;3500.0
2005-12-02;16.0;16.0;15.44;15.49;2800.0
2005-12-05;15.51;15.51;14.55;14.64;5900.0
2005-12-06;14.61;14.75;14.6;14.6;2300.0
2005-12-07;14.97;14.97;14.6;14.6;2300.0
2005-12-08;14.6;15.88;14.6;15.88;3600.0
2005-12-09;15.98;16.14;15.83;16.14;3400.0
2005-12-12;16.15;16.61;16.15;16.53;3500.0
2005-12-13;16.56;16.69;16.55;16.59;1400.0
2005-12-14;16.71;17.0;16.51;17.0;3000.0
2005-12-15;16.99;16.99;16.81;16.86;3700.0
2005-12-16;17.11;18.21;17.1;18.21;21700.0
2005-12-19;17.92;18.4;17.92;18.4;5400.0
2005-12-20;18.4;20.19;18.4;20.0;9100.0
2005-12-21;20.1;20.5;20.0301;20.3;16000.0
2005-12-22;20.5;20.85;20.5;20.85;3000.0
2005-12-23;21.0;21.98;20.87;21.4027;15400.0
2005-12-27;21.76;22.91;21.65;22.48;9800.0
2005-12-28;22.48;22.48;21.44;21.44;9900.0
2005-12-29;21.75;21.8074;19.0;19.0;14100.0
2005-12-30;18.95;19.0;16.81;17.39;11700.0
2006-01-03;17.2;17.58;16.95;17.52;7100.0
2006-01-04;17.69;17.69;17.3601;17.41;3000.0
2006-01-05;17.58;18.02;17.381;18.02;7100.0
2006-01-06;18.082;18.2;17.8;17.99;8600.0
2006-01-09;17.8;18.22;17.8;18.22;7900.0
2006-01-10;18.0;18.3;17.8;18.13;4400.0
2006-01-11;17.93;18.36;17.75;18.36;15900.0
2006-01-12;18.39;18.4;17.5;18.2;1300.0
2006-01-13;18.04;18.8;18.04;18.54;16000.0
2006-01-17;18.82;18.82;18.54;18.54;2800.0
2006-01-18;18.55;18.97;18.44;18.44;4000.0
2006-01-19;18.85;19.15;18.55;18.58;14500.0
2006-01-20;18.86;19.32;18.86;19.14;6000.0
2006-01-23;19.21;19.42;19.14;19.4;2800.0
2006-01-24;19.5;19.5;19.1;19.1;9700.0
2006-01-25;19.42;19.51;19.0;19.4;15400.0
2006-01-26;19.5;19.52;19.2;19.4;21300.0
2006-01-27;19.4;19.4;19.4;19.4;2400.0
2006-01-30;19.4;19.4;19.01;19.17;2400.0
2006-01-31;19.259;19.259;17.51;17.632;12100.0
2006-02-01;17.71;18.08;17.7;18.08;1600.0
2006-02-02;18.01;18.01;17.15;17.74;8300.0
2006-02-03;17.24;17.53;17.0;17.46;2600.0
2006-02-06;16.83;17.3652;16.51;17.0;5000.0
2006-02-07;17.31;17.31;16.8;16.84;7100.0
2006-02-08;16.9925;16.9925;16.3;16.3;800.0
2006-02-09;16.3;16.3;15.62;15.62;5900.0
2006-02-10;15.25;15.65;15.21;15.2234;6800.0
2006-02-13;15.47;15.47;14.91;15.05;1800.0
2006-02-14;15.08;15.89;15.08;15.858;5300.0
2006-02-15;17.19;17.52;15.408;16.26;4500.0
2006-02-16;16.292;17.75;16.292;17.6;1600.0
2006-02-17;17.6;17.6;16.99;17.59;2700.0
2006-02-21;17.7;17.98;16.91;17.3;1600.0
2006-02-22;18.38;19.12;17.75;18.46;10000.0
2006-02-23;18.43;18.79;17.47;17.75;4000.0
2006-02-24;17.7;19.0;17.5;18.14;7400.0
2006-02-27;17.86;18.47;17.86;18.47;1100.0
2006-02-28;18.1;18.656;17.63;18.12;13700.0
2006-03-01;18.12;18.39;18.05;18.39;2600.0
2006-03-02;18.03;18.32;17.5;17.54;3400.0
2006-03-03;17.8;18.5;17.61;18.38;7300.0
2006-03-06;17.41;17.66;16.17;16.5;7500.0
2006-03-07;16.5;17.42;16.0;16.25;13500.0
2006-03-08;15.75;16.354;15.67;16.2;4400.0
2006-03-09;16.44;17.1;16.175;16.45;11300.0
2006-03-10;16.87;17.0;16.68;17.0;2100.0
2006-03-13;17.52;18.77;16.8;17.41;6100.0
2006-03-14;17.92;17.92;17.14;17.32;3100.0
2006-03-15;17.47;18.83;17.47;18.78;4500.0
2006-03-16;19.0;19.0;18.7;18.79;1700.0
2006-03-17;18.88;18.88;17.98;18.4396;22400.0
2006-03-20;18.65;18.65;17.06;17.38;6900.0
2006-03-21;17.17;17.17;16.17;16.2;4800.0
2006-03-22;16.3;16.69;16.19;16.57;5300.0
2006-03-23;16.65;16.96;16.28;16.51;10000.0
2006-03-24;16.71;16.8;16.4;16.4;1200.0
2006-03-27;16.87;16.87;15.5;16.02;25500.0
2006-03-28;15.7;16.1;15.7;15.88;5000.0
2006-03-29;15.91;17.12;15.91;17.12;4300.0
2006-03-30;17.5;18.17;16.76;18.11;13100.0
2006-03-31;17.98;19.1;17.98;19.05;10100.0
2006-04-03;18.83;19.1;17.04;17.24;9200.0
2006-04-04;17.32;17.62;17.08;17.26;3900.0
2006-04-05;17.36;18.22;16.55;16.55;6400.0
2006-04-06;16.62;17.96;16.62;17.53;7400.0
2006-04-07;17.99;18.45;17.07;17.63;2500.0
2006-04-10;16.98;17.4399;16.89;17.01;1900.0
2006-04-11;17.08;18.06;16.02;16.49;16400.0
2006-04-12;16.2;17.36;16.2;16.77;5200.0
2006-04-13;16.71;17.59;16.71;16.85;5900.0
2006-04-17;16.78;17.15;16.07;16.41;10200.0
2006-04-18;15.97;18.48;15.97;18.48;4000.0
2006-04-19;18.74;18.74;17.47;18.44;24400.0
2006-04-20;18.9;18.9;18.0;18.5;17700.0
2006-04-21;18.5;18.5;17.4;17.95;3500.0
2006-04-24;17.73;18.03;16.98;17.41;1600.0
2006-04-25;16.93;17.91;16.75;17.05;14100.0
2006-04-26;16.76;17.49;16.5;16.76;9900.0
2006-04-27;16.28;17.19;16.22;16.75;2200.0
2006-04-28;16.04;16.88;16.04;16.82;2800.0
