date;open;high;low;close;volume
1990-03-26;12.75;13.0;12.5;13.0;81500.0
1990-03-27;12.88;13.13;12.75;13.0;119400.0
1990-03-28;13.13;13.13;12.75;12.75;117900.0
1990-03-29;12.75;13.88;12.63;13.88;489700.0
1990-03-30;13.88;13.88;13.5;13.75;209000.0
1990-04-02;13.63;13.63;13.0;13.38;300000.0
1990-04-03;13.38;13.63;13.13;13.63;297100.0
1990-04-04;13.63;13.63;13.13;13.38;165200.0
1990-04-05;13.38;13.63;13.25;13.63;148600.0
1990-04-06;13.5;13.63;13.38;13.63;16200.0
1990-04-09;13.5;13.5;12.88;13.0;106400.0
1990-04-10;12.88;13.13;12.38;12.63;190800.0
1990-04-11;12.25;12.25;11.63;12.0;239100.0
1990-04-12;12.13;12.13;11.75;11.75;133700.0
1990-04-16;11.88;12.0;11.75;11.88;142500.0
1990-04-17;11.88;12.13;11.63;12.0;73300.0
1990-04-18;11.88;12.0;11.63;11.75;143400.0
1990-04-19;11.63;11.88;11.63;11.75;123400.0
1990-04-20;11.75;12.25;11.75;12.13;141300.0
1990-04-23;12.0;12.25;12.0;12.0;256500.0
1990-04-24;12.25;12.25;11.88;11.88;75500.0
1990-04-25;11.88;12.0;11.75;12.0;185700.0
1990-04-26;11.75;12.0;11.63;11.75;222800.0
1990-04-27;11.75;12.25;11.75;12.0;82500.0
1990-04-30;12.25;12.38;12.0;12.25;133300.0
1990-05-01;12.5;12.5;12.13;12.38;65200.0
1990-05-02;12.13;12.75;12.13;12.63;155200.0
1990-05-03;12.75;13.13;12.5;12.88;200400.0
1990-05-04;13.0;13.25;12.88;13.13;32600.0
1990-05-07;13.0;13.63;13.0;13.5;191300.0
1990-05-08;13.5;14.13;13.38;13.88;244300.0
1990-05-09;13.88;14.13;13.88;14.0;170700.0
1990-05-10;13.88;14.13;13.88;14.0;256400.0
1990-05-11;13.88;14.38;13.88;14.13;167800.0
1990-05-14;14.5;14.63;14.38;14.5;249900.0
1990-05-15;14.38;14.63;14.38;14.5;101200.0
1990-05-16;14.5;14.5;14.25;14.38;214000.0
1990-05-17;14.5;14.75;14.38;14.5;88500.0
1990-05-18;14.5;14.5;14.38;14.5;56100.0
1990-05-21;14.5;14.75;14.38;14.75;159800.0
1990-05-22;14.75;15.0;14.63;14.88;167100.0
1990-05-23;15.0;15.0;14.75;15.0;91500.0
1990-05-24;14.75;14.88;14.75;14.88;61300.0
1990-05-25;14.63;14.88;14.63;14.75;33000.0
1990-05-29;14.75;15.0;14.25;14.75;205500.0
1990-05-30;15.0;15.38;14.88;15.38;93900.0
1990-05-31;15.13;15.88;15.13;15.75;167200.0
1990-06-01;15.75;16.0;15.38;15.38;102500.0
1990-06-04;15.5;15.63;15.38;15.63;89100.0
1990-06-05;15.63;15.75;14.5;14.63;220400.0
1990-06-06;14.25;14.63;13.75;13.88;475300.0
1990-06-07;13.88;14.0;13.75;14.0;175900.0
1990-06-08;13.75;14.0;13.5;13.75;250200.0
1990-06-11;13.63;13.88;13.5;13.75;334300.0
1990-06-12;13.75;14.0;13.5;13.88;487900.0
1990-06-13;14.0;14.25;13.75;13.88;75300.0
1990-06-14;13.75;14.88;13.75;14.75;200600.0
1990-06-15;14.75;15.25;14.63;15.0;149100.0
1990-06-18;14.88;14.88;13.88;13.88;170500.0
1990-06-19;14.0;14.25;13.88;13.88;209600.0
1990-06-20;13.75;14.0;13.5;13.63;113600.0
1990-06-21;13.63;14.0;13.63;13.88;77000.0
1990-06-22;14.0;14.0;13.0;13.0;91400.0
1990-06-25;13.0;13.5;12.25;13.25;445700.0
1990-06-26;13.5;14.0;13.38;13.88;312300.0
1990-06-27;13.75;14.38;13.75;14.0;283900.0
1990-06-28;14.25;14.38;14.13;14.38;88300.0
1990-06-29;14.38;14.63;14.13;14.13;158000.0
1990-07-02;14.38;14.38;14.0;14.25;195500.0
1990-07-03;14.25;14.38;14.13;14.38;149800.0
1990-07-05;14.38;14.38;14.0;14.38;207200.0
1990-07-06;14.38;14.38;14.13;14.38;65300.0
1990-07-09;14.38;14.38;14.13;14.13;14100.0
1990-07-10;14.13;14.25;13.88;14.25;212500.0
1990-07-11;14.13;14.38;14.13;14.25;153300.0
1990-07-12;14.38;15.5;14.13;15.5;155000.0
1990-07-13;15.5;16.0;15.38;15.38;176100.0
1990-07-16;15.38;15.63;15.25;15.38;92100.0
1990-07-17;15.25;15.5;15.13;15.38;48300.0
1990-07-18;15.13;15.38;14.75;14.88;133300.0
1990-07-19;14.38;15.88;14.25;15.88;231700.0
1990-07-20;16.0;16.25;15.63;16.0;280000.0
1990-07-23;16.0;16.13;15.5;15.75;349100.0
1990-07-24;16.0;16.5;15.75;16.38;298300.0
1990-07-25;16.75;16.88;16.13;16.13;256300.0
1990-07-26;16.13;16.63;16.13;16.25;161600.0
1990-07-27;16.5;16.5;16.25;16.38;47800.0
1990-07-30;16.38;16.5;16.25;16.38;72700.0
1990-07-31;16.38;16.63;16.38;16.5;44700.0
1990-08-01;16.63;16.75;16.25;16.63;66200.0
1990-08-02;17.0;17.38;16.88;17.25;279700.0
1990-08-03;17.25;18.88;17.13;17.75;862900.0
1990-08-06;17.75;18.0;17.63;17.63;517500.0
1990-08-07;17.88;17.88;16.38;16.38;291700.0
1990-08-08;16.13;16.75;15.38;15.63;636600.0
1990-08-09;15.5;16.38;15.38;16.38;864100.0
1990-08-10;16.38;16.63;16.13;16.38;136500.0
1990-08-13;16.5;17.13;16.25;16.88;53800.0
1990-08-14;17.25;18.13;17.13;17.75;246100.0
1990-08-15;17.88;17.88;17.63;17.75;418100.0
1990-08-16;17.75;17.75;17.5;17.63;149500.0
1990-08-17;17.38;17.5;17.0;17.5;195800.0
1990-08-20;17.25;17.63;17.25;17.25;85900.0
1990-08-21;17.13;17.38;17.0;17.25;254600.0
1990-08-22;17.25;17.25;16.75;16.88;261700.0
1990-08-23;16.88;16.88;15.38;15.75;226100.0
1990-08-24;15.75;16.5;15.63;16.38;251500.0
1990-08-27;16.5;16.75;15.88;15.88;69800.0
1990-08-28;16.0;16.5;15.75;16.5;109100.0
1990-08-29;16.5;16.63;16.25;16.63;82700.0
1990-08-30;16.63;16.63;16.38;16.63;73800.0
1990-08-31;16.38;16.63;16.25;16.38;109500.0
1990-09-04;16.25;16.5;16.25;16.5;14800.0
1990-09-05;16.5;16.88;16.38;16.75;112800.0
1990-09-06;16.75;17.25;16.75;17.13;252000.0
1990-09-07;16.75;17.13;16.63;16.88;184000.0
1990-09-10;17.13;17.13;16.88;17.13;236100.0
1990-09-11;17.13;17.13;16.75;16.88;227600.0
1990-09-12;16.88;17.13;16.88;16.88;164100.0
1990-09-13;17.13;17.88;16.88;17.75;480300.0
1990-09-14;17.5;17.88;17.5;17.63;107400.0
1990-09-17;17.75;18.13;17.5;18.0;142400.0
1990-09-18;18.0;18.0;17.5;17.75;60100.0
1990-09-19;17.63;17.63;17.13;17.25;220800.0
1990-09-20;17.25;17.38;16.75;17.38;154800.0
1990-09-21;17.25;17.75;17.25;17.5;89100.0
