date;open;high;low;close;volume
1988-12-16;13.63;13.75;13.5;13.63;593.0
1988-12-19;13.87;14.0;13.63;13.75;1481.0
1988-12-20;13.75;14.0;13.63;14.0;13017.0
1988-12-21;14.12;14.12;13.87;14.0;2219.0
1988-12-22;14.0;14.12;13.87;14.0;9547.0
1988-12-23;13.75;13.87;13.75;13.75;619.0
1988-12-27;13.87;13.87;13.75;13.87;1600.0
1988-12-28;13.75;13.87;13.63;13.63;1607.0
1988-12-29;13.75;13.87;13.5;13.5;2752.0
1988-12-30;13.5;14.38;13.5;14.38;5788.0
1989-01-03;14.38;14.5;14.25;14.25;1686.0
1989-01-04;14.38;14.63;14.38;14.5;797.0
1989-01-05;14.38;14.63;14.25;14.38;1521.0
1989-01-06;14.5;14.5;14.38;14.5;533.0
1989-01-09;14.38;14.5;14.25;14.25;1067.0
1989-01-10;14.5;14.75;14.38;14.75;3081.0
1989-01-11;14.87;15.0;14.87;14.87;481.0
1989-01-12;15.0;15.25;15.0;15.0;2456.0
1989-01-13;14.87;15.0;14.75;14.75;4800.0
1989-01-16;14.87;14.87;14.5;14.75;948.0
1989-01-17;14.75;14.75;14.5;14.75;1284.0
1989-01-18;14.63;14.75;14.38;14.5;1330.0
1989-01-19;14.5;14.75;14.5;14.75;619.0
1989-01-20;14.63;14.63;14.25;14.63;718.0
1989-01-23;14.38;14.75;14.38;14.75;2673.0
1989-01-24;14.87;14.87;14.75;14.75;540.0
1989-01-25;14.87;15.12;14.87;15.0;1067.0
1989-01-26;15.0;15.12;14.87;14.87;1817.0
1989-01-27;14.87;15.0;14.75;15.0;928.0
1989-01-30;15.0;15.87;15.0;15.63;8988.0
1989-01-31;15.75;15.87;15.5;15.87;1343.0
1989-02-01;15.63;15.87;15.5;15.75;5340.0
1989-02-02;15.63;15.87;15.5;15.75;2410.0
1989-02-03;15.63;15.63;15.5;15.5;1607.0
1989-02-06;15.5;15.63;15.25;15.5;5873.0
1989-02-07;15.38;15.5;15.25;15.38;1607.0
1989-02-08;15.38;15.5;15.38;15.5;928.0
1989-02-09;15.25;15.38;15.12;15.25;718.0
1989-02-10;15.12;15.38;15.12;15.38;1152.0
1989-02-13;15.12;15.25;15.0;15.25;1784.0
1989-02-14;15.0;15.38;15.0;15.38;658.0
1989-02-15;15.12;15.25;14.38;14.5;6617.0
1989-02-16;14.5;14.63;14.25;14.25;1956.0
1989-02-17;14.25;14.38;14.12;14.38;1152.0
1989-02-21;14.25;14.38;14.0;14.25;3022.0
1989-02-22;14.12;14.12;13.87;13.87;2667.0
1989-02-23;14.0;14.0;13.75;13.75;1284.0
1989-02-24;13.63;13.75;13.5;13.75;5077.0
1989-02-27;13.63;13.87;13.25;13.38;2278.0
1989-02-28;13.5;13.63;13.12;13.63;1877.0
1989-03-01;13.5;13.63;13.25;13.63;1956.0
1989-03-02;13.5;13.5;13.38;13.5;217.0
1989-03-03;13.5;13.87;13.5;13.87;1481.0
1989-03-06;13.87;13.87;13.63;13.75;889.0
1989-03-07;13.75;13.75;13.63;13.63;948.0
1989-03-08;13.75;13.75;13.5;13.63;1067.0
1989-03-09;13.63;13.75;13.38;13.75;395.0
1989-03-10;13.87;13.87;13.75;13.75;533.0
1989-03-13;13.75;13.75;13.38;13.63;3022.0
1989-03-14;13.63;13.75;13.5;13.63;20945.0
1989-03-15;13.75;13.75;13.75;13.75;1725.0
1989-03-16;13.63;13.75;13.63;13.75;533.0
1989-03-17;13.38;13.63;13.25;13.5;1607.0
1989-03-20;13.5;13.63;13.25;13.38;658.0
1989-03-21;13.5;13.63;13.38;13.5;14130.0
1989-03-22;13.5;13.5;13.38;13.5;810.0
1989-03-23;13.5;13.63;13.38;13.63;1251.0
1989-03-27;13.63;13.75;13.5;13.63;658.0
1989-03-28;13.5;13.63;13.5;13.5;263.0
1989-03-29;13.63;13.63;13.25;13.38;20267.0
1989-03-30;13.38;13.38;13.25;13.25;6262.0
1989-03-31;13.25;13.38;13.25;13.38;593.0
1989-04-03;13.5;13.5;13.25;13.25;1152.0
1989-04-04;13.38;13.38;13.25;13.25;889.0
1989-04-05;13.38;13.38;13.25;13.38;1067.0
1989-04-06;13.25;13.38;13.25;13.38;5393.0
1989-04-07;13.25;13.38;13.25;13.25;619.0
1989-04-10;13.25;13.5;13.12;13.38;2456.0
1989-04-11;13.5;13.5;13.5;13.5;948.0
1989-04-12;13.5;13.63;13.5;13.5;3259.0
1989-04-13;13.5;13.63;13.5;13.5;2884.0
1989-04-14;13.75;13.75;13.63;13.75;988.0
1989-04-17;13.75;13.87;13.75;13.87;3022.0
1989-04-18;13.87;14.0;13.75;13.75;3286.0
