date;open;high;low;close;volume
2007-01-24;15.0;16.0;14.88;15.97;4656700.0
2007-01-25;15.65;15.97;15.65;15.9;878700.0
2007-01-26;15.94;16.0;15.7;15.85;482100.0
2007-01-29;15.75;15.81;15.51;15.52;459700.0
2007-01-30;15.5;15.5;15.05;15.43;526900.0
2007-01-31;15.28;15.41;15.18;15.35;196000.0
2007-02-01;15.32;15.5;15.26;15.5;330100.0
2007-02-02;15.43;15.49;15.25;15.4;110100.0
2007-02-05;15.44;15.47;15.35;15.42;174900.0
2007-02-06;15.35;15.46;15.35;15.43;118200.0
2007-02-07;15.35;15.44;15.35;15.41;170700.0
2007-02-08;15.42;15.47;15.35;15.46;145300.0
2007-02-09;15.4;15.45;15.4;15.44;113100.0
2007-02-12;15.44;15.44;15.3601;15.4;70900.0
2007-02-13;15.35;15.51;15.35;15.5;194100.0
2007-02-14;15.448;15.484;15.4;15.45;85200.0
2007-02-15;15.4352;15.65;15.435;15.57;98700.0
2007-02-16;15.5;15.65;15.45;15.47;78300.0
2007-02-20;15.45;15.58;15.45;15.55;29100.0
2007-02-21;15.39;15.51;15.39;15.48;57000.0
2007-02-22;15.5;15.64;15.47;15.64;340200.0
2007-02-23;15.6;15.61;15.5;15.5;157300.0
2007-02-26;15.5;15.59;15.4;15.52;102900.0
2007-02-27;15.45;15.5;15.25;15.29;100000.0
2007-02-28;15.45;15.45;15.31;15.4;80800.0
2007-03-01;15.18;15.38;15.18;15.24;67900.0
2007-03-02;15.2733;15.39;15.18;15.24;53700.0
2007-03-05;15.18;15.36;15.0;15.02;154300.0
2007-03-06;15.05;15.13;15.02;15.1;134200.0
2007-03-07;15.15;15.15;15.01;15.03;99300.0
2007-03-08;15.03;15.2;15.03;15.1;52200.0
2007-03-09;15.02;15.39;15.02;15.39;100300.0
2007-03-12;15.3;15.35;15.23;15.33;52600.0
2007-03-13;15.2172;15.36;15.1;15.31;70500.0
2007-03-14;15.11;15.12;14.91;15.0;89200.0
2007-03-15;15.05;15.25;14.9;15.18;105900.0
