date;open;high;low;close;volume
1997-07-03;10.75;10.75;10.5;10.75;957500.0
1997-07-07;10.75;10.75;10.5;10.56;51300.0
1997-07-08;10.5;10.75;10.5;10.5;143400.0
1997-07-09;10.5;10.75;10.5;10.5;143000.0
1997-07-10;10.5;10.75;10.5;10.5;129800.0
1997-07-11;10.5;10.75;10.5;10.5;85000.0
1997-07-14;10.62;10.62;10.5;10.5;69900.0
1997-07-15;10.62;10.62;10.5;10.5;68700.0
1997-07-16;10.62;10.62;10.5;10.5;21700.0
1997-07-17;10.5;10.62;10.5;10.5;44300.0
1997-07-18;10.5;10.62;10.5;10.5;43300.0
1997-07-21;10.5;10.62;10.5;10.5;66300.0
1997-07-22;10.62;10.62;10.5;10.5;58000.0
1997-07-23;10.5;10.62;10.5;10.62;26200.0
1997-07-24;10.5;10.62;10.5;10.5;39900.0
1997-07-25;10.5;10.62;10.5;10.5;22300.0
1997-07-28;10.5;10.62;10.5;10.5;85700.0
1997-07-29;10.5;10.62;9.75;9.94;314500.0
1997-07-30;10.0;10.25;9.75;10.0;218500.0
1997-07-31;10.25;10.25;9.75;10.0;81800.0
1997-08-01;10.0;10.5;10.0;10.25;35700.0
1997-08-04;10.25;10.25;9.88;9.88;30700.0
1997-08-05;10.25;10.25;9.88;10.0;34500.0
1997-08-06;10.12;10.62;9.88;10.62;226500.0
1997-08-07;10.25;10.62;10.25;10.38;55900.0
1997-08-08;10.12;10.5;10.12;10.5;67200.0
1997-08-11;10.75;10.75;10.25;10.5;40900.0
1997-08-12;10.75;10.75;10.38;10.38;13200.0
1997-08-13;10.38;10.75;10.38;10.5;20400.0
1997-08-14;10.38;10.75;10.38;10.5;29300.0
1997-08-15;10.75;10.75;10.5;10.62;7400.0
1997-08-18;10.62;11.62;10.62;11.25;73000.0
1997-08-19;11.5;11.5;11.12;11.5;36400.0
1997-08-20;11.62;11.62;11.12;11.12;41300.0
1997-08-21;11.5;11.5;11.0;11.38;41600.0
1997-08-22;11.12;11.38;11.0;11.12;26600.0
1997-08-25;11.38;11.38;10.88;11.25;39300.0
1997-08-26;11.38;11.62;10.88;11.12;107100.0
1997-08-27;11.62;11.62;11.12;11.62;34700.0
1997-08-28;11.62;12.0;11.5;11.88;90000.0
1997-08-29;12.0;12.0;11.62;11.88;42700.0
1997-09-02;12.0;12.0;11.5;12.0;23300.0
1997-09-03;12.38;12.75;11.75;11.75;40000.0
1997-09-04;12.38;13.25;12.25;13.25;52500.0
1997-09-05;13.25;13.38;12.75;13.12;35800.0
1997-09-08;13.38;13.38;13.25;13.38;27400.0
1997-09-09;13.12;13.38;13.12;13.38;54800.0
1997-09-10;13.38;13.44;13.0;13.38;55600.0
1997-09-11;13.38;13.75;13.12;13.5;108300.0
1997-09-12;13.62;13.75;13.25;13.75;43400.0
1997-09-15;13.75;14.5;13.38;13.88;68100.0
1997-09-16;14.25;14.25;14.0;14.12;42900.0
1997-09-17;14.12;14.12;13.25;13.25;23200.0
1997-09-18;13.62;13.62;13.25;13.62;2200.0
1997-09-19;13.62;13.62;13.38;13.62;12400.0
1997-09-22;13.62;13.62;13.12;13.62;52300.0
1997-09-23;13.38;13.62;13.38;13.5;29900.0
1997-09-24;13.62;13.62;13.38;13.38;52700.0
1997-09-25;13.62;13.62;13.25;13.25;5000.0
1997-09-26;13.25;13.5;12.5;12.75;17300.0
1997-09-29;12.75;13.12;12.75;13.0;9700.0
1997-09-30;13.0;13.12;12.75;13.0;55200.0
1997-10-01;12.75;12.88;12.75;12.88;5500.0
1997-10-02;12.75;12.88;12.75;12.75;4100.0
1997-10-03;12.75;12.88;12.0;12.25;22800.0
1997-10-06;12.0;12.25;11.12;11.75;52500.0
1997-10-07;11.75;12.38;11.75;12.25;24400.0
1997-10-08;12.38;12.38;11.12;12.12;32500.0
1997-10-09;12.12;12.12;10.88;11.0;27600.0
1997-10-10;10.88;11.25;10.88;11.25;11700.0
1997-10-13;11.25;11.25;11.0;11.0;7800.0
1997-10-14;11.0;12.0;11.0;11.75;12600.0
1997-10-15;11.75;11.88;11.5;11.88;13200.0
1997-10-16;11.88;11.88;10.88;10.88;198100.0
1997-10-17;10.94;11.12;10.38;10.94;44600.0
1997-10-20;11.12;11.12;10.88;11.06;15900.0
1997-10-21;11.06;11.12;10.88;11.0;6400.0
1997-10-22;11.0;11.0;10.62;11.0;25300.0
1997-10-23;10.5;11.0;10.5;10.75;15500.0
1997-10-24;11.0;11.25;10.69;11.0;38700.0
1997-10-27;10.62;10.94;10.62;10.62;33500.0
1997-10-28;10.5;10.56;9.88;10.12;131100.0
1997-10-29;10.12;10.12;9.88;10.0;125700.0
1997-10-30;10.0;10.12;9.75;10.0;48100.0
1997-10-31;10.12;10.12;10.0;10.06;18000.0
1997-11-03;10.12;10.12;10.0;10.12;51100.0
1997-11-04;10.12;10.12;9.88;10.06;20900.0
1997-11-05;10.12;10.12;9.88;10.0;7700.0
1997-11-06;10.12;10.25;10.0;10.0;16000.0
1997-11-07;10.25;10.25;9.94;10.12;17800.0
1997-11-10;10.12;10.12;9.75;9.75;22900.0
1997-11-11;9.62;10.0;9.62;9.88;17400.0
1997-11-12;9.5;9.88;9.5;9.56;8800.0
1997-11-13;9.69;9.69;8.75;9.12;96400.0
1997-11-14;9.38;9.5;9.38;9.38;13400.0
1997-11-17;9.62;9.62;8.31;9.12;255100.0
1997-11-18;9.0;9.0;8.25;8.5;54300.0
1997-11-19;8.5;8.88;8.25;8.88;47000.0
1997-11-20;8.38;11.25;8.38;10.38;32300.0
1997-11-21;10.5;11.12;10.12;10.25;22900.0
1997-11-24;10.12;10.25;9.88;10.0;3000.0
1997-11-25;9.88;10.12;9.88;9.88;5500.0
1997-11-26;9.62;9.75;9.62;9.69;47600.0
1997-11-28;9.75;9.88;9.62;9.62;3000.0
1997-12-01;9.62;10.0;9.62;9.81;6100.0
1997-12-02;10.12;10.88;9.88;10.31;74500.0
1997-12-03;10.5;10.5;10.12;10.38;3000.0
1997-12-04;10.25;10.25;10.0;10.0;14100.0
1997-12-05;9.88;10.0;9.5;9.81;21000.0
1997-12-08;9.31;9.88;9.31;9.75;25400.0
1997-12-09;9.75;10.0;9.69;9.69;28100.0
1997-12-10;9.75;10.12;9.75;9.88;47500.0
1997-12-11;10.0;10.0;9.38;9.5;9300.0
1997-12-12;9.75;9.75;8.88;9.0;44600.0
1997-12-15;8.88;9.12;7.62;8.38;146000.0
1997-12-16;8.38;8.38;8.0;8.06;209200.0
1997-12-17;8.0;8.25;8.0;8.19;41700.0
1997-12-18;8.25;8.25;8.0;8.06;117700.0
1997-12-19;8.12;9.06;8.0;8.5;151400.0
1997-12-22;8.5;8.81;8.5;8.75;57800.0
1997-12-23;8.81;8.81;8.62;8.69;31600.0
1997-12-24;8.62;8.94;8.62;8.75;58700.0
1997-12-26;8.88;9.38;8.88;9.25;45500.0
1997-12-29;9.88;9.88;8.62;8.62;75900.0
1997-12-30;8.12;8.62;7.75;8.62;203500.0
1997-12-31;8.25;9.12;8.25;9.12;151600.0
1998-01-02;8.75;8.91;8.25;8.56;109500.0
1998-01-05;8.62;9.12;8.62;8.75;108600.0
1998-01-06;8.88;8.88;8.5;8.62;37000.0
1998-01-07;9.0;9.0;8.5;8.69;150500.0
1998-01-08;9.0;9.62;8.75;9.0;109700.0
1998-01-09;8.88;9.25;8.75;9.0;20700.0
1998-01-12;8.75;9.12;8.75;8.75;59700.0
1998-01-13;8.75;9.0;8.75;8.75;140000.0
1998-01-14;9.0;9.0;8.75;8.88;210900.0
1998-01-15;8.81;8.94;8.81;8.88;145800.0
1998-01-16;8.88;8.88;8.75;8.88;68500.0
1998-01-20;8.88;9.0;8.81;9.0;165600.0
1998-01-21;9.0;9.0;8.88;8.94;7300.0
1998-01-22;8.94;8.94;8.62;8.62;26100.0
1998-01-23;8.62;8.62;8.0;8.38;62600.0
1998-01-26;8.25;8.5;8.12;8.19;23600.0
1998-01-27;8.19;8.38;8.0;8.25;263500.0
1998-01-28;8.38;8.38;8.25;8.38;14800.0
1998-01-29;8.25;9.12;8.25;8.62;103800.0
1998-01-30;8.62;8.88;8.38;8.62;43700.0
1998-02-02;8.62;9.0;8.62;9.0;9900.0
1998-02-03;8.5;8.94;8.5;8.94;70200.0
1998-02-04;8.94;9.06;8.88;8.94;425600.0
1998-02-05;9.0;9.0;8.12;8.12;92100.0
1998-02-06;8.25;8.5;8.25;8.38;13700.0
1998-02-09;8.5;8.62;8.0;8.0;162800.0
1998-02-10;8.0;8.44;8.0;8.31;37400.0
1998-02-11;8.25;8.44;8.25;8.38;85800.0
1998-02-12;8.38;8.75;8.25;8.75;49900.0
1998-02-13;8.75;9.0;8.62;8.88;129500.0
1998-02-17;8.88;8.94;8.75;8.88;42500.0
1998-02-18;8.94;9.0;8.75;8.88;305300.0
1998-02-19;8.88;8.94;8.38;8.5;96800.0
1998-02-20;8.62;8.62;8.38;8.38;17700.0
1998-02-23;8.5;8.62;8.38;8.62;10000.0
1998-02-24;8.38;8.62;8.31;8.44;226100.0
1998-02-25;8.62;8.62;8.5;8.5;12000.0
1998-02-26;8.5;8.5;8.25;8.25;39200.0
1998-02-27;8.38;8.5;8.31;8.44;32300.0
1998-03-02;8.44;8.75;8.25;8.5;46300.0
1998-03-03;8.75;8.75;8.25;8.5;30700.0
1998-03-04;8.62;8.62;8.38;8.38;7900.0
1998-03-05;8.62;8.62;8.25;8.38;5300.0
1998-03-06;8.38;8.38;8.12;8.25;150600.0
1998-03-09;8.12;8.5;8.06;8.19;149400.0
1998-03-10;8.19;8.38;8.0;8.25;5500.0
1998-03-11;8.25;8.75;8.25;8.62;52900.0
1998-03-12;8.38;8.62;8.38;8.5;15800.0
1998-03-13;8.62;8.62;8.38;8.44;79100.0
1998-03-16;8.44;8.62;8.44;8.62;57000.0
1998-03-17;8.56;8.69;8.44;8.62;254800.0
1998-03-18;8.56;8.62;8.56;8.56;5300.0
1998-03-19;8.56;8.62;8.5;8.62;32200.0
1998-03-20;8.62;8.69;8.38;8.38;61300.0
1998-03-23;8.56;8.56;8.38;8.44;12900.0
