date;open;high;low;close;volume
2002-06-21;16.59;16.8;15.93;16.3;176500.0
2002-06-24;16.05;16.28;15.85;16.25;134100.0
2002-06-25;16.2;16.2;15.95;16.15;122700.0
2002-06-26;16.02;16.02;15.62;15.63;77200.0
2002-06-27;15.74;16.93;15.62;16.39;187300.0
2002-06-28;16.36;17.29;16.36;17.24;241000.0
2002-07-01;16.9;17.25;16.3;16.9;93200.0
2002-07-02;16.7;17.1;16.18;16.9;101000.0
2002-07-03;16.7;17.05;16.45;17.05;155800.0
2002-07-05;17.05;17.19;17.0;17.19;24100.0
2002-07-08;17.1;17.29;16.85;17.0;84400.0
2002-07-09;17.15;17.2;16.55;16.85;65500.0
2002-07-10;16.85;16.95;16.4;16.55;62600.0
2002-07-11;16.75;16.75;16.35;16.42;19800.0
2002-07-12;16.42;16.78;16.27;16.35;32100.0
2002-07-15;16.32;16.32;14.51;15.17;171000.0
2002-07-16;15.01;15.98;15.0;15.98;35200.0
2002-07-17;16.0;17.05;14.77;16.4;117900.0
2002-07-18;16.51;17.4;16.5;17.25;175000.0
2002-07-19;17.24;17.24;16.4;16.96;73400.0
2002-07-22;16.75;17.0;15.2;15.2;169200.0
2002-07-23;15.04;15.16;13.45;13.95;177800.0
2002-07-24;13.5;13.75;12.75;13.34;133500.0
2002-07-25;13.25;14.95;13.16;14.8;29300.0
2002-07-26;14.74;15.3;14.6;15.05;45000.0
2002-07-29;15.35;15.65;15.07;15.5;128000.0
2002-07-30;15.55;15.7;15.0;15.6;65900.0
2002-07-31;15.35;15.9;14.96;15.8;39300.0
2002-08-01;15.85;15.85;14.15;14.4;83300.0
2002-08-02;14.68;14.68;13.89;14.0;20900.0
2002-08-05;13.9;14.7;13.52;14.45;37900.0
2002-08-06;14.7;15.35;14.34;15.35;24400.0
2002-08-07;15.35;15.45;14.91;15.24;93400.0
2002-08-08;15.0;15.01;14.2;14.5;29800.0
2002-08-09;14.39;14.46;14.26;14.43;9700.0
2002-08-12;14.36;14.49;14.36;14.48;1500.0
2002-08-13;14.36;14.55;14.3;14.42;8700.0
2002-08-14;14.36;14.79;14.36;14.49;24200.0
2002-08-15;14.59;14.62;14.23;14.47;39400.0
2002-08-16;14.47;14.55;14.41;14.55;19800.0
2002-08-19;14.55;14.55;14.45;14.5;10100.0
2002-08-20;14.55;14.55;14.43;14.54;166900.0
2002-08-21;14.5;14.6;13.92;14.35;204400.0
2002-08-22;14.25;14.55;14.25;14.55;48600.0
2002-08-23;14.4;14.55;14.05;14.29;10600.0
2002-08-26;14.2;14.45;13.16;14.0;125100.0
2002-08-27;13.9;14.09;13.71;13.95;102300.0
2002-08-28;13.91;14.1;13.55;13.75;34200.0
2002-08-29;13.61;14.26;13.38;14.0;193100.0
2002-08-30;14.02;14.02;12.8;13.0;160800.0
2002-09-03;13.04;13.05;12.72;12.85;217300.0
2002-09-04;12.86;13.05;12.75;13.0;182800.0
2002-09-05;13.08;13.08;12.61;13.0;56200.0
2002-09-06;13.0;13.0;12.4;12.69;94000.0
2002-09-09;12.72;12.72;11.83;12.2;165500.0
2002-09-10;12.5;12.5;11.7;12.0;14900.0
2002-09-11;12.0;12.1;11.75;12.08;50400.0
2002-09-12;12.1;12.25;12.0;12.25;41700.0
2002-09-13;12.12;12.29;12.0;12.01;133400.0
2002-09-16;12.0;12.26;12.0;12.13;32900.0
2002-09-17;12.28;12.3;12.04;12.24;26100.0
2002-09-18;12.1;12.3;11.98;12.0;66600.0
2002-09-19;11.96;12.0;10.63;10.84;47400.0
2002-09-20;10.82;11.26;10.81;11.23;270600.0
2002-09-23;11.05;11.29;11.05;11.16;59900.0
2002-09-24;11.15;11.2;11.02;11.1;149700.0
2002-09-25;11.1;11.1;10.8;10.9;113300.0
2002-09-26;11.01;11.35;11.01;11.25;7400.0
2002-09-27;11.17;11.69;11.11;11.67;35200.0
2002-09-30;11.55;11.55;10.99;11.35;20600.0
2002-10-01;11.16;12.51;10.5;12.26;59700.0
2002-10-02;12.2;12.7;9.52;10.35;240100.0
2002-10-03;10.17;11.1;10.17;11.1;45900.0
2002-10-04;11.15;12.49;11.15;12.3;323500.0
2002-10-07;12.25;12.29;11.44;11.59;41500.0
2002-10-08;11.65;12.03;10.9;11.95;45100.0
2002-10-09;11.91;12.0;11.26;11.73;27700.0
2002-10-10;11.67;12.05;11.67;11.8;46200.0
2002-10-11;11.73;11.75;10.75;11.5;142600.0
2002-10-14;11.27;11.35;11.13;11.25;21400.0
2002-10-15;11.41;11.53;11.1;11.23;130100.0
2002-10-16;11.15;11.49;10.65;11.45;79600.0
2002-10-17;11.31;12.46;11.2;12.46;91800.0
2002-10-18;12.01;12.54;12.01;12.53;11600.0
2002-10-21;12.5;12.5;11.74;12.0;97300.0
2002-10-22;11.99;11.99;11.04;11.5;309600.0
2002-10-23;11.3;11.5;11.19;11.25;36600.0
2002-10-24;11.49;12.23;11.34;11.9;213300.0
2002-10-25;12.0;12.2;11.82;12.1;35400.0
2002-10-28;11.98;12.05;11.98;11.98;21900.0
2002-10-29;12.05;12.35;11.81;11.88;110900.0
2002-10-30;12.05;12.13;11.25;11.25;192000.0
2002-10-31;11.23;11.8;11.23;11.8;114300.0
2002-11-01;11.77;11.82;11.5;11.59;23100.0
2002-11-04;11.63;11.84;11.3;11.5;373500.0
2002-11-05;11.53;11.53;11.33;11.45;130100.0
2002-11-06;11.47;11.6;10.78;10.9;220700.0
2002-11-07;10.86;11.1;9.11;10.96;694400.0
2002-11-08;10.9;11.49;10.9;11.0;591400.0
2002-11-11;11.07;11.82;11.0;11.58;111500.0
2002-11-12;11.5;11.62;10.79;11.26;183900.0
2002-11-13;11.03;11.89;11.02;11.55;85400.0
2002-11-14;11.6;12.3;11.45;11.94;182400.0
2002-11-15;11.94;12.24;11.83;11.96;31100.0
2002-11-18;11.99;12.23;11.51;11.91;52300.0
2002-11-19;11.94;12.0;11.66;11.73;23500.0
2002-11-20;11.61;11.85;11.3;11.69;64500.0
2002-11-21;11.6;11.75;11.35;11.35;7600.0
2002-11-22;11.35;11.42;11.1;11.23;29300.0
2002-11-25;11.16;11.7;11.1;11.44;91100.0
2002-11-26;11.61;11.75;11.4;11.75;56500.0
2002-11-27;11.75;12.58;11.6;12.58;99600.0
2002-11-29;12.59;13.0;12.45;12.85;38500.0
2002-12-02;13.0;13.4;12.75;13.3;70100.0
2002-12-03;13.2;13.92;13.2;13.45;172400.0
2002-12-04;13.45;13.56;13.25;13.42;122700.0
2002-12-05;13.35;13.71;12.85;12.85;42500.0
2002-12-06;12.9;13.08;12.89;12.95;53100.0
2002-12-09;12.98;12.99;12.84;12.84;23800.0
2002-12-10;12.41;12.59;12.07;12.4;955900.0
2002-12-11;12.49;12.52;12.25;12.25;53800.0
2002-12-12;12.48;12.48;11.88;12.0;55000.0
2002-12-13;12.0;12.0;11.54;11.78;49500.0
2002-12-16;11.84;12.13;11.8;12.01;45300.0
2002-12-17;12.16;12.5;12.16;12.5;55100.0
2002-12-18;12.28;12.5;12.1;12.5;129800.0
2002-12-19;12.15;12.6;11.89;12.0;73700.0
2002-12-20;12.01;12.69;12.01;12.6;90700.0
2002-12-23;12.4;12.72;12.29;12.65;55000.0
2002-12-24;12.65;13.0;12.47;12.9;55100.0
2002-12-26;13.01;13.07;12.89;12.94;69800.0
2002-12-27;12.91;12.91;12.62;12.75;25600.0
2002-12-30;12.71;13.35;12.71;13.3;90600.0
2002-12-31;13.29;13.57;13.15;13.3;97400.0
2003-01-02;13.42;13.5;13.25;13.35;26300.0
2003-01-03;13.49;13.7;13.32;13.45;57500.0
2003-01-06;13.49;13.49;13.15;13.38;30600.0
2003-01-07;13.39;13.45;13.26;13.44;9100.0
2003-01-08;13.46;13.78;13.15;13.78;28900.0
2003-01-09;13.78;14.68;13.63;14.4;130200.0
2003-01-10;14.4;14.73;14.18;14.73;108600.0
2003-01-13;14.75;14.75;14.14;14.4;40300.0
2003-01-14;14.31;14.4;14.05;14.3;10400.0
2003-01-15;14.25;14.25;13.38;13.71;196300.0
2003-01-16;13.82;14.25;13.52;14.25;90000.0
2003-01-17;14.0;14.25;14.0;14.2;87300.0
2003-01-21;14.25;14.25;13.51;14.0;65000.0
2003-01-22;13.99;14.15;13.96;14.0;78000.0
2003-01-23;14.0;14.1;13.97;14.07;36700.0
2003-01-24;14.13;14.13;13.92;13.98;21800.0
2003-01-27;13.97;13.97;13.27;13.6;18400.0
2003-01-28;13.5;14.0;13.5;13.73;69600.0
2003-01-29;13.75;13.8;13.49;13.77;46100.0
2003-01-30;13.77;13.8;13.42;13.74;69600.0
2003-01-31;13.74;13.9;13.25;13.65;81700.0
2003-02-03;13.49;13.69;13.02;13.49;77000.0
2003-02-04;13.49;13.55;12.55;13.11;97300.0
2003-02-05;13.12;13.29;12.86;13.25;77700.0
2003-02-06;13.25;13.91;13.08;13.4;114800.0
2003-02-07;13.67;13.67;13.07;13.2;78800.0
2003-02-10;13.2;13.2;12.46;12.58;67900.0
2003-02-11;12.54;13.12;12.54;13.0;204900.0
2003-02-12;12.98;13.0;12.5;12.75;31100.0
2003-02-13;12.75;13.1;12.66;12.99;55000.0
2003-02-14;13.0;13.01;12.4;12.51;59200.0
2003-02-18;12.6;12.74;12.32;12.32;48400.0
2003-02-19;12.42;12.42;11.7;12.0;399200.0
2003-02-20;11.92;12.1;11.79;12.0;120600.0
2003-02-21;12.05;12.25;11.85;12.05;308000.0
2003-02-24;11.91;12.2;11.81;12.1;236400.0
2003-02-25;12.0;12.7;11.81;12.7;123500.0
2003-02-26;12.55;13.24;12.49;12.84;227100.0
2003-02-27;12.68;13.0;12.64;12.79;37100.0
2003-02-28;13.0;13.7;12.77;13.7;63500.0
2003-03-03;13.64;13.8;13.2;13.79;56800.0
2003-03-04;13.75;13.76;12.5;13.0;201700.0
2003-03-05;13.25;13.37;12.84;12.9;122200.0
2003-03-06;13.08;13.08;12.5;12.91;97200.0
2003-03-07;12.9;13.35;12.8;13.11;74800.0
2003-03-10;13.25;13.25;12.8;12.8;78100.0
2003-03-11;13.01;13.09;12.76;12.88;43900.0
2003-03-12;13.01;13.11;12.31;12.51;57500.0
2003-03-13;12.55;12.6;12.1;12.34;213300.0
2003-03-14;12.41;12.95;12.41;12.94;233800.0
2003-03-17;12.77;13.09;12.45;12.85;65400.0
2003-03-18;12.8;13.0;12.5;12.61;110800.0
2003-03-19;12.66;12.82;12.5;12.7;193900.0
2003-03-20;12.6;13.18;12.55;13.15;14800.0
2003-03-21;13.24;13.5;12.83;13.25;59100.0
2003-03-24;12.92;13.1;12.77;12.95;219600.0
2003-03-25;12.93;13.07;12.5;12.7;57500.0
2003-03-26;12.7;12.7;12.14;12.46;86500.0
2003-03-27;12.25;12.85;12.25;12.85;310200.0
2003-03-28;12.63;12.7;12.38;12.49;133200.0
2003-03-31;12.39;12.61;12.39;12.53;126500.0
2003-04-01;12.54;12.9;12.54;12.8;273500.0
2003-04-02;12.94;13.03;12.85;13.03;154400.0
2003-04-03;12.67;12.8;12.5;12.75;1826900.0
2003-04-04;12.6;13.19;12.59;13.15;153100.0
2003-04-07;13.1;13.2;12.85;12.98;173400.0
2003-04-08;12.9;12.95;12.62;12.8;117800.0
2003-04-09;12.6;12.9;12.55;12.58;104500.0
2003-04-10;12.55;12.84;12.3;12.83;94300.0
2003-04-11;12.76;12.95;12.65;12.78;37200.0
2003-04-14;12.79;12.99;12.64;12.75;142500.0
2003-04-15;12.95;14.63;12.85;14.5;670500.0
2003-04-16;14.55;15.0;14.3;14.9;257400.0
2003-04-17;14.9;15.36;14.36;15.29;209400.0
2003-04-21;15.2;15.35;14.99;15.19;78700.0
2003-04-22;15.1;15.4;14.73;15.25;120100.0
2003-04-23;15.4;15.67;15.2;15.35;167400.0
2003-04-24;15.4;15.43;14.74;14.8;71700.0
2003-04-25;14.7;15.41;14.7;15.41;75900.0
2003-04-28;15.5;16.1;15.12;16.05;138500.0
2003-04-29;16.05;16.5;15.95;16.2;107200.0
2003-04-30;16.15;16.25;15.58;15.9;279100.0
2003-05-01;15.85;16.1;15.75;15.85;102800.0
2003-05-02;15.75;15.94;15.54;15.75;181700.0
2003-05-05;15.81;16.0;15.36;15.78;116800.0
2003-05-06;15.75;16.54;15.66;16.48;420000.0
2003-05-07;16.45;19.0;16.45;17.65;662800.0
2003-05-08;17.75;17.8;16.99;17.33;173800.0
2003-05-09;17.45;17.64;16.85;17.64;143700.0
2003-05-12;17.4;18.25;17.4;17.96;229300.0
2003-05-13;18.25;18.4;17.89;18.39;76200.0
2003-05-14;18.45;18.45;18.04;18.16;65500.0
2003-05-15;18.45;18.45;18.06;18.3;129000.0
2003-05-16;18.22;18.7;18.19;18.34;157200.0
2003-05-19;18.2;18.5;17.93;18.0;149800.0
2003-05-20;18.04;18.2;17.91;17.99;133900.0
2003-05-21;17.95;18.1;17.75;18.0;54400.0
2003-05-22;18.0;18.05;17.81;17.98;106100.0
2003-05-23;17.98;17.98;17.55;17.63;60300.0
2003-05-27;17.58;18.5;17.55;18.42;229300.0
2003-05-28;18.43;18.5;17.9;17.9;100500.0
2003-05-29;17.8;18.3;17.7;18.15;180600.0
2003-05-30;18.15;18.51;17.97;18.5;191700.0
2003-06-02;18.5;19.0;18.25;18.55;98100.0
2003-06-03;18.65;18.75;18.25;18.7;78700.0
2003-06-04;18.42;18.87;18.4;18.7;143100.0
2003-06-05;18.7;18.7;17.96;18.0;139300.0
2003-06-06;18.0;18.24;17.46;18.11;215000.0
2003-06-09;18.21;18.21;17.6;18.0;98700.0
2003-06-10;17.93;18.65;17.93;18.4;117600.0
2003-06-11;18.52;18.71;17.99;18.02;123800.0
2003-06-12;18.35;18.35;17.96;17.98;123200.0
2003-06-13;18.2;18.36;17.9;17.97;141900.0
2003-06-16;18.45;18.47;17.75;18.47;278900.0
2003-06-17;18.5;19.8;18.34;19.66;260900.0
2003-06-18;19.8;20.35;19.4;19.98;265200.0
2003-06-19;20.2;20.2;18.6;19.0;151500.0
2003-06-20;18.09;18.79;17.0;18.71;694300.0
2003-06-23;18.58;18.6;17.94;18.3;308000.0
2003-06-24;18.3;19.5;18.3;18.82;215100.0
2003-06-25;18.76;18.99;18.1;18.25;207600.0
2003-06-26;18.43;18.8;18.32;18.56;191700.0
2003-06-27;18.74;19.0;18.4;18.91;244700.0
2003-06-30;19.0;19.5;18.41;18.85;1046000.0
2003-07-01;18.75;18.94;18.05;18.11;253300.0
2003-07-02;18.2;18.75;18.15;18.45;278100.0
2003-07-03;18.0;18.3;17.86;18.1;116300.0
2003-07-07;18.1;18.34;18.04;18.12;164200.0
2003-07-08;18.3;18.51;18.05;18.47;62500.0
2003-07-09;18.47;18.5;17.91;18.34;105100.0
2003-07-10;18.15;18.65;18.15;18.41;135600.0
2003-07-11;18.4;18.92;18.34;18.88;142200.0
2003-07-14;18.37;19.01;18.37;18.89;139100.0
2003-07-15;19.0;21.2;18.9;20.49;888900.0
2003-07-16;20.69;21.45;20.5;21.07;476800.0
2003-07-17;21.0;21.09;20.13;20.4;440300.0
2003-07-18;20.0;20.01;19.35;19.55;4083700.0
2003-07-21;19.55;19.75;18.8;19.5;358200.0
2003-07-22;19.7;19.75;19.5;19.69;203500.0
2003-07-23;19.65;19.9;19.6;19.9;395400.0
2003-07-24;19.9;19.95;19.69;19.75;219200.0
2003-07-25;19.85;19.89;19.65;19.85;169800.0
2003-07-28;19.9;20.19;19.75;20.19;286800.0
2003-07-29;20.12;20.15;19.24;19.99;173100.0
2003-07-30;19.83;20.12;19.5;19.65;70700.0
2003-07-31;19.7;19.93;19.5;19.53;151400.0
2003-08-01;19.87;19.87;18.5;19.07;315500.0
2003-08-04;18.95;18.99;18.62;18.9;172800.0
2003-08-05;18.62;18.85;17.37;18.47;1221800.0
2003-08-06;18.4;18.59;18.15;18.4;153900.0
2003-08-07;18.43;18.69;18.15;18.68;170000.0
2003-08-08;18.72;18.73;18.45;18.45;85900.0
2003-08-11;18.43;19.19;18.05;19.1;198100.0
2003-08-12;19.17;19.2;18.92;19.19;110200.0
2003-08-13;19.2;19.25;18.66;18.9;150400.0
2003-08-14;18.9;18.9;18.55;18.85;133100.0
2003-08-15;18.83;19.95;18.83;19.2;32400.0
2003-08-18;19.17;19.2;19.01;19.11;78000.0
2003-08-19;19.15;20.0;19.06;19.95;299600.0
2003-08-20;19.93;21.15;19.55;21.15;346700.0
2003-08-21;21.0;21.94;20.87;21.5;196400.0
2003-08-22;21.5;22.1;20.37;20.81;371800.0
2003-08-25;20.39;20.46;19.78;19.82;202000.0
2003-08-26;19.32;20.0;19.32;19.9;225200.0
2003-08-27;20.0;20.0;19.68;20.0;42700.0
2003-08-28;20.0;20.0;19.68;19.85;92900.0
2003-08-29;20.0;20.0;19.71;19.9;99900.0
2003-09-02;19.92;21.14;19.75;21.14;133600.0
2003-09-03;21.15;21.67;21.1;21.37;181800.0
2003-09-04;21.4;21.4;20.97;21.05;68900.0
2003-09-05;21.25;21.34;20.1;20.23;89100.0
2003-09-08;20.12;20.27;20.0;20.27;140300.0
2003-09-09;20.16;20.16;19.7;20.02;167900.0
2003-09-10;20.08;20.2;19.51;19.76;168100.0
2003-09-11;19.62;20.34;19.62;20.32;153600.0
2003-09-12;20.17;21.0;20.03;20.79;59000.0
2003-09-15;20.51;21.3;20.39;21.06;151500.0
2003-09-16;20.8;21.25;20.7;21.04;92200.0
2003-09-17;21.0;21.1;20.72;20.75;65100.0
2003-09-18;20.8;21.29;20.75;21.21;137900.0
2003-09-19;21.15;21.48;20.9;21.47;212300.0
2003-09-22;21.37;21.4;20.92;21.22;197100.0
2003-09-23;21.45;21.45;21.0;21.39;120900.0
2003-09-24;21.25;21.42;20.83;20.94;85400.0
2003-09-25;21.0;21.02;20.45;20.7;431600.0
2003-09-26;20.55;20.74;20.17;20.34;62400.0
2003-09-29;20.28;20.9;20.15;20.65;106500.0
2003-09-30;20.63;20.63;19.55;20.0;82400.0
2003-10-01;19.94;20.84;19.94;20.57;118200.0
2003-10-02;20.8;20.96;19.78;19.85;125800.0
2003-10-03;20.0;20.4;19.9;20.19;181400.0
2003-10-06;20.25;21.6;20.25;21.6;118600.0
2003-10-07;21.4;21.48;20.8;21.39;131000.0
