date;open;high;low;close;volume
1999-04-27;52.5;52.5;52.5;52.5;286.0
1999-04-28;52.5;52.63;52.5;52.63;215.0
1999-04-29;52.13;52.13;52.13;52.13;286.0
1999-04-30;52.13;52.13;52.13;52.13;0.0
1999-05-03;52.13;52.13;52.13;52.13;0.0
1999-05-04;52.63;54.06;52.38;52.38;4687.0
1999-05-05;52.38;53.38;52.25;53.25;429.0
1999-05-06;53.25;53.25;53.25;53.25;0.0
1999-05-07;53.25;53.25;53.25;53.25;0.0
1999-05-10;52.25;52.25;52.25;52.25;72.0
1999-05-11;52.25;52.25;52.25;52.25;0.0
1999-05-12;52.25;52.25;52.25;52.25;0.0
1999-05-13;52.25;52.25;52.25;52.25;0.0
1999-05-14;52.25;52.25;52.25;52.25;0.0
1999-05-17;52.25;52.25;52.25;52.25;0.0
1999-05-18;52.25;52.25;52.25;52.25;0.0
1999-05-19;52.25;52.25;52.0;52.0;501.0
1999-05-20;52.0;52.0;52.0;52.0;0.0
1999-05-21;52.88;52.88;52.88;52.88;286.0
1999-05-24;52.88;52.88;52.88;52.88;0.0
1999-05-25;52.88;52.88;52.88;52.88;0.0
1999-05-26;52.88;52.88;52.88;52.88;0.0
1999-05-27;52.0;52.0;52.0;52.0;72.0
1999-05-28;52.0;52.0;52.0;52.0;0.0
1999-06-01;52.0;52.0;52.0;52.0;0.0
1999-06-02;52.0;52.0;52.0;52.0;0.0
1999-06-03;52.0;52.0;52.0;52.0;215.0
1999-06-04;52.0;52.0;52.0;52.0;0.0
1999-06-07;52.0;52.0;52.0;52.0;0.0
1999-06-08;52.0;52.0;52.0;52.0;0.0
1999-06-09;52.0;52.0;52.0;52.0;0.0
1999-06-10;52.0;52.0;52.0;52.0;0.0
1999-06-11;52.0;52.0;52.0;52.0;72.0
1999-06-14;52.0;52.0;52.0;52.0;0.0
1999-06-15;52.0;52.0;52.0;52.0;1395.0
1999-06-16;52.0;52.0;52.0;52.0;0.0
1999-06-17;52.0;52.0;52.0;52.0;0.0
1999-06-18;52.0;52.0;52.0;52.0;0.0
1999-06-21;52.0;52.0;52.0;52.0;72.0
1999-06-22;52.0;52.0;52.0;52.0;0.0
1999-06-23;52.0;52.0;52.0;52.0;0.0
1999-06-24;52.0;52.0;52.0;52.0;0.0
1999-06-25;52.0;52.0;52.0;52.0;0.0
1999-06-28;52.38;52.38;52.38;52.38;72.0
1999-06-29;52.25;52.25;52.25;52.25;0.0
1999-06-30;52.25;52.25;52.25;52.25;0.0
1999-07-01;52.25;52.25;52.25;52.25;0.0
1999-07-02;52.25;52.25;52.25;52.25;0.0
1999-07-06;52.25;52.25;52.25;52.25;0.0
1999-07-07;52.25;52.25;52.25;52.25;0.0
1999-07-08;52.5;52.5;50.94;50.94;1109.0
1999-07-09;50.94;50.94;50.94;50.94;286.0
1999-07-12;50.94;50.94;50.94;50.94;0.0
1999-07-13;52.0;52.0;52.0;52.0;72.0
1999-07-14;52.0;52.0;52.0;52.0;0.0
1999-07-15;52.0;52.0;52.0;52.0;0.0
1999-07-16;52.0;52.0;52.0;52.0;0.0
1999-07-19;52.0;52.0;52.0;52.0;0.0
1999-07-20;52.0;52.0;52.0;52.0;0.0
1999-07-21;52.0;52.0;52.0;52.0;1216.0
1999-07-22;52.0;52.0;52.0;52.0;0.0
1999-07-23;52.0;52.0;52.0;52.0;0.0
1999-07-26;52.0;52.0;52.0;52.0;0.0
1999-07-27;52.0;52.0;52.0;52.0;0.0
1999-07-28;52.0;52.0;52.0;52.0;0.0
1999-07-29;52.0;52.0;52.0;52.0;0.0
1999-07-30;52.0;52.0;52.0;52.0;0.0
1999-08-02;52.0;52.0;52.0;52.0;0.0
1999-08-03;52.0;52.0;52.0;52.0;0.0
1999-08-04;52.0;52.0;52.0;52.0;0.0
1999-08-05;52.0;52.0;52.0;52.0;72.0
1999-08-06;50.94;52.0;50.94;52.0;1109.0
1999-08-09;52.0;52.0;52.0;52.0;143.0
1999-08-10;50.94;50.94;50.94;50.94;966.0
1999-08-11;50.94;50.94;50.94;50.94;0.0
1999-08-12;50.94;50.94;50.94;50.94;0.0
1999-08-13;50.94;50.94;50.94;50.94;0.0
1999-08-16;50.94;50.94;50.94;50.94;0.0
1999-08-17;50.94;50.94;50.94;50.94;0.0
1999-08-18;50.94;50.94;50.94;50.94;0.0
1999-08-19;50.94;50.94;50.94;50.94;0.0
1999-08-20;50.94;50.94;50.94;50.94;0.0
1999-08-23;50.94;50.94;50.94;50.94;0.0
1999-08-24;50.94;50.94;50.94;50.94;0.0
1999-08-25;50.94;51.19;50.94;51.19;572.0
1999-08-26;51.19;51.19;51.19;51.19;0.0
1999-08-27;51.19;51.19;51.19;51.19;0.0
1999-08-30;51.19;51.19;51.19;51.19;0.0
1999-08-31;51.19;51.19;51.19;51.19;0.0
1999-09-01;51.19;51.19;51.19;51.19;0.0
1999-09-02;51.19;51.19;51.19;51.19;0.0
1999-09-03;52.0;52.0;52.0;52.0;143.0
1999-09-07;50.94;52.0;50.94;52.0;644.0
1999-09-08;52.0;52.0;52.0;52.0;0.0
1999-09-09;52.0;52.0;52.0;52.0;0.0
1999-09-10;51.19;51.19;50.94;50.94;966.0
1999-09-13;50.94;50.94;50.94;50.94;72.0
1999-09-14;52.0;52.0;52.0;52.0;572.0
1999-09-15;52.0;52.0;52.0;52.0;0.0
1999-09-16;52.0;52.0;52.0;52.0;0.0
1999-09-17;51.44;51.44;51.44;51.44;215.0
1999-09-20;51.44;51.44;51.44;51.44;72.0
1999-09-21;51.44;51.44;51.44;51.44;0.0
1999-09-22;51.44;51.44;51.44;51.44;0.0
1999-09-23;52.0;52.0;52.0;52.0;215.0
1999-09-24;52.0;52.0;52.0;52.0;0.0
1999-09-27;52.0;52.0;52.0;52.0;0.0
1999-09-28;51.44;51.44;51.44;51.44;1038.0
1999-09-29;51.44;51.44;51.44;51.44;0.0
1999-09-30;51.44;51.44;51.44;51.44;0.0
1999-10-01;51.44;51.44;51.44;51.44;0.0
