date;open;high;low;close;volume
1985-07-01;33.13;34.0;33.13;34.0;39644.0
1985-07-02;34.0;34.37;33.88;34.37;53590.0
1985-07-03;34.37;34.5;34.0;34.0;51990.0
1985-07-05;34.12;34.63;34.12;34.63;20267.0
1985-07-08;34.25;34.25;34.0;34.25;14400.0
1985-07-09;34.25;34.25;33.75;33.88;27200.0
1985-07-10;33.75;33.75;33.37;33.63;16178.0
1985-07-11;33.63;34.0;33.63;33.75;26963.0
1985-07-12;33.75;34.0;33.25;33.63;120553.0
1985-07-15;33.5;33.5;33.0;33.25;77452.0
1985-07-16;33.25;33.5;32.88;33.5;69768.0
1985-07-17;33.5;34.25;33.5;33.63;73975.0
1985-07-18;33.63;33.88;33.13;33.37;24790.0
1985-07-19;33.37;33.75;33.37;33.5;43852.0
1985-07-22;33.5;33.5;33.25;33.37;16375.0
1985-07-23;33.37;33.5;33.25;33.37;35575.0
1985-07-24;33.37;33.37;33.25;33.37;12820.0
1985-07-25;33.37;33.5;33.13;33.37;118420.0
1985-07-26;33.5;33.75;33.5;33.5;21235.0
1985-07-29;33.5;33.88;33.5;33.88;29235.0
1985-07-30;33.88;33.88;33.63;33.75;11457.0
1985-07-31;33.75;33.88;33.63;33.75;10785.0
1985-08-01;33.75;34.25;33.63;34.12;37768.0
1985-08-02;34.12;34.5;34.12;34.12;12642.0
1985-08-05;34.12;34.25;33.75;33.88;34252.0
1985-08-06;33.88;34.12;33.5;33.75;73778.0
1985-08-07;33.75;34.0;33.75;33.75;38242.0
1985-08-08;33.75;34.12;33.75;34.12;30775.0
1985-08-09;34.12;34.37;34.0;34.0;12800.0
1985-08-12;34.0;34.25;33.88;33.88;19378.0
1985-08-13;33.88;33.88;33.63;33.63;23467.0
1985-08-14;33.5;33.5;33.0;33.13;31230.0
1985-08-15;33.13;33.25;33.13;33.13;7644.0
1985-08-16;33.13;33.25;33.0;33.0;7644.0
1985-08-19;33.0;33.37;32.88;33.37;50844.0
1985-08-20;33.37;33.37;33.13;33.13;9067.0
1985-08-21;33.13;33.37;33.13;33.37;74035.0
1985-08-22;33.63;33.88;33.63;33.63;18844.0
1985-08-23;33.75;34.0;33.75;33.88;9363.0
1985-08-26;33.88;34.5;33.88;34.0;42390.0
1985-08-27;34.0;34.12;33.75;34.12;10667.0
1985-08-28;34.12;34.12;33.75;33.88;12030.0
1985-08-29;33.88;34.0;33.75;33.75;22657.0
1985-08-30;33.75;33.88;33.37;33.63;14835.0
1985-09-03;33.37;33.37;32.88;32.88;14953.0
1985-09-04;33.0;33.63;33.0;33.25;51852.0
1985-09-05;33.25;33.37;32.75;32.88;23230.0
1985-09-06;32.88;33.25;32.88;33.25;58430.0
1985-09-09;33.25;33.63;33.25;33.63;122568.0
1985-09-10;33.63;33.75;33.5;33.5;24375.0
1985-09-11;33.5;33.75;33.0;33.0;30044.0
1985-09-12;33.0;33.25;32.25;32.25;39763.0
1985-09-13;32.25;32.62;31.37;32.0;22420.0
1985-09-16;31.88;31.88;31.37;31.37;12800.0
1985-09-17;31.37;31.88;31.13;31.13;19575.0
1985-09-18;31.13;31.37;31.0;31.25;28385.0
1985-09-19;31.37;31.88;31.37;31.88;12168.0
1985-09-20;31.88;32.25;31.62;32.25;20978.0
1985-09-23;32.5;33.25;32.5;33.25;49600.0
1985-09-24;33.25;33.5;32.75;33.25;16652.0
1985-09-25;33.0;33.0;32.88;33.0;4800.0
1985-09-26;33.0;33.5;32.5;32.88;23467.0
1985-09-30;32.88;33.25;32.62;32.75;20978.0
1985-10-01;32.88;33.13;32.88;33.0;12820.0
1985-10-02;33.0;33.37;33.0;33.0;13452.0
1985-10-03;33.0;33.37;32.75;33.0;14044.0
1985-10-04;33.0;33.13;32.5;32.5;25363.0
1985-10-07;32.5;32.62;32.0;32.0;14835.0
1985-10-08;31.88;31.88;31.25;31.5;4642.0
1985-10-09;31.75;32.0;31.75;32.0;2785.0
1985-10-10;32.0;32.0;31.75;31.75;19753.0
1985-10-11;31.75;32.13;31.75;32.13;34153.0
1985-10-14;32.13;32.13;31.75;31.88;13057.0
1985-10-15;32.0;32.5;32.0;32.25;20267.0
1985-10-16;32.25;32.37;32.13;32.25;17363.0
1985-10-17;32.25;33.0;32.13;32.13;20444.0
1985-10-18;32.13;32.62;32.0;32.37;17442.0
1985-10-21;32.37;32.75;32.37;32.37;22242.0
1985-10-22;32.37;32.75;32.25;32.5;27200.0
1985-10-23;32.5;32.75;32.5;32.5;44030.0
1985-10-24;32.5;33.0;32.25;32.25;70400.0
1985-10-25;32.25;32.5;31.75;32.0;44642.0
1985-10-28;32.0;32.13;31.5;31.5;22044.0
1985-10-29;31.5;31.75;31.37;31.37;39467.0
1985-10-30;31.37;31.75;31.25;31.5;40020.0
1985-10-31;31.62;31.88;31.62;31.62;22242.0
1985-11-01;31.75;32.0;31.75;32.0;71190.0
1985-11-04;31.88;31.88;31.25;31.25;65185.0
1985-11-05;31.25;31.5;31.25;31.37;8000.0
1985-11-06;31.37;31.62;31.37;31.5;27200.0
1985-11-07;31.88;32.25;31.88;32.0;212820.0
1985-11-08;32.13;32.88;32.13;32.88;53235.0
1985-11-11;33.0;33.5;33.0;33.25;25600.0
1985-11-12;33.5;33.88;33.5;33.75;27457.0
1985-11-13;33.63;33.63;33.13;33.5;129067.0
1985-11-14;33.5;33.5;33.13;33.25;50785.0
1985-11-15;33.25;33.5;33.13;33.5;58252.0
1985-11-18;33.5;33.63;33.25;33.5;14420.0
1985-11-19;33.63;34.75;33.63;34.75;105185.0
1985-11-20;34.75;35.25;34.75;34.88;51042.0
1985-11-21;34.88;35.63;34.63;35.5;50844.0
1985-11-22;35.75;36.25;35.75;35.88;48000.0
1985-11-25;35.88;35.88;32.25;35.0;65857.0
1985-11-26;35.0;35.25;34.63;35.25;19852.0
1985-11-27;35.25;35.63;35.12;35.5;58785.0
1985-11-29;35.5;36.0;35.5;36.0;29590.0
1985-12-02;36.0;36.0;35.63;35.63;7368.0
1985-12-03;35.63;35.88;35.63;35.88;50252.0
1985-12-04;36.0;36.75;36.0;36.12;178390.0
1985-12-05;36.12;36.5;35.63;36.5;74153.0
1985-12-06;36.38;36.38;36.0;36.12;47842.0
1985-12-09;36.38;37.0;36.38;36.63;63230.0
1985-12-10;36.63;37.12;36.5;37.0;47467.0
1985-12-11;37.0;38.25;36.75;37.75;59378.0
1985-12-12;37.75;38.25;37.5;37.5;35575.0
1985-12-13;37.38;37.38;36.75;36.75;72020.0
1985-12-16;36.75;37.0;36.75;36.87;43635.0
1985-12-17;36.87;37.0;36.38;36.75;48968.0
1985-12-18;36.75;37.38;36.38;37.12;62163.0
1985-12-19;37.12;37.5;37.12;37.12;34390.0
1985-12-20;37.12;39.0;37.12;39.0;91220.0
1985-12-23;38.75;38.75;38.0;38.38;38835.0
1985-12-24;38.38;38.75;37.87;37.87;40830.0
1985-12-26;38.0;38.25;38.0;38.0;3852.0
1985-12-27;38.0;38.25;37.87;38.0;8553.0
1985-12-30;38.0;38.38;37.63;37.87;14242.0
1985-12-31;37.87;38.5;37.25;38.5;69630.0
1986-01-02;38.5;38.5;38.0;38.25;56968.0
1986-01-03;38.25;38.5;38.12;38.5;30775.0
1986-01-06;38.5;38.75;38.12;38.5;49244.0
1986-01-07;38.5;38.75;38.25;38.5;39052.0
1986-01-08;38.5;38.75;38.12;38.12;44267.0
1986-01-09;38.12;38.38;37.38;38.0;81244.0
1986-01-10;38.0;38.12;37.25;37.38;30420.0
1986-01-13;37.38;38.0;37.25;37.63;121363.0
1986-01-14;37.63;37.63;37.25;37.63;28978.0
1986-01-15;37.63;37.75;36.5;36.5;139990.0
1986-01-16;36.63;37.0;36.63;36.87;79763.0
1986-01-17;36.87;36.87;36.0;36.0;29590.0
1986-01-20;36.0;36.5;35.88;36.12;28820.0
1986-01-21;36.12;37.0;36.0;36.0;85867.0
1986-01-22;36.0;36.0;34.75;34.88;59635.0
1986-01-23;35.0;35.25;35.0;35.12;50430.0
1986-01-24;35.12;35.37;34.37;34.88;30044.0
1986-01-27;34.88;37.0;34.88;36.87;34390.0
1986-01-28;36.87;38.25;36.63;38.0;49185.0
1986-01-29;38.0;39.13;38.0;38.0;161778.0
1986-01-30;38.0;38.38;38.0;38.0;30163.0
1986-01-31;38.0;39.0;37.5;39.0;29353.0
1986-02-03;38.87;38.87;38.12;38.75;46835.0
1986-02-04;38.75;38.87;37.75;38.5;42252.0
1986-02-05;38.5;38.75;37.87;38.12;6835.0
1986-02-06;38.12;38.5;37.87;38.5;28978.0
1986-02-07;38.5;39.25;38.12;39.13;46400.0
1986-02-10;39.13;39.5;38.75;39.5;25857.0
1986-02-11;39.5;39.75;39.0;39.5;77353.0
1986-02-12;39.5;40.87;39.38;40.87;101452.0
1986-02-13;40.87;40.87;40.0;40.87;63467.0
1986-02-14;40.87;41.5;40.5;41.5;37768.0
1986-02-18;41.5;41.75;40.87;41.75;63842.0
1986-02-19;41.75;42.37;41.38;41.5;68030.0
1986-02-20;41.25;41.25;40.5;41.25;56020.0
1986-02-21;41.25;41.5;39.87;40.13;92030.0
1986-02-24;40.62;41.75;40.62;41.38;39467.0
1986-02-25;41.38;41.75;40.62;41.75;35753.0
1986-02-26;41.75;43.0;41.5;42.88;90153.0
1986-02-27;42.88;44.5;41.25;44.25;62578.0
1986-02-28;44.25;45.25;44.25;45.12;98667.0
1986-03-03;45.12;45.12;44.0;44.88;58844.0
1986-03-04;44.62;44.62;44.0;44.25;57975.0
1986-03-05;44.25;44.62;44.0;44.62;26035.0
1986-03-06;44.62;44.75;44.0;44.25;32968.0
1986-03-07;44.25;44.25;43.0;43.37;77057.0
1986-03-10;43.37;43.37;42.0;42.0;25067.0
1986-03-11;42.0;43.0;42.0;43.0;49857.0
1986-03-12;43.0;43.88;43.0;43.25;72830.0
1986-03-13;43.5;44.37;43.5;44.13;87644.0
1986-03-14;44.13;46.5;43.75;44.62;118578.0
1986-03-17;44.62;44.62;43.75;44.25;19575.0
1986-03-18;44.25;44.88;44.13;44.5;79368.0
1986-03-19;44.5;45.0;44.5;45.0;48830.0
1986-03-20;45.0;45.25;44.5;44.75;10667.0
1986-03-21;44.75;45.5;44.5;45.5;32790.0
1986-03-24;45.5;45.5;44.37;44.88;28642.0
1986-03-25;44.88;45.37;44.62;45.37;38163.0
1986-03-26;45.37;45.63;45.0;45.63;74667.0
1986-03-27;45.63;45.75;45.25;45.25;28385.0
1986-03-31;45.25;45.25;44.88;44.88;25600.0
1986-04-01;45.0;45.0;44.37;44.37;23763.0
1986-04-02;44.37;44.5;44.0;44.37;31585.0
1986-04-03;44.25;44.25;40.87;41.25;72257.0
1986-04-04;41.38;42.13;41.38;42.0;42785.0
1986-04-07;42.0;43.0;41.5;43.0;30420.0
1986-04-08;43.0;44.25;43.0;44.25;20978.0
1986-04-09;44.25;44.62;43.88;44.25;63467.0
1986-04-10;44.25;44.5;43.88;44.13;42035.0
1986-04-11;44.13;44.37;44.0;44.0;16257.0
1986-04-14;44.0;44.0;43.62;43.75;45590.0
1986-04-15;43.75;44.62;43.75;44.62;19990.0
1986-04-16;44.62;44.75;44.0;44.37;132978.0
1986-04-17;43.75;43.75;43.0;43.75;35457.0
1986-04-18;43.75;43.75;42.5;43.0;12978.0
1986-04-21;42.88;42.88;42.37;42.5;63585.0
1986-04-22;42.5;43.0;42.5;43.0;47190.0
1986-04-23;43.0;43.0;42.37;43.0;29057.0
1986-04-24;43.0;43.0;42.5;42.5;36978.0
1986-04-25;42.5;43.0;42.13;43.0;44820.0
1986-04-28;43.0;43.0;42.75;43.0;66035.0
1986-04-29;43.0;43.13;42.5;42.5;13057.0
1986-04-30;42.5;42.88;42.0;42.37;15644.0
1986-05-01;42.25;42.25;41.38;41.38;19753.0
1986-05-02;41.38;41.5;39.87;40.0;27852.0
1986-05-05;40.0;40.38;40.0;40.13;7842.0
1986-05-06;40.13;40.25;39.62;39.87;52385.0
1986-05-07;39.87;39.87;38.5;39.75;19200.0
1986-05-08;39.75;40.87;39.75;40.38;43852.0
1986-05-09;40.38;41.38;40.13;40.87;22420.0
1986-05-12;40.87;41.38;40.87;41.13;72020.0
1986-05-13;41.13;41.38;41.0;41.38;29867.0
1986-05-14;41.13;41.13;40.62;40.62;28385.0
1986-05-15;40.62;41.38;40.62;41.0;21630.0
1986-05-16;41.0;41.25;40.87;40.87;15230.0
1986-05-19;40.87;41.25;40.87;41.25;16257.0
1986-05-20;41.25;41.38;40.75;41.0;14775.0
1986-05-21;41.0;41.0;40.75;41.0;6657.0
1986-05-22;41.0;41.13;40.75;41.13;19378.0
1986-05-23;41.13;41.13;40.87;41.13;11635.0
1986-05-27;41.13;41.13;40.87;41.13;24830.0
1986-05-28;41.13;41.13;41.0;41.0;37630.0
1986-05-29;41.13;42.37;41.13;42.37;64375.0
1986-05-30;42.37;42.37;40.5;40.5;88968.0
1986-06-02;40.5;41.0;40.25;40.5;10667.0
1986-06-03;40.5;40.62;40.25;40.62;16435.0
1986-06-04;40.62;40.62;39.62;40.13;58390.0
1986-06-05;40.13;40.38;39.87;40.38;20563.0
1986-06-06;40.38;40.87;40.0;40.0;32178.0
1986-06-09;27.25;27.25;26.63;26.75;60701.0
1986-06-10;26.75;26.87;25.88;26.0;106044.0
1986-06-11;26.12;26.75;26.12;26.5;140978.0
1986-06-12;26.5;26.75;26.37;26.5;49867.0
1986-06-13;26.5;27.63;26.5;27.25;39052.0
1986-06-16;27.25;28.25;27.0;28.25;48800.0
1986-06-17;28.25;28.25;27.25;27.5;20652.0
1986-06-18;27.25;27.25;26.25;26.87;14430.0
1986-06-19;26.87;27.0;26.0;26.25;68030.0
1986-06-20;26.25;26.37;24.75;25.0;54578.0
1986-06-23;25.0;25.0;23.5;24.37;99585.0
1986-06-24;24.37;26.37;24.25;25.62;140800.0
1986-06-25;25.62;26.5;25.62;26.5;45363.0
1986-06-26;26.37;26.37;25.5;25.88;30963.0
1986-06-27;25.88;26.25;25.88;26.0;88830.0
1986-06-30;26.0;26.37;26.0;26.37;30163.0
1986-07-01;26.12;26.63;26.12;26.63;16978.0
1986-07-02;26.63;26.63;26.12;26.12;10430.0
1986-07-03;26.12;26.37;25.62;26.0;23852.0
1986-07-07;25.75;25.75;25.0;25.0;67052.0
1986-07-08;24.75;24.75;23.38;24.25;98400.0
1986-07-09;24.13;24.5;23.25;24.5;274785.0
1986-07-10;24.75;24.75;23.12;24.13;32800.0
1986-07-11;23.75;23.75;23.38;23.38;82667.0
1986-07-14;23.5;23.62;23.25;23.5;22785.0
1986-07-15;23.0;23.38;22.75;23.0;68178.0
1986-07-16;23.25;23.75;22.88;22.88;61985.0
1986-07-17;23.12;23.87;23.0;23.5;52563.0
1986-07-18;23.25;23.38;22.88;23.0;25363.0
1986-07-21;22.75;22.88;22.0;22.0;22163.0
1986-07-22;22.25;23.0;22.0;22.38;102044.0
1986-07-23;22.5;22.62;22.38;22.5;43467.0
1986-07-24;22.25;22.38;22.0;22.13;286400.0
1986-07-25;22.38;22.38;22.13;22.38;34430.0
1986-07-28;22.38;22.38;21.13;21.75;28444.0
1986-07-29;21.5;21.63;20.75;21.25;157778.0
1986-07-30;20.25;21.25;20.25;21.0;306578.0
1986-07-31;20.75;21.75;20.75;21.13;58785.0
1986-08-01;21.37;22.38;21.25;22.0;78578.0
1986-08-04;22.0;23.5;21.75;23.25;33067.0
1986-08-05;23.25;23.38;22.13;22.88;192178.0
1986-08-06;22.88;23.0;22.62;22.75;123230.0
1986-08-07;22.75;23.75;22.75;23.0;71585.0
1986-08-08;23.0;23.12;22.75;22.75;102252.0
1986-08-11;23.0;23.12;22.62;22.75;49363.0
1986-08-12;23.0;24.25;23.0;24.25;254578.0
1986-08-13;25.12;25.12;24.0;25.12;276563.0
1986-08-14;25.25;26.0;25.0;25.5;182963.0
1986-08-15;25.38;25.75;25.25;25.38;99763.0
1986-08-18;25.25;25.5;25.12;25.38;90400.0
1986-08-19;25.5;25.75;25.25;25.5;67585.0
1986-08-20;25.5;25.62;25.25;25.5;305778.0
1986-08-21;25.5;26.0;25.38;25.5;188000.0
1986-08-22;25.75;25.75;25.25;25.75;194163.0
1986-08-25;25.88;25.88;25.12;25.5;99644.0
1986-08-26;25.38;25.88;25.38;25.88;116000.0
1986-08-27;25.75;25.88;25.5;25.75;108978.0
1986-08-28;25.88;27.25;25.88;27.0;113244.0
1986-08-29;27.13;27.88;27.13;27.88;101185.0
1986-09-02;27.88;28.12;26.0;26.5;120800.0
1986-09-03;26.5;27.63;26.5;27.37;88178.0
1986-09-04;27.63;27.75;26.87;27.63;57363.0
1986-09-05;27.75;28.12;27.13;27.13;293600.0
1986-09-08;27.25;27.37;27.0;27.25;40444.0
1986-09-09;27.25;27.5;27.0;27.13;45244.0
1986-09-10;27.37;27.37;26.87;27.0;185244.0
1986-09-11;26.75;26.75;25.38;25.38;85185.0
1986-09-12;25.38;25.38;23.25;24.25;114044.0
1986-09-15;24.5;25.12;24.37;24.75;73452.0
1986-09-16;24.87;25.38;24.63;25.38;95052.0
1986-09-17;25.38;26.75;25.38;26.5;164178.0
1986-09-18;26.12;26.87;25.88;26.0;64267.0
1986-09-19;25.75;26.5;25.5;26.5;110578.0
1986-09-22;26.25;26.5;26.0;26.5;22963.0
1986-09-23;26.5;26.5;26.0;26.25;43467.0
1986-09-24;26.12;26.75;26.12;26.63;120830.0
1986-09-25;26.63;26.75;25.12;25.75;60267.0
1986-09-26;25.25;26.87;25.25;25.75;219467.0
1986-09-29;25.5;25.88;24.87;25.0;43052.0
1986-09-30;25.0;25.75;24.75;25.75;38785.0
1986-10-01;25.62;25.88;25.38;25.38;23378.0
1986-10-02;25.62;25.62;25.0;25.25;20000.0
1986-10-03;25.5;25.62;24.63;24.75;6578.0
1986-10-06;24.63;25.12;24.63;25.0;44978.0
1986-10-07;24.75;25.0;24.63;25.0;39585.0
1986-10-08;24.75;25.88;24.75;25.38;61778.0
1986-10-09;25.75;26.5;25.75;26.37;62844.0
1986-10-10;26.37;26.37;26.25;26.25;75200.0
1986-10-13;26.25;26.37;26.25;26.37;2785.0
1986-10-14;26.25;27.25;26.25;27.13;167852.0
1986-10-15;26.87;27.0;26.5;26.5;80830.0
1986-10-16;26.63;26.75;26.12;26.12;16978.0
1986-10-17;26.37;26.37;25.25;25.25;39378.0
1986-10-20;25.25;25.38;23.25;24.37;47052.0
1986-10-21;24.25;25.25;24.25;25.25;121363.0
1986-10-22;25.12;25.5;25.12;25.5;18844.0
1986-10-23;25.5;26.37;25.25;25.75;72000.0
1986-10-24;26.0;26.0;25.75;25.75;73985.0
1986-10-27;25.75;26.63;25.25;26.12;62044.0
1986-10-28;26.12;26.75;26.0;26.37;29630.0
1986-10-29;26.12;26.25;25.62;26.0;25630.0
1986-10-30;26.0;26.0;25.25;25.5;73600.0
1986-10-31;25.5;26.12;25.25;26.12;110400.0
1986-11-03;26.12;26.87;26.12;26.63;22400.0
1986-11-04;26.63;26.75;26.5;26.5;67852.0
1986-11-05;26.63;26.75;26.5;26.5;58430.0
1986-11-06;26.5;26.63;26.25;26.37;39467.0
1986-11-07;26.25;26.25;26.0;26.25;24444.0
1986-11-10;26.25;26.5;25.75;26.5;21630.0
1986-11-11;26.5;27.0;26.12;26.63;68978.0
1986-11-12;26.75;26.75;26.25;26.75;165778.0
1986-11-13;26.75;26.75;25.25;25.25;119230.0
1986-11-14;25.5;25.75;25.12;25.75;159467.0
1986-11-17;25.38;25.75;25.25;25.75;46963.0
1986-11-18;25.5;25.75;24.0;25.0;151852.0
1986-11-19;24.75;25.75;24.63;25.75;82578.0
1986-11-20;25.75;26.5;25.75;26.37;61363.0
1986-11-21;26.63;26.75;26.12;26.25;130400.0
1986-11-24;26.25;27.0;26.0;26.87;92978.0
1986-11-25;26.87;27.0;26.37;26.87;91644.0
1986-11-26;26.87;27.0;26.25;26.75;64267.0
1986-11-28;26.5;26.75;26.37;26.75;109363.0
1986-12-01;26.75;26.87;26.12;26.75;53452.0
1986-12-02;26.87;27.0;26.63;27.0;221985.0
1986-12-03;27.0;27.0;26.75;27.0;125630.0
1986-12-04;27.0;27.0;26.75;27.0;106578.0
1986-12-05;26.75;26.75;26.0;26.5;92444.0
1986-12-08;26.25;26.75;26.0;26.37;138963.0
1986-12-09;26.5;26.75;26.12;26.25;101363.0
1986-12-10;26.0;26.75;26.0;26.37;106400.0
1986-12-11;26.37;26.63;26.0;26.63;101867.0
1986-12-12;26.37;26.63;26.25;26.5;46400.0
1986-12-15;26.5;26.63;26.12;26.63;86400.0
1986-12-16;26.37;26.75;26.37;26.75;88000.0
1986-12-17;26.75;27.37;26.75;27.25;171230.0
1986-12-18;26.75;27.13;26.5;26.75;373363.0
1986-12-19;26.5;26.75;25.5;26.25;360978.0
1986-12-22;26.25;26.5;25.88;26.5;137363.0
1986-12-23;26.25;26.37;26.0;26.25;121630.0
1986-12-24;26.37;26.5;26.25;26.25;77067.0
1986-12-26;26.25;26.5;26.25;26.5;16030.0
1986-12-29;26.25;26.63;26.0;26.12;105985.0
1986-12-30;26.0;26.12;25.75;26.0;51230.0
1986-12-31;26.0;26.12;25.5;25.75;36000.0
1987-01-02;26.0;26.75;26.0;26.75;47378.0
1987-01-05;26.87;28.5;26.87;28.12;83585.0
1987-01-06;28.0;28.12;27.5;27.5;79230.0
1987-01-07;27.37;28.75;27.37;28.75;99467.0
1987-01-08;28.75;29.0;28.75;28.88;94400.0
1987-01-09;28.62;29.5;28.5;29.5;59585.0
1987-01-12;29.25;30.0;28.88;30.0;101600.0
1987-01-13;30.25;30.25;29.25;30.25;119052.0
1987-01-14;30.25;32.0;30.0;30.62;140652.0
1987-01-15;30.38;32.75;30.38;32.75;113185.0
1987-01-16;33.25;33.38;31.5;32.37;297185.0
1987-01-19;32.37;33.0;32.13;33.0;65630.0
1987-01-20;33.0;33.5;32.5;32.75;154667.0
1987-01-21;32.75;32.75;31.0;32.13;178963.0
1987-01-22;32.0;33.0;32.0;33.0;94785.0
