date;open;high;low;close;volume
1996-05-30;6.25;6.5;6.17;6.25;75600.0
1996-05-31;6.25;6.5;6.25;6.25;42000.0
1996-06-03;6.38;6.5;6.25;6.38;67200.0
1996-06-04;6.13;6.38;5.75;6.13;88200.0
1996-06-05;6.25;6.25;6.0;6.25;21000.0
1996-06-06;6.13;6.38;6.0;6.13;54600.0
1996-06-07;6.25;6.62;6.13;6.25;12600.0
1996-06-10;6.13;6.38;5.75;6.13;16800.0
1996-06-11;5.75;6.25;5.75;5.75;8400.0
1996-06-12;6.0;6.13;5.75;6.0;25200.0
1996-06-13;6.25;6.25;5.75;6.25;29400.0
1996-06-14;5.75;6.25;5.75;5.75;33600.0
1996-06-17;6.05;6.25;5.75;6.05;16800.0
1996-06-18;5.87;6.13;5.75;5.87;29400.0
1996-06-19;5.62;5.87;5.62;5.62;4200.0
1996-06-20;5.62;6.13;5.62;5.62;12600.0
1996-06-21;5.5;6.0;5.5;5.5;0.0
1996-06-24;5.38;5.87;5.38;5.38;4200.0
1996-06-25;5.38;5.38;4.63;5.38;4200.0
1996-06-26;4.5;5.38;4.5;4.5;8400.0
1996-06-27;4.12;4.5;3.13;4.12;58800.0
1996-06-28;4.25;4.5;4.0;4.25;25200.0
1996-07-01;4.25;4.63;4.25;4.25;21000.0
1996-07-02;4.12;4.25;4.0;4.0;8400.0
1996-07-03;4.5;4.5;3.88;4.5;50400.0
1996-07-05;4.5;4.5;4.12;4.25;4200.0
1996-07-08;4.5;4.5;4.12;4.5;12600.0
1996-07-09;5.75;5.75;4.37;5.75;210000.0
1996-07-10;5.62;5.75;5.38;5.62;12600.0
1996-07-11;5.5;5.5;5.25;5.5;16800.0
1996-07-12;5.5;5.5;5.12;5.5;4200.0
1996-07-15;5.0;5.5;4.75;5.0;12600.0
1996-07-16;5.0;5.0;4.63;5.0;4200.0
1996-07-17;5.0;5.0;4.63;5.0;12600.0
1996-07-18;5.38;5.38;5.0;5.38;33600.0
1996-07-19;5.38;5.38;5.0;5.38;4200.0
1996-07-22;5.38;5.38;5.0;5.38;0.0
1996-07-23;5.38;5.38;4.5;5.38;21000.0
1996-07-24;4.75;4.75;4.75;4.75;0.0
1996-07-25;4.75;4.75;4.75;4.75;0.0
1996-07-26;4.5;4.5;4.5;4.5;0.0
1996-07-29;4.5;4.5;4.5;4.5;0.0
1996-07-30;4.5;5.0;4.5;4.5;0.0
1996-07-31;4.25;4.25;4.25;4.25;0.0
1996-08-01;4.25;4.25;4.25;4.25;0.0
1996-08-02;4.25;4.88;4.25;4.25;0.0
1996-08-05;4.25;4.63;4.25;4.63;0.0
1996-08-06;4.63;4.63;4.63;4.63;0.0
1996-08-07;4.25;4.63;4.25;4.25;0.0
1996-08-08;4.63;4.63;4.25;4.63;0.0
1996-08-09;4.63;4.63;4.25;4.5;4200.0
1996-08-12;4.0;4.0;3.8;3.8;0.0
1996-08-13;3.8;3.8;3.8;3.8;0.0
1996-08-14;3.8;3.8;3.8;3.8;0.0
1996-08-15;3.88;4.37;3.88;4.37;0.0
1996-08-16;4.25;4.25;3.88;3.88;0.0
1996-08-19;3.88;3.88;3.88;3.88;0.0
1996-08-20;4.37;4.63;4.12;4.63;12600.0
1996-08-21;4.63;4.63;4.25;4.37;16800.0
1996-08-22;4.17;4.17;4.12;4.12;0.0
1996-08-23;4.25;4.63;4.25;4.5;54600.0
1996-08-26;4.37;5.12;4.37;4.92;159600.0
1996-08-27;5.0;5.38;4.63;4.88;29400.0
1996-08-28;5.38;5.38;4.88;4.88;0.0
1996-08-29;5.38;5.38;4.88;5.38;12600.0
1996-08-30;5.38;5.38;5.12;5.12;8400.0
1996-09-03;5.0;5.38;5.0;5.38;0.0
1996-09-04;5.38;5.38;5.12;5.17;4200.0
1996-09-05;5.12;5.12;4.75;4.75;8400.0
1996-09-06;4.75;4.88;4.25;4.25;21000.0
1996-09-09;4.63;4.63;4.25;4.25;4200.0
1996-09-10;4.63;4.63;4.25;4.63;37800.0
1996-09-11;4.63;4.63;4.25;4.63;8400.0
1996-09-12;4.63;4.63;4.12;4.5;0.0
1996-09-13;4.12;4.12;3.75;3.75;4200.0
1996-09-16;4.0;4.0;4.0;4.0;8400.0
1996-09-17;4.0;4.25;4.0;4.0;12600.0
1996-09-18;4.12;4.19;3.75;3.75;4200.0
1996-09-19;3.88;3.88;3.88;3.88;0.0
1996-09-20;3.88;4.0;3.88;4.0;0.0
1996-09-23;4.0;4.0;4.0;4.0;0.0
1996-09-24;4.06;4.12;4.0;4.0;25200.0
1996-09-25;4.12;4.12;4.12;4.12;0.0
1996-09-26;4.12;4.12;3.94;4.12;0.0
1996-09-27;4.12;4.12;4.12;4.12;0.0
1996-09-30;4.0;4.12;4.0;4.12;8400.0
1996-10-01;4.0;4.06;4.0;4.06;12600.0
1996-10-02;4.06;4.12;3.69;3.69;8400.0
1996-10-03;3.69;3.94;3.69;3.94;0.0
1996-10-04;3.69;3.75;3.44;3.69;4200.0
1996-10-07;3.69;3.69;3.69;3.69;0.0
1996-10-08;3.75;3.75;3.38;3.38;0.0
1996-10-09;3.75;3.75;3.38;3.44;8400.0
1996-10-10;3.44;3.44;3.0;3.0;16800.0
1996-10-11;2.75;3.25;2.75;2.75;4200.0
1996-10-14;3.19;3.25;2.94;3.19;37800.0
1996-10-15;3.31;3.5;3.25;3.31;33600.0
1996-10-16;3.13;3.13;2.69;2.87;21000.0
1996-10-17;2.75;2.75;2.75;2.75;0.0
1996-10-18;2.94;3.0;2.75;2.94;42000.0
1996-10-21;3.25;3.25;3.0;3.25;0.0
1996-10-22;3.0;3.0;2.75;2.75;4200.0
1996-10-23;2.75;3.0;2.75;3.0;0.0
1996-10-24;2.75;2.75;2.75;2.75;4200.0
1996-10-25;2.75;2.87;2.75;2.87;0.0
1996-10-28;2.75;2.75;2.38;2.38;8400.0
1996-10-29;2.62;2.62;2.38;2.38;12600.0
1996-10-30;2.38;2.38;1.63;1.63;50400.0
1996-10-31;1.88;2.38;1.5;2.38;71400.0
1996-11-01;2.38;2.62;1.88;1.88;12600.0
1996-11-04;1.88;2.25;1.88;1.88;0.0
1996-11-05;2.25;2.25;1.81;2.12;16800.0
1996-11-06;1.94;2.12;1.94;2.12;37800.0
1996-11-07;2.12;2.12;2.0;2.12;0.0
1996-11-08;2.06;2.12;2.06;2.06;4200.0
1996-11-11;2.12;2.12;1.75;1.88;25200.0
1996-11-12;1.88;1.94;1.63;1.88;4200.0
1996-11-13;1.75;1.88;1.75;1.75;12600.0
1996-11-14;1.75;1.88;1.63;1.75;25200.0
1996-11-15;1.75;1.75;1.75;1.75;0.0
1996-11-18;1.63;1.69;1.59;1.59;4200.0
1996-11-19;1.25;1.56;1.25;1.25;29400.0
1996-11-20;1.25;1.25;0.94;1.25;16800.0
1996-11-21;1.12;1.19;1.0;1.12;8400.0
1996-11-22;1.22;1.25;1.06;1.22;33600.0
1996-11-25;1.19;1.25;1.19;1.25;8400.0
1996-11-26;1.47;1.5;1.37;1.47;46200.0
