date;open;high;low;close;volume
1997-09-19;16.13;16.13;15.13;15.75;3815400.0
1997-09-22;15.56;16.0;15.38;15.63;560500.0
1997-09-23;15.88;16.0;15.38;15.63;190800.0
1997-09-24;15.63;15.88;15.0;15.38;457300.0
1997-09-25;15.38;15.63;15.25;15.56;274800.0
1997-09-26;15.25;15.63;15.25;15.38;286700.0
1997-09-29;15.13;15.13;14.0;14.13;295500.0
1997-09-30;14.19;14.5;14.0;14.5;246200.0
1997-10-01;14.5;14.5;14.0;14.0;296200.0
1997-10-02;14.25;14.25;13.88;14.0;379600.0
1997-10-03;14.25;14.25;14.0;14.25;367500.0
1997-10-06;14.13;14.13;14.0;14.13;111100.0
1997-10-07;14.06;14.19;14.0;14.06;134500.0
1997-10-08;14.06;14.5;14.06;14.25;76700.0
1997-10-09;14.13;14.25;14.0;14.13;241400.0
1997-10-10;14.0;14.13;13.75;13.75;310300.0
1997-10-13;13.75;13.75;12.88;13.38;217400.0
1997-10-14;8.0;8.25;7.438;7.531;4399800.0
1997-10-15;7.563;7.625;6.875;7.0;1079200.0
1997-10-16;7.0;7.063;6.25;6.625;699800.0
1997-10-17;6.375;6.563;6.125;6.375;173300.0
1997-10-20;6.375;6.75;6.375;6.5;244000.0
1997-10-21;6.625;7.125;6.5;6.625;418000.0
1997-10-22;6.625;6.75;6.438;6.438;256900.0
1997-10-23;6.125;6.5;5.938;6.188;135700.0
1997-10-24;6.188;6.438;6.063;6.375;118500.0
1997-10-27;6.125;6.375;5.125;5.125;302300.0
1997-10-28;5.625;6.0;4.5;5.625;410400.0
1997-10-29;5.75;5.75;5.5;5.563;43600.0
1997-10-30;5.5;6.188;5.375;6.188;163000.0
1997-10-31;6.188;6.25;5.969;6.0;59100.0
1997-11-03;6.188;6.25;6.0;6.125;42700.0
1997-11-04;6.125;6.188;5.875;5.938;73100.0
1997-11-05;5.875;6.25;5.875;6.0;47300.0
1997-11-06;6.125;6.875;6.0;6.625;111600.0
1997-11-07;6.5;6.625;6.25;6.5;57700.0
1997-11-10;6.625;6.625;6.0;6.0;61600.0
1997-11-11;6.125;6.125;6.0;6.125;8700.0
1997-11-12;6.125;6.25;5.813;5.813;28400.0
1997-11-13;6.0;6.0;5.75;5.75;23100.0
1997-11-14;5.75;5.875;5.625;5.625;9700.0
1997-11-17;5.875;5.875;5.625;5.688;17700.0
1997-11-18;5.75;5.875;5.625;5.625;27300.0
1997-11-19;5.5;6.0;5.375;5.5;145900.0
1997-11-20;5.5;5.813;5.375;5.5;262700.0
1997-11-21;5.5;5.5;5.25;5.25;138500.0
1997-11-24;5.25;5.313;4.875;4.938;47800.0
1997-11-25;4.875;5.0;4.688;4.688;98200.0
1997-11-26;4.688;4.813;4.688;4.75;103000.0
1997-11-28;4.75;5.0;4.688;5.0;118300.0
1997-12-01;5.0;5.0;4.875;4.938;31800.0
1997-12-02;4.938;4.938;4.813;4.813;171700.0
1997-12-03;4.813;5.0;4.813;4.844;85400.0
