date;open;high;low;close;volume
1996-04-30;10.0;10.0;8.5;8.88;2174300.0
1996-05-01;9.0;9.0;8.75;8.88;293000.0
1996-05-02;8.75;8.88;8.5;8.56;247000.0
1996-05-03;8.88;8.88;7.75;8.0;397300.0
1996-05-06;7.88;8.25;7.75;7.88;149200.0
1996-05-07;7.88;8.12;7.63;7.88;306200.0
1996-05-08;7.63;8.0;7.63;7.75;130200.0
1996-05-09;8.0;8.0;7.75;8.0;84600.0
1996-05-10;8.0;8.0;7.75;7.75;104400.0
1996-05-13;7.88;7.88;7.75;7.75;59300.0
1996-05-14;7.88;8.0;7.75;7.88;48600.0
1996-05-15;8.0;8.0;7.75;7.75;80500.0
1996-05-16;7.75;7.88;7.75;7.75;123000.0
1996-05-17;7.88;7.88;7.75;7.88;316700.0
1996-05-20;7.75;7.88;7.75;7.88;14300.0
1996-05-21;7.88;7.88;7.75;7.88;317800.0
1996-05-22;7.75;9.62;7.75;9.25;306700.0
1996-05-23;9.75;10.5;9.75;10.5;339000.0
1996-05-24;10.5;10.62;10.0;10.38;263800.0
1996-05-28;10.75;10.75;9.25;9.5;405700.0
1996-05-29;9.62;9.62;8.75;9.0;214300.0
1996-05-30;10.0;10.0;8.5;8.875;27900.0
1996-05-31;9.12;9.12;8.5;8.88;52100.0
1996-06-03;8.875;8.875;7.75;8.0;15700.0
1996-06-04;8.62;8.62;8.0;8.0;98000.0
1996-06-05;8.38;8.38;8.0;8.0;98600.0
1996-06-06;7.875;8.25;7.75;7.875;221400.0
1996-06-07;7.875;8.125;7.625;7.875;74100.0
1996-06-10;8.0;8.0;7.75;7.75;30100.0
1996-06-11;8.25;8.62;7.88;8.0;98000.0
1996-06-12;7.75;8.38;7.75;8.0;119900.0
1996-06-13;7.875;7.875;7.75;7.75;52800.0
1996-06-14;7.875;8.0;7.75;7.875;18600.0
1996-06-17;7.875;7.875;7.75;7.875;30100.0
1996-06-18;7.38;7.5;7.0;7.38;34500.0
1996-06-19;7.38;7.38;7.25;7.25;113000.0
1996-06-20;7.75;7.875;7.75;7.875;82800.0
1996-06-21;7.875;7.875;7.75;7.875;24100.0
1996-06-24;10.5;10.625;10.0;10.375;80900.0
1996-06-25;6.88;7.25;6.88;6.88;15700.0
1996-06-26;6.88;7.25;6.75;6.88;36000.0
1996-06-27;7.0;7.0;6.62;6.62;16700.0
1996-06-28;10.75;10.75;9.25;9.5;26900.0
1996-07-01;9.125;9.125;8.5;8.875;205500.0
1996-07-02;6.5;7.5;6.44;7.12;199700.0
1996-07-03;8.5;8.875;8.5;8.625;18600.0
1996-07-05;8.375;8.375;8.0;8.0;6000.0
1996-07-08;6.75;7.25;6.75;7.0;94800.0
1996-07-09;7.0;7.38;7.0;7.38;31100.0
1996-07-10;7.38;7.5;7.0;7.38;50300.0
1996-07-11;8.25;8.625;7.875;8.0;28100.0
1996-07-12;8.125;8.375;7.75;8.0;9000.0
1996-07-15;8.0;8.5;7.62;7.75;105900.0
1996-07-16;7.88;7.88;7.0;7.25;171100.0
1996-07-17;7.375;7.625;7.375;7.375;194200.0
1996-07-18;7.375;7.5;7.0;7.375;46200.0
1996-07-19;7.375;7.375;7.25;7.25;54000.0
1996-07-22;8.5;8.5;7.88;8.12;34500.0
1996-07-23;8.0;8.0;6.88;7.25;56000.0
1996-07-24;7.125;7.25;6.875;6.875;38200.0
1996-07-25;6.875;7.25;6.875;6.875;33600.0
1996-07-26;6.875;7.25;6.75;6.875;5200.0
1996-07-29;6.88;6.88;6.62;6.88;10500.0
1996-07-30;6.62;6.88;6.38;6.38;20100.0
1996-07-31;6.25;6.5;6.0;6.12;13000.0
1996-08-01;7.0;7.0;6.0;6.25;22800.0
1996-08-02;6.5;7.5;6.4375;7.125;46100.0
1996-08-05;6.875;7.25;6.875;7.125;46400.0
1996-08-06;7.12;7.5;7.12;7.5;120600.0
1996-08-07;7.5;7.75;7.38;7.62;49300.0
