date;open;high;low;close;volume
2009-07-30;19.0;19.37;18.96;19.1;6670500.0
2009-07-31;19.19;19.19;18.8;18.8;1445600.0
2009-08-03;18.81;19.17;18.7;19.0;680300.0
2009-08-04;19.0;19.14;18.9;19.1;284300.0
2009-08-05;18.9;19.15;18.9;19.09;148400.0
2009-08-06;19.15;19.15;18.91;19.02;196200.0
2009-08-07;19.14;19.15;18.85;19.07;234600.0
2009-08-10;18.9;19.17;18.8636;19.14;279300.0
2009-08-11;18.94;19.2;18.94;19.14;209800.0
2009-08-12;19.07;19.1377;19.0;19.09;93600.0
2009-08-13;19.07;19.55;19.0;19.54;406400.0
2009-08-14;19.5;19.6;19.16;19.35;306000.0
2009-08-17;19.0;19.2;19.0;19.05;65600.0
2009-08-18;19.2;19.2;19.02;19.12;48200.0
2009-08-19;19.17;19.1882;19.02;19.05;69400.0
2009-08-20;19.15;19.5;19.06;19.4399;163600.0
2009-08-21;19.5;19.87;19.4501;19.65;291800.0
2009-08-24;19.74;19.75;19.53;19.64;182800.0
2009-08-25;19.74;19.74;19.47;19.54;44400.0
2009-08-26;19.63;19.63;19.05;19.41;36200.0
2009-08-27;19.58;19.65;19.41;19.64;88200.0
2009-08-28;19.65;19.72;19.46;19.71;69100.0
2009-08-31;19.5;19.75;19.41;19.75;76800.0
2009-09-01;19.75;19.8;19.42;19.45;49400.0
2009-09-02;19.4;19.4899;19.25;19.29;38700.0
2009-09-03;19.38;19.4;19.31;19.4;55500.0
2009-09-04;19.34;19.38;19.23;19.34;44500.0
2009-09-08;19.57;19.61;19.36;19.61;105700.0
2009-09-09;19.69;19.69;19.44;19.61;52500.0
2009-09-10;19.54;19.67;19.22;19.53;79300.0
2009-09-11;19.44;19.6;19.42;19.54;24800.0
2009-09-14;19.53;19.64;19.43;19.64;73900.0
2009-09-15;19.55;19.74;19.31;19.68;102100.0
2009-09-16;19.58;19.98;19.58;19.86;266400.0
2009-09-17;19.67;19.92;19.2;19.85;159400.0
2009-09-18;19.67;19.95;19.46;19.95;174100.0
2009-09-21;19.88;19.88;19.16;19.82;98400.0
2009-09-22;19.84;19.95;19.66;19.87;131200.0
2009-09-23;19.94;19.94;19.61;19.74;136100.0
2009-09-24;19.72;19.82;19.16;19.59;208500.0
2009-09-25;19.47;19.47;19.12;19.19;124100.0
2009-09-28;19.37;19.52;19.18;19.37;32700.0
2009-09-29;19.35;19.93;19.25;19.84;295800.0
2009-09-30;19.94;20.0;19.55;19.91;1198600.0
2009-10-01;19.71;19.9;19.53;19.67;95600.0
2009-10-02;19.48;19.6;19.21;19.26;121500.0
2009-10-05;19.41;19.5;19.25;19.35;82300.0
2009-10-06;19.39;19.45;19.16;19.23;110500.0
2009-10-07;19.15;19.29;19.06;19.24;26400.0
2009-10-08;19.16;19.34;19.16;19.27;102700.0
2009-10-09;19.18;19.26;19.17;19.25;29100.0
2009-10-12;19.18;19.35;19.08;19.15;62100.0
2009-10-13;19.16;19.24;19.1;19.24;82500.0
2009-10-14;19.29;19.3;19.1;19.19;58700.0
2009-10-15;19.14;19.25;19.05;19.22;153500.0
2009-10-16;19.17;19.21;19.02;19.09;55000.0
2009-10-19;19.1;19.25;19.06;19.21;57400.0
2009-10-20;19.18;19.19;18.9;19.04;167200.0
