date;open;high;low;close;volume
1973-05-03;9.25;9.5;9.25;9.25;24000.0
1973-05-04;9.87;10.38;9.87;9.87;40000.0
1973-05-07;9.38;9.87;9.38;9.38;44400.0
1973-05-08;9.25;9.5;9.25;9.25;16000.0
1973-05-09;9.5;9.87;9.5;9.5;21600.0
1973-05-10;9.5;9.87;9.5;9.5;6400.0
1973-05-11;9.5;9.87;9.5;9.5;9600.0
1973-05-14;9.5;9.87;9.5;9.5;16000.0
1973-05-15;9.5;9.87;9.5;9.5;23200.0
1973-05-16;9.38;9.87;9.38;9.38;13600.0
1973-05-17;9.5;9.87;9.5;9.5;22000.0
1973-05-18;9.12;9.5;9.12;9.12;22000.0
1973-05-21;8.37;8.75;8.37;8.37;51600.0
1973-05-22;8.37;8.75;8.37;8.37;7200.0
1973-05-23;8.25;8.5;8.25;8.25;20400.0
1973-05-24;7.75;8.25;7.75;7.75;37200.0
1973-05-25;8.0;8.37;8.0;8.0;29200.0
1973-05-29;8.0;8.37;8.0;8.0;10800.0
1973-05-30;7.75;8.25;7.75;7.75;400.0
1973-05-31;7.75;8.25;7.75;7.75;20400.0
1973-06-01;7.75;8.25;7.75;7.75;4000.0
1973-06-04;7.75;8.25;7.75;7.75;1600.0
1973-06-05;7.75;8.25;7.75;7.75;20800.0
1973-06-06;7.75;8.25;7.75;7.75;10800.0
1973-06-07;7.75;8.25;7.75;7.75;5200.0
1973-06-08;8.0;8.37;8.0;8.0;6400.0
1973-06-11;8.25;8.62;8.25;8.25;14800.0
1973-06-12;8.37;8.75;8.37;8.37;15600.0
1973-06-13;8.37;8.75;8.37;8.37;3600.0
1973-06-14;8.25;8.62;8.25;8.25;10800.0
1973-06-15;8.25;8.62;8.25;8.25;8800.0
1973-06-18;7.75;8.25;7.75;7.75;13600.0
1973-06-19;7.75;8.25;7.75;7.75;5200.0
1973-06-20;8.0;8.37;8.0;8.0;4000.0
1973-06-21;7.75;8.25;7.75;7.75;9600.0
1973-06-22;7.75;8.25;7.75;7.75;19200.0
1973-06-25;7.75;8.25;7.75;7.75;5200.0
1973-06-26;7.75;8.25;7.75;7.75;7600.0
1973-06-27;7.62;8.0;7.62;7.62;10800.0
1973-06-28;7.38;7.75;7.38;7.38;14800.0
1973-06-29;7.38;7.75;7.38;7.38;8800.0
1973-07-02;7.38;7.75;7.38;7.38;3600.0
1973-07-03;7.38;7.75;7.38;7.38;1600.0
1973-07-05;7.38;7.75;7.38;7.38;400.0
1973-07-06;7.38;7.75;7.38;7.38;3600.0
1973-07-09;7.62;8.0;7.62;7.62;4000.0
1973-07-10;7.75;8.25;7.75;7.75;4000.0
1973-07-11;7.75;8.25;7.75;7.75;400.0
1973-07-12;7.75;8.25;7.75;7.75;5200.0
1973-07-13;7.75;8.25;7.75;7.75;1200.0
