date;open;high;low;close;volume
2001-06-20;17.8;17.8;16.75;16.76;2.1022E7
2001-06-21;16.9;17.75;16.9;17.53;3676000.0
2001-06-22;17.95;17.95;17.53;17.9;1806000.0
2001-06-25;17.9;18.2;17.71;17.85;1950000.0
2001-06-26;17.52;17.65;17.3;17.52;1078000.0
2001-06-27;17.6;17.82;17.25;17.5;1528000.0
2001-06-28;17.5;17.98;17.5;17.95;692000.0
2001-06-29;17.85;18.8;17.8;18.6;1320000.0
2001-07-02;18.45;19.2;18.25;19.14;1032000.0
2001-07-03;19.2;19.35;19.0;19.35;628000.0
2001-07-05;19.35;19.35;18.5;18.5;886000.0
2001-07-06;18.65;18.65;18.06;18.1;580000.0
2001-07-09;18.25;18.65;18.15;18.35;780000.0
2001-07-10;18.4;18.6;18.1;18.17;802000.0
2001-07-11;18.15;18.5;17.76;18.5;1040000.0
2001-07-12;19.0;19.0;18.4;18.8;922000.0
2001-07-13;18.6;18.6;18.28;18.35;312000.0
2001-07-16;18.3;18.74;18.01;18.05;786000.0
2001-07-17;18.01;18.5;17.62;18.1;576000.0
2001-07-18;18.0;18.05;17.5;17.75;722000.0
2001-07-19;17.89;18.15;17.75;17.94;252000.0
2001-07-20;17.99;18.05;17.75;17.76;188000.0
2001-07-23;17.75;17.8;17.2;17.25;592000.0
2001-07-24;17.5;17.65;16.3;16.5;702000.0
2001-07-25;16.75;17.2;16.7;16.86;932000.0
2001-07-26;17.0;17.16;16.86;17.0;562000.0
2001-07-27;17.05;17.24;16.81;16.9;244000.0
2001-07-30;17.0;17.2;16.82;16.82;534000.0
2001-07-31;16.97;17.25;16.83;17.06;646000.0
2001-08-01;17.1;17.3;17.0;17.3;570000.0
2001-08-02;17.45;18.0;17.35;17.65;504000.0
2001-08-03;17.65;18.85;17.65;18.36;338000.0
2001-08-06;18.11;18.16;17.68;17.89;228000.0
2001-08-07;17.65;17.65;17.15;17.2;390000.0
2001-08-08;17.45;17.65;16.95;17.0;524000.0
2001-08-09;17.05;17.7;17.05;17.53;1066000.0
2001-08-10;17.73;17.73;17.2;17.73;286000.0
2001-08-13;17.58;18.1;17.58;18.1;280000.0
2001-08-14;18.1;18.36;17.86;18.02;280000.0
