date;open;high;low;close;volume
1987-01-02;49.0;49.5;49.0;49.5;20300.0
1987-01-05;50.0;51.75;50.0;51.75;49900.0
1987-01-06;51.63;51.63;51.25;51.5;18200.0
1987-01-07;51.5;52.25;51.13;52.13;54800.0
1987-01-08;51.88;51.88;51.38;51.63;310300.0
1987-01-09;51.63;51.88;51.25;51.38;24200.0
1987-01-12;51.38;52.0;51.25;51.75;64400.0
1987-01-13;51.75;51.88;51.0;51.0;85600.0
1987-01-14;51.0;51.5;50.75;50.88;64600.0
1987-01-15;50.88;50.88;49.75;50.0;427000.0
1987-01-16;50.0;50.25;49.75;49.88;57500.0
1987-01-19;49.88;50.38;49.75;50.38;39600.0
1987-01-20;50.38;51.0;50.25;50.63;171900.0
1987-01-21;50.75;51.88;50.75;51.75;141000.0
1987-01-22;51.75;54.38;51.75;54.25;118800.0
1987-01-23;54.25;54.75;51.63;52.25;255400.0
1987-01-26;52.25;52.63;51.75;52.13;136200.0
1987-01-27;52.13;52.75;52.13;52.5;73300.0
1987-01-28;52.5;52.5;52.0;52.5;98300.0
1987-01-29;52.5;52.5;51.38;51.38;161700.0
1987-01-30;51.38;51.75;51.25;51.75;79600.0
1987-02-02;52.0;54.0;52.0;53.88;56500.0
1987-02-03;53.88;53.88;53.5;53.75;79000.0
1987-02-04;53.75;54.25;53.5;54.25;101600.0
1987-02-05;54.25;54.25;53.5;54.13;50100.0
1987-02-06;54.13;54.5;54.13;54.5;47900.0
1987-02-09;54.38;54.38;53.0;53.13;35300.0
1987-02-10;53.13;53.63;52.75;53.0;58700.0
1987-02-11;53.0;53.75;52.75;53.13;51700.0
1987-02-12;53.13;53.38;52.38;52.5;176100.0
1987-02-13;52.5;53.5;52.38;53.25;60100.0
1987-02-17;53.25;53.25;52.5;52.5;75200.0
1987-02-18;52.5;52.88;52.13;52.38;65400.0
1987-02-19;52.38;53.0;52.0;52.5;211900.0
1987-02-20;51.75;51.75;50.75;51.0;53600.0
1987-02-23;51.0;51.13;49.88;50.5;138500.0
1987-02-24;50.5;50.75;50.25;50.38;51900.0
