date;open;high;low;close;volume
1991-12-17;20.0;23.5;20.0;23.25;7907700.0
1991-12-18;23.0;23.25;22.75;23.0;1331300.0
1991-12-19;22.75;23.0;22.25;22.5;508800.0
1991-12-20;23.0;23.25;22.5;23.0;256900.0
1991-12-23;22.75;23.75;22.75;23.75;246600.0
1991-12-24;23.75;24.25;23.25;24.0;246200.0
1991-12-26;23.75;27.5;23.75;27.0;291300.0
1991-12-27;27.0;27.25;25.75;27.0;360400.0
1991-12-30;26.75;30.75;26.75;28.5;717500.0
1991-12-31;29.0;29.75;28.5;29.75;220400.0
1992-01-02;29.0;29.5;27.75;28.5;694800.0
1992-01-03;28.5;30.5;28.5;30.25;176900.0
1992-01-06;30.25;31.0;29.75;31.0;221400.0
1992-01-07;30.75;30.75;29.75;30.0;333100.0
1992-01-08;29.5;30.75;29.25;30.0;487500.0
1992-01-09;30.25;30.25;29.0;29.0;188400.0
1992-01-10;29.5;29.75;29.0;29.75;213300.0
1992-01-13;30.0;30.5;29.25;30.5;31300.0
1992-01-14;30.5;30.62;29.75;30.25;28400.0
1992-01-15;30.0;30.5;29.75;30.0;125800.0
1992-01-16;29.75;30.25;28.75;29.5;400500.0
1992-01-17;29.0;29.25;28.5;28.75;144200.0
1992-01-20;28.75;29.25;27.25;27.25;121400.0
1992-01-21;27.0;27.25;24.25;27.0;411600.0
1992-01-22;26.75;27.75;26.75;27.5;85700.0
1992-01-23;28.5;29.75;28.0;29.5;289400.0
1992-01-24;30.0;31.25;29.25;31.0;295800.0
1992-01-27;30.75;31.5;30.75;31.0;242400.0
1992-01-28;31.5;31.5;30.75;31.25;278100.0
1992-01-29;31.5;32.5;31.25;31.75;205000.0
1992-01-30;31.25;32.0;31.25;31.88;97500.0
1992-01-31;31.5;32.5;31.5;32.0;97300.0
1992-02-03;32.0;32.5;32.0;32.5;35300.0
1992-02-04;32.5;33.25;32.0;32.75;247300.0
1992-02-05;32.75;33.0;32.5;32.5;98200.0
1992-02-06;32.5;33.0;32.5;33.0;262000.0
1992-02-07;33.0;33.25;32.5;33.25;91800.0
1992-02-10;33.25;33.75;32.75;33.75;62500.0
1992-02-11;33.75;34.25;32.0;33.25;258700.0
1992-02-12;33.5;33.75;33.0;33.25;76900.0
1992-02-13;33.88;34.0;32.75;33.0;146400.0
1992-02-14;32.75;33.0;32.25;32.5;117200.0
1992-02-18;32.5;33.0;32.25;32.75;85900.0
1992-02-19;33.0;33.0;31.75;32.0;139100.0
1992-02-20;32.5;33.5;32.0;32.75;306800.0
1992-02-21;33.5;35.75;33.25;35.5;300400.0
