date;open;high;low;close;volume
1993-12-01;6.75;6.75;5.75;6.0;2272600.0
1993-12-02;6.25;6.25;5.75;5.75;413000.0
1993-12-03;5.875;6.25;5.75;5.875;147800.0
1993-12-06;5.875;6.0;5.625;6.0;162100.0
1993-12-07;6.0;6.0;5.625;5.875;78100.0
1993-12-08;5.625;5.875;5.625;5.875;175900.0
1993-12-09;5.625;5.875;5.375;5.656;249900.0
1993-12-10;5.5;5.75;5.5;5.75;73100.0
1993-12-13;5.75;5.75;5.25;5.5;140200.0
1993-12-14;5.25;5.5;5.219;5.25;184900.0
1993-12-15;5.5;5.5;5.25;5.25;25100.0
1993-12-16;5.5;5.5;5.219;5.25;78100.0
1993-12-17;5.25;5.5;4.75;5.0;107600.0
1993-12-20;4.75;5.0;4.469;4.75;145100.0
1993-12-21;4.5;4.75;4.5;4.5;55600.0
1993-12-22;4.531;5.25;4.531;5.125;127900.0
1993-12-23;5.0;5.25;4.875;5.125;37600.0
1993-12-27;5.125;5.125;4.875;4.875;31400.0
1993-12-28;5.0;5.125;4.875;4.875;18300.0
1993-12-29;5.125;5.125;4.875;4.875;97500.0
1993-12-30;5.125;5.125;4.875;5.0;11700.0
1993-12-31;5.125;5.25;4.875;5.25;58700.0
1994-01-03;5.125;5.25;5.0;5.0;81100.0
1994-01-04;5.0;5.125;5.0;5.0;45700.0
1994-01-05;5.0;5.125;4.875;5.0;93600.0
1994-01-06;5.0;5.0;4.75;4.75;63800.0
1994-01-07;4.75;5.25;4.75;5.25;105900.0
1994-01-10;5.25;5.25;5.0;5.25;194800.0
1994-01-11;5.0;5.25;4.875;5.0;77300.0
1994-01-12;4.875;5.25;4.875;5.25;8500.0
1994-01-13;5.25;5.25;4.875;4.875;53600.0
1994-01-14;5.0;5.0;4.75;5.0;25300.0
1994-01-17;5.0;5.0;4.75;5.0;8900.0
1994-01-18;4.75;5.0;4.75;4.75;10200.0
1994-01-19;5.0;5.125;4.875;5.063;85800.0
1994-01-20;5.0;5.25;5.0;5.25;84200.0
1994-01-21;5.0;5.25;5.0;5.0;26900.0
1994-01-24;5.25;5.25;5.0;5.25;54400.0
1994-01-25;5.125;5.25;5.0;5.25;86500.0
1994-01-26;5.0;5.25;5.0;5.25;21400.0
1994-01-27;5.125;5.25;5.0;5.25;53100.0
1994-01-28;5.25;5.25;5.0;5.0;40400.0
1994-01-31;5.0;5.5;5.0;5.438;51200.0
1994-02-01;5.5;5.5;5.25;5.25;65100.0
1994-02-02;5.5;5.5;5.25;5.25;64300.0
1994-02-03;5.25;5.375;5.25;5.25;27500.0
1994-02-04;5.375;5.5;5.25;5.344;122500.0
1994-02-07;5.25;5.375;5.25;5.25;52200.0
1994-02-08;5.375;5.5;5.25;5.438;47900.0
1994-02-09;5.5;5.625;5.25;5.375;133400.0
1994-02-10;5.375;5.625;5.375;5.625;124500.0
1994-02-11;5.625;5.625;5.375;5.5;32300.0
1994-02-14;5.625;6.0;5.375;5.875;160500.0
1994-02-15;5.875;6.0;5.688;6.0;115300.0
1994-02-16;6.0;6.125;5.75;6.125;145600.0
1994-02-17;6.0;6.25;5.75;6.25;121500.0
1994-02-18;5.75;6.375;5.75;5.75;137600.0
1994-02-22;5.75;6.25;5.75;5.75;21600.0
1994-02-23;6.25;6.25;5.625;5.625;40400.0
1994-02-24;6.0;6.0;5.625;6.0;28800.0
1994-02-25;5.625;6.0;5.625;5.625;29900.0
1994-02-28;5.625;6.0;5.625;6.0;36700.0
1994-03-01;5.625;6.0;5.625;5.938;48500.0
1994-03-02;5.906;6.0;5.625;6.0;32000.0
1994-03-03;5.75;6.0;5.625;5.969;11200.0
1994-03-04;6.0;6.0;5.625;5.875;77300.0
1994-03-07;5.625;5.875;5.625;5.875;37900.0
1994-03-08;5.625;6.0;5.625;5.875;167000.0
1994-03-09;5.875;5.875;5.625;5.875;100100.0
1994-03-10;5.625;5.875;5.625;5.875;65300.0
1994-03-11;5.875;5.875;5.625;5.875;81500.0
1994-03-14;5.625;5.875;5.625;5.625;67700.0
1994-03-15;5.875;5.875;5.625;5.813;70200.0
1994-03-16;5.625;5.75;5.25;5.5;75800.0
1994-03-17;5.5;5.5;5.25;5.5;39500.0
1994-03-18;5.375;5.5;5.25;5.5;12400.0
1994-03-21;5.25;5.5;5.25;5.5;16900.0
1994-03-22;5.25;5.5;5.25;5.5;9100.0
1994-03-23;5.375;5.5;5.25;5.25;107000.0
1994-03-24;5.5;5.5;5.25;5.313;50400.0
1994-03-25;5.375;5.5;5.25;5.5;60900.0
1994-03-28;5.5;5.5;5.25;5.25;34600.0
1994-03-29;5.5;5.5;5.25;5.25;10300.0
1994-03-30;5.25;5.5;5.0;5.125;33100.0
1994-03-31;5.125;5.375;5.125;5.375;37400.0
1994-04-04;5.125;5.25;4.875;4.875;30000.0
1994-04-05;5.125;5.125;4.875;4.875;23700.0
1994-04-06;5.125;5.125;4.875;4.875;13000.0
1994-04-07;5.125;5.125;4.813;5.125;33500.0
1994-04-08;4.75;5.125;4.75;5.125;31100.0
1994-04-11;5.125;5.125;4.75;5.125;5900.0
1994-04-12;4.75;5.125;4.625;4.625;17700.0
1994-04-13;4.625;5.0;4.0;4.625;42800.0
1994-04-14;4.5;4.625;4.125;4.625;11800.0
1994-04-15;4.25;4.75;4.25;4.375;75100.0
1994-04-18;4.25;4.5;4.25;4.5;7100.0
1994-04-19;4.125;4.375;4.0;4.0;26500.0
1994-04-20;4.125;4.25;4.0;4.25;6600.0
1994-04-21;4.25;4.25;4.0;4.0;5400.0
1994-04-22;4.25;4.25;4.0;4.0;39900.0
1994-04-25;4.25;4.25;4.0;4.0;3100.0
1994-04-26;4.0;4.375;3.375;3.625;38500.0
1994-04-28;3.5;3.75;3.375;3.375;9900.0
1994-04-29;3.375;3.625;3.25;3.625;27300.0
1994-05-02;3.375;3.625;3.375;3.375;9300.0
1994-05-03;3.375;3.625;3.375;3.625;42100.0
1994-05-04;3.75;3.75;3.5;3.75;5300.0
1994-05-05;3.75;4.125;3.75;4.0;28600.0
1994-05-06;4.125;4.125;3.75;4.125;20100.0
1994-05-09;4.125;4.125;3.75;3.75;16900.0
1994-05-10;4.125;4.125;3.75;3.75;89400.0
1994-05-11;4.0;4.0;3.75;3.75;6100.0
1994-05-12;4.0;4.0;3.75;4.0;16800.0
1994-05-13;3.75;4.0;3.75;4.0;21800.0
1994-05-16;3.75;4.0;3.75;3.75;3800.0
1994-05-17;3.75;4.0;3.5;3.75;7400.0
1994-05-18;4.0;4.0;3.5;3.75;3400.0
1994-05-19;3.75;4.0;3.75;4.0;17700.0
1994-05-20;3.75;4.0;3.75;3.75;18100.0
1994-05-23;3.75;4.0;3.75;3.875;25000.0
1994-05-24;4.0;4.0;3.5;3.75;31300.0
1994-05-25;3.5;3.531;3.5;3.531;11000.0
1994-05-26;3.5;3.5;3.5;3.5;1700.0
1994-05-27;3.5;4.0;3.5;4.0;40800.0
1994-05-31;3.5;4.0;3.5;4.0;17900.0
1994-06-01;3.563;3.75;3.5;3.625;34500.0
1994-06-02;3.625;4.0;3.625;3.625;15300.0
1994-06-03;3.625;3.875;3.5;3.875;17400.0
1994-06-06;3.625;4.0;3.5;3.5;25600.0
1994-06-07;4.0;4.0;3.5;3.5;4700.0
1994-06-08;3.5;4.0;3.5;3.5;11700.0
