date;open;high;low;close;volume
1990-03-26;0.9375;0.9375;0.9375;0.9375;100.0
1990-03-27;0.9375;0.9375;0.9375;0.9375;100.0
1990-03-28;0.94;0.94;0.94;0.94;0.0
1990-03-29;1.063;1.063;1.063;1.063;100.0
1990-03-30;1.06;1.06;1.06;1.06;0.0
1990-04-02;1.063;1.063;1.063;1.063;200.0
1990-04-03;0.9375;0.9375;0.9375;0.9375;2000.0
1990-04-04;0.9375;1.0;0.875;0.9375;19200.0
1990-04-05;0.94;0.94;0.94;0.94;0.0
1990-04-06;0.9688;0.9688;0.9688;0.9688;4800.0
1990-04-09;0.9688;0.9688;0.8125;0.9688;2200.0
1990-04-10;0.8125;0.8125;0.8125;0.8125;500.0
1990-04-11;0.9688;0.9688;0.8125;0.8125;1400.0
1990-04-12;1.031;1.031;1.031;1.031;2000.0
1990-04-16;1.0;1.0;0.875;0.875;1200.0
1990-04-17;0.875;0.875;0.875;0.875;900.0
1990-04-18;0.875;0.875;0.875;0.875;300.0
1990-04-19;0.88;0.88;0.88;0.88;0.0
1990-04-20;0.88;0.88;0.88;0.88;0.0
1990-04-23;0.875;0.9375;0.875;0.875;2500.0
1990-04-24;1.031;1.031;1.031;1.031;400.0
1990-04-25;0.875;0.875;0.875;0.875;5000.0
1990-04-26;0.875;0.875;0.875;0.875;1000.0
1990-04-27;0.9375;0.9375;0.875;0.875;8000.0
1990-04-30;0.88;0.88;0.88;0.88;0.0
1990-05-01;0.88;0.88;0.88;0.88;0.0
1990-05-02;0.88;0.88;0.88;0.88;0.0
1990-05-03;0.9688;0.9688;0.9688;0.9688;1000.0
1990-05-04;0.97;0.97;0.97;0.97;0.0
1990-05-07;0.875;0.875;0.875;0.875;3000.0
1990-05-08;1.0;1.0;1.0;1.0;1000.0
1990-05-09;0.875;0.875;0.875;0.875;300.0
1990-05-10;0.875;0.875;0.875;0.875;1600.0
1990-05-11;0.875;1.0;0.875;0.9375;6200.0
1990-05-14;0.94;0.94;0.94;0.94;0.0
1990-05-15;0.875;0.9688;0.875;0.9688;10800.0
1990-05-16;0.8125;0.875;0.75;0.75;15700.0
1990-05-17;0.8125;0.8125;0.625;0.75;33800.0
1990-05-18;0.625;0.6875;0.625;0.6875;2000.0
1990-05-21;0.69;0.69;0.69;0.69;0.0
