date;open;high;low;close;volume
1993-06-08;18.0;18.5;17.0;17.5;1887378.0
1993-06-09;18.0;20.0;17.5;19.75;294444.0
1993-06-10;20.25;21.0;18.5;19.0;395778.0
1993-06-11;18.75;20.5;18.75;20.25;214578.0
1993-06-14;20.75;21.0;20.0;21.0;81200.0
1993-06-15;21.0;21.0;19.75;19.87;146178.0
1993-06-16;20.25;20.75;19.75;20.75;94844.0
1993-06-17;20.75;21.25;20.25;20.75;97778.0
1993-06-18;20.75;21.25;20.0;20.25;83200.0
1993-06-21;20.25;21.0;19.75;20.25;31778.0
1993-06-22;20.25;20.75;19.75;20.0;56400.0
1993-06-23;19.75;20.25;19.5;19.75;69778.0
1993-06-24;19.25;20.25;19.25;19.75;23244.0
1993-06-25;20.25;20.75;19.5;20.75;17200.0
1993-06-28;20.75;20.75;20.0;20.75;58044.0
1993-06-29;20.75;20.75;20.0;20.0;20400.0
1993-06-30;19.75;20.25;19.75;20.25;6000.0
1993-07-01;20.25;20.25;19.5;19.5;13867.0
1993-07-02;19.5;20.25;19.25;20.0;32844.0
1993-07-06;20.0;21.5;20.0;20.75;142400.0
1993-07-07;21.25;21.25;20.75;21.25;67867.0
1993-07-08;21.5;21.5;20.75;21.5;20044.0
1993-07-09;21.75;22.0;21.25;21.75;20178.0
1993-07-12;22.0;22.0;21.25;22.0;37378.0
1993-07-13;21.75;22.25;21.75;21.75;35067.0
1993-07-14;22.25;22.75;21.75;22.75;26400.0
1993-07-15;22.0;22.75;22.0;22.25;33067.0
1993-07-16;21.75;22.25;21.5;21.75;14178.0
1993-07-19;21.75;22.0;21.0;21.0;23200.0
1993-07-20;21.5;22.0;21.0;21.25;35067.0
1993-07-21;21.25;22.0;21.25;21.25;4178.0
1993-07-22;21.0;21.5;20.87;20.87;2800.0
1993-07-23;21.25;21.25;20.75;20.75;1600.0
1993-07-26;20.5;20.75;20.0;20.5;36844.0
1993-07-27;20.75;20.75;20.25;20.5;8667.0
1993-07-28;20.75;20.75;20.5;20.5;2444.0
1993-07-29;20.5;20.75;20.5;20.75;18978.0
1993-07-30;21.0;21.0;20.5;20.5;43867.0
1993-08-02;20.5;21.0;20.5;20.5;22267.0
1993-08-03;20.5;22.5;20.5;22.25;80978.0
1993-08-04;22.0;23.75;22.0;22.25;166578.0
1993-08-05;22.75;22.75;22.12;22.5;55067.0
1993-08-06;22.12;22.5;20.75;21.25;107778.0
1993-08-09;21.25;21.5;21.0;21.0;33644.0
1993-08-10;20.75;21.63;20.5;21.0;77867.0
1993-08-11;21.25;22.0;21.25;21.25;37067.0
1993-08-12;21.25;22.5;21.25;22.0;24844.0
1993-08-13;22.63;22.75;22.0;22.0;44267.0
1993-08-16;22.25;22.37;22.0;22.0;23200.0
1993-08-17;22.0;22.25;21.75;22.25;16178.0
1993-08-18;21.75;22.75;21.75;22.5;182044.0
1993-08-19;22.75;22.75;22.25;22.75;1067.0
1993-08-20;22.25;22.75;22.25;22.75;7067.0
1993-08-23;23.0;23.0;22.5;23.0;9244.0
1993-08-24;23.0;23.0;22.5;22.5;10000.0
1993-08-25;23.0;23.25;22.5;23.25;6400.0
1993-08-26;23.25;23.5;22.75;23.37;7067.0
1993-08-27;23.0;23.25;23.0;23.25;11644.0
1993-08-30;23.0;24.25;23.0;23.75;20444.0
1993-08-31;24.0;24.25;23.5;24.25;12978.0
1993-09-01;23.5;25.75;23.5;25.75;56444.0
1993-09-02;25.75;25.75;24.25;24.25;33200.0
1993-09-03;24.75;24.75;24.25;24.5;7778.0
1993-09-07;24.75;24.75;24.25;24.25;23067.0
1993-09-08;24.25;24.25;22.75;23.5;58800.0
1993-09-09;23.75;24.75;23.75;24.25;26178.0
1993-09-10;24.75;27.0;24.75;26.5;64044.0
1993-09-13;27.0;28.5;27.0;28.38;65200.0
1993-09-14;27.5;28.0;27.0;27.25;33244.0
1993-09-15;27.25;27.5;26.75;27.5;4800.0
1993-09-16;27.5;27.5;26.75;27.0;2044.0
1993-09-17;26.75;27.5;26.25;27.0;22044.0
1993-09-20;27.0;27.0;26.25;26.25;3867.0
1993-09-21;26.25;26.25;25.25;25.25;55378.0
1993-09-22;26.0;26.0;25.25;25.62;5378.0
1993-09-23;26.0;26.5;25.5;25.75;52444.0
1993-09-24;26.25;26.25;25.25;25.5;31867.0
1993-09-27;26.0;26.0;25.25;25.5;6667.0
1993-09-28;25.25;25.25;25.25;25.25;978.0
1993-09-29;25.25;26.0;25.25;26.0;1867.0
1993-09-30;26.0;26.25;25.25;25.75;11644.0
1993-10-01;26.25;26.25;25.75;25.75;60178.0
1993-10-04;25.75;26.25;25.75;26.0;24178.0
1993-10-05;25.75;26.0;25.25;25.37;12444.0
1993-10-06;25.75;26.0;25.25;25.88;25778.0
1993-10-07;26.25;26.25;24.25;24.25;61778.0
1993-10-08;24.25;24.75;24.25;24.75;4044.0
1993-10-11;24.25;24.75;23.5;23.5;14000.0
1993-10-12;23.5;24.25;23.5;23.75;6044.0
1993-10-13;23.5;23.5;23.0;23.5;15467.0
1993-10-14;23.5;23.75;23.25;23.75;7378.0
1993-10-15;23.75;24.25;23.75;23.75;18400.0
1993-10-18;24.0;24.25;23.75;24.25;3378.0
1993-10-19;24.25;24.25;23.25;23.25;14178.0
1993-10-20;23.25;23.5;23.0;23.5;10000.0
1993-10-21;22.75;22.75;22.0;22.75;16178.0
1993-10-22;22.0;22.75;21.75;21.75;7778.0
1993-10-25;22.5;22.5;20.75;22.5;50178.0
1993-10-26;24.0;25.25;24.0;24.75;80800.0
1993-10-27;25.0;26.25;23.75;23.75;70800.0
1993-10-28;24.5;24.5;23.5;23.75;12844.0
1993-10-29;24.0;25.0;24.0;25.0;18400.0
1993-11-01;25.5;27.0;24.75;26.25;36978.0
1993-11-02;27.0;28.5;26.25;27.75;90000.0
1993-11-03;28.0;28.75;27.25;27.75;40800.0
1993-11-04;26.75;27.5;26.38;26.38;62444.0
1993-11-05;25.5;25.75;23.5;25.75;82267.0
1993-11-08;25.75;27.0;25.25;27.0;32667.0
1993-11-09;27.0;27.0;26.0;26.0;33200.0
1993-11-10;25.75;26.25;25.75;26.0;4000.0
1993-11-11;26.0;26.5;26.0;26.0;978.0
1993-11-12;25.75;26.0;25.25;25.25;7467.0
1993-11-15;25.75;25.75;25.0;25.0;444.0
1993-11-16;25.0;25.0;24.5;24.5;7244.0
1993-11-17;25.25;25.25;23.0;23.37;35200.0
1993-11-18;23.5;23.5;22.75;22.75;46444.0
1993-11-19;22.25;23.0;22.25;22.25;10044.0
1993-11-22;22.0;22.75;22.0;22.25;17244.0
1993-11-23;22.0;23.25;22.0;23.25;82267.0
1993-11-24;23.25;23.25;22.88;23.25;9600.0
1993-11-26;22.5;22.5;22.5;22.5;44.0
1993-11-29;22.88;24.0;22.88;23.75;37244.0
1993-11-30;24.0;24.75;23.25;24.75;65067.0
1993-12-01;24.75;25.0;24.25;24.5;12800.0
1993-12-02;25.0;25.0;24.25;24.62;14000.0
1993-12-03;25.0;25.0;24.5;24.62;35867.0
1993-12-06;24.62;25.0;24.62;24.62;4978.0
1993-12-07;25.0;25.0;24.25;24.25;1067.0
1993-12-08;24.25;25.0;24.25;24.25;2667.0
1993-12-09;24.5;25.5;24.5;25.0;48400.0
1993-12-10;25.75;25.75;25.0;25.0;20844.0
1993-12-13;25.0;25.75;25.0;25.37;12444.0
1993-12-14;25.0;25.75;25.0;25.62;25200.0
1993-12-15;25.75;25.75;25.13;25.13;2044.0
1993-12-16;25.75;25.75;25.0;25.25;15778.0
1993-12-17;25.75;26.5;25.25;26.0;44267.0
1993-12-20;26.5;27.5;26.5;26.5;14044.0
1993-12-21;27.25;27.25;26.5;27.25;30267.0
1993-12-22;26.75;27.75;26.75;27.25;26667.0
1993-12-23;27.25;28.0;27.25;27.25;4978.0
1993-12-27;27.25;27.75;27.25;27.25;3067.0
1993-12-28;26.75;28.25;26.75;28.0;12800.0
1993-12-29;27.5;30.0;27.5;28.5;30000.0
1993-12-30;28.0;28.0;26.0;26.5;30444.0
1993-12-31;27.25;28.0;26.87;27.25;11644.0
1994-01-03;27.25;27.25;24.88;25.5;32178.0
1994-01-04;25.0;26.0;25.0;25.25;8844.0
1994-01-05;25.75;26.25;25.5;26.25;3600.0
1994-01-06;26.0;26.5;26.0;26.5;42800.0
1994-01-07;26.5;26.5;26.0;26.5;16844.0
1994-01-10;26.0;26.25;25.25;26.0;27200.0
1994-01-11;26.0;26.0;25.25;26.0;10667.0
1994-01-12;25.25;26.0;24.75;25.5;33644.0
1994-01-13;25.5;27.0;24.88;27.0;49378.0
1994-01-14;27.25;27.75;26.38;27.62;491600.0
1994-01-17;27.25;27.75;27.0;27.5;56578.0
1994-01-18;27.25;28.5;27.25;27.75;74044.0
1994-01-19;27.75;27.87;26.75;26.75;34444.0
1994-01-20;27.25;27.25;26.25;26.75;26844.0
1994-01-21;26.25;26.75;26.25;26.38;9644.0
1994-01-24;26.5;26.75;26.5;26.75;68800.0
1994-01-25;27.0;27.25;26.5;26.62;42000.0
1994-01-26;26.5;27.0;26.5;26.62;4578.0
1994-01-27;26.5;27.25;26.5;27.25;20800.0
1994-01-28;26.75;28.0;26.75;28.0;21200.0
1994-01-31;28.5;29.25;27.5;28.87;58400.0
1994-02-01;29.0;29.25;28.25;29.0;61644.0
1994-02-02;28.75;29.75;28.75;29.0;33200.0
1994-02-03;28.5;29.87;28.5;29.87;62800.0
1994-02-04;29.5;30.0;28.5;28.5;28178.0
1994-02-07;28.5;28.75;28.0;28.0;46444.0
1994-02-08;28.0;28.5;27.75;28.5;11467.0
1994-02-09;28.0;28.25;27.5;28.0;22444.0
1994-02-10;27.75;28.25;27.5;27.5;49644.0
1994-02-11;27.5;28.0;27.5;27.5;8178.0
1994-02-14;27.87;28.0;27.5;27.5;24000.0
1994-02-15;28.25;28.25;27.5;28.25;3600.0
1994-02-16;28.25;28.25;27.25;27.25;10978.0
1994-02-17;27.25;27.5;26.75;27.5;6000.0
1994-02-18;26.75;27.5;26.75;26.87;12400.0
1994-02-22;26.75;26.75;26.75;26.75;2000.0
1994-02-23;27.25;27.25;26.75;26.75;34978.0
1994-02-24;27.0;27.25;27.0;27.25;16178.0
1994-02-25;26.75;27.0;26.75;27.0;63244.0
1994-02-28;26.75;27.25;26.75;27.25;26044.0
1994-03-01;27.25;28.25;27.25;27.5;28267.0
1994-03-02;27.75;27.75;27.25;27.25;800.0
1994-03-03;27.75;27.75;27.25;27.38;36667.0
1994-03-04;27.75;29.75;27.75;29.5;85778.0
1994-03-07;29.5;31.5;29.5;31.37;64178.0
1994-03-08;31.25;31.75;30.0;30.75;20800.0
1994-03-09;30.75;33.25;30.5;33.25;86000.0
1994-03-10;32.75;33.25;30.75;31.25;106400.0
1994-03-11;31.25;31.5;30.75;31.12;1644.0
1994-03-14;31.5;32.0;30.75;32.0;40844.0
1994-03-15;31.25;32.0;31.25;32.0;21244.0
1994-03-16;31.25;32.0;31.25;32.0;16044.0
1994-03-17;31.25;32.0;31.25;31.75;16578.0
1994-03-18;32.0;33.25;32.0;33.25;134044.0
1994-03-21;33.25;33.25;32.25;32.25;14844.0
1994-03-22;31.75;32.5;31.75;32.12;80844.0
1994-03-23;32.25;32.25;32.0;32.25;60444.0
1994-03-24;31.75;32.0;31.0;31.75;54444.0
1994-03-25;31.0;31.75;30.63;31.25;55644.0
1994-03-28;31.25;31.25;30.25;30.63;26444.0
1994-03-29;31.25;31.25;29.0;29.0;92178.0
1994-03-30;28.25;28.75;27.5;27.5;107644.0
1994-03-31;28.0;29.25;27.0;29.25;74978.0
1994-04-04;28.25;29.0;27.25;28.0;59867.0
1994-04-05;29.0;29.75;28.75;29.0;35644.0
1994-04-06;29.0;30.0;29.0;29.63;91644.0
1994-04-07;29.5;30.0;29.5;30.0;10267.0
1994-04-08;29.75;30.0;29.5;29.5;3378.0
1994-04-11;29.5;30.0;29.5;30.0;14044.0
1994-04-12;30.0;30.0;29.75;29.75;21778.0
1994-04-13;30.0;30.0;26.75;27.75;48800.0
1994-04-14;27.0;27.75;26.5;27.75;12578.0
1994-04-15;27.25;28.0;27.0;27.25;11244.0
1994-04-18;28.25;28.5;27.75;28.5;7467.0
1994-04-19;28.5;28.5;28.0;28.0;4844.0
1994-04-20;29.25;29.25;24.5;25.25;318400.0
1994-04-21;25.25;25.5;24.75;24.75;233644.0
1994-04-22;25.25;25.75;24.75;25.25;289067.0
1994-04-25;25.75;25.75;25.13;25.5;149200.0
1994-04-26;25.75;25.75;25.13;25.75;10844.0
1994-04-28;25.75;26.0;25.5;25.62;110444.0
1994-04-29;25.75;25.75;25.25;25.75;5067.0
1994-05-02;25.75;25.75;25.25;25.75;37467.0
1994-05-03;25.75;26.0;25.25;26.0;53067.0
1994-05-04;26.0;26.25;25.5;26.0;32844.0
1994-05-05;25.62;26.0;25.62;25.88;8000.0
1994-05-06;25.5;26.0;25.25;25.25;11067.0
1994-05-09;25.25;26.0;25.0;25.5;18667.0
1994-05-10;25.0;25.25;24.5;25.25;53067.0
1994-05-11;25.25;25.25;21.0;21.0;76578.0
1994-05-12;22.25;23.25;21.25;22.0;243200.0
1994-05-13;21.25;22.0;21.0;21.0;166267.0
1994-05-16;22.25;24.0;21.5;23.0;381467.0
1994-05-17;23.5;23.5;22.75;23.5;85644.0
1994-05-18;24.0;25.5;23.25;25.0;184578.0
1994-05-19;25.5;26.25;25.25;26.0;326178.0
1994-05-20;25.75;26.25;25.75;26.13;100800.0
1994-05-23;26.5;27.5;26.25;26.5;49644.0
1994-05-24;26.5;27.0;26.0;26.25;27244.0
1994-05-25;25.75;26.25;25.5;25.75;24400.0
1994-05-26;26.0;26.0;24.75;25.25;21067.0
1994-05-27;25.0;25.75;24.0;25.5;41244.0
1994-05-31;25.5;25.5;25.0;25.5;6000.0
1994-06-01;25.0;26.75;25.0;26.5;51600.0
1994-06-02;27.25;27.5;26.5;27.25;22000.0
1994-06-03;27.5;27.5;26.75;27.25;3467.0
1994-06-06;27.25;28.0;26.75;27.75;36044.0
1994-06-07;28.0;28.75;27.25;28.0;22044.0
1994-06-08;28.75;28.75;27.25;27.5;26578.0
1994-06-09;27.5;27.5;25.0;25.25;193867.0
1994-06-10;25.5;26.25;25.25;26.0;213244.0
1994-06-13;26.25;26.5;25.75;26.5;7644.0
1994-06-14;27.0;27.5;26.5;27.13;104667.0
1994-06-15;27.5;27.5;26.75;27.25;12400.0
1994-06-16;27.25;27.25;26.62;27.0;13200.0
1994-06-17;27.0;27.0;26.25;26.25;34444.0
1994-06-20;26.0;26.0;24.75;24.88;114044.0
1994-06-21;25.25;25.25;24.0;24.5;41378.0
1994-06-22;24.5;25.0;24.0;24.25;82267.0
1994-06-23;24.5;25.25;24.5;24.5;79067.0
1994-06-24;24.0;24.0;23.25;23.75;71378.0
1994-06-27;23.25;25.25;23.25;25.25;47200.0
1994-06-28;24.5;25.25;24.25;25.0;41644.0
1994-06-29;25.0;25.75;24.75;25.5;14400.0
1994-06-30;25.0;25.75;24.5;24.5;69600.0
1994-07-01;25.25;25.75;25.0;25.25;59644.0
1994-07-05;25.25;25.5;24.62;24.75;45067.0
1994-07-06;24.25;25.0;24.25;24.25;2978.0
1994-07-07;24.25;25.75;24.25;25.25;32844.0
1994-07-08;25.0;25.5;24.5;25.25;22800.0
1994-07-11;24.75;25.25;24.25;25.0;27778.0
1994-07-12;25.25;25.25;24.25;25.0;9244.0
1994-07-13;25.0;25.0;24.88;25.0;15644.0
1994-07-14;25.25;25.75;24.75;25.75;58844.0
1994-07-15;25.25;25.75;25.25;25.75;5378.0
1994-07-18;25.75;25.75;25.0;25.0;11067.0
1994-07-19;25.25;25.25;24.25;24.75;137644.0
1994-07-20;24.25;25.0;24.25;25.0;578.0
1994-07-21;25.0;25.25;24.25;25.25;37778.0
1994-07-22;25.5;25.5;24.75;25.0;6667.0
1994-07-25;25.0;26.25;24.5;26.0;52844.0
1994-07-26;26.0;26.5;25.5;25.5;9778.0
1994-07-27;26.0;26.75;25.25;25.25;88400.0
1994-07-28;25.0;25.5;24.25;24.37;368044.0
1994-07-29;24.25;25.25;24.25;24.5;50400.0
1994-08-01;25.0;25.25;24.25;24.25;8844.0
1994-08-02;25.25;25.5;25.0;25.0;86667.0
1994-08-03;25.5;25.5;25.13;25.13;3244.0
1994-08-04;25.5;25.5;25.25;25.5;40578.0
1994-08-05;24.75;25.25;24.75;25.25;3644.0
1994-08-08;25.25;25.25;24.75;24.75;2667.0
1994-08-09;25.0;25.0;24.75;24.75;800.0
1994-08-10;24.75;25.25;24.5;24.75;469244.0
