date;open;high;low;close;volume
2010-12-16;8.6;12.0;8.6;11.5;1700.0
2010-12-17;11.46;12.0;9.12;12.0;32300.0
2010-12-20;12.79;12.79;9.98;10.51;27700.0
2010-12-21;10.6425;10.93;9.75;9.8;23700.0
2010-12-22;9.3;10.28;9.3;9.84;23000.0
2010-12-23;9.85;10.6162;9.75;9.8;17200.0
2010-12-27;10.48;10.48;9.81;9.83;9800.0
2010-12-28;9.82;9.82;9.51;9.77;18100.0
2010-12-29;9.75;9.75;9.07;9.43;30700.0
2010-12-30;9.26;9.31;9.03;9.23;17100.0
2010-12-31;9.25;9.25;9.0;9.1;35000.0
2011-01-03;8.44;9.09;8.25;8.73;49500.0
2011-01-04;8.75;9.12;8.72;9.12;32200.0
2011-01-05;9.06;9.45;8.92;9.4;12000.0
2011-01-06;9.43;9.57;9.0;9.17;17200.0
2011-01-07;9.56;9.56;9.1;9.33;7900.0
2011-01-10;8.55;9.45;8.55;9.18;8400.0
2011-01-11;9.17;9.38;9.1;9.17;6500.0
2011-01-12;9.16;9.44;9.15;9.42;9800.0
2011-01-13;9.12;9.51;9.1;9.51;7600.0
2011-01-14;9.33;9.87;9.33;9.78;12300.0
2011-01-18;9.22;9.9;8.14;9.4;16000.0
2011-01-19;9.28;9.5;9.28;9.44;9600.0
2011-01-20;9.45;9.45;8.31;9.14;20500.0
2011-01-21;9.13;9.13;8.95;9.05;22100.0
2011-01-24;8.52;9.49;8.52;8.91;36300.0
2011-01-25;8.75;9.09;8.75;9.06;31700.0
2011-01-26;9.13;9.17;8.83;8.96;16600.0
2011-01-27;8.75;9.17;8.75;8.93;8000.0
2011-01-28;8.8;9.0;8.66;8.75;31000.0
2011-01-31;8.73;8.77;8.5;8.58;14600.0
2011-02-01;8.47;9.35;8.47;8.58;9400.0
2011-02-02;8.65;8.9;8.59;8.75;7000.0
2011-02-03;8.75;8.9125;8.55;8.59;9300.0
2011-02-04;8.56;8.94;8.29;8.88;10900.0
2011-02-07;8.72;9.35;8.34;9.04;15900.0
2011-02-08;9.08;9.32;8.91;9.18;8700.0
2011-02-09;9.08;9.09;8.77;8.84;7400.0
