date;open;high;low;close;volume
2014-03-20;16.25;17.38;15.15;15.17;1.25932E7
2014-03-21;15.44;16.37;15.22;16.13;1224300.0
2014-03-24;16.22;16.22;15.25;15.5;442400.0
2014-03-25;15.5;15.68;14.41;15.53;1005900.0
2014-03-26;15.55;15.55;14.75;15.0;316700.0
2014-03-27;14.88;15.3;14.75;15.02;138900.0
2014-03-28;15.0;15.15;14.7981;15.1;218200.0
2014-03-31;15.17;15.55;15.0;15.53;89200.0
2014-04-01;15.6;16.69;15.5;16.61;280000.0
2014-04-02;16.74;16.94;16.59;16.92;258800.0
2014-04-03;16.92;16.96;16.49;16.56;138800.0
2014-04-04;16.4;16.615;15.26;16.19;278100.0
2014-04-07;16.09;16.185;14.65;14.86;537800.0
2014-04-08;15.4;15.6077;13.31;13.72;408200.0
2014-04-09;14.0;14.0;13.2005;13.92;267700.0
2014-04-10;14.04;14.44;13.23;14.12;275300.0
2014-04-11;13.84;13.94;13.52;13.68;206200.0
2014-04-14;13.75;14.49;13.69;13.84;308100.0
2014-04-15;13.97;13.97;12.7501;13.36;281400.0
2014-04-16;13.59;13.85;12.86;13.01;212500.0
2014-04-17;13.03;13.135;12.91;13.06;191100.0
2014-04-21;13.17;13.68;13.1443;13.58;61100.0
2014-04-22;13.66;13.66;12.92;13.48;129400.0
2014-04-23;13.53;13.61;13.05;13.1;72600.0
2014-04-24;13.04;13.39;12.95;13.2;161200.0
2014-04-25;13.2;13.28;13.1;13.25;57000.0
2014-04-28;13.21;13.6;12.91;12.99;161500.0
2014-04-29;13.19;13.19;12.4;12.44;293200.0
2014-04-30;12.34;12.59;11.54;12.28;249400.0
2014-05-01;12.2;12.86;12.15;12.74;95300.0
2014-05-02;12.72;12.72;12.26;12.35;82800.0
2014-05-05;12.4;12.4;11.8;12.03;202700.0
2014-05-06;12.03;12.1;11.79;12.0;98200.0
2014-05-07;11.95;12.12;11.47;11.59;274200.0
2014-05-08;11.51;11.89;10.4;10.65;345200.0
2014-05-09;11.1;11.509;9.62;10.03;930100.0
2014-05-12;10.03;10.59;10.03;10.39;253200.0
2014-05-13;10.43;11.18;10.41;11.05;171900.0
2014-05-14;11.04;11.78;10.87;11.27;162600.0
2014-05-15;11.23;11.49;10.87;11.31;113600.0
2014-05-16;11.27;11.85;11.0;11.74;113000.0
2014-05-19;11.79;12.25;11.655;12.03;60400.0
2014-05-20;11.99;12.1476;11.65;11.82;122000.0
2014-05-21;11.85;12.2;11.7;11.72;70700.0
2014-05-22;11.78;12.3;11.54;12.01;89300.0
2014-05-23;12.08;12.74;12.0396;12.69;65500.0
2014-05-27;12.65;12.8399;12.4589;12.73;64800.0
2014-05-28;12.65;13.1;12.65;12.91;79000.0
2014-05-29;13.01;13.2;12.6201;13.13;57900.0
2014-05-30;13.03;13.2;12.89;13.15;68000.0
2014-06-02;13.04;13.66;12.54;13.46;143100.0
2014-06-03;13.31;13.87;13.24;13.37;95400.0
2014-06-04;13.41;13.85;13.05;13.75;140500.0
2014-06-05;13.7;14.49;13.28;14.22;213600.0
2014-06-06;14.16;15.06;14.01;14.85;231200.0
2014-06-09;14.77;15.35;14.5856;14.98;89800.0
2014-06-10;14.97;15.05;14.63;14.78;59800.0
2014-06-11;14.74;15.0;14.29;14.57;125500.0
2014-06-12;14.5901;15.16;14.5901;15.07;109000.0
2014-06-13;15.0;15.72;14.96;15.5;119900.0
2014-06-16;15.58;16.11;15.0;15.11;140100.0
2014-06-17;15.12;15.49;14.95;15.49;110200.0
2014-06-18;15.42;15.4575;14.56;14.87;147000.0
2014-06-19;15.11;15.47;14.99;15.41;80500.0
2014-06-20;15.41;15.92;15.31;15.88;299600.0
2014-06-23;15.95;16.06;15.72;15.94;87500.0
2014-06-24;15.91;15.94;15.045;15.28;87400.0
2014-06-25;15.0985;15.4;14.9;14.92;50000.0
2014-06-26;14.88;14.94;14.02;14.83;92000.0
2014-06-27;14.81;14.97;14.0125;14.12;934000.0
2014-06-30;14.15;14.41;13.56;14.26;192600.0
2014-07-01;14.184;14.63;14.09;14.54;175500.0
2014-07-02;14.49;14.7699;14.3558;14.66;82700.0
2014-07-03;14.68;15.05;14.5115;15.04;33500.0
2014-07-07;14.98;15.1125;14.5;14.57;84400.0
2014-07-08;14.51;14.51;13.63;13.86;261900.0
2014-07-09;13.91;14.01;13.64;13.83;194500.0
2014-07-10;13.52;13.79;13.02;13.65;91000.0
2014-07-11;13.57;13.82;13.51;13.7;39600.0
2014-07-14;13.8;13.8041;13.5;13.58;57000.0
2014-07-15;13.64;13.8;13.28;13.63;141200.0
2014-07-16;13.72;13.8;13.42;13.7;62300.0
2014-07-17;13.07;13.84;13.07;13.75;64600.0
2014-07-18;13.07;13.84;13.07;13.75;129200.0
2014-07-21;13.69;13.69;13.44;13.55;61600.0
