date;open;high;low;close;volume
1980-01-02;24.0;24.38;24.0;24.25;6765.0
1980-01-03;23.62;23.62;22.75;23.38;37988.0
1980-01-04;23.38;23.62;23.12;23.5;24718.0
1980-01-07;23.0;23.0;23.0;23.0;9887.0
1980-01-08;23.0;23.0;22.25;22.5;230442.0
1980-01-09;23.25;23.75;23.25;23.5;65828.0
1980-01-10;23.5;24.13;23.38;24.13;13356.0
1980-01-11;24.25;25.25;24.25;24.88;59931.0
1980-01-14;25.0;25.37;25.0;25.37;64094.0
1980-01-15;25.37;25.37;25.12;25.25;17520.0
1980-01-16;25.25;25.25;25.12;25.25;11795.0
1980-01-17;25.25;25.37;25.12;25.25;8933.0
1980-01-18;25.25;25.37;25.12;25.25;6158.0
1980-01-21;25.25;25.75;25.12;25.63;27840.0
1980-01-22;25.63;26.0;25.5;25.63;13356.0
1980-01-23;25.63;26.0;25.25;25.63;70078.0
1980-01-24;25.75;26.38;25.75;26.12;17693.0
1980-01-25;26.12;26.12;25.88;26.12;3729.0
1980-01-28;26.12;26.12;25.88;26.0;18213.0
1980-01-29;26.0;26.25;25.88;26.0;74588.0
1980-01-30;26.0;26.12;25.75;25.75;13183.0
1980-01-31;25.75;26.0;25.75;25.75;28448.0
1980-02-01;25.75;26.0;25.75;25.75;9367.0
1980-02-04;26.0;26.0;26.0;26.0;9540.0
1980-02-05;26.0;26.25;26.0;26.12;6678.0
1980-02-06;26.12;26.25;26.0;26.0;12836.0
1980-02-07;26.12;26.38;26.12;26.12;55594.0
1980-02-08;26.25;26.25;26.25;26.25;79965.0
1980-02-11;26.25;26.38;26.0;26.0;35039.0
1980-02-12;25.75;25.75;24.62;24.88;19514.0
1980-02-13;24.88;25.12;24.75;24.75;57676.0
1980-02-14;24.75;25.25;24.75;24.75;28968.0
1980-02-15;24.38;24.38;23.87;24.0;15872.0
1980-02-19;24.0;24.13;23.75;24.0;11362.0
1980-02-20;24.0;24.25;23.75;23.75;11188.0
1980-02-21;23.75;23.87;23.25;23.25;33565.0
1980-02-22;23.25;23.25;22.75;22.75;5291.0
1980-02-25;22.63;22.63;21.75;22.25;7025.0
1980-02-26;22.25;22.75;22.25;22.75;67389.0
1980-02-27;22.75;23.12;22.5;22.5;13183.0
1980-02-28;22.5;22.63;22.0;22.0;21683.0
1980-02-29;22.0;22.25;21.75;21.88;48482.0
1980-03-03;21.62;21.62;21.25;21.38;7459.0
