date;open;high;low;close;volume
1990-03-26;24.5;25.0;24.5;25.0;300.0
1990-03-27;24.5;24.5;24.5;24.5;0.0
1990-03-28;24.5;24.5;24.5;24.5;400.0
1990-03-29;25.0;25.25;24.5;24.5;800.0
1990-03-30;24.5;24.5;24.5;24.5;200.0
1990-04-02;24.5;25.0;24.5;24.5;10200.0
1990-04-03;25.25;25.25;25.25;25.25;500.0
1990-04-04;25.25;25.25;25.0;25.0;2100.0
1990-04-05;25.5;25.5;25.5;25.5;900.0
1990-04-06;25.5;25.5;25.5;25.5;0.0
1990-04-09;24.5;25.5;24.5;25.5;200.0
1990-04-10;25.5;25.5;24.5;25.5;3000.0
1990-04-11;25.5;25.5;24.5;25.5;6400.0
1990-04-12;24.75;24.88;24.75;24.88;600.0
1990-04-16;25.5;25.5;24.75;24.75;1000.0
1990-04-17;24.75;25.12;24.25;24.5;38100.0
1990-04-18;25.25;25.25;24.0;25.0;5400.0
1990-04-19;25.0;25.0;24.0;25.0;600.0
1990-04-20;25.0;25.0;25.0;25.0;100.0
1990-04-23;25.0;25.0;25.0;25.0;200.0
1990-04-24;24.0;24.0;24.0;24.0;1100.0
1990-04-25;24.5;24.5;24.5;24.5;300.0
1990-04-26;25.0;25.0;25.0;25.0;2100.0
1990-04-27;25.5;25.5;25.5;25.5;100.0
1990-04-30;25.0;25.0;25.0;25.0;100.0
1990-05-01;25.5;25.5;25.5;25.5;300.0
1990-05-02;25.5;25.5;25.5;25.5;200.0
1990-05-03;25.5;25.5;25.5;25.5;0.0
1990-05-04;24.25;24.25;24.25;24.25;100.0
1990-05-07;25.5;25.5;25.5;25.5;0.0
1990-05-08;24.25;24.25;24.25;24.25;100.0
1990-05-09;24.25;24.25;24.25;24.25;500.0
1990-05-10;24.25;24.25;24.25;24.25;400.0
1990-05-11;24.5;25.5;24.5;25.5;1200.0
1990-05-14;25.5;25.5;24.5;24.5;1600.0
1990-05-15;24.5;25.0;24.25;24.62;5200.0
1990-05-16;25.5;25.5;24.5;24.88;9200.0
1990-05-17;24.0;24.0;24.0;24.0;100.0
1990-05-18;25.5;25.5;25.5;25.5;0.0
1990-05-21;25.25;25.5;24.5;24.5;800.0
1990-05-22;24.5;24.5;24.0;24.0;1100.0
1990-05-23;24.0;24.0;24.0;24.0;100.0
1990-05-24;24.0;24.5;23.0;23.0;22200.0
1990-05-25;24.5;24.5;23.0;23.0;1700.0
1990-05-29;24.0;24.0;23.0;23.0;900.0
1990-05-30;23.0;24.0;23.0;23.25;500.0
1990-05-31;24.0;24.0;24.0;24.0;0.0
1990-06-01;24.0;24.0;24.0;24.0;300.0
1990-06-04;24.0;24.0;23.0;23.5;600.0
1990-06-05;24.0;24.0;24.0;24.0;1700.0
1990-06-06;24.0;24.0;23.5;24.0;8400.0
1990-06-07;24.5;24.5;24.5;24.5;300.0
1990-06-08;24.5;24.5;24.5;24.5;1300.0
1990-06-11;23.0;25.5;23.0;23.25;2100.0
1990-06-12;24.0;25.5;24.0;24.0;6000.0
1990-06-13;26.5;26.5;25.38;25.38;1200.0
1990-06-14;26.5;26.5;26.25;26.25;400.0
1990-06-15;26.25;26.25;26.25;26.25;900.0
1990-06-18;26.25;26.25;24.5;24.5;27500.0
1990-06-19;25.5;25.5;23.5;24.5;35700.0
1990-06-20;25.38;25.88;25.25;25.62;543400.0
1990-06-21;25.62;25.88;25.62;25.75;48500.0
1990-06-22;25.75;27.5;25.75;26.62;191400.0
1990-06-25;26.62;26.75;26.38;26.38;17000.0
1990-06-26;26.62;26.88;26.38;26.88;25300.0
1990-06-27;26.88;27.0;26.88;27.0;60600.0
1990-06-28;26.88;27.12;26.88;26.88;66700.0
1990-06-29;26.75;27.0;26.75;26.88;40300.0
1990-07-02;26.62;26.75;26.5;26.5;5200.0
1990-07-03;26.62;26.62;26.5;26.5;9000.0
1990-07-05;26.5;26.5;26.5;26.5;9100.0
1990-07-06;26.62;27.25;26.62;27.25;33000.0
1990-07-09;27.25;27.25;26.88;26.88;16100.0
1990-07-10;26.88;27.0;26.88;27.0;5900.0
1990-07-11;26.88;27.0;26.88;27.0;21700.0
1990-07-12;26.88;27.25;26.88;27.0;11600.0
1990-07-13;26.88;27.12;26.88;27.0;9300.0
1990-07-16;27.0;27.12;27.0;27.0;9800.0
1990-07-17;26.88;27.12;26.88;26.88;16400.0
1990-07-18;26.88;26.88;26.75;26.75;15300.0
1990-07-19;26.88;26.88;26.75;26.88;3800.0
1990-07-20;26.75;26.88;26.62;26.88;24800.0
1990-07-23;26.88;26.88;25.75;25.88;8900.0
1990-07-24;26.12;26.12;25.75;26.0;3300.0
