date;open;high;low;close;volume
1997-11-21;19.38;19.38;17.63;17.88;3659300.0
1997-11-24;18.75;18.75;17.63;17.94;1071300.0
1997-11-25;18.13;18.88;17.0;17.0;356000.0
1997-11-26;17.19;17.38;14.88;15.63;486600.0
1997-11-28;15.5;15.63;15.25;15.38;88200.0
1997-12-01;16.38;16.75;16.0;16.38;282500.0
1997-12-02;16.5;16.5;15.88;16.25;173700.0
1997-12-03;16.0;16.25;15.0;15.75;261900.0
1997-12-04;15.75;16.13;15.5;16.06;85900.0
1997-12-05;16.13;16.38;15.5;15.5;103300.0
1997-12-08;15.88;16.88;15.5;16.88;114400.0
1997-12-09;16.88;17.38;16.62;16.69;103400.0
1997-12-10;16.63;16.88;16.38;16.63;60900.0
1997-12-11;16.44;16.75;15.31;15.63;111000.0
1997-12-12;15.75;16.13;15.5;16.13;140600.0
1997-12-15;16.13;16.88;15.63;16.88;82200.0
1997-12-16;17.0;18.13;16.5;17.31;114200.0
1997-12-17;17.38;17.38;16.0;16.0;180700.0
1997-12-18;16.25;16.25;14.75;14.88;319200.0
1997-12-19;14.88;14.88;13.75;14.5;217400.0
1997-12-22;14.63;15.0;14.38;14.5;113100.0
1997-12-23;14.5;14.88;14.38;14.5;36800.0
1997-12-24;14.75;14.75;13.94;14.0;53000.0
1997-12-26;13.88;14.25;13.63;14.0;37600.0
1997-12-29;14.13;14.38;13.63;13.75;115200.0
1997-12-30;13.63;14.63;13.63;14.25;167100.0
1997-12-31;14.5;14.88;13.75;13.88;110500.0
1998-01-02;13.88;14.38;13.88;14.25;104900.0
1998-01-05;14.38;14.5;13.88;13.88;199900.0
1998-01-06;13.94;14.13;13.5;14.0;87100.0
1998-01-07;14.0;14.0;13.5;13.88;84300.0
1998-01-08;14.0;14.5;13.75;14.44;84200.0
1998-01-09;14.5;14.75;13.88;14.06;139900.0
1998-01-12;13.75;14.63;13.75;14.56;83400.0
1998-01-13;14.75;16.5;14.63;16.38;219000.0
1998-01-14;16.75;16.75;15.88;15.88;69300.0
1998-01-15;16.13;16.13;15.75;16.13;28600.0
1998-01-16;16.75;16.94;15.88;16.0;70600.0
1998-01-20;16.19;16.5;15.88;16.38;110300.0
1998-01-21;16.31;16.5;15.75;16.13;110700.0
1998-01-22;16.0;16.5;15.75;16.13;64600.0
1998-01-23;16.25;16.25;16.0;16.0;135400.0
1998-01-26;16.38;17.5;16.25;16.75;114500.0
1998-01-27;16.88;17.25;16.44;16.63;150800.0
1998-01-28;17.0;17.13;16.63;17.13;34600.0
1998-01-29;17.13;17.13;16.13;16.38;95200.0
1998-01-30;16.38;16.38;14.88;15.0;173100.0
1998-02-02;15.25;15.38;14.63;14.63;251500.0
1998-02-03;14.88;15.13;14.38;15.0;91700.0
1998-02-04;15.13;15.75;15.0;15.56;75000.0
1998-02-05;15.5;15.88;14.94;15.38;58100.0
1998-02-06;14.88;15.38;14.88;15.13;26000.0
1998-02-09;15.0;15.44;15.0;15.19;77800.0
1998-02-10;15.13;16.5;15.13;15.88;112900.0
1998-02-11;16.13;16.25;15.75;16.19;54900.0
1998-02-12;16.19;17.0;16.19;16.88;145300.0
1998-02-13;16.69;16.88;16.0;16.31;94000.0
1998-02-17;16.13;16.44;16.0;16.06;85500.0
1998-02-18;16.19;16.19;15.0;15.38;101100.0
1998-02-19;15.44;15.5;14.63;15.5;146200.0
1998-02-20;15.25;15.38;14.75;14.75;99200.0
1998-02-23;15.0;15.0;14.75;14.81;186100.0
1998-02-24;15.0;15.0;14.75;14.94;153900.0
1998-02-25;14.88;15.0;14.63;14.69;93900.0
1998-02-26;14.88;14.88;14.63;14.69;61600.0
1998-02-27;14.75;15.0;14.5;15.0;152200.0
