date;open;high;low;close;volume
2009-11-03;10.34;10.6;10.34;10.49;327000.0
2009-11-04;10.6;10.6;10.41;10.5;35600.0
2009-11-05;10.5;10.6;10.43;10.5;42000.0
2009-11-06;10.5;10.52;10.36;10.52;32900.0
2009-11-09;10.5;10.5;10.39;10.48;79200.0
2009-11-10;10.48;10.48;10.32;10.37;114000.0
2009-11-11;10.45;10.48;10.33;10.45;57600.0
2009-11-12;10.45;10.45;10.35;10.39;81100.0
2009-11-13;10.45;10.45;10.35;10.4;23700.0
2009-11-16;10.5;10.5;10.4;10.45;86400.0
2009-11-17;10.47;10.49;10.4;10.43;39200.0
2009-11-18;10.4;10.47;10.35;10.39;732400.0
2009-11-19;10.42;10.42;10.3201;10.35;85400.0
2009-11-20;10.38;10.39;10.29;10.32;157700.0
2009-11-23;10.37;10.42;10.34;10.35;17900.0
2009-11-24;10.44;10.44;10.3;10.39;40700.0
2009-11-25;10.45;10.45;10.33;10.42;71500.0
2009-11-27;10.3;10.4;10.29;10.4;57600.0
2009-11-30;10.4;10.44;10.3;10.39;66000.0
2009-12-01;10.4;10.4;10.31;10.36;57500.0
2009-12-02;10.4;10.41;10.29;10.37;93600.0
2009-12-03;10.35;10.4;10.35;10.35;30300.0
2009-12-04;10.25;10.39;10.25;10.39;63900.0
2009-12-07;10.48;10.48;10.35;10.4;161800.0
2009-12-08;10.39;10.4;10.37;10.4;52400.0
2009-12-09;10.4;10.4;10.25;10.27;345100.0
2009-12-10;10.33;10.35;10.14;10.21;1040800.0
2009-12-11;10.24;10.32;10.2;10.27;484400.0
2009-12-14;10.31;10.35;10.24;10.35;275700.0
2009-12-15;10.3;10.35;10.18;10.31;727600.0
2009-12-16;10.33;10.33;10.12;10.22;1082400.0
2009-12-17;10.29;10.29;10.11;10.11;593600.0
2009-12-18;10.29;10.29;10.01;10.19;392100.0
2009-12-21;10.3;10.3;10.21;10.21;23900.0
2009-12-22;10.1;10.25;10.1;10.23;53300.0
2009-12-23;10.2899;10.34;10.085;10.295;35100.0
2009-12-24;10.3;10.3;10.2;10.22;52900.0
2009-12-28;10.29;10.31;10.2;10.3;81000.0
2009-12-29;10.28;10.29;10.18;10.22;72900.0
2009-12-30;10.32;10.32;10.16;10.18;40900.0
2009-12-31;10.3;10.3;10.01;10.09;189600.0
2010-01-04;10.15;10.255;10.11;10.18;323200.0
2010-01-05;10.28;10.38;10.16;10.24;736500.0
2010-01-06;10.3;10.3;10.19;10.25;138300.0
2010-01-07;10.17;10.34;10.17;10.28;255300.0
2010-01-08;10.24;10.34;10.24;10.29;141300.0
2010-01-11;10.29;10.34;10.24;10.26;156900.0
2010-01-12;10.3;10.39;10.26;10.3;486100.0
2010-01-13;10.28;10.38;10.28;10.3;131700.0
2010-01-14;10.35;10.35;10.28;10.29;202100.0
2010-01-15;10.28;10.35;10.28;10.35;72000.0
2010-01-19;10.33;10.43;10.3;10.43;134800.0
2010-01-20;10.37;10.49;10.37;10.49;6600.0
2010-01-21;10.5;10.5;10.31;10.41;66700.0
2010-01-22;10.46;10.46;10.32;10.34;19100.0
2010-01-25;10.25;10.4431;10.25;10.34;211300.0
2010-01-26;10.43;10.43;10.31;10.35;48500.0
2010-01-27;10.35;10.4499;10.3;10.35;17500.0
2010-01-28;10.36;10.41;10.2;10.31;44000.0
2010-01-29;10.28;10.36;10.26;10.28;73200.0
2010-02-01;10.32;10.35;10.26;10.27;90200.0
2010-02-02;10.27;10.35;10.24;10.31;152100.0
2010-02-03;10.27;10.34;10.27;10.3;25700.0
2010-02-04;10.27;10.35;10.25;10.3;71700.0
2010-02-05;10.27;10.31;10.24;10.28;21900.0
2010-02-08;10.24;10.27;10.22;10.23;26900.0
2010-02-09;10.24;10.3;10.21;10.24;32400.0
2010-02-10;10.22;10.26;10.14;10.24;27300.0
2010-02-11;10.15;10.33;10.15;10.28;5400.0
2010-02-12;10.21;10.29;10.15;10.21;148500.0
2010-02-16;10.2;10.25;10.16;10.22;31700.0
2010-02-17;10.28;10.2899;10.16;10.2;119100.0
2010-02-18;10.17;10.23;10.11;10.19;48700.0
2010-02-19;10.18;10.29;10.12;10.22;38100.0
2010-02-22;10.18;10.21;10.11;10.18;112800.0
2010-02-23;10.15;10.2;10.12;10.15;44600.0
2010-02-24;10.15;10.29;10.08;10.16;146900.0
2010-02-25;10.06;10.21;10.06;10.1;33300.0
2010-02-26;10.12;10.15;9.95;10.0;889700.0
2010-03-01;10.01;10.09;9.96;10.0;111900.0
2010-03-02;10.03;10.04;9.955;9.98;70100.0
2010-03-03;10.05;10.07;9.96;10.0;159900.0
2010-03-04;9.97;10.2;9.97;10.19;431400.0
2010-03-05;10.25;10.25;10.18;10.23;186000.0
2010-03-08;10.28;10.28;10.16;10.24;137300.0
2010-03-09;10.2;10.27;10.15;10.25;296800.0
2010-03-10;10.21;10.33;10.21;10.3;107700.0
2010-03-11;10.38;10.38;10.17;10.28;34200.0
2010-03-12;10.3499;10.35;10.27;10.295;36800.0
2010-03-15;10.24;10.3;10.2;10.21;209700.0
2010-03-16;10.25;10.25;10.2;10.24;125900.0
2010-03-17;10.11;10.4;10.11;10.38;159300.0
2010-03-18;10.21;10.37;10.21;10.33;188700.0
2010-03-19;10.3;10.32;10.2;10.25;1179300.0
2010-03-22;10.25;10.29;10.15;10.2;199100.0
2010-03-23;10.16;10.22;10.135;10.2;18000.0
2010-03-24;10.19;10.31;10.16;10.2;759700.0
2010-03-25;10.1401;10.39;10.13;10.26;401000.0
2010-03-26;10.29;10.32;10.1899;10.23;1243600.0
2010-03-29;10.19;10.29;10.11;10.15;169600.0
2010-03-30;10.39;10.39;10.09;10.15;192900.0
2010-03-31;10.11;10.18;10.01;10.12;390500.0
2010-04-01;10.12;10.1725;10.1;10.14;320200.0
2010-04-05;10.18;10.32;10.18;10.25;220800.0
2010-04-06;10.26;10.27;10.17;10.2;213600.0
2010-04-07;10.23;10.6394;10.13;10.15;1339700.0
2010-04-08;10.41;10.41;10.23;10.24;562800.0
2010-04-09;10.35;10.35;10.19;10.22;222800.0
2010-04-12;10.3;10.33;10.19;10.19;118200.0
2010-04-13;10.26;10.26;10.14;10.19;165600.0
2010-04-14;10.25;10.25;10.16;10.18;328700.0
2010-04-15;10.24;10.24;9.99;10.0;1005000.0
2010-04-16;10.1;10.13;9.91;9.95;1103000.0
2010-04-19;10.0;10.0;9.92;9.93;172800.0
2010-04-20;10.0;10.0;9.9;9.92;449600.0
2010-04-21;9.98;9.98;9.71;9.85;710300.0
2010-04-22;9.88;9.9;9.82;9.86;190700.0
2010-04-23;9.91;10.01;9.85;9.9;121100.0
2010-04-26;9.95;10.0075;9.88;9.92;201200.0
2010-04-27;9.98;10.0099;9.82;9.86;161000.0
2010-04-28;9.92;9.95;9.78;9.78;129200.0
2010-04-29;9.86;9.99;9.78;9.91;129300.0
2010-04-30;9.94;9.965;9.84;9.88;81100.0
2010-05-03;9.91;9.99;9.86;9.94;196500.0
2010-05-04;9.99;9.99;9.75;9.77;189700.0
2010-05-05;9.75;9.93;9.75;9.84;206900.0
2010-05-06;9.82;9.93;9.61;9.68;343700.0
2010-05-07;9.7;9.76;9.6;9.7;201800.0
2010-05-10;9.9;9.9;9.73;9.74;238100.0
2010-05-11;9.75;9.757;9.7;9.74;223900.0
2010-05-12;9.8;9.9;9.66;9.8;452000.0
2010-05-13;9.8;9.8;9.69;9.8;511600.0
2010-05-14;9.76;9.79;9.73;9.77;265100.0
2010-05-17;9.71;9.78;9.53;9.59;375700.0
2010-05-18;9.65;9.77;9.62;9.62;429900.0
2010-05-19;9.61;9.755;9.42;9.62;483300.0
2010-05-20;9.52;9.68;9.34;9.44;415100.0
2010-05-21;9.35;9.68;9.35;9.68;477000.0
2010-05-24;9.62;9.76;9.56;9.6;692900.0
2010-05-25;9.5;9.64;9.35;9.61;425800.0
2010-05-26;9.65;9.93;9.65;9.8;4822400.0
2010-05-27;9.91;9.96;9.52;9.84;419300.0
2010-05-28;9.79;9.79;9.61;9.66;171800.0
2010-06-01;9.65;9.77;9.55;9.63;183100.0
2010-06-02;9.69;9.79;9.6;9.76;221800.0
2010-06-03;9.72;9.91;9.6;9.83;151500.0
2010-06-04;9.72;9.78;9.59;9.59;125600.0
2010-06-07;9.63;9.72;9.47;9.5;203200.0
2010-06-08;9.55;9.67;9.41;9.51;255200.0
2010-06-09;9.57;9.58;9.41;9.45;60100.0
2010-06-10;9.44;9.53;9.4;9.53;132000.0
2010-06-11;9.46;9.59;9.46;9.58;106300.0
2010-06-14;9.62;9.64;9.52;9.52;198200.0
2010-06-15;9.56;9.68;9.52;9.68;220300.0
2010-06-16;9.63;9.76;9.6;9.73;119100.0
2010-06-17;9.74;9.74;9.6;9.62;161900.0
2010-06-18;9.6;9.75;9.6;9.73;102500.0
2010-06-21;9.67;9.75;9.6;9.67;121900.0
2010-06-22;9.72;9.88;9.66;9.77;343800.0
2010-06-23;9.72;9.84;9.7;9.75;226700.0
2010-06-24;9.72;9.85;9.71;9.75;307600.0
2010-06-25;9.8;10.04;9.7;9.92;6476600.0
2010-06-28;9.93;9.94;9.74;9.88;294900.0
2010-06-29;9.77;9.82;9.64;9.67;325400.0
2010-06-30;9.7;9.73;9.61;9.65;266900.0
2010-07-01;9.69;9.69;9.51;9.61;238100.0
2010-07-02;9.69;9.6999;9.56;9.61;107900.0
2010-07-06;9.72;9.73;9.5;9.53;316300.0
