date;open;high;low;close;volume
1993-03-26;5.75;5.75;5.5;5.62;96800.0
1993-03-29;5.75;5.78;5.62;5.75;64000.0
1993-03-30;5.75;5.75;5.5;5.5;35600.0
1993-03-31;5.5;5.75;5.5;5.53;114400.0
1993-04-01;5.5;5.62;5.5;5.5;23200.0
1993-04-02;5.5;5.62;5.5;5.5;10000.0
1993-04-05;5.5;5.62;5.5;5.5;22800.0
1993-04-06;5.5;5.5;5.5;5.5;40400.0
1993-04-07;5.62;5.62;5.5;5.5;65600.0
1993-04-08;5.62;5.62;5.5;5.5;12800.0
1993-04-12;5.5;5.62;5.5;5.5;55600.0
1993-04-13;5.62;5.62;5.5;5.5;12800.0
1993-04-14;5.5;5.62;5.5;5.62;19600.0
1993-04-15;5.62;5.62;5.5;5.5;39600.0
1993-04-16;5.62;5.62;5.5;5.5;38000.0
1993-04-19;5.62;5.62;5.5;5.5;9600.0
1993-04-20;5.62;5.62;5.5;5.62;72000.0
1993-04-21;5.62;5.62;5.5;5.56;42400.0
1993-04-22;5.62;5.62;5.5;5.5;56800.0
1993-04-23;5.62;5.62;5.5;5.62;42000.0
1993-04-26;5.62;5.62;5.38;5.5;70800.0
1993-04-27;5.25;5.5;5.0;5.38;23200.0
1993-04-28;5.38;5.38;5.12;5.38;5600.0
1993-04-29;5.38;5.38;5.25;5.38;14400.0
1993-04-30;5.62;5.62;5.38;5.62;48400.0
1993-05-03;5.62;5.75;5.5;5.75;32000.0
1993-05-04;5.5;5.75;5.5;5.62;24800.0
1993-05-05;5.62;5.87;5.62;5.87;25200.0
1993-05-06;5.87;5.87;5.62;5.87;30800.0
1993-05-07;5.87;6.0;5.62;5.87;134800.0
1993-05-10;6.0;6.0;5.87;6.0;15200.0
1993-05-11;6.0;6.25;5.87;6.13;50800.0
1993-05-12;6.38;6.38;6.13;6.25;48000.0
1993-05-13;6.38;6.38;6.13;6.38;20400.0
1993-05-14;6.38;6.38;6.13;6.38;9200.0
1993-05-17;6.38;6.38;6.13;6.38;8400.0
1993-05-18;6.38;6.38;6.13;6.13;32000.0
1993-05-19;6.38;6.38;6.13;6.25;14800.0
1993-05-20;6.13;6.38;6.13;6.13;11200.0
1993-05-21;6.13;6.38;6.13;6.38;17200.0
1993-05-24;6.38;6.5;6.25;6.5;47200.0
1993-05-25;6.62;6.62;6.38;6.62;11200.0
1993-05-26;6.62;6.62;6.38;6.62;11600.0
1993-05-27;6.38;6.62;6.38;6.38;10400.0
1993-05-28;6.62;6.62;6.5;6.5;2800.0
1993-06-01;6.62;6.62;6.38;6.38;22800.0
1993-06-02;6.62;6.62;6.38;6.62;2800.0
1993-06-03;6.62;6.62;6.38;6.38;7600.0
1993-06-04;6.62;6.62;6.38;6.62;21200.0
1993-06-07;6.62;6.62;6.25;6.25;16800.0
1993-06-08;6.25;6.38;6.13;6.19;18400.0
1993-06-09;6.5;6.5;6.13;6.5;15600.0
1993-06-10;6.5;6.5;6.13;6.5;19600.0
1993-06-11;6.13;6.5;6.13;6.5;17600.0
1993-06-14;6.31;6.31;6.13;6.13;12000.0
1993-06-15;6.38;6.38;6.25;6.25;2000.0
1993-06-16;6.38;6.38;6.25;6.25;2400.0
1993-06-17;6.25;6.25;6.13;6.13;4800.0
1993-06-18;6.13;6.25;6.13;6.13;6400.0
1993-06-21;6.13;6.13;6.13;6.13;7600.0
1993-06-22;6.0;6.13;6.0;6.13;1600.0
1993-06-23;6.0;6.06;6.0;6.06;8000.0
1993-06-24;6.0;6.0;6.0;6.0;3200.0
1993-06-25;6.06;6.25;6.06;6.13;2000.0
1993-06-28;6.0;6.25;6.0;6.0;2800.0
1993-06-29;6.25;6.25;6.0;6.25;2000.0
1993-06-30;6.0;6.25;6.0;6.0;3200.0
1993-07-01;6.0;6.0;6.0;6.0;400.0
1993-07-02;6.0;6.0;6.0;6.0;0.0
1993-07-06;6.0;6.0;6.0;6.0;0.0
1993-07-07;6.25;6.25;6.25;6.25;2800.0
1993-07-08;6.25;6.25;6.13;6.13;2400.0
1993-07-09;6.13;6.25;6.13;6.25;2400.0
1993-07-12;6.25;6.25;6.13;6.13;400.0
1993-07-13;6.13;6.13;6.13;6.13;800.0
1993-07-14;6.25;6.25;6.13;6.13;12000.0
1993-07-15;6.25;6.25;6.13;6.13;14400.0
1993-07-16;6.25;6.25;6.25;6.25;400.0
1993-07-19;6.25;6.25;6.25;6.25;2400.0
1993-07-20;6.25;6.25;6.25;6.25;0.0
1993-07-21;6.25;6.25;6.13;6.13;2000.0
1993-07-22;6.25;6.25;6.13;6.25;20400.0
1993-07-23;6.13;6.13;6.13;6.13;2400.0
1993-07-26;6.13;6.25;6.13;6.13;2400.0
1993-07-27;6.25;6.25;6.13;6.13;800.0
1993-07-28;6.13;6.13;6.13;6.13;800.0
1993-07-29;6.13;6.25;6.13;6.13;400.0
1993-07-30;6.13;6.13;6.13;6.13;3200.0
1993-08-02;6.13;6.13;6.13;6.13;3600.0
1993-08-03;6.13;6.25;6.13;6.25;2800.0
1993-08-04;6.13;6.13;6.13;6.13;800.0
1993-08-05;6.25;6.25;6.25;6.25;800.0
1993-08-06;6.13;6.13;6.13;6.13;10000.0
1993-08-09;6.13;6.13;6.13;6.13;8000.0
1993-08-10;6.13;6.13;5.75;6.0;16400.0
1993-08-11;5.75;6.13;5.75;6.13;6000.0
1993-08-12;5.75;6.13;5.75;6.13;4000.0
1993-08-13;5.75;5.75;5.75;5.75;800.0
1993-08-16;5.75;5.75;5.75;5.75;1600.0
1993-08-17;5.75;6.13;5.62;6.13;35200.0
1993-08-18;6.13;6.13;5.75;6.13;9200.0
1993-08-19;5.75;6.13;5.75;6.13;6400.0
1993-08-20;6.12;6.12;6.12;6.12;0.0
1993-08-23;5.75;6.13;5.75;6.13;6400.0
1993-08-24;6.0;6.13;6.0;6.13;4800.0
1993-08-25;5.75;6.13;5.75;6.13;5600.0
1993-08-26;6.13;6.13;6.0;6.0;12000.0
1993-08-27;6.13;6.13;6.13;6.13;3600.0
1993-08-30;6.13;6.13;5.87;6.13;2400.0
1993-08-31;5.87;6.13;5.75;6.13;7200.0
1993-09-01;6.13;6.13;5.75;5.75;8000.0
1993-09-02;5.75;6.13;5.75;6.13;9200.0
1993-09-03;6.12;6.12;6.12;6.12;0.0
1993-09-07;5.94;6.13;5.94;6.13;5600.0
1993-09-08;6.13;6.13;5.87;5.87;800.0
1993-09-09;5.75;6.13;5.75;6.13;2400.0
1993-09-10;5.75;5.75;5.75;5.75;2000.0
1993-09-13;6.13;6.13;6.13;6.13;0.0
1993-09-14;5.75;5.81;5.75;5.75;2000.0
1993-09-15;5.75;6.0;5.75;5.75;4400.0
1993-09-16;5.75;5.75;5.75;5.75;1600.0
1993-09-17;5.62;6.0;5.62;6.0;2800.0
1993-09-20;6.0;6.0;6.0;6.0;0.0
1993-09-21;5.62;6.13;5.62;6.13;4400.0
1993-09-22;5.87;5.87;5.5;5.5;21200.0
1993-09-23;5.62;5.62;5.5;5.5;4000.0
1993-09-24;5.5;5.5;5.5;5.5;0.0
1993-09-27;6.13;6.13;5.5;5.5;2400.0
1993-09-28;6.13;6.13;5.5;5.75;63200.0
1993-09-29;6.13;6.13;5.62;5.87;24800.0
1993-09-30;6.13;7.0;6.13;6.75;57200.0
1993-10-01;6.88;6.88;6.5;6.88;5200.0
1993-10-04;6.5;7.0;6.5;7.0;43200.0
1993-10-05;6.5;7.0;6.5;7.0;13600.0
1993-10-06;7.0;7.75;7.0;7.63;50000.0
1993-10-07;7.75;8.0;7.5;7.5;16400.0
1993-10-08;7.5;7.75;7.5;7.75;10000.0
1993-10-11;7.75;7.75;7.25;7.37;16800.0
1993-10-12;7.37;7.37;7.37;7.37;400.0
1993-10-13;7.5;8.0;7.5;7.75;26000.0
1993-10-14;7.75;7.75;7.75;7.75;0.0
1993-10-15;8.12;8.12;8.12;8.12;800.0
1993-10-18;8.12;8.12;7.63;7.63;12400.0
1993-10-19;7.63;8.12;7.63;8.0;12400.0
1993-10-20;7.75;7.88;7.63;7.63;6800.0
1993-10-21;8.0;8.0;7.63;7.63;9200.0
1993-10-22;7.88;8.0;7.88;8.0;4400.0
1993-10-25;8.0;8.0;7.88;7.88;4800.0
1993-10-26;7.75;8.0;7.63;8.0;5200.0
1993-10-27;8.0;8.12;7.63;7.88;16000.0
1993-10-28;7.63;8.12;7.63;8.12;1200.0
1993-10-29;8.12;8.12;8.12;8.12;0.0
1993-11-01;7.63;8.0;7.63;8.0;2800.0
1993-11-02;7.63;8.12;7.63;7.94;2000.0
1993-11-03;7.75;8.0;7.75;7.75;5600.0
1993-11-04;8.0;8.0;8.0;8.0;400.0
1993-11-05;7.75;7.88;7.75;7.88;4800.0
1993-11-08;8.0;8.0;7.88;7.88;4000.0
1993-11-09;8.25;8.75;8.0;8.75;14000.0
1993-11-10;8.75;8.75;8.38;8.62;10000.0
1993-11-11;8.75;10.37;8.5;10.0;30000.0
1993-11-12;10.0;10.37;10.0;10.12;13200.0
1993-11-15;10.0;10.0;9.5;9.5;12000.0
1993-11-16;9.62;9.88;9.5;9.5;9200.0
1993-11-17;9.5;9.75;9.0;9.5;9600.0
1993-11-18;9.25;9.5;9.0;9.5;1200.0
1993-11-19;9.25;9.5;9.25;9.5;2800.0
1993-11-22;9.0;9.38;9.0;9.13;2000.0
1993-11-23;9.13;9.5;9.13;9.5;19200.0
1993-11-24;9.5;10.0;9.25;10.0;13200.0
1993-11-26;10.0;10.0;9.5;10.0;5200.0
1993-11-29;10.0;10.0;10.0;10.0;1200.0
1993-11-30;10.0;10.0;9.88;10.0;5200.0
1993-12-01;9.88;10.75;9.75;10.37;18000.0
1993-12-02;11.0;11.0;10.25;11.0;10000.0
1993-12-03;11.0;11.0;10.5;11.0;13600.0
1993-12-06;10.5;11.0;10.5;10.5;2000.0
1993-12-07;10.63;10.88;10.5;10.88;10800.0
1993-12-08;10.75;10.75;10.5;10.75;6000.0
1993-12-09;10.5;11.25;10.5;11.0;7600.0
1993-12-10;11.0;11.25;10.0;10.5;31200.0
1993-12-13;10.5;11.5;10.5;11.5;32000.0
1993-12-14;11.25;11.25;10.75;11.0;15600.0
1993-12-15;11.0;11.0;10.25;10.75;8400.0
1993-12-16;10.25;10.75;9.75;9.88;14000.0
1993-12-17;9.88;10.0;9.88;9.88;5600.0
1993-12-20;10.25;10.25;9.75;10.25;400.0
1993-12-21;9.75;10.0;9.5;10.0;7200.0
1993-12-22;9.75;9.75;9.75;9.75;1200.0
1993-12-23;9.75;9.75;9.75;9.75;800.0
1993-12-27;9.75;9.75;9.5;9.75;5200.0
1993-12-28;9.5;9.5;9.25;9.25;2400.0
1993-12-29;9.25;9.75;9.25;9.5;2800.0
1993-12-30;9.75;9.75;9.75;9.75;1200.0
1993-12-31;9.25;9.25;9.25;9.25;400.0
1994-01-03;10.0;10.0;9.5;10.0;1200.0
1994-01-04;10.0;10.0;9.5;10.0;1200.0
1994-01-05;9.5;9.5;9.5;9.5;400.0
1994-01-06;10.0;10.0;9.5;9.5;34800.0
1994-01-07;9.5;9.5;9.5;9.5;0.0
1994-01-10;9.5;9.75;9.5;9.62;11600.0
1994-01-11;10.0;10.0;9.0;9.13;11200.0
1994-01-12;8.75;9.5;8.75;9.13;8800.0
1994-01-13;9.0;9.0;8.75;8.75;2400.0
1994-01-14;8.75;9.25;8.75;9.25;2000.0
1994-01-17;8.5;9.0;8.5;8.75;2400.0
1994-01-18;8.5;9.25;8.5;9.13;8000.0
1994-01-19;8.75;8.75;8.75;8.75;0.0
1994-01-20;8.75;8.75;8.75;8.75;0.0
1994-01-21;8.62;9.13;8.62;9.13;6000.0
1994-01-24;9.0;9.75;8.87;9.75;46400.0
1994-01-25;9.75;10.0;9.25;10.0;21200.0
1994-01-26;9.5;10.5;9.5;10.5;42400.0
1994-01-27;10.5;10.75;10.0;10.75;7200.0
1994-01-28;10.25;11.0;10.25;11.0;3600.0
1994-01-31;10.88;11.25;10.5;11.0;14800.0
1994-02-01;11.25;11.25;10.37;11.0;26400.0
1994-02-02;11.0;11.0;10.25;10.63;6000.0
1994-02-03;10.25;10.25;10.25;10.25;2400.0
1994-02-04;10.25;10.5;10.25;10.5;15200.0
1994-02-07;10.37;11.0;10.37;11.0;8800.0
1994-02-08;11.0;11.0;11.0;11.0;2000.0
1994-02-09;11.0;11.0;10.25;10.25;8400.0
1994-02-10;11.0;11.0;10.25;10.25;4400.0
1994-02-11;10.25;10.25;10.25;10.25;0.0
1994-02-14;10.75;10.75;10.5;10.75;1600.0
1994-02-15;10.63;10.63;10.25;10.25;5200.0
1994-02-16;10.75;10.75;10.75;10.75;1200.0
1994-02-17;10.75;10.75;10.37;10.5;9600.0
