date;open;high;low;close;volume
1993-03-16;14.75;16.25;14.0;15.5;1569244.0
1993-03-17;15.5;16.0;15.25;15.25;362444.0
1993-03-18;16.0;16.0;15.25;16.0;66400.0
1993-03-19;15.25;16.25;15.25;16.0;106578.0
1993-03-22;16.25;16.5;15.5;15.75;38800.0
1993-03-23;15.75;17.0;15.75;16.75;117200.0
1993-03-24;16.25;17.0;15.75;15.75;52978.0
1993-03-25;15.75;16.5;15.75;15.88;29467.0
1993-03-26;16.5;16.5;15.75;16.25;43378.0
1993-03-29;16.5;16.5;16.0;16.0;108578.0
1993-03-30;16.5;16.5;16.0;16.5;7600.0
1993-03-31;16.0;16.5;16.0;16.0;24444.0
1993-04-01;16.5;16.5;16.0;16.25;29244.0
1993-04-02;16.5;16.5;15.5;16.13;33600.0
1993-04-05;15.5;16.25;15.5;16.0;26800.0
1993-04-06;16.25;16.25;15.5;15.88;74000.0
1993-04-07;15.5;16.25;15.5;15.75;167067.0
1993-04-08;15.5;16.25;15.5;15.5;13200.0
1993-04-12;16.25;16.25;15.5;16.25;40267.0
1993-04-13;15.5;16.25;15.5;15.5;24267.0
1993-04-14;16.0;16.5;15.75;16.5;18000.0
1993-04-15;16.5;16.75;15.75;15.75;65200.0
1993-04-16;16.75;17.0;16.0;16.75;15378.0
1993-04-19;17.0;17.25;16.25;17.0;15778.0
1993-04-20;17.25;17.25;16.5;17.25;10978.0
1993-04-21;16.5;17.25;16.5;16.5;23378.0
1993-04-22;17.25;17.25;16.5;17.25;4267.0
1993-04-23;16.5;17.25;16.5;16.5;7600.0
1993-04-26;17.0;17.25;16.5;16.5;11467.0
1993-04-27;17.25;17.25;15.75;15.88;117067.0
1993-04-28;15.75;16.75;15.75;16.25;63644.0
1993-04-29;16.0;16.75;16.0;16.0;66800.0
1993-04-30;16.75;16.75;16.0;16.13;52400.0
1993-05-03;16.0;17.25;16.0;16.5;16444.0
1993-05-04;17.0;17.25;16.5;17.25;4267.0
1993-05-05;16.88;18.5;16.88;18.5;92444.0
1993-05-06;18.75;19.75;18.0;19.37;79778.0
1993-05-07;19.25;20.0;19.25;19.75;134400.0
1993-05-10;19.75;20.5;19.25;20.5;39467.0
1993-05-11;19.75;20.5;19.75;19.75;132844.0
1993-05-12;19.75;20.5;19.75;20.0;29467.0
1993-05-13;20.5;20.5;18.5;19.0;28044.0
1993-05-14;18.5;18.5;17.75;17.75;38667.0
1993-05-17;18.5;18.5;17.75;18.5;4667.0
1993-05-18;18.5;18.5;17.5;17.5;46667.0
1993-05-19;18.0;18.0;17.5;18.0;8844.0
1993-05-20;17.5;18.5;17.5;17.5;3067.0
1993-05-21;18.5;18.5;17.5;18.5;6667.0
1993-05-24;18.5;18.5;17.5;18.5;1200.0
1993-05-25;18.5;19.25;18.0;19.25;35867.0
1993-05-26;19.25;20.25;18.75;20.25;74800.0
1993-05-27;20.25;20.25;19.25;19.25;7600.0
1993-05-28;20.25;20.25;19.25;19.37;17867.0
1993-06-01;20.25;20.25;19.25;19.25;44978.0
1993-06-02;20.25;20.25;19.5;20.25;2400.0
1993-06-03;20.5;21.0;20.0;21.0;19600.0
1993-06-04;21.0;21.0;20.0;20.5;1644.0
1993-06-07;21.0;21.25;20.25;20.5;11378.0
1993-06-08;21.25;21.5;20.5;21.5;5600.0
1993-06-09;21.5;21.75;20.5;21.0;13378.0
1993-06-10;22.0;22.0;21.0;21.75;15378.0
1993-06-11;21.0;22.0;21.0;21.0;45244.0
