date;open;high;low;close;volume
2014-05-14;91.0;92.88;83.35;85.0;466300.0
2014-05-15;85.0;85.0;82.5;83.4;161300.0
2014-05-16;83.4;84.0;82.0;82.7;89400.0
2014-05-19;82.71;82.8335;80.85;80.95;95800.0
2014-05-20;81.0;81.0;79.5;80.58;109300.0
2014-05-21;80.8;85.99;80.8;85.49;110600.0
2014-05-22;86.8;87.31;85.1;86.19;53900.0
2014-05-23;85.53;87.32;85.01;86.26;39900.0
2014-05-27;86.5;86.77;86.1;86.33;12100.0
2014-05-28;86.21;86.5;85.2701;86.43;14000.0
2014-05-29;86.5;86.815;86.02;86.27;32800.0
2014-05-30;86.35;86.5;85.56;85.74;10500.0
2014-06-02;85.31;85.31;83.74;84.14;29400.0
2014-06-03;84.0;85.75;84.0;85.51;12400.0
2014-06-04;86.0;86.0;85.0;85.25;20200.0
2014-06-05;85.01;85.88;84.85;85.0;25600.0
2014-06-06;84.78;85.64;84.01;85.64;22200.0
2014-06-09;85.45;86.48;84.04;86.1;16500.0
2014-06-10;85.51;86.5;85.0;86.19;17800.0
2014-06-11;86.25;86.74;85.75;86.5;18300.0
2014-06-12;86.99;86.99;86.25;86.5;16700.0
2014-06-13;86.5;86.8907;86.06;86.06;6600.0
2014-06-16;86.04;86.5;85.99;86.3;17800.0
2014-06-17;86.5;86.5;86.05;86.47;19800.0
2014-06-18;86.5;90.8;86.0;86.36;33100.0
2014-06-19;86.5;90.0;86.0;87.7;29200.0
2014-06-20;88.83;89.79;88.01;88.07;31900.0
2014-06-23;90.01;92.025;90.01;90.8;28900.0
2014-06-24;90.55;91.0;88.92;89.53;10100.0
2014-06-25;89.1;89.96;88.0203;88.6;11000.0
2014-06-26;88.546;89.39;88.25;89.36;20700.0
2014-06-27;88.32;90.0;86.42;86.42;132700.0
2014-06-30;87.08;87.33;86.25;86.43;29100.0
2014-07-01;86.92;87.0;86.21;86.55;21100.0
2014-07-02;86.63;86.91;86.21;86.34;10400.0
2014-07-03;86.6823;86.75;85.85;86.56;13300.0
2014-07-07;86.23;88.98;86.23;86.51;9200.0
2014-07-08;86.5;86.99;85.0;85.57;23900.0
2014-07-09;85.86;86.73;84.51;84.83;19800.0
2014-07-10;84.35;84.5001;84.01;84.16;21500.0
2014-07-11;84.01;84.4;83.51;84.27;17200.0
2014-07-14;84.58;84.58;84.14;84.26;16700.0
2014-07-15;84.3;84.35;84.15;84.15;20800.0
2014-07-16;84.35;84.35;84.07;84.27;9700.0
2014-07-17;28.85;28.85;27.52;28.3;12900.0
2014-07-18;28.35;29.0;28.3;28.51;37600.0
2014-07-21;28.59;28.74;28.35;28.52;33100.0
2014-07-22;28.74;28.75;28.31;28.5;36500.0
2014-07-23;28.53;28.75;28.25;28.44;26000.0
2014-07-24;28.26;28.55;28.26;28.51;27800.0
2014-07-25;28.5;28.59;28.371;28.5;19900.0
2014-07-28;28.6;28.6;28.251;28.5;20900.0
2014-07-29;28.47;28.5899;28.3;28.44;22400.0
2014-07-30;28.51;28.6;28.25;28.5;53200.0
2014-07-31;28.35;28.71;28.11;28.19;30100.0
2014-08-01;28.15;28.94;28.11;28.55;27200.0
2014-08-04;28.75;28.75;28.1;28.4;18700.0
2014-08-05;28.31;28.31;27.95;28.25;42100.0
2014-08-06;28.2;28.7;28.0;28.42;17500.0
2014-08-07;28.41;28.72;28.24;28.5;19300.0
2014-08-08;28.57;28.6;28.4;28.49;31000.0
2014-08-11;28.4;28.95;28.4;28.89;59200.0
2014-08-12;28.78;29.3;28.05;29.03;68400.0
2014-08-13;29.08;29.75;29.08;29.5;34200.0
2014-08-14;29.5;29.74;28.95;29.62;41700.0
2014-08-15;29.75;29.89;29.59;29.89;60400.0
2014-08-18;29.9;30.3;29.85;30.0;43800.0
2014-08-19;30.01;30.145;29.74;29.8;30000.0
2014-08-20;29.55;29.81;29.5;29.56;9000.0
2014-08-21;29.66;29.85;29.5;29.76;20300.0
2014-08-22;29.273;29.84;29.273;29.66;13800.0
2014-08-25;29.6;29.95;29.6;29.67;28100.0
2014-08-26;29.81;30.3;29.81;30.29;31400.0
2014-08-27;30.19;30.3;29.82;29.89;37200.0
2014-08-28;29.98;30.0;29.53;29.7;20100.0
2014-08-29;29.75;30.3;29.725;30.17;49000.0
2014-09-02;29.82;30.0;29.69;29.9;46500.0
2014-09-03;29.69;29.85;29.69;29.75;21900.0
2014-09-04;29.89;30.09;29.25;29.76;23600.0
2014-09-05;29.85;29.9;29.68;29.84;47200.0
2014-09-08;29.83;29.96;29.72;29.91;83100.0
2014-09-09;29.94;29.95;29.7;29.89;46900.0
2014-09-10;29.9;30.2;29.77;29.89;42300.0
2014-09-11;29.73;30.2;29.72;29.82;61100.0
