date;open;high;low;close;volume
1993-10-12;19.75;21.0;19.75;21.0;68341.0
1993-10-13;21.0;21.25;20.75;20.88;57881.0
1993-10-14;20.75;21.0;20.5;20.5;15414.0
1993-10-15;20.5;20.75;20.5;20.63;1966.0
1993-10-18;20.75;20.75;20.38;20.63;4247.0
1993-10-19;20.5;20.5;19.5;19.63;12897.0
1993-10-20;19.13;19.38;18.5;18.5;25323.0
1993-10-21;18.13;18.63;18.13;18.5;8336.0
1993-10-22;18.5;18.5;18.0;18.0;11482.0
1993-10-25;18.0;18.25;18.0;18.13;10774.0
1993-10-26;18.13;18.13;18.13;18.13;2045.0
1993-10-27;18.25;18.5;18.25;18.5;1887.0
1993-10-28;18.38;18.38;18.38;18.38;0.0
1993-10-29;18.5;18.88;18.5;18.88;14785.0
1993-11-01;19.13;19.5;19.13;19.5;3460.0
1993-11-02;19.63;19.63;19.0;19.0;18324.0
1993-11-03;19.0;19.0;18.25;18.25;4797.0
1993-11-04;18.5;18.5;18.38;18.38;3224.0
1993-11-05;18.63;18.63;18.5;18.5;3146.0
1993-11-08;18.63;18.63;18.5;18.5;629.0
1993-11-09;18.38;18.63;18.38;18.63;9516.0
1993-11-10;18.63;19.25;18.63;19.25;5662.0
1993-11-11;19.25;19.25;19.25;19.25;0.0
1993-11-12;19.5;19.75;19.5;19.75;6291.0
1993-11-15;19.63;19.63;19.38;19.38;17459.0
1993-11-16;19.38;19.38;19.13;19.13;1022.0
1993-11-17;18.88;18.88;18.88;18.88;0.0
1993-11-18;18.88;18.88;18.88;18.88;0.0
1993-11-19;18.63;18.63;18.38;18.38;3854.0
1993-11-22;18.13;18.13;17.88;17.88;1652.0
1993-11-23;17.88;17.88;17.38;17.5;36019.0
1993-11-24;17.5;17.5;17.5;17.5;629.0
1993-11-26;17.5;17.5;17.5;17.5;0.0
1993-11-29;17.5;17.5;17.5;17.5;0.0
1993-11-30;17.25;17.5;17.25;17.5;2281.0
1993-12-01;17.5;17.75;17.5;17.5;6370.0
1993-12-02;17.63;17.63;17.63;17.63;629.0
1993-12-03;17.63;17.63;17.63;17.63;0.0
1993-12-06;17.75;17.75;17.75;17.75;1416.0
1993-12-07;17.75;17.75;17.25;17.25;3775.0
1993-12-08;17.38;17.38;17.38;17.38;2281.0
1993-12-09;17.13;17.38;16.88;17.0;5741.0
1993-12-10;17.0;17.25;17.0;17.25;1258.0
1993-12-13;17.0;17.38;17.0;17.38;1887.0
1993-12-14;17.13;17.13;17.13;17.13;944.0
1993-12-15;16.63;16.75;16.63;16.63;6056.0
1993-12-16;16.63;16.63;16.63;16.63;0.0
1993-12-17;16.75;16.75;16.63;16.75;19661.0
1993-12-20;16.38;16.5;16.25;16.25;4719.0
1993-12-21;16.25;16.38;15.75;15.75;25952.0
1993-12-22;15.88;16.0;15.25;15.25;28390.0
1993-12-23;15.63;16.38;15.63;16.38;7078.0
1993-12-27;16.25;16.63;16.25;16.63;1101.0
1993-12-28;16.63;17.0;16.63;17.0;1966.0
1993-12-29;17.0;17.0;16.5;16.75;10460.0
1993-12-30;16.5;16.88;16.38;16.88;19582.0
1993-12-31;16.88;17.13;16.88;17.13;472.0
1994-01-03;17.0;17.0;17.0;17.0;629.0
1994-01-04;17.13;17.13;17.13;17.13;0.0
1994-01-05;17.13;17.13;17.13;17.13;315.0
1994-01-06;17.13;17.13;17.13;17.13;0.0
1994-01-07;17.0;17.5;17.0;17.38;2517.0
1994-01-10;17.25;17.5;17.25;17.38;4089.0
1994-01-11;17.25;17.25;17.0;17.0;472.0
1994-01-12;16.75;17.0;16.5;16.5;9594.0
1994-01-13;16.25;16.25;16.13;16.13;11639.0
1994-01-14;15.88;15.88;15.75;15.75;2281.0
1994-01-17;15.88;15.88;15.88;15.88;1258.0
1994-01-18;15.63;15.75;15.38;15.38;6921.0
1994-01-19;15.5;15.63;15.5;15.63;1652.0
1994-01-20;15.75;15.75;15.75;15.75;0.0
1994-01-21;15.75;15.88;15.75;15.75;69992.0
1994-01-24;15.75;15.75;15.63;15.75;2831.0
1994-01-25;15.75;15.75;15.63;15.63;4483.0
1994-01-26;15.63;15.63;15.5;15.63;21784.0
1994-01-27;15.63;15.63;15.38;15.5;6370.0
1994-01-28;15.38;15.5;15.25;15.25;7235.0
1994-01-31;15.5;15.5;15.25;15.38;26817.0
1994-02-01;15.5;15.5;15.5;15.5;944.0
1994-02-02;15.25;15.25;15.25;15.25;1416.0
1994-02-03;15.25;15.25;15.0;15.13;3539.0
1994-02-04;15.13;15.13;15.13;15.13;8336.0
1994-02-07;15.0;15.0;14.75;14.75;5820.0
1994-02-08;14.75;15.5;14.63;15.25;86508.0
1994-02-09;15.38;15.5;15.38;15.5;2281.0
1994-02-10;15.5;15.5;15.38;15.38;0.0
1994-02-11;15.38;15.38;15.25;15.25;5112.0
1994-02-14;15.13;15.13;14.88;15.13;15414.0
1994-02-15;15.13;15.13;15.13;15.13;0.0
1994-02-16;15.25;15.25;15.25;15.25;0.0
1994-02-17;15.38;15.5;15.38;15.5;708.0
1994-02-18;15.38;15.5;15.38;15.5;6685.0
1994-02-22;15.5;15.5;15.5;15.5;0.0
1994-02-23;15.25;15.5;15.25;15.5;472.0
1994-02-24;15.25;15.38;15.25;15.25;629.0
1994-02-25;15.25;15.25;15.13;15.13;3224.0
1994-02-28;15.0;15.13;15.0;15.13;1416.0
1994-03-01;15.0;15.5;14.88;15.5;16672.0
1994-03-02;15.25;15.25;15.0;15.0;14785.0
1994-03-03;15.25;15.38;15.25;15.38;1022.0
1994-03-04;15.25;15.25;14.88;14.88;26817.0
1994-03-07;15.13;15.38;15.13;15.38;1101.0
1994-03-08;15.38;15.38;15.13;15.38;315.0
1994-03-09;15.38;15.38;15.38;15.38;0.0
1994-03-10;15.38;15.38;15.38;15.38;0.0
1994-03-11;15.0;15.0;14.88;14.88;15729.0
1994-03-14;14.75;14.88;14.75;14.88;1101.0
1994-03-15;14.88;14.88;14.88;14.88;0.0
1994-03-16;14.75;15.0;14.75;15.0;315.0
1994-03-17;15.0;15.0;14.75;14.75;3146.0
1994-03-18;14.88;14.88;14.88;14.88;24851.0
1994-03-21;14.88;14.88;14.88;14.88;6056.0
1994-03-22;14.88;14.88;14.88;14.88;0.0
1994-03-23;14.88;14.88;14.75;14.75;629.0
1994-03-24;14.75;14.75;14.38;14.5;16358.0
1994-03-25;14.5;14.5;14.25;14.25;3618.0
1994-03-28;14.13;14.13;14.13;14.13;2595.0
1994-03-29;14.0;14.0;13.63;13.63;4404.0
1994-03-30;13.75;13.75;13.5;13.5;1022.0
1994-03-31;13.5;13.5;13.5;13.5;0.0
1994-04-04;13.38;13.38;13.38;13.38;0.0
1994-04-05;13.25;13.38;13.13;13.13;38457.0
1994-04-06;13.13;13.13;13.13;13.13;1416.0
1994-04-07;13.0;13.0;12.75;13.0;2595.0
1994-04-08;12.88;12.88;12.5;12.5;72430.0
1994-04-11;12.5;12.5;12.25;12.25;9280.0
1994-04-12;12.13;12.25;12.13;12.25;4483.0
1994-04-13;12.13;12.13;12.13;12.13;2045.0
1994-04-14;12.0;12.0;11.63;11.63;472.0
1994-04-15;11.75;11.75;11.75;11.75;393.0
1994-04-18;11.63;11.63;11.38;11.38;5505.0
1994-04-19;11.25;11.38;11.0;11.0;73453.0
1994-04-20;11.0;11.13;11.0;11.13;13684.0
1994-04-21;11.13;11.38;11.0;11.38;63072.0
1994-04-22;11.13;11.75;11.13;11.75;37749.0
1994-04-25;12.0;12.63;12.0;12.5;33502.0
1994-04-26;13.13;13.25;13.13;13.25;18009.0
1994-04-28;13.75;13.75;13.63;13.75;8258.0
1994-04-29;13.88;14.13;13.88;14.0;16830.0
1994-05-02;14.0;14.0;13.88;14.0;1887.0
1994-05-03;14.0;14.0;14.0;14.0;3224.0
1994-05-04;13.88;14.0;13.75;14.0;4876.0
1994-05-05;14.13;14.13;13.88;14.13;7707.0
1994-05-06;14.13;14.13;14.13;14.13;0.0
1994-05-09;14.13;14.13;14.13;14.13;786.0
1994-05-10;14.0;14.25;14.0;14.25;786.0
1994-05-11;14.0;14.25;13.75;13.75;12426.0
1994-05-12;13.75;13.75;13.75;13.75;1887.0
1994-05-13;13.75;13.75;13.25;13.25;32716.0
1994-05-16;13.25;13.25;12.75;12.75;24694.0
1994-05-17;12.75;13.0;12.75;13.0;37513.0
1994-05-18;13.0;13.0;13.0;13.0;4797.0
1994-05-19;13.0;13.0;13.0;13.0;24065.0
1994-05-20;13.13;13.13;13.13;13.13;0.0
1994-05-23;13.38;13.38;13.38;13.38;315.0
1994-05-24;13.38;13.38;13.38;13.38;0.0
1994-05-25;13.38;13.38;13.38;13.38;0.0
1994-05-26;13.63;13.63;13.25;13.25;1652.0
1994-05-27;13.0;13.0;12.88;13.0;4089.0
1994-05-31;12.75;12.75;12.75;12.75;1966.0
1994-06-01;12.63;12.63;12.63;12.63;0.0
1994-06-02;12.63;12.63;12.63;12.63;4483.0
1994-06-03;12.75;12.75;12.75;12.75;0.0
1994-06-06;12.75;12.75;12.75;12.75;0.0
1994-06-07;12.75;12.75;12.75;12.75;708.0
1994-06-08;12.75;12.75;12.75;12.75;315.0
1994-06-09;12.75;12.75;12.75;12.75;0.0
1994-06-10;12.75;12.75;12.75;12.75;0.0
1994-06-13;12.5;12.63;12.38;12.63;7550.0
1994-06-14;12.63;12.63;12.63;12.63;0.0
1994-06-15;12.75;12.75;12.25;12.25;214696.0
1994-06-16;12.5;12.63;12.38;12.63;8493.0
1994-06-17;12.63;12.63;12.63;12.63;0.0
1994-06-20;12.63;12.63;12.63;12.63;786.0
1994-06-21;12.5;12.5;12.38;12.38;1652.0
1994-06-22;12.63;12.63;12.63;12.63;2281.0
1994-06-23;12.75;12.75;12.75;12.75;944.0
1994-06-24;12.63;12.63;12.25;12.38;14864.0
1994-06-27;12.38;12.38;12.38;12.38;0.0
1994-06-28;12.13;12.38;12.13;12.38;11482.0
1994-06-29;12.25;12.38;12.13;12.38;4089.0
1994-06-30;12.25;12.38;12.13;12.38;13920.0
1994-07-01;12.5;12.5;12.5;12.5;0.0
1994-07-05;12.5;12.5;12.5;12.5;0.0
1994-07-06;12.63;12.75;12.5;12.5;16751.0
1994-07-07;12.5;12.5;12.5;12.5;0.0
1994-07-08;12.5;12.5;12.25;12.38;2281.0
1994-07-11;12.38;12.63;12.38;12.5;5348.0
1994-07-12;12.5;12.5;12.5;12.5;0.0
1994-07-13;12.38;12.38;12.38;12.38;1887.0
1994-07-14;12.5;12.5;12.5;12.5;1258.0
1994-07-15;12.5;12.5;12.5;12.5;0.0
1994-07-18;12.63;12.63;12.63;12.63;3224.0
1994-07-19;12.63;12.63;12.63;12.63;0.0
1994-07-20;12.75;12.75;12.75;12.75;1887.0
1994-07-21;12.63;12.88;12.5;12.5;3854.0
1994-07-22;12.63;12.63;12.63;12.63;315.0
1994-07-25;12.5;12.5;12.5;12.5;0.0
1994-07-26;12.63;13.13;12.63;12.88;7078.0
1994-07-27;13.0;13.0;13.0;13.0;2595.0
1994-07-28;13.0;13.0;12.75;13.0;49545.0
1994-07-29;13.13;13.13;13.0;13.13;19661.0
1994-08-01;13.0;13.0;13.0;13.0;35547.0
1994-08-02;13.13;13.13;13.0;13.0;393.0
1994-08-03;12.88;12.88;12.75;12.88;27682.0
1994-08-04;12.88;12.88;12.88;12.88;0.0
1994-08-05;13.0;13.13;13.0;13.13;30356.0
1994-08-08;13.0;13.13;13.0;13.13;2045.0
1994-08-09;13.13;13.13;13.13;13.13;0.0
1994-08-10;13.25;13.38;13.13;13.38;16358.0
1994-08-11;13.63;13.75;13.63;13.75;4483.0
1994-08-12;13.75;13.75;13.75;13.75;11796.0
1994-08-15;13.63;13.63;13.63;13.63;1887.0
1994-08-16;13.63;13.75;13.5;13.5;9280.0
1994-08-17;13.75;13.75;13.5;13.5;8887.0
1994-08-18;13.63;13.63;13.63;13.63;1416.0
1994-08-19;13.63;13.63;13.63;13.63;0.0
1994-08-22;13.63;13.63;13.63;13.63;0.0
1994-08-23;13.88;13.88;13.88;13.88;10460.0
1994-08-24;13.63;13.88;13.63;13.88;2045.0
1994-08-25;13.88;13.88;13.63;13.63;17302.0
1994-08-26;13.75;13.75;13.75;13.75;0.0
1994-08-29;13.88;13.88;13.38;13.38;2517.0
1994-08-30;13.63;14.25;13.63;14.25;64330.0
1994-08-31;14.25;15.75;14.25;15.0;12740.0
1994-09-01;15.13;15.13;15.13;15.13;2831.0
1994-09-02;15.13;15.13;15.13;15.13;0.0
1994-09-06;15.0;15.13;15.0;15.13;629.0
1994-09-07;14.88;14.88;14.88;14.88;0.0
1994-09-08;14.88;14.88;14.88;14.88;3854.0
1994-09-09;15.0;15.0;14.88;14.88;629.0
1994-09-12;15.13;15.13;15.13;15.13;4797.0
