date;open;high;low;close;volume
1993-07-09;12.5;12.75;12.12;12.25;1370400.0
1993-07-12;12.12;12.25;12.0;12.0;276900.0
1993-07-13;12.0;12.12;12.0;12.0;383000.0
1993-07-14;12.12;12.62;12.12;12.62;201300.0
1993-07-15;12.5;12.75;12.5;12.62;94700.0
1993-07-16;12.62;12.75;12.62;12.62;25900.0
1993-07-19;12.62;12.75;12.62;12.62;28400.0
1993-07-20;12.62;12.62;12.25;12.38;101000.0
1993-07-21;12.38;12.38;12.25;12.25;36600.0
1993-07-22;12.38;12.38;12.12;12.12;37900.0
1993-07-23;12.12;12.12;12.0;12.12;28400.0
1993-07-26;12.0;12.12;12.0;12.0;61300.0
1993-07-27;12.12;12.12;12.0;12.0;21900.0
1993-07-28;12.0;12.0;12.0;12.0;46600.0
1993-07-29;12.12;12.5;12.12;12.38;221300.0
1993-07-30;12.38;12.5;12.25;12.25;125100.0
1993-08-02;12.38;12.38;12.25;12.38;5900.0
1993-08-03;12.25;12.38;12.25;12.38;14100.0
1993-08-04;12.38;12.5;12.25;12.38;30400.0
1993-08-05;12.38;12.38;12.25;12.38;39700.0
1993-08-06;12.38;12.5;12.38;12.5;5900.0
1993-08-09;12.5;12.5;12.38;12.5;57300.0
1993-08-10;12.38;12.5;12.38;12.5;10100.0
1993-08-11;12.5;12.5;12.38;12.38;9400.0
1993-08-12;12.5;12.88;12.5;12.88;60600.0
1993-08-13;13.0;13.88;13.0;13.75;57400.0
1993-08-16;14.0;14.25;13.75;13.75;96800.0
1993-08-17;13.75;13.75;13.12;13.12;36200.0
1993-08-18;13.25;14.0;13.25;13.75;39800.0
1993-08-19;13.88;14.0;13.75;13.75;13900.0
1993-08-20;13.88;13.88;13.62;13.62;9600.0
1993-08-23;13.38;13.38;13.12;13.12;20900.0
1993-08-24;13.12;14.25;13.12;14.25;115900.0
1993-08-25;14.25;14.25;13.88;14.0;85200.0
1993-08-26;14.0;14.0;13.62;13.88;15300.0
1993-08-27;14.0;14.0;13.75;13.88;3500.0
1993-08-30;14.0;14.38;14.0;14.12;17700.0
1993-08-31;14.25;14.75;14.25;14.75;87200.0
1993-09-01;14.75;15.62;14.75;15.38;51100.0
1993-09-02;15.25;15.38;14.75;14.75;28400.0
1993-09-03;14.88;14.88;14.62;14.62;8000.0
1993-09-07;14.75;14.75;14.5;14.75;21100.0
1993-09-08;14.75;14.75;14.62;14.62;9800.0
1993-09-09;14.62;14.75;14.62;14.62;1400.0
1993-09-10;14.62;14.62;14.62;14.62;41100.0
1993-09-13;14.5;14.5;14.38;14.38;54000.0
1993-09-14;14.38;14.5;14.38;14.38;11900.0
1993-09-15;14.5;14.5;14.38;14.5;57600.0
1993-09-16;14.5;14.5;14.5;14.5;2200.0
1993-09-17;14.38;14.5;14.38;14.38;49500.0
