date;open;high;low;close;volume
1993-12-13;5.0;8.0;5.0;7.63;6026252.0
1993-12-14;7.38;7.63;7.38;7.38;499753.0
1993-12-15;7.63;7.63;7.38;7.63;401067.0
1993-12-16;7.63;7.63;7.38;7.38;191467.0
1993-12-17;7.63;7.63;7.38;7.38;253452.0
1993-12-20;7.41;7.63;7.38;7.63;132030.0
1993-12-21;7.38;7.63;6.75;6.75;210963.0
1993-12-22;6.63;6.88;6.44;6.63;656000.0
1993-12-23;6.63;6.63;5.0;5.13;237057.0
1993-12-27;5.0;5.63;5.0;5.63;124800.0
1993-12-28;5.25;5.5;5.13;5.25;79842.0
1993-12-29;5.5;5.5;5.13;5.25;60642.0
1993-12-30;5.25;5.5;5.25;5.25;48375.0
1993-12-31;5.38;5.63;5.13;5.5;218430.0
1994-01-03;5.75;5.75;5.5;5.75;36444.0
1994-01-04;5.5;5.75;5.5;5.5;64435.0
1994-01-05;5.75;5.75;5.0;5.25;138667.0
1994-01-06;5.75;5.75;5.25;5.75;65620.0
1994-01-07;5.75;5.75;5.25;5.63;33363.0
1994-01-10;5.75;5.75;5.25;5.25;136553.0
1994-01-11;5.75;5.75;5.25;5.75;128375.0
1994-01-12;5.75;6.0;5.25;6.0;234430.0
1994-01-13;6.0;6.0;5.63;5.88;130390.0
1994-01-14;5.88;5.88;5.63;5.75;75852.0
1994-01-17;5.5;5.75;5.5;5.63;179753.0
1994-01-18;5.5;5.63;5.5;5.5;27852.0
1994-01-19;5.5;5.75;5.5;5.75;598835.0
1994-01-20;5.75;6.0;5.63;6.0;333768.0
1994-01-21;6.0;6.0;5.63;5.63;561067.0
1994-01-24;5.75;5.75;5.63;5.63;125452.0
1994-01-25;5.75;5.75;5.63;5.69;59575.0
1994-01-26;5.75;5.75;5.63;5.63;108444.0
1994-01-27;5.75;5.75;5.38;5.63;191052.0
1994-01-28;5.63;5.63;5.38;5.63;162035.0
1994-01-31;5.63;5.63;5.38;5.38;27220.0
1994-02-01;5.38;5.63;5.38;5.63;180267.0
1994-02-02;5.63;5.75;5.5;5.5;67635.0
1994-02-03;5.75;5.75;5.5;5.5;139457.0
1994-02-04;5.75;5.75;5.5;5.63;153244.0
1994-02-07;5.5;5.75;5.5;5.5;115575.0
1994-02-08;5.25;5.63;5.0;5.13;176652.0
1994-02-09;5.0;5.0;4.5;4.63;233067.0
1994-02-10;5.0;5.0;4.0;4.13;309353.0
1994-02-11;4.63;4.63;4.0;4.0;56000.0
1994-02-14;4.0;4.06;3.5;3.5;98568.0
1994-02-15;3.5;4.0;3.5;3.5;10153.0
1994-02-16;3.5;4.0;3.38;3.5;661057.0
1994-02-17;3.75;3.75;3.0;3.5;165590.0
1994-02-18;3.0;3.5;3.0;3.0;55230.0
1994-02-22;3.0;3.5;3.0;3.0;21057.0
1994-02-23;3.0;3.5;3.0;3.0;79763.0
1994-02-24;3.0;3.38;3.0;3.38;76030.0
1994-02-25;3.0;3.38;3.0;3.0;152553.0
1994-02-28;3.0;3.0;3.0;3.0;7467.0
1994-03-01;3.38;3.38;3.0;3.0;38400.0
1994-03-02;3.38;3.63;3.13;3.25;101057.0
1994-03-03;3.25;3.63;3.25;3.25;40968.0
1994-03-04;3.63;3.63;3.25;3.63;101452.0
1994-03-07;3.63;3.63;3.25;3.25;6242.0
1994-03-08;3.63;3.63;3.25;3.63;73857.0
1994-03-09;3.25;3.63;3.25;3.5;222400.0
1994-03-10;3.25;3.63;3.25;3.25;56435.0
1994-03-11;3.63;3.63;3.25;3.63;40257.0
1994-03-14;3.5;3.5;3.0;3.0;98153.0
1994-03-15;3.19;3.31;3.0;3.25;172800.0
1994-03-16;3.0;3.25;3.0;3.0;23190.0
1994-03-17;3.0;3.13;3.0;3.13;39585.0
1994-03-18;3.0;3.25;3.0;3.0;233244.0
1994-03-21;3.0;3.25;3.0;3.0;14400.0
1994-03-22;3.0;3.0;3.0;3.0;26390.0
1994-03-23;3.0;3.0;3.0;3.0;3378.0
1994-03-24;3.25;3.25;3.0;3.0;12030.0
1994-03-25;3.0;3.0;3.0;3.0;2153.0
1994-03-28;3.25;3.25;3.0;3.0;12444.0
1994-03-29;3.25;3.25;3.0;3.25;119842.0
1994-03-30;3.25;3.25;2.75;2.75;250963.0
1994-03-31;3.13;3.13;2.75;2.75;20444.0
1994-04-04;2.75;2.75;2.75;2.75;6420.0
1994-04-05;2.75;3.13;2.75;2.75;34153.0
1994-04-06;2.75;2.75;2.63;2.75;48968.0
1994-04-07;2.75;2.75;2.63;2.63;15190.0
1994-04-08;2.63;2.75;2.63;2.75;29985.0
1994-04-11;2.63;2.75;2.63;2.63;162963.0
1994-04-12;2.63;2.63;2.38;2.38;74153.0
1994-04-13;2.5;2.5;2.38;2.38;14242.0
1994-04-14;2.38;2.63;2.25;2.25;72000.0
1994-04-15;2.25;2.5;2.25;2.25;51990.0
1994-04-18;2.25;2.25;2.25;2.25;7052.0
1994-04-19;2.5;2.5;2.25;2.25;52978.0
1994-04-20;2.25;2.25;2.25;2.25;275220.0
1994-04-21;2.38;2.38;2.25;2.25;293630.0
1994-04-22;2.25;2.38;2.25;2.38;52168.0
1994-04-25;2.25;2.25;2.25;2.25;35457.0
1994-04-26;2.25;2.38;2.25;2.38;14163.0
1994-04-28;2.25;2.25;2.25;2.25;2430.0
1994-04-29;2.25;2.25;1.87;2.25;207190.0
1994-05-02;2.13;2.25;1.87;1.87;95467.0
1994-05-03;1.87;2.13;1.87;2.13;17975.0
1994-05-04;1.87;1.87;1.87;1.87;18844.0
1994-05-05;1.87;2.13;1.75;1.75;69630.0
1994-05-06;1.75;2.13;1.75;1.75;26785.0
1994-05-09;1.75;2.13;1.75;2.13;14420.0
1994-05-10;1.75;2.13;1.75;2.13;16790.0
1994-05-11;2.13;2.13;1.75;2.13;49442.0
1994-05-12;1.75;1.75;1.75;1.75;9363.0
1994-05-13;1.75;2.0;1.75;2.0;14044.0
1994-05-16;2.13;2.13;1.75;1.75;80830.0
1994-05-17;2.13;2.13;1.5;2.13;370035.0
1994-05-18;2.13;2.13;1.75;2.13;219378.0
1994-05-19;2.13;2.13;1.75;1.75;97620.0
1994-05-20;2.13;2.13;1.75;2.13;528435.0
1994-05-23;1.87;1.94;1.87;1.94;553.0
1994-05-24;1.87;1.87;1.87;1.87;59990.0
1994-05-25;1.87;2.0;1.87;1.87;25857.0
1994-05-26;1.87;2.0;1.75;2.0;40257.0
1994-05-27;1.75;1.75;1.75;1.75;18667.0
1994-05-31;2.0;2.0;2.0;2.0;968.0
1994-06-01;2.0;2.0;2.0;2.0;0.0
1994-06-02;2.0;2.0;2.0;2.0;257.0
1994-06-03;2.0;2.0;2.0;2.0;8000.0
1994-06-06;2.0;2.0;2.0;2.0;0.0
1994-06-07;2.0;2.0;1.75;1.75;315200.0
1994-06-08;1.75;1.75;1.75;1.75;41067.0
1994-06-09;1.75;1.75;1.75;1.75;0.0
