date;open;high;low;close;volume
1990-03-26;9.75;9.75;9.25;9.5;1500.0
1990-03-27;9.75;9.75;9.25;9.5;17800.0
1990-03-28;9.75;9.75;9.25;9.25;15600.0
1990-03-29;9.25;9.5;9.25;9.5;1100.0
1990-03-30;9.5;9.5;9.25;9.25;9200.0
1990-04-02;9.5;9.5;9.0;9.25;11000.0
1990-04-03;9.0;9.25;9.0;9.0;8800.0
1990-04-04;9.25;9.25;9.0;9.0;9900.0
1990-04-05;9.0;9.25;9.0;9.25;4300.0
1990-04-06;9.0;9.25;8.75;9.25;12100.0
1990-04-09;9.25;9.25;8.75;9.25;11000.0
1990-04-10;8.75;9.25;8.75;8.75;13400.0
1990-04-11;9.25;9.25;8.75;8.75;4800.0
1990-04-12;9.25;9.25;8.75;8.75;6100.0
1990-04-16;8.5;9.25;8.5;9.25;8300.0
1990-04-17;9.0;9.0;7.75;8.5;53300.0
1990-04-18;8.25;8.5;8.0;8.0;25300.0
1990-04-19;8.5;8.5;8.0;8.0;45600.0
1990-04-20;8.0;8.25;8.0;8.25;27900.0
1990-04-23;8.25;8.25;7.75;7.75;56800.0
1990-04-24;7.75;8.25;7.75;7.75;68500.0
1990-04-25;8.0;8.0;7.75;7.75;33800.0
1990-04-26;7.75;8.0;7.63;7.63;26100.0
1990-04-27;8.0;8.0;7.5;7.63;14200.0
1990-04-30;7.75;8.0;7.5;8.0;25800.0
1990-05-01;7.63;8.0;7.63;7.88;39200.0
1990-05-02;8.0;8.0;7.25;7.5;56800.0
1990-05-03;7.75;7.75;7.5;7.5;29300.0
1990-05-04;7.75;7.75;7.25;7.5;84300.0
1990-05-07;7.5;7.75;7.25;7.75;52700.0
1990-05-08;7.75;8.25;7.37;7.75;48800.0
1990-05-09;7.75;8.0;6.75;7.25;89200.0
1990-05-10;7.5;7.5;7.0;7.5;59300.0
1990-05-11;7.5;7.75;7.0;7.5;37200.0
1990-05-14;7.75;7.75;7.25;7.5;14200.0
1990-05-15;7.37;7.75;7.25;7.37;65400.0
1990-05-16;7.25;7.5;7.25;7.25;5800.0
1990-05-17;7.5;7.5;7.0;7.5;665300.0
1990-05-18;7.5;7.5;7.0;7.25;18100.0
1990-05-21;7.0;7.75;7.0;7.75;74500.0
1990-05-22;7.75;8.0;7.5;7.88;88200.0
1990-05-23;7.75;8.0;7.75;7.75;17200.0
1990-05-24;7.75;8.0;7.75;8.0;14900.0
1990-05-25;8.0;8.0;7.5;7.75;43100.0
1990-05-29;8.0;8.5;8.0;8.5;71000.0
1990-05-30;8.5;9.0;8.25;8.5;32300.0
1990-05-31;8.75;9.0;8.5;8.5;28800.0
1990-06-01;8.75;9.0;8.5;9.0;27100.0
1990-06-04;8.75;9.0;8.5;8.75;32800.0
1990-06-05;8.75;8.75;8.5;8.75;28300.0
1990-06-06;8.5;8.75;8.5;8.75;6000.0
1990-06-07;8.5;8.75;8.5;8.5;44700.0
1990-06-08;9.0;9.0;8.5;8.5;13200.0
1990-06-11;8.5;8.75;8.25;8.75;12400.0
1990-06-12;8.75;9.0;8.5;9.0;4700.0
1990-06-13;8.25;9.0;8.25;8.25;2600.0
1990-06-14;8.25;9.0;8.25;9.0;4200.0
1990-06-15;9.0;9.0;8.5;9.0;1900.0
1990-06-18;8.5;8.75;8.25;8.5;20400.0
1990-06-19;8.75;8.75;8.25;8.75;10900.0
1990-06-20;8.75;8.75;8.25;8.5;9200.0
1990-06-21;8.5;8.5;8.25;8.25;2100.0
1990-06-22;8.25;8.38;8.0;8.0;19200.0
1990-06-25;8.0;8.25;8.0;8.0;4100.0
1990-06-26;8.25;8.25;8.0;8.0;7300.0
1990-06-27;8.25;8.25;8.0;8.12;21300.0
1990-06-28;8.0;8.25;8.0;8.0;31000.0
1990-06-29;8.0;8.25;8.0;8.0;3100.0
1990-07-02;8.0;8.25;8.0;8.0;16000.0
1990-07-03;8.0;8.25;8.0;8.0;31500.0
1990-07-05;8.0;8.25;8.0;8.25;20100.0
1990-07-06;8.0;8.25;8.0;8.25;7000.0
1990-07-09;8.5;8.5;8.12;8.12;6000.0
1990-07-10;8.12;8.38;8.0;8.0;19300.0
1990-07-11;8.0;8.38;8.0;8.0;23500.0
1990-07-12;8.25;8.38;8.0;8.0;16600.0
1990-07-13;8.0;8.5;8.0;8.0;23500.0
1990-07-16;8.38;8.38;8.0;8.0;8700.0
1990-07-17;8.25;8.25;8.0;8.0;33900.0
1990-07-18;8.0;8.0;7.75;8.0;28800.0
1990-07-19;7.5;7.75;7.5;7.5;62800.0
1990-07-20;7.5;7.75;7.5;7.5;7800.0
1990-07-23;7.5;7.75;7.12;7.5;332100.0
1990-07-24;7.5;7.5;7.0;7.5;19300.0
1990-07-25;7.5;7.5;7.25;7.5;3000.0
