date;open;high;low;close;volume
1987-12-30;17.0;17.25;16.88;17.0;4100.0
1987-12-31;16.88;17.0;16.63;17.0;1200.0
1988-01-04;16.88;17.13;16.75;17.13;8800.0
1988-01-05;17.25;17.38;17.25;17.38;1900.0
1988-01-06;17.13;17.25;17.0;17.25;6300.0
1988-01-07;17.5;17.63;17.38;17.63;2100.0
1988-01-08;17.5;17.5;17.25;17.25;1200.0
1988-01-11;17.0;17.13;16.63;16.75;4200.0
1988-01-12;16.75;17.13;16.75;17.13;3100.0
1988-01-13;17.25;17.38;17.13;17.13;4700.0
1988-01-14;17.38;17.38;17.13;17.13;3900.0
1988-01-15;17.38;17.5;17.38;17.5;2400.0
1988-01-18;17.5;17.5;17.25;17.25;800.0
1988-01-19;17.38;17.38;17.0;17.13;2800.0
1988-01-20;17.38;17.5;17.25;17.38;2100.0
1988-01-21;17.25;17.38;17.25;17.25;900.0
1988-01-22;17.25;17.25;17.25;17.25;300.0
1988-01-25;17.25;17.25;17.0;17.13;4300.0
1988-01-26;17.0;17.13;17.0;17.0;2200.0
1988-01-27;17.13;17.38;17.13;17.25;50600.0
1988-01-28;17.38;17.38;17.25;17.38;3500.0
1988-01-29;17.38;17.63;17.38;17.5;5300.0
1988-02-01;17.5;17.75;17.5;17.5;5200.0
1988-02-02;17.63;17.63;17.5;17.63;5900.0
1988-02-03;17.63;17.63;17.5;17.5;2300.0
1988-02-04;17.38;17.38;17.25;17.25;2700.0
1988-02-05;17.25;17.25;17.13;17.13;3200.0
1988-02-08;17.25;17.5;17.25;17.5;5900.0
1988-02-09;17.25;17.63;17.25;17.63;6400.0
1988-02-10;17.5;17.63;17.38;17.5;8700.0
1988-02-11;17.25;17.5;17.25;17.5;5400.0
1988-02-12;17.5;17.5;17.38;17.38;2900.0
1988-02-16;17.5;17.5;17.38;17.38;2700.0
1988-02-17;17.25;17.38;17.13;17.25;17600.0
1988-02-18;17.13;17.25;17.13;17.25;7000.0
1988-02-19;17.38;17.38;17.13;17.38;7600.0
1988-02-22;17.38;17.63;17.13;17.63;42900.0
1988-02-23;17.5;17.75;17.5;17.5;5300.0
1988-02-24;17.87;17.87;17.75;17.87;4400.0
1988-02-25;17.87;18.12;17.75;18.12;8500.0
1988-02-26;18.12;18.12;18.12;18.12;1500.0
1988-02-29;18.12;18.37;18.12;18.37;5600.0
1988-03-01;18.5;18.5;18.37;18.5;2800.0
1988-03-02;18.37;18.5;18.37;18.37;6200.0
1988-03-03;18.37;18.5;18.12;18.37;7500.0
1988-03-04;17.87;17.87;17.63;17.75;2200.0
1988-03-07;17.75;17.75;17.63;17.75;3400.0
1988-03-08;17.87;18.0;17.87;18.0;23400.0
1988-03-09;18.12;18.12;17.87;18.0;7200.0
1988-03-10;17.87;18.12;17.87;17.87;3500.0
1988-03-11;18.0;18.12;17.87;18.0;30000.0
1988-03-14;18.0;18.25;17.75;18.25;13700.0
1988-03-15;18.25;18.25;18.12;18.25;2600.0
1988-03-16;18.25;18.37;18.25;18.37;6600.0
1988-03-17;18.5;18.5;18.37;18.37;4000.0
1988-03-18;18.37;18.5;18.12;18.12;4400.0
1988-03-21;18.25;18.37;18.0;18.0;2900.0
1988-03-22;17.87;18.0;17.75;17.87;3100.0
1988-03-23;17.87;18.0;17.75;17.87;9900.0
1988-03-24;17.75;17.75;17.63;17.75;2400.0
1988-03-25;17.75;17.75;17.38;17.5;2800.0
1988-03-28;17.38;17.38;17.25;17.25;2300.0
1988-03-29;17.38;17.38;17.13;17.38;3600.0
1988-03-30;17.25;17.38;17.13;17.25;1500.0
1988-03-31;17.13;17.25;17.13;17.25;3700.0
1988-04-04;17.25;17.25;17.0;17.25;2500.0
1988-04-05;17.13;17.13;17.0;17.0;5200.0
1988-04-06;17.0;17.38;17.0;17.25;1900.0
1988-04-07;17.5;17.5;17.25;17.5;2200.0
1988-04-08;17.38;17.63;17.38;17.38;2700.0
1988-04-11;17.38;17.63;17.38;17.63;5100.0
1988-04-12;17.63;17.63;17.38;17.5;3200.0
1988-04-13;17.63;17.63;17.5;17.5;5300.0
1988-04-14;17.63;17.63;17.5;17.5;2400.0
1988-04-15;17.5;17.63;17.38;17.38;3300.0
1988-04-18;17.38;17.5;17.13;17.5;5500.0
1988-04-19;17.38;17.38;17.0;17.25;6300.0
1988-04-20;17.13;17.38;17.0;17.38;7200.0
1988-04-21;17.25;17.38;17.13;17.13;5500.0
1988-04-22;17.38;17.38;16.75;17.38;8400.0
1988-04-25;17.5;17.63;17.38;17.5;4500.0
1988-04-26;17.5;17.5;17.25;17.38;8200.0
1988-04-27;17.38;17.38;17.13;17.13;2400.0
1988-04-28;17.25;17.25;17.25;17.25;400.0
1988-04-29;17.25;17.38;17.13;17.38;4800.0
1988-05-02;17.38;17.38;17.25;17.38;1200.0
1988-05-03;17.25;17.38;17.13;17.13;1600.0
1988-05-04;17.13;17.38;17.13;17.13;3600.0
1988-05-05;17.25;17.25;17.13;17.25;2500.0
1988-05-06;17.25;17.38;17.25;17.25;3200.0
1988-05-09;17.13;17.25;17.0;17.13;5400.0
1988-05-10;17.25;17.25;17.0;17.13;3400.0
1988-05-11;17.13;17.13;17.0;17.13;3600.0
1988-05-12;17.13;17.13;17.0;17.13;8600.0
1988-05-13;17.0;17.13;17.0;17.13;1700.0
1988-05-16;17.13;17.13;17.0;17.13;6000.0
1988-05-17;17.0;17.13;17.0;17.13;2000.0
1988-05-18;17.13;17.25;17.0;17.25;11500.0
1988-05-19;17.13;17.13;17.13;17.13;5500.0
1988-05-20;17.13;17.25;17.13;17.13;11500.0
1988-05-23;17.25;17.25;17.13;17.25;4200.0
1988-05-24;17.13;17.25;17.13;17.13;1800.0
1988-05-25;17.13;17.25;17.13;17.25;2400.0
1988-05-26;17.13;17.38;17.0;17.25;2100.0
1988-05-27;17.25;17.25;17.25;17.25;2200.0
1988-05-31;17.25;17.5;17.25;17.38;7600.0
1988-06-01;17.5;17.63;17.5;17.63;4500.0
1988-06-02;17.5;17.87;17.5;17.75;6900.0
1988-06-03;17.87;17.87;17.87;17.87;400.0
1988-06-06;17.5;17.63;17.25;17.25;6000.0
1988-06-07;17.38;17.5;17.38;17.5;2300.0
1988-06-08;17.63;17.75;17.38;17.5;2500.0
1988-06-09;17.5;17.63;17.38;17.5;2000.0
1988-06-10;17.5;17.5;17.38;17.38;600.0
1988-06-13;17.25;17.25;17.13;17.13;4300.0
1988-06-14;17.25;17.75;17.25;17.63;7800.0
1988-06-15;17.75;17.75;17.63;17.63;4300.0
1988-06-16;17.63;17.63;17.38;17.5;3200.0
1988-06-17;17.5;17.5;17.38;17.5;6700.0
1988-06-20;17.5;17.63;17.5;17.5;6500.0
1988-06-21;17.63;17.75;17.5;17.63;4600.0
1988-06-22;17.5;17.63;17.5;17.63;6200.0
1988-06-23;17.5;17.63;17.5;17.5;8000.0
1988-06-24;17.5;17.5;17.38;17.38;8800.0
1988-06-27;17.63;17.63;17.38;17.38;14200.0
1988-06-28;17.38;17.5;17.25;17.5;11100.0
1988-06-29;17.5;17.5;17.38;17.38;24700.0
1988-06-30;17.5;17.5;17.25;17.5;8900.0
1988-07-01;17.5;17.5;17.38;17.38;5100.0
1988-07-05;17.38;17.63;17.38;17.38;4000.0
1988-07-06;17.38;17.63;17.38;17.63;2400.0
1988-07-07;17.63;17.63;17.63;17.63;0.0
1988-07-08;17.63;17.63;17.5;17.63;2000.0
1988-07-11;17.63;17.63;17.5;17.63;4300.0
1988-07-12;17.75;17.75;17.75;17.75;6700.0
1988-07-13;17.75;17.75;17.63;17.75;3000.0
1988-07-14;17.75;18.0;17.63;17.87;24900.0
1988-07-15;18.0;18.25;18.0;18.0;5400.0
1988-07-18;18.25;18.37;18.25;18.37;2500.0
1988-07-19;18.37;18.5;18.12;18.37;9600.0
1988-07-20;18.37;18.87;18.37;18.87;11900.0
1988-07-21;19.0;19.0;18.75;18.75;2600.0
1988-07-22;18.5;18.62;18.5;18.5;2300.0
1988-07-25;18.37;18.37;18.12;18.12;36600.0
1988-07-26;18.12;18.25;17.87;18.0;33100.0
1988-07-27;17.87;18.37;17.87;18.37;5100.0
1988-07-28;18.25;18.75;18.25;18.37;3200.0
