date;open;high;low;close;volume
1987-12-30;14.12;14.5;14.12;14.12;25800.0
1987-12-31;14.12;14.12;13.25;13.88;24900.0
1988-01-04;14.12;14.62;13.88;14.62;4600.0
1988-01-05;14.88;15.0;14.88;15.0;6200.0
1988-01-06;14.88;15.0;14.75;14.75;9300.0
1988-01-07;14.75;15.5;14.75;15.5;14700.0
1988-01-08;15.75;15.75;14.75;14.75;17800.0
1988-01-11;14.5;14.75;14.0;14.5;13500.0
1988-01-12;14.75;14.75;14.12;14.5;17500.0
1988-01-13;14.5;14.5;14.0;14.5;15700.0
1988-01-14;14.62;14.62;14.25;14.25;11900.0
1988-01-15;14.5;14.75;14.38;14.75;20700.0
1988-01-18;14.5;14.75;14.5;14.75;5000.0
1988-01-19;14.5;15.0;14.5;15.0;7700.0
1988-01-20;14.75;15.0;13.88;13.88;16400.0
1988-01-21;13.88;14.0;13.38;13.5;11700.0
1988-01-22;13.75;13.88;13.62;13.88;17100.0
1988-01-25;13.75;14.5;13.75;14.5;21800.0
1988-01-26;14.25;14.5;14.0;14.25;10900.0
1988-01-27;14.12;14.38;14.12;14.12;4900.0
1988-01-28;14.38;14.38;14.12;14.12;1000.0
1988-01-29;14.12;14.12;14.0;14.0;2400.0
1988-02-01;14.0;14.25;14.0;14.12;2300.0
1988-02-02;14.25;14.25;14.0;14.0;8000.0
1988-02-03;14.0;14.62;14.0;14.38;32600.0
1988-02-04;14.12;14.25;14.0;14.0;7900.0
1988-02-05;14.0;14.0;14.0;14.0;11300.0
1988-02-08;13.88;14.0;13.62;14.0;4600.0
1988-02-09;13.88;14.0;13.75;13.88;15000.0
1988-02-10;13.75;14.25;13.75;14.25;3500.0
1988-02-11;14.5;14.5;14.25;14.25;6900.0
1988-02-12;14.25;14.25;14.25;14.25;2600.0
1988-02-16;14.5;14.62;14.25;14.5;8300.0
1988-02-17;14.38;14.75;14.38;14.5;7300.0
1988-02-18;14.5;14.62;14.38;14.38;3600.0
1988-02-19;14.38;14.38;14.25;14.25;5500.0
1988-02-22;14.0;14.5;14.0;14.5;5000.0
1988-02-23;14.25;14.62;14.25;14.5;7700.0
1988-02-24;14.25;14.62;14.12;14.5;8100.0
1988-02-25;14.38;14.75;14.38;14.38;14200.0
1988-02-26;14.5;14.88;14.5;14.75;5300.0
1988-02-29;14.75;14.75;14.25;14.5;24500.0
1988-03-01;14.25;14.38;14.12;14.25;4100.0
1988-03-02;14.12;14.75;14.12;14.5;53300.0
1988-03-03;14.25;15.25;14.25;15.0;14100.0
1988-03-04;15.0;15.0;14.75;15.0;3600.0
1988-03-07;15.0;15.0;14.88;15.0;30200.0
1988-03-08;15.0;15.38;14.75;15.38;49400.0
1988-03-09;15.38;15.38;15.12;15.12;5800.0
1988-03-10;15.12;16.0;15.12;15.75;37900.0
1988-03-11;15.62;15.62;15.0;15.25;10900.0
1988-03-14;15.0;15.0;14.75;15.0;20000.0
1988-03-15;15.0;15.0;14.75;14.88;2900.0
1988-03-16;14.88;14.88;14.38;14.5;35900.0
1988-03-17;14.62;14.62;14.38;14.38;12100.0
1988-03-18;14.5;14.5;14.38;14.5;11800.0
1988-03-21;14.5;14.62;14.25;14.5;17700.0
1988-03-22;14.5;15.0;14.5;15.0;4100.0
1988-03-23;15.0;15.5;14.88;15.5;15400.0
1988-03-24;15.75;15.75;15.0;15.0;15300.0
1988-03-25;15.0;15.0;14.88;15.0;6400.0
1988-03-28;14.88;14.88;14.62;14.88;2500.0
1988-03-29;15.0;15.12;14.62;14.75;4300.0
1988-03-30;14.75;14.75;14.62;14.75;3600.0
1988-03-31;14.62;15.25;14.62;15.25;7100.0
1988-04-04;15.12;15.62;15.0;15.5;25400.0
1988-04-05;15.88;15.88;15.25;15.5;4100.0
1988-04-06;15.38;15.38;15.0;15.25;14700.0
1988-04-07;15.0;15.88;15.0;15.5;17200.0
1988-04-08;15.25;15.38;15.25;15.38;1300.0
1988-04-11;15.12;15.5;15.12;15.25;3900.0
1988-04-12;15.5;15.5;15.38;15.5;3100.0
1988-04-13;15.25;15.5;15.25;15.5;6800.0
1988-04-14;15.25;15.25;14.75;14.75;23300.0
1988-04-15;14.5;14.88;14.5;14.62;34900.0
1988-04-18;14.5;14.75;14.5;14.75;4800.0
1988-04-19;14.62;14.62;14.38;14.38;11100.0
1988-04-20;14.38;14.62;14.38;14.62;6100.0
1988-04-21;14.5;14.62;14.5;14.5;2600.0
1988-04-22;14.5;14.5;14.5;14.5;29900.0
1988-04-25;14.5;14.75;14.5;14.75;16700.0
1988-04-26;14.75;14.75;14.62;14.62;5500.0
1988-04-27;14.75;14.75;14.5;14.5;4200.0
1988-04-28;14.62;14.62;14.38;14.38;19400.0
1988-04-29;14.38;14.5;14.38;14.5;3500.0
1988-05-02;14.38;14.5;14.38;14.38;3000.0
1988-05-03;14.25;14.38;14.0;14.0;14400.0
1988-05-04;13.75;13.75;13.0;13.0;40000.0
1988-05-05;13.0;13.0;12.88;12.88;8800.0
1988-05-06;12.88;13.0;12.75;12.88;10800.0
1988-05-09;13.0;13.0;12.25;12.5;6900.0
1988-05-10;12.38;12.38;11.88;11.88;10400.0
1988-05-11;11.88;12.0;11.88;11.88;2500.0
1988-05-12;11.88;12.0;11.88;11.88;2800.0
1988-05-13;11.88;12.0;11.88;11.88;2400.0
1988-05-16;11.62;12.0;11.5;12.0;42600.0
1988-05-17;12.12;12.5;12.12;12.38;16800.0
1988-05-18;12.5;12.5;12.25;12.38;6600.0
1988-05-19;12.38;12.5;12.38;12.5;19100.0
1988-05-20;12.75;12.75;12.5;12.5;5200.0
1988-05-23;12.62;12.62;12.38;12.5;11000.0
1988-05-24;12.38;12.5;11.88;12.0;29500.0
1988-05-25;12.0;12.12;11.88;11.88;3300.0
1988-05-26;12.0;12.0;11.88;11.88;1200.0
1988-05-27;11.88;12.0;11.88;12.0;1300.0
1988-05-31;12.0;12.25;12.0;12.0;3100.0
1988-06-01;12.25;12.88;12.0;12.62;12300.0
1988-06-02;12.38;12.62;12.38;12.38;39400.0
1988-06-03;12.25;12.5;12.25;12.38;6800.0
