date;open;high;low;close;volume
1991-02-28;13.63;14.75;13.63;14.0;3114833.0
1991-03-01;14.12;14.12;13.25;13.63;669349.0
1991-03-04;14.0;14.0;13.63;13.63;200173.0
1991-03-05;13.88;14.62;13.63;14.5;196433.0
1991-03-06;14.75;15.0;14.0;14.0;335996.0
1991-03-07;13.88;14.12;13.75;13.75;190657.0
1991-03-08;14.0;14.0;13.5;13.88;221981.0
1991-03-11;13.63;13.63;13.0;13.12;222824.0
1991-03-12;13.25;13.25;12.5;13.25;307367.0
1991-03-13;13.25;13.37;12.75;13.25;224000.0
1991-03-14;13.5;13.63;13.0;13.12;246413.0
1991-03-15;13.0;13.25;12.5;12.5;119230.0
1991-03-18;13.0;13.0;12.5;13.0;31052.0
1991-03-19;12.5;13.0;12.5;12.75;56178.0
1991-03-20;13.0;13.0;12.25;12.75;205353.0
1991-03-21;12.75;13.25;12.75;13.0;309052.0
1991-03-22;13.0;13.25;12.75;12.88;82147.0
1991-03-25;13.0;13.0;12.63;13.0;38040.0
1991-03-26;13.0;14.5;12.75;14.0;185600.0
1991-03-27;14.5;15.0;14.25;14.62;168375.0
1991-03-28;14.75;15.0;14.5;14.75;20157.0
1991-04-01;14.88;14.88;14.5;14.5;25442.0
1991-04-02;14.88;15.25;14.5;15.25;126033.0
1991-04-03;15.25;15.25;14.75;15.25;127842.0
1991-04-04;14.88;15.25;14.75;15.0;25969.0
1991-04-05;15.25;15.25;14.5;14.5;110942.0
1991-04-08;14.5;14.75;14.0;14.5;86238.0
1991-04-09;14.0;14.5;14.0;14.25;36793.0
1991-04-10;14.0;15.25;14.0;15.25;205757.0
1991-04-11;15.0;16.75;15.0;16.25;191219.0
1991-04-12;17.0;17.25;16.5;16.5;108967.0
1991-04-15;17.0;17.0;16.5;17.0;14415.0
1991-04-16;16.87;16.87;16.0;16.87;124638.0
1991-04-17;17.0;17.5;16.5;17.0;54238.0
1991-04-18;17.25;17.25;16.75;16.75;19630.0
1991-04-19;17.0;17.0;16.75;16.75;40252.0
1991-04-22;17.0;17.0;16.5;16.5;85579.0
1991-04-23;16.25;16.5;15.75;16.13;89609.0
1991-04-24;16.0;16.25;15.75;15.75;38242.0
1991-04-25;16.25;16.25;15.75;15.75;5224.0
1991-04-26;16.0;16.0;15.75;16.0;13985.0
1991-04-29;15.75;16.25;15.75;16.25;43457.0
1991-04-30;15.5;15.75;15.0;15.75;156164.0
1991-05-01;15.5;15.75;15.25;15.75;25600.0
1991-05-02;15.25;15.75;15.25;15.5;87756.0
1991-05-03;15.37;15.75;15.25;15.25;4267.0
1991-05-06;15.0;15.5;15.0;15.25;13230.0
1991-05-07;15.37;15.5;15.0;15.25;10430.0
1991-05-08;15.5;15.5;14.5;14.88;88020.0
1991-05-09;14.5;15.25;14.5;15.25;49435.0
1991-05-10;15.25;15.75;15.25;15.75;39225.0
1991-05-13;15.25;15.5;15.13;15.5;12642.0
1991-05-14;15.37;15.75;15.25;15.5;53447.0
1991-05-15;15.25;15.5;14.75;14.75;294242.0
1991-05-16;14.75;15.25;14.75;14.88;2142.0
1991-05-17;14.75;15.25;14.75;14.88;11457.0
1991-05-20;14.88;15.25;14.75;15.25;3196.0
1991-05-21;14.88;15.5;14.88;15.37;22396.0
1991-05-22;15.5;15.75;15.37;15.62;25179.0
1991-05-23;15.75;16.0;15.75;15.75;15574.0
1991-05-24;16.0;17.0;16.0;16.5;117974.0
1991-05-28;16.75;17.0;16.25;17.0;99986.0
1991-05-29;16.5;17.25;16.5;16.5;22571.0
1991-05-30;17.0;17.5;16.75;17.25;98142.0
1991-05-31;17.5;17.5;17.0;17.38;42430.0
1991-06-03;17.0;17.5;17.0;17.5;5057.0
1991-06-04;17.0;17.5;17.0;17.5;17435.0
1991-06-05;17.25;17.75;17.25;17.38;6567.0
1991-06-06;17.25;17.5;17.0;17.0;16786.0
1991-06-07;17.0;17.25;16.5;16.75;27575.0
1991-06-10;17.0;17.0;16.5;17.0;3845.0
1991-06-11;16.75;16.75;16.25;16.75;32009.0
1991-06-12;16.5;16.5;16.0;16.0;58241.0
1991-06-13;16.25;16.5;16.0;16.5;15838.0
1991-06-14;17.0;17.75;17.0;17.5;91742.0
1991-06-17;17.25;18.0;17.25;17.75;60638.0
1991-06-18;18.0;18.0;17.0;17.5;48549.0
1991-06-19;17.25;17.25;16.75;16.75;14652.0
1991-06-20;16.75;17.25;16.5;17.25;30156.0
1991-06-21;16.75;17.25;16.5;16.5;6409.0
1991-06-24;17.0;17.0;16.0;16.0;43852.0
1991-06-25;16.13;16.5;16.0;16.25;74561.0
1991-06-26;16.25;16.5;15.25;15.25;53228.0
1991-06-27;15.5;15.75;15.25;15.75;111838.0
1991-06-28;15.5;15.75;15.25;15.5;64167.0
1991-07-01;15.5;16.0;15.25;16.0;107457.0
1991-07-02;16.0;16.75;15.75;16.75;90241.0
1991-07-03;17.0;18.0;16.62;17.25;170956.0
1991-07-05;17.25;17.5;17.25;17.5;7752.0
1991-07-08;17.5;17.75;17.0;17.75;25846.0
1991-07-09;18.0;18.87;17.75;18.5;138833.0
1991-07-10;19.0;19.75;18.75;19.25;174152.0
1991-07-11;19.0;19.25;18.75;18.87;204168.0
1991-07-12;18.75;19.5;18.75;19.37;136823.0
1991-07-15;19.5;19.5;18.5;19.0;138667.0
1991-07-16;19.5;19.75;19.0;19.0;143179.0
1991-07-17;18.75;19.25;18.75;18.75;5452.0
1991-07-18;18.75;19.5;18.5;18.75;70830.0
1991-07-19;18.75;19.0;18.5;18.5;59628.0
1991-07-22;19.0;19.0;18.25;18.5;13046.0
1991-07-23;18.25;18.25;18.0;18.0;29050.0
1991-07-24;18.25;18.25;17.5;17.75;80250.0
1991-07-25;17.25;17.75;17.25;17.75;2028.0
1991-07-26;18.0;18.5;18.0;18.0;11852.0
1991-07-29;18.25;18.25;18.25;18.25;4433.0
1991-07-30;18.25;18.5;18.25;18.5;19367.0
1991-07-31;18.75;19.0;18.5;18.75;27189.0
1991-08-01;18.75;18.75;18.25;18.5;23361.0
1991-08-02;18.75;19.0;18.5;19.0;19209.0
1991-08-05;18.87;19.25;18.5;19.25;19841.0
1991-08-06;19.25;19.5;18.75;19.5;65062.0
1991-08-07;18.75;19.25;18.75;19.25;3196.0
1991-08-08;19.0;19.25;18.75;18.75;7190.0
1991-08-09;19.25;19.37;18.75;18.75;5584.0
1991-08-12;19.0;19.5;18.75;19.25;10386.0
1991-08-13;19.12;20.25;19.0;20.25;46775.0
1991-08-14;20.25;21.75;20.25;21.25;133856.0
1991-08-15;21.25;22.25;21.25;22.0;127842.0
1991-08-16;21.75;22.0;21.5;21.5;59452.0
1991-08-19;21.0;21.25;20.5;20.75;145620.0
1991-08-20;21.25;21.5;21.0;21.5;31842.0
1991-08-21;21.0;22.25;21.0;22.0;128825.0
1991-08-22;22.0;22.25;21.75;22.0;13230.0
1991-08-23;21.75;22.25;21.75;22.0;15179.0
1991-08-26;22.25;22.75;22.25;22.5;30824.0
1991-08-27;22.5;23.25;22.0;22.5;164820.0
1991-08-28;22.25;23.75;22.25;23.38;100433.0
1991-08-29;23.25;24.0;23.25;24.0;40779.0
1991-08-30;24.0;24.0;22.25;22.87;38830.0
1991-09-03;23.25;23.25;22.5;22.62;34142.0
1991-09-04;22.5;23.0;22.5;23.0;17971.0
1991-09-05;23.0;23.0;22.5;22.75;13862.0
1991-09-06;23.0;23.0;22.25;22.75;28023.0
1991-09-09;22.25;22.75;22.25;22.25;50779.0
1991-09-10;22.25;22.25;21.0;21.5;50963.0
1991-09-11;21.25;21.75;21.25;21.75;65975.0
1991-09-12;21.5;21.75;21.25;21.25;18384.0
1991-09-13;21.25;21.75;21.0;21.5;61349.0
1991-09-16;21.5;21.5;21.0;21.25;641.0
1991-09-17;21.0;21.25;20.75;21.0;64430.0
1991-09-18;20.75;22.5;20.75;22.0;66959.0
1991-09-19;22.5;22.5;22.0;22.5;2774.0
1991-09-20;22.5;22.5;20.75;22.0;753435.0
1991-09-23;21.75;22.25;21.75;22.13;5619.0
1991-09-24;22.25;22.75;22.0;22.13;148789.0
1991-09-25;22.0;22.5;22.0;22.0;126393.0
1991-09-26;22.5;22.75;22.0;22.75;22413.0
1991-09-27;22.75;23.25;22.5;23.0;63579.0
1991-09-30;23.25;23.25;22.75;23.25;35986.0
1991-10-01;23.0;23.75;22.75;23.75;151230.0
1991-10-02;23.75;23.75;23.0;23.5;7585.0
1991-10-03;23.5;23.5;19.75;20.75;348971.0
1991-10-04;21.0;21.5;20.75;20.75;87993.0
1991-10-07;21.0;21.37;20.75;21.37;311230.0
1991-10-08;21.0;21.5;20.88;21.0;54396.0
1991-10-09;20.75;21.25;19.88;19.88;120020.0
1991-10-10;19.75;21.0;19.75;20.5;51990.0
1991-10-11;20.75;21.0;20.5;20.5;38830.0
1991-10-14;20.5;21.0;20.25;20.5;30824.0
1991-10-15;20.62;20.75;20.0;20.75;72428.0
1991-10-16;20.12;20.75;20.0;20.75;207759.0
1991-10-17;20.5;20.75;20.25;20.25;10430.0
1991-10-18;20.75;21.0;20.25;21.0;347742.0
1991-10-21;20.5;21.0;20.5;20.62;20631.0
1991-10-22;21.0;21.0;20.5;20.75;29867.0
1991-10-23;20.5;21.0;20.5;20.5;2844.0
1991-10-24;21.0;21.13;20.5;20.88;153609.0
1991-10-25;20.75;21.25;20.5;20.75;24424.0
1991-10-28;21.25;22.0;21.0;21.37;52385.0
1991-10-29;22.0;22.0;21.5;22.0;29164.0
1991-10-30;22.25;23.0;22.25;23.0;30771.0
1991-10-31;23.0;23.0;22.5;23.0;4381.0
1991-11-01;23.0;23.5;22.5;22.75;47759.0
1991-11-04;22.75;23.5;22.75;23.0;41613.0
1991-11-05;23.5;23.5;23.0;23.25;25609.0
1991-11-06;23.0;23.75;23.0;23.75;22238.0
1991-11-07;23.75;23.87;23.5;23.75;26952.0
1991-11-08;23.75;24.25;23.75;24.25;89363.0
1991-11-11;24.5;24.5;24.0;24.25;47223.0
1991-11-12;24.0;24.5;24.0;24.5;45046.0
