date;open;high;low;close;volume
2009-09-02;15.0;21.0;12.5;21.0;209400.0
2009-09-03;21.5;25.0;21.5;24.0;152600.0
2009-09-04;23.0;23.0;17.0;23.0;7400.0
2009-09-08;22.0;22.0;21.0;21.5;6700.0
2009-09-09;21.4;24.0;21.0;21.0;15800.0
2009-09-10;21.45;23.0;21.45;22.0;6900.0
2009-09-11;22.0;22.01;22.0;22.0;7800.0
2009-09-14;22.0;23.0;22.0;22.5;73700.0
2009-09-15;23.0;23.0;22.5;23.0;10600.0
2009-09-16;22.5;23.0;22.5;23.0;191200.0
2009-09-17;23.0;23.5;22.5;22.5;360000.0
2009-09-18;22.0;23.05;22.0;22.5;24400.0
2009-09-21;23.0;23.05;22.75;22.75;46600.0
2009-09-22;22.75;23.0;21.5;23.0;304200.0
2009-09-23;23.0;23.21;23.0;23.01;7700.0
2009-09-24;23.1;23.5;23.1;23.1;27700.0
2009-09-25;23.25;23.25;23.25;23.25;4300.0
2009-09-28;23.25;23.25;23.25;23.25;2300.0
2009-09-29;23.25;23.5;23.0;23.0;25100.0
2009-09-30;23.05;23.1;23.0;23.0;124500.0
2009-10-01;23.05;23.05;22.03;22.25;117800.0
2009-10-02;22.75;23.0;22.0;22.1;55100.0
2009-10-05;22.5;23.5;22.5;22.55;29000.0
2009-10-06;23.25;23.25;22.5;22.5;29000.0
2009-10-07;23.0;23.5;22.25;23.0;10200.0
2009-10-08;23.25;23.45;22.5;23.35;24800.0
2009-10-09;23.0;23.0;23.0;23.0;2900.0
2009-10-12;23.0;23.3;22.8;22.8;26400.0
2009-10-13;22.7;23.1;22.7;23.0;37300.0
2009-10-14;23.0;23.2;22.85;23.0;119900.0
2009-10-15;23.0;23.05;22.75;22.75;29100.0
2009-10-16;22.8;22.8;22.8;22.8;1700.0
2009-10-19;22.9;23.05;22.9;23.03;83800.0
2009-10-20;22.85;23.0;22.85;22.85;7000.0
2009-10-21;23.05;23.35;23.05;23.25;13600.0
2009-10-22;23.1;23.25;23.0;23.2;10900.0
2009-10-23;23.1;23.2;23.1;23.1;7800.0
2009-10-26;23.2;23.25;23.05;23.25;44800.0
2009-10-27;23.05;23.5;23.05;23.26;10400.0
2009-10-28;23.15;23.15;23.1;23.1;2900.0
2009-10-29;23.1;23.1;23.1;23.1;2600.0
2009-10-30;23.1;23.25;23.1;23.15;2900.0
2009-11-02;23.4;23.5;23.3;23.3;6800.0
2009-11-03;23.25;23.25;22.75;22.75;32500.0
2009-11-04;22.75;22.75;22.25;22.35;78000.0
2009-11-05;22.5;22.5;22.5;22.5;2000.0
2009-11-06;22.95;22.95;22.95;22.95;300.0
2009-11-09;23.0;23.15;22.6;23.15;1800.0
2009-11-10;23.15;23.15;22.75;22.75;5900.0
2009-11-11;22.5;22.75;22.25;22.75;14600.0
2009-11-12;22.3;22.75;22.3;22.75;62700.0
2009-11-13;22.5;22.75;22.5;22.75;1900.0
2009-11-16;22.75;22.75;22.5;22.5;8600.0
2009-11-17;22.55;22.55;22.29;22.29;7400.0
2009-11-18;22.5;22.5;22.25;22.25;5300.0
2009-11-19;22.25;22.5;22.25;22.25;6800.0
2009-11-20;22.25;22.5;22.25;22.5;4100.0
2009-11-23;22.5;22.5;22.25;22.5;15800.0
2009-11-24;22.25;22.25;22.25;22.25;1600.0
2009-11-25;22.25;22.25;22.25;22.25;4500.0
2009-11-27;22.2;22.2;22.0;22.0;1000.0
2009-11-30;21.5;22.0;21.5;22.0;14300.0
2009-12-01;22.05;22.05;22.0;22.0;8100.0
2009-12-02;22.25;22.25;21.75;22.0;10900.0
2009-12-03;21.8;21.8;21.55;21.55;12800.0
2009-12-04;21.55;21.75;21.55;21.75;4000.0
2009-12-07;21.5;22.0;21.5;22.0;1700.0
2009-12-08;21.05;21.5;21.05;21.25;27900.0
2009-12-09;21.5;21.5;21.5;21.5;700.0
2009-12-10;21.75;21.8;21.5;21.5;4600.0
2009-12-11;21.65;21.65;21.5;21.5;5700.0
2009-12-14;21.95;21.95;21.5;21.5;10000.0
2009-12-15;21.5;21.5;21.25;21.25;4500.0
2009-12-16;21.5;21.5;21.4;21.5;26500.0
2009-12-17;21.45;21.45;21.45;21.45;2000.0
2009-12-18;21.4;21.75;21.35;21.75;3300.0
2009-12-21;21.75;21.75;21.1;21.75;8200.0
2009-12-22;21.8;21.8;21.5;21.8;4700.0
2009-12-23;21.8;21.95;21.2;21.95;7600.0
2009-12-24;21.95;22.0;21.55;21.89;3800.0
2009-12-28;21.5;22.0;21.5;22.0;2800.0
2009-12-29;21.5;22.0;21.2;21.2;7300.0
2009-12-30;21.5;21.5;21.5;21.5;3800.0
2009-12-31;21.75;22.5;21.75;22.5;1300.0
2010-01-04;22.3;22.5;22.0;22.0;5200.0
2010-01-05;22.45;22.5;22.25;22.5;78400.0
2010-01-06;22.5;23.0;22.25;23.0;97900.0
